MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59517.570475,-22.049,2.786,-6,15,o,0,0.96,74.50215,7.26252,621.34,9329.2,3.07,2.67,-47.9,-0.485,19.32,20.87,01a59517o0827o
59517.597913,-21.762,1.897,-7,14,o,0,1.29,74.50215,7.26252,647.41,9367.11,2.95,2.57,-49.0,-0.495,19.32,20.82,01a59517o0883o
59517.610772,-19.872,0.409,-41,17,o,0,1.4,74.50215,7.26252,588.08,9291.09,3.2,2.78,-50.8,-0.478,19.21,20.78,01a59517o0908o
59517.615143,20.163,0.55,31,17,o,0,0.85,74.50215,7.26252,568.9,9408.62,3.12,2.75,-55.1,-0.489,19.24,20.79,01a59517o0916o
59518.496725,-20.373,0.309,-26,8,c,0,1.08,74.50215,7.26252,6073.02,1153.31,2.32,2.22,-64.9,-0.415,19.72,21.6,02a59518o0675c
59518.498553,-20.457,0.317,-24,8,c,0,1.75,74.50215,7.26252,6092.01,1192.71,2.31,2.2,-67.0,-0.416,19.76,21.6,02a59518o0679c
59518.508123,-22.261,1.833,-4,8,c,0,1.34,74.50215,7.26252,6032.46,1118.86,2.39,2.34,71.8,-0.406,19.67,21.58,02a59518o0699c
59518.516314,-21.02,0.576,-14,8,c,0,1.14,74.50215,7.26252,6015.4,1234.24,2.32,2.29,64.6,-0.405,19.68,21.54,02a59518o0716c
59520.451275,21.354,1.167,10,12,o,0,1.33,74.50215,7.26252,8197.37,5315.25,2.88,2.85,84.2,-0.456,19.36,21.0,01a59520o0590o
59520.462825,-21.58,1.689,-8,14,o,0,0.77,74.50215,7.26252,8175.37,5275.65,2.85,2.82,38.7,-0.45,19.42,21.06,01a59520o0615o
59520.466058,-21.17,0.909,-12,11,o,0,1.22,74.50215,7.26252,8236.38,5351.23,2.85,2.8,55.9,-0.45,19.42,21.07,01a59520o0622o
59520.472086,22.26,2.458,4,11,o,0,1.49,74.50215,7.26252,8253.62,5233.15,2.85,2.82,56.6,-0.452,19.4,21.1,01a59520o0635o
59522.468649,22.186,1.825,5,9,c,0,1.23,74.50215,7.26252,412.65,5296.16,2.41,2.3,-15.6,-0.394,19.63,21.46,02a59522o0628c
