MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59521.404819,-20.255,0.387,-29,11,o,0,1.07,1.54102,11.62574,4569.78,6988.82,2.7,2.65,-65.7,-0.463,19.36,20.76,01a59521o0487o
59521.424878,22.346,3.0,4,13,o,0,1.22,1.54102,11.62574,4593.98,7029.77,2.73,2.65,-51.3,-0.466,19.3,20.66,01a59521o0529o
59521.440157,23.071,6.333,2,14,o,0,1.27,1.54102,11.62574,4537.39,6955.73,2.77,2.66,-48.7,-0.47,19.22,20.59,01a59521o0561o
59521.456084,-22.261,3.08,-4,14,o,0,1.03,1.54102,11.62574,4520.94,7074.82,2.79,2.67,-47.9,-0.465,19.2,20.55,01a59521o0594o
59523.349754,-22.868,5.556,-3,14,c,0,1.37,1.54102,11.62574,7969.36,3526.65,3.39,3.3,-74.9,-0.364,19.16,21.56,02a59523o0371c
59523.360093,-21.355,1.043,-10,11,c,0,1.26,1.54102,11.62574,7949.28,3488.32,3.24,3.19,68.2,-0.37,19.34,21.51,02a59523o0393c
59523.363864,-23.075,4.909,-2,10,c,0,1.17,1.54102,11.62574,8006.83,3564.89,3.03,3.0,80.5,-0.364,19.39,21.44,02a59523o0401c
59523.371246,-23.09,6.429,-2,14,c,0,0.98,1.54102,11.62574,8026.33,3448.0,3.81,3.76,-58.1,-0.342,19.21,21.44,02a59523o0417c
59525.334626,21.035,0.868,14,12,o,0,1.27,1.54102,11.62574,4559.86,6986.92,2.95,2.69,-8.5,-0.445,19.27,20.72,01a59525o0324o
59525.341089,20.102,0.41,33,14,o,0,1.1,1.54102,11.62574,4581.71,7026.33,2.97,2.71,-10.1,-0.445,19.28,20.75,01a59525o0338o
59525.350318,21.388,1.25,10,13,o,0,1.4,1.54102,11.62574,4522.89,6949.5,2.86,2.7,-21.1,-0.451,19.26,20.73,01a59525o0358o
59525.355973,23.74,11.667,1,14,o,0,1.1,1.54102,11.62574,4505.94,7066.14,3.04,2.76,-7.1,-0.436,19.23,20.72,01a59525o0370o
59527.310695,23.354,7.2,2,12,o,0,1.13,1.54102,11.62574,7973.67,3522.66,2.04,1.96,43.5,-0.426,19.46,20.67,02a59527o0281o
59527.316959,-21.028,0.71,-14,10,o,0,1.48,1.54102,11.62574,7953.57,3484.2,2.06,1.92,43.8,-0.424,19.41,20.64,02a59527o0294o
59527.323715,-20.584,0.566,-21,12,o,0,0.98,1.54102,11.62574,8011.36,3563.19,2.12,2.03,52.4,-0.416,19.26,20.51,02a59527o0308o
59527.327034,-20.658,0.644,-20,13,o,0,1.17,1.54102,11.62574,8031.46,3444.8,2.03,1.95,58.9,-0.433,19.23,20.49,02a59527o0314o
59529.384109,19.885,0.365,40,15,o,0,0.75,1.54102,11.62574,4698.93,8926.12,2.75,2.67,-53.0,-0.471,19.28,20.66,01a59529o0416o
59529.387371,20.75,0.765,18,14,o,0,0.88,1.54102,11.62574,4719.19,8964.34,2.84,2.73,-51.3,-0.468,19.27,20.68,01a59529o0423o
59529.398366,21.361,1.333,10,14,o,0,1.45,1.54102,11.62574,4660.76,8888.9,2.79,2.75,81.5,-0.46,19.31,20.77,01a59529o0446o
59529.41624,-20.23,0.35,-29,10,o,0,1.57,1.54102,11.62574,4642.89,9009.46,2.91,2.68,-42.5,-0.468,19.35,20.99,01a59529o0480o
59530.331168,19.473,1.442,59,85,o,0,1.19,1.54102,11.62574,8122.06,7403.43,2.33,2.14,55.8,-0.438,17.42,17.65,02a59530o0333o
59530.334371,-18.755,0.405,-114,46,o,0,1.25,1.54102,11.62574,8102.71,7365.08,2.35,2.14,52.5,-0.433,17.76,18.07,02a59530o0340o
59530.339987,19.337,1.221,67,82,o,0,1.17,1.54102,11.62574,8158.07,7441.07,2.34,2.11,55.2,-0.426,17.51,17.69,02a59530o0352o
59530.352414,21.241,14.63,12,169,o,0,1.15,1.54102,11.62574,8176.86,7327.16,2.41,2.17,43.1,-0.431,17.05,17.21,02a59530o0379o
59531.343596,-21.737,8.61,-7,63,o,0,1.11,1.54102,11.62574,8113.02,7399.5,2.34,2.14,48.9,-0.423,17.79,18.16,02a59531o0344o
59531.3468,21.764,9.237,7,66,o,0,1.05,1.54102,11.62574,8093.68,7360.37,2.31,2.13,50.3,-0.431,17.78,17.96,02a59531o0351o
59531.371372,18.98,1.469,93,136,o,0,1.42,1.54102,11.62574,8152.05,7440.91,2.4,1.95,-6.3,-0.477,17.09,17.12,02a59531o0404o
59531.376924,20.286,12.515,28,349,o,0,1.87,1.54102,11.62574,8172.76,7326.35,2.38,1.89,-14.1,-0.52,16.07,16.24,02a59531o0416o
59538.413392,19.799,0.552,44,24,o,0,1.2,1.54102,11.62574,4079.14,3710.55,2.46,1.95,41.6,-0.43,18.66,19.0,02a59538o0229o
59538.418935,19.934,0.601,39,23,o,0,1.06,1.54102,11.62574,4062.12,3670.41,2.27,1.96,43.3,-0.443,18.69,18.96,02a59538o0241o
59538.422617,19.77,0.487,45,22,o,0,1.21,1.54102,11.62574,4120.66,3747.89,2.29,1.92,39.8,-0.442,18.65,18.92,02a59538o0249o
59538.433631,20.172,0.765,31,24,o,0,1.7,1.54102,11.62574,4141.74,3630.78,2.38,2.04,42.1,-0.443,18.48,18.8,02a59538o0273o
59539.361782,19.406,0.733,63,46,o,0,1.35,1.54102,11.62574,4080.42,3706.44,2.17,1.88,43.3,-0.457,17.8,17.91,02a59539o0401o
59539.367765,19.869,0.506,41,21,o,0,1.22,1.54102,11.62574,4061.45,3667.64,2.21,1.91,45.6,-0.445,18.78,19.22,02a59539o0414o
59539.371884,19.589,0.467,53,25,o,0,1.31,1.54102,11.62574,4119.69,3744.86,2.23,1.92,45.1,-0.445,18.53,19.08,02a59539o0423o
59539.394938,21.184,4.818,12,59,o,0,1.06,1.54102,11.62574,4141.54,3628.93,2.31,1.92,42.0,-0.447,17.6,17.93,02a59539o0473o
59541.318657,19.12,0.208,82,17,o,0,1.27,1.54102,11.62574,2729.08,9063.21,2.92,2.67,-41.7,-0.465,19.07,20.16,01a59541o0299o
59541.343259,18.91,0.213,99,21,o,0,0.81,1.54102,11.62574,2754.66,9103.12,2.91,2.66,-45.4,-0.467,18.91,19.91,01a59541o0349o
59541.346088,18.948,0.206,96,20,o,0,1.0,1.54102,11.62574,2694.57,9025.71,2.83,2.59,-46.1,-0.474,19.04,20.04,01a59541o0355o
59541.365486,18.987,0.247,92,23,o,0,0.97,1.54102,11.62574,2681.37,9144.67,2.97,2.76,-45.5,-0.457,18.87,19.84,01a59541o0395o
