MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59551.323231,22.652,4.6,3,14,o,0,1.28,30.54501,-28.6473,5063.97,1578.51,3.06,2.91,-41.5,-0.44,19.12,20.56,01a59551o0289o
59551.32646,21.269,1.288,11,14,o,0,1.49,30.54501,-28.6473,5086.69,1617.33,3.1,2.93,-40.7,-0.447,19.17,20.59,01a59551o0296o
59551.332911,-22.353,3.571,-4,15,o,0,1.17,30.54501,-28.6473,5030.18,1541.4,2.94,2.79,-39.4,-0.459,19.18,20.61,01a59551o0310o
59551.344882,-21.719,1.889,-8,14,o,0,1.19,30.54501,-28.6473,5019.95,1660.17,3.04,2.83,-42.3,-0.457,19.13,20.55,01a59551o0336o
59559.3047,19.305,0.356,69,24,o,0,0.86,30.54501,-28.6473,6340.28,7366.38,3.51,3.21,-47.0,-0.409,18.75,19.95,01a59559o0244o
59559.307465,18.749,0.182,115,21,o,0,1.24,30.54501,-28.6473,6362.24,7405.22,3.21,2.97,-44.0,-0.43,18.87,19.96,01a59559o0250o
59559.312995,19.175,0.265,78,21,o,0,1.33,30.54501,-28.6473,6306.64,7329.26,3.3,3.13,-46.6,-0.42,18.82,19.97,01a59559o0262o
59559.348538,19.238,0.321,73,24,o,0,1.13,30.54501,-28.6473,6310.63,7449.79,3.27,3.14,-16.9,-0.407,18.77,19.88,01a59559o0338o
59563.307479,19.556,1.211,55,66,o,0,0.89,30.54501,-28.6473,9422.46,3756.56,3.21,2.81,-59.9,-0.46,17.68,18.5,01a59563o0278o
59563.310708,18.299,0.284,174,49,o,0,1.33,30.54501,-28.6473,9445.13,3796.04,3.22,2.8,-57.4,-0.459,17.95,18.66,01a59563o0285o
59563.316243,18.339,0.2,168,34,o,0,1.1,30.54501,-28.6473,9387.77,3719.27,3.28,2.83,-57.1,-0.451,18.49,19.23,01a59563o0297o
