MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59208.240962,20.247,0.452,29,13,o,0,13.4,3.8797,46.96444,4034.86,4757.7,2.07,1.84,34.5,-0.45,19.17,19.81,02a59208o0108o
59208.244169,-23.727,12.5,-1,15,o,0,1.28,3.8797,46.96444,4014.88,4719.29,2.11,1.86,35.5,-0.446,19.17,19.81,02a59208o0115o
59208.251952,21.334,1.477,11,16,o,0,1.62,3.8797,46.96444,4071.74,4793.73,2.07,1.89,36.7,-0.446,19.13,19.8,02a59208o0132o
59208.262091,21.167,1.188,12,15,o,0,1.25,3.8797,46.96444,4089.78,4676.01,2.05,1.87,31.1,-0.455,19.16,19.77,02a59208o0154o
59210.318862,21.365,2.342,10,24,o,0,0.98,3.8797,46.96444,10431.77,5445.52,2.69,2.61,11.5,-0.342,18.67,19.23,01a59210o0009o
59210.322546,20.111,0.78,33,26,o,0,0.89,3.8797,46.96444,10452.89,5484.4,2.63,2.55,-83.0,-0.324,18.69,19.21,01a59210o0017o
59210.332694,20.016,0.665,36,24,o,0,1.24,3.8797,46.96444,10395.72,5412.67,2.71,2.61,82.1,-0.359,18.65,19.15,01a59210o0039o
59210.341018,19.974,0.665,37,25,o,0,0.86,3.8797,46.96444,10376.85,5532.63,2.65,2.37,-84.0,-0.361,18.63,19.09,01a59210o0057o
59210.345161,-19.822,0.69,-43,30,o,0,0.89,3.8797,46.96444,705.3,5548.58,2.67,2.44,89.2,-0.38,18.59,19.11,01a59210o0066o
59210.351156,21.28,2.448,11,27,o,0,1.09,3.8797,46.96444,725.8,5588.4,2.56,2.36,89.2,-0.374,18.66,19.08,01a59210o0079o
59210.354392,19.236,0.956,73,70,o,0,5.95,3.8797,46.96444,666.18,5509.22,2.81,2.59,-88.4,-0.378,18.53,19.04,01a59210o0086o
59210.382744,19.787,0.87,44,38,o,0,0.85,3.8797,46.96444,643.97,5621.74,2.89,2.77,87.8,-0.404,18.33,18.82,01a59210o0098o
59212.299753,21.36,2.183,10,23,o,0,1.19,3.8797,46.96444,5989.51,2715.48,2.14,1.86,38.8,-0.44,18.82,19.13,02a59212o0242o
59212.303875,21.453,2.085,10,20,o,0,1.16,3.8797,46.96444,5969.56,2677.35,2.12,1.89,37.7,-0.445,18.72,19.12,02a59212o0251o
59212.311669,20.789,1.343,18,24,o,0,1.32,3.8797,46.96444,6029.5,2753.03,2.1,1.9,38.0,-0.442,18.77,19.08,02a59212o0268o
59212.322249,-21.881,3.433,-6,22,o,0,1.26,3.8797,46.96444,6050.65,2636.27,2.22,1.91,38.1,-0.444,18.7,19.02,02a59212o0291o
59214.219329,-21.884,2.375,-6,15,o,0,1.05,3.8797,46.96444,10415.53,5429.45,2.25,2.09,87.6,-0.412,19.33,19.95,01a59214o0066o
59214.222559,20.716,0.712,19,13,o,0,1.28,3.8797,46.96444,10436.61,5467.51,2.22,2.12,13.2,-0.396,19.32,19.9,01a59214o0073o
59214.233701,-20.26,0.552,-29,16,o,0,1.34,3.8797,46.96444,10378.33,5394.05,2.29,2.06,-84.5,-0.426,19.26,19.78,01a59214o0097o
59214.240183,-20.728,0.876,-19,16,o,0,1.43,3.8797,46.96444,10363.11,5512.15,2.31,2.26,-39.5,-0.399,19.19,19.73,01a59214o0111o
59214.246635,-23.653,11.353,-1,14,o,0,1.24,3.8797,46.96444,684.88,5553.99,1.9,1.83,89.5,-0.415,19.2,19.71,01a59214o0125o
59214.249865,21.363,1.858,10,19,o,0,0.59,3.8797,46.96444,703.26,5591.42,2.01,1.8,-86.0,-0.419,19.24,19.68,01a59214o0132o
59214.255416,-21.627,1.932,-8,16,o,0,1.36,3.8797,46.96444,647.09,5513.29,2.08,1.81,-7.1,-0.402,19.1,19.65,01a59214o0144o
59214.268334,22.207,4.167,5,20,o,0,0.97,3.8797,46.96444,630.34,5628.24,2.12,1.96,-87.8,-0.403,19.09,19.59,01a59214o0172o
59216.233818,22.063,1.981,5,11,o,0,1.8,3.8797,46.96444,5996.36,2720.1,2.08,1.99,35.4,-0.437,19.59,20.92,02a59216o0094o
59216.237023,24.17,14.333,1,11,o,0,2.25,3.8797,46.96444,5977.21,2680.58,2.32,2.27,30.9,-0.435,19.49,20.93,02a59216o0101o
59216.242559,20.977,0.797,15,12,o,0,1.3,3.8797,46.96444,6038.33,2758.69,2.19,2.11,31.1,-0.44,19.51,20.93,02a59216o0113o
59216.254963,20.759,0.62,18,11,o,0,2.13,3.8797,46.96444,6060.32,2640.49,2.44,2.33,23.1,-0.431,19.45,20.93,02a59216o0140o
59218.296829,-23.078,3.95,-2,8,c,0,1.6,3.8797,46.96444,4579.3,9785.65,2.41,2.24,-49.3,-0.389,19.68,21.55,01a59218o0229c
59218.301007,-22.909,4.316,-2,11,c,0,2.52,3.8797,46.96444,4597.46,9827.19,2.8,2.4,-4.2,-0.381,19.57,21.54,01a59218o0238c
59218.30656,20.165,0.266,31,8,c,0,2.63,3.8797,46.96444,4536.93,9747.92,2.52,2.3,-53.2,-0.387,19.68,21.54,01a59218o0250c
59218.317218,21.32,0.884,11,10,c,0,1.56,3.8797,46.96444,4514.15,9865.83,2.73,2.32,-21.1,-0.373,19.6,21.49,01a59218o0273c
59220.252032,22.379,2.594,4,10,c,0,2.18,3.8797,46.96444,5453.68,7067.54,2.48,2.27,41.2,-0.405,19.74,21.62,02a59220o0130c
59220.255234,-20.893,0.659,-16,10,c,0,1.54,3.8797,46.96444,5437.39,7028.64,2.35,2.3,32.6,-0.416,19.72,21.62,02a59220o0137c
59220.261213,24.414,16.0,1,10,c,0,3.93,3.8797,46.96444,5491.8,7105.58,2.33,2.32,28.2,-0.42,19.77,21.61,02a59220o0150c
59220.27316,20.951,0.648,15,10,c,0,3.84,3.8797,46.96444,5512.8,6989.56,2.34,2.31,-44.3,-0.416,19.75,21.57,02a59220o0176c
59222.217481,20.922,0.444,16,7,c,0,1.23,3.8797,46.96444,4576.52,9784.0,2.27,2.09,-44.1,-0.395,19.89,21.79,01a59222o0054c
59222.221167,21.168,0.585,12,7,c,0,1.53,3.8797,46.96444,4598.36,9823.14,2.3,2.16,-45.5,-0.392,19.84,21.84,01a59222o0062c
59222.227641,22.092,1.386,5,7,c,0,2.03,3.8797,46.96444,4539.14,9746.04,2.28,2.16,-42.9,-0.376,19.84,21.86,01a59222o0076c
