MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59208.570457,-23.311,5.214,-2,9,c,0,1.05,159.34193,-7.36686,4281.22,1399.19,2.77,2.35,-2.0,-0.373,19.69,21.69,01a59208o0795c
59208.572297,23.561,5.083,1,7,c,0,1.7,159.34193,-7.36686,4262.18,1360.96,2.6,2.29,-2.6,-0.393,19.74,21.7,01a59208o0799c
59208.575987,21.853,1.102,7,7,c,0,1.51,159.34193,-7.36686,4319.81,1439.45,2.51,2.35,1.4,-0.388,19.76,21.71,01a59208o0807c
59208.581053,22.587,2.536,3,8,c,0,1.02,159.34193,-7.36686,4339.01,1323.24,2.57,2.47,5.8,-0.381,19.73,21.71,01a59208o0818c
59216.555597,-19.818,0.521,-43,22,o,0,1.29,159.34193,-7.36686,9929.93,7397.58,2.64,2.61,72.1,-0.377,18.75,19.23,01a59216o0789o
59216.557437,-21.977,4.722,-6,28,o,0,1.0,159.34193,-7.36686,9910.74,7358.35,2.99,2.7,0.7,-0.365,18.59,19.23,01a59216o0793o
59216.560682,19.783,0.507,44,22,o,0,1.29,159.34193,-7.36686,9970.57,7436.4,2.55,2.42,27.2,-0.369,18.77,19.25,01a59216o0800o
59216.568066,20.291,0.76,28,21,o,0,1.55,159.34193,-7.36686,9991.0,7319.79,2.76,2.68,34.8,-0.368,18.7,19.24,01a59216o0816o
59220.532703,-21.511,1.162,-9,10,o,0,1.97,159.34193,-7.36686,9924.45,7394.3,2.54,2.31,74.3,-0.386,19.39,20.39,01a59220o0725o
59220.549794,-21.307,1.078,-11,12,o,0,1.47,159.34193,-7.36686,9907.24,7354.24,2.28,2.2,87.8,-0.402,19.49,20.39,01a59220o0761o
59220.553019,-20.999,0.872,-14,13,o,0,1.1,159.34193,-7.36686,9966.62,7431.76,2.37,2.34,-13.2,-0.393,19.45,20.42,01a59220o0768o
59220.558565,21.273,1.147,11,13,o,0,1.56,159.34193,-7.36686,9986.82,7314.82,2.4,2.33,10.2,-0.408,19.42,20.47,01a59220o0780o
59221.501312,-21.799,1.803,-7,12,o,0,0.95,159.34193,-7.36686,877.72,7034.56,2.08,1.85,-41.4,-0.453,19.56,20.71,02a59221o0662o
59221.513691,22.69,3.097,3,9,o,0,1.65,159.34193,-7.36686,896.14,7071.59,2.09,1.85,-44.4,-0.456,19.56,20.74,02a59221o0689o
59221.53705,22.353,3.14,4,13,o,0,1.05,159.34193,-7.36686,838.57,6996.61,2.05,1.87,-36.3,-0.449,19.6,20.79,02a59221o0738o
59221.541279,-21.048,0.704,-14,10,o,0,1.99,159.34193,-7.36686,821.1,7112.75,2.17,1.88,-42.3,-0.445,19.58,20.81,02a59221o0747o
59222.584323,20.045,0.262,35,9,o,0,2.27,159.34193,-7.36686,9701.73,3517.24,2.36,2.2,-64.2,-0.424,19.49,20.81,02a59222o0842o
59222.617315,-20.952,0.658,-15,10,o,0,1.66,159.34193,-7.36686,9681.46,3483.62,2.44,2.25,-58.7,-0.42,19.52,20.86,02a59222o0913o
59222.620092,20.712,0.571,19,11,o,0,1.24,159.34193,-7.36686,9741.9,3562.02,2.35,2.14,-55.0,-0.423,19.59,20.87,02a59222o0919o
59222.625584,-21.764,1.736,-7,12,o,0,1.0,159.34193,-7.36686,9762.31,3446.89,2.48,2.22,-58.2,-0.423,19.49,20.87,02a59222o0931o
59224.536964,-20.794,0.542,-18,10,c,0,1.15,159.34193,-7.36686,10091.69,1070.35,2.9,2.7,-40.0,-0.32,19.76,21.9,01a59224o0678c
59224.538806,20.377,0.335,26,9,c,0,1.11,159.34193,-7.36686,10070.6,1029.8,3.05,2.66,-19.5,-0.308,19.77,21.9,01a59224o0682c
59224.54295,22.202,1.914,5,9,c,0,1.37,159.34193,-7.36686,10129.3,1107.94,2.78,2.58,-45.6,-0.329,19.8,21.9,01a59224o0691c
59224.567519,21.447,0.985,10,9,c,0,1.23,159.34193,-7.36686,10149.78,989.69,2.87,2.66,-45.3,-0.325,19.79,21.84,01a59224o0742c
59226.527923,-23.164,3.529,-2,7,c,0,1.21,159.34193,-7.36686,2627.01,3055.12,2.3,2.26,-57.7,-0.406,19.88,21.9,02a59226o0722c
59226.529752,20.842,0.471,17,8,c,0,1.1,159.34193,-7.36686,2645.99,3095.47,2.36,2.34,-50.8,-0.403,19.84,21.9,02a59226o0726c
59226.53295,20.113,0.248,33,8,c,0,0.81,159.34193,-7.36686,2587.86,3017.84,2.38,2.34,-52.6,-0.405,19.82,21.9,02a59226o0733c
