MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59219.592974,19.893,0.416,40,17,o,0,11.05,176.34833,20.32446,3195.86,4234.43,2.11,1.88,35.5,-0.447,18.95,19.6,02a59219o0760o
59219.594802,-18.576,0.151,-135,20,o,0,6.49,176.34833,20.32446,3215.94,4272.95,2.34,2.12,38.3,-0.443,18.84,19.54,02a59219o0764o
59219.597548,-19.191,0.216,-76,16,o,0,5.74,176.34833,20.32446,3157.53,4195.58,2.24,2.01,39.1,-0.509,18.9,19.57,02a59219o0770o
59219.602918,-20.439,0.714,-24,17,o,0,11.01,176.34833,20.32446,3138.63,4312.55,2.06,1.83,36.9,-0.454,19.01,19.63,02a59219o0781o
59221.568267,-21.243,1.53,-12,18,o,0,1.31,176.34833,20.32446,7447.82,44.45,2.24,2.11,-51.2,-0.429,19.52,21.27,01a59221o0758o
59221.570573,-18.771,0.084,-113,10,o,0,19.06,176.34833,20.32446,7533.91,10214.23,2.08,2.0,27.0,-0.391,19.64,21.04,01a59221o0763o
59221.572415,-19.219,0.134,-74,10,o,0,11.82,176.34833,20.32446,7514.33,10174.2,2.15,2.11,47.9,-0.385,19.58,20.94,01a59221o0767o
59221.575833,-19.475,0.162,-59,10,o,0,20.05,176.34833,20.32446,7570.98,10251.37,1.99,1.94,43.7,-0.384,19.59,21.3,01a59221o0774o
59221.580952,-19.094,0.111,-84,9,o,0,16.38,176.34833,20.32446,7590.86,10134.22,2.11,1.98,15.6,-0.389,19.56,21.31,01a59221o0785o
59229.608235,-21.518,0.887,-9,8,c,0,5.93,176.34833,20.32446,7899.13,6631.34,2.53,2.41,-86.1,-0.383,19.92,22.03,01a59229o0569c
59229.611997,-19.181,0.099,-77,8,c,0,9.33,176.34833,20.32446,7920.27,6668.74,2.6,2.47,-61.0,-0.382,19.92,22.03,01a59229o0577c
59229.619039,-22.136,1.292,-5,7,c,0,8.28,176.34833,20.32446,7862.9,6591.16,2.43,2.35,-67.0,-0.389,19.99,22.02,01a59229o0592c
59229.653573,-18.987,0.073,-92,7,c,0,6.93,176.34833,20.32446,7854.44,6705.78,2.62,2.4,-78.2,-0.38,19.88,22.0,01a59229o0659c
59231.518793,-18.445,0.072,-152,11,c,0,8.39,176.34833,20.32446,4974.07,255.86,2.6,2.26,-53.8,-0.409,19.79,21.79,02a59231o0664c
59231.520622,-19.37,0.137,-65,9,c,0,16.09,176.34833,20.32446,4992.58,294.33,2.51,2.24,-63.1,-0.416,19.8,21.79,02a59231o0668c
59231.523365,-19.446,0.21,-60,13,c,0,6.4,176.34833,20.32446,4935.73,215.97,2.43,2.17,-64.6,-0.423,19.83,21.8,02a59231o0674c
59231.524279,-18.612,0.135,-130,18,c,0,22.79,176.34833,20.32446,5144.03,10460.23,2.64,2.44,-46.3,-0.41,19.78,21.85,02a59231o0676c
59231.526126,-16.799,0.021,-692,15,c,0,33.82,176.34833,20.32446,5163.23,10499.9,2.63,2.45,-48.5,-0.397,19.81,21.85,02a59231o0680c
59231.528414,-19.294,0.114,-70,8,c,0,22.26,176.34833,20.32446,4916.29,334.54,2.51,2.23,-58.2,-0.413,19.81,21.82,02a59231o0685c
59231.528871,21.309,0.92,11,10,c,0,11.06,176.34833,20.32446,5103.97,10420.81,2.65,2.46,-45.0,-0.405,19.81,21.87,02a59231o0686c
59233.487969,-17.486,1.058,-368,389,c,0,1.42,176.34833,20.32446,3678.58,10363.61,2.73,2.37,-57.9,-0.369,15.59,17.74,01a59233o0142c
59233.488429,-16.551,0.265,-870,230,c,0,2.81,176.34833,20.32446,3430.56,164.91,2.31,2.19,57.9,-0.407,16.39,18.52,01a59233o0143c
59233.490728,-19.706,3.739,-48,178,c,0,2.17,176.34833,20.32446,3737.23,10442.2,2.72,2.46,-61.3,-0.359,16.64,18.78,01a59233o0148c
59233.494411,-20.198,3.684,-30,112,c,0,1.75,176.34833,20.32446,3492.92,245.69,2.75,2.29,13.6,-0.387,16.88,19.1,01a59233o0156c
59233.504755,-16.68,0.473,-773,366,c,0,2.35,176.34833,20.32446,3507.37,122.53,2.42,2.26,62.6,-0.413,15.91,18.08,01a59233o0176c
59233.506137,18.549,1.857,138,257,c,0,2.55,176.34833,20.32446,3759.13,10322.21,2.84,2.5,-71.1,-0.365,15.77,17.99,01a59233o0179c
59235.533494,19.271,0.301,71,21,c,0,2.35,176.34833,20.32446,5050.93,2209.56,2.46,2.34,64.9,-0.398,18.71,20.55,02a59235o0687c
59235.53591,19.601,0.422,52,22,c,0,1.67,176.34833,20.32446,5070.45,2247.17,2.53,2.45,78.0,-0.394,18.75,20.64,02a59235o0692c
59235.538655,19.252,0.322,72,23,c,0,1.55,176.34833,20.32446,5012.68,2170.24,2.5,2.41,89.5,-0.392,18.8,20.7,02a59235o0698c
59235.544254,19.044,0.239,88,21,c,0,3.88,176.34833,20.32446,4994.01,2287.16,2.47,2.37,64.1,-0.397,18.86,20.73,02a59235o0710c
59237.612762,16.607,0.163,826,134,c,0,4.38,176.34833,20.32446,7128.9,10332.32,2.31,2.25,-67.4,-0.395,17.52,19.5,01a59237o0011c
59237.623815,-17.179,0.206,-488,101,c,0,2.49,176.34833,20.32446,7092.14,10295.34,2.3,2.2,-33.1,-0.385,16.64,18.66,01a59237o0035c
59249.641737,16.021,0.024,1418,34,o,0,2.63,176.34833,20.32446,8949.04,3893.19,2.49,2.07,-82.8,-0.407,18.45,18.91,01a59249o0148o
59249.651954,15.979,0.017,1473,25,o,0,5.93,176.34833,20.32446,8970.06,3933.16,2.4,2.07,-80.7,-0.406,18.79,19.49,01a59249o0170o
59249.659819,16.067,0.015,1359,21,o,0,5.26,176.34833,20.32446,8913.49,3856.89,2.32,2.25,-67.0,-0.384,19.22,20.08,01a59249o0187o
59249.663512,16.043,0.019,1389,26,o,0,4.52,176.34833,20.32446,8893.04,3975.78,2.54,2.16,-83.3,-0.413,18.67,19.3,01a59249o0195o
59251.56129,15.947,0.011,1517,17,o,0,38.88,176.34833,20.32446,8745.69,2176.59,1.96,1.78,-52.9,-0.452,19.71,21.0,02a59251o0649o
59251.565885,16.019,0.012,1421,17,o,0,22.83,176.34833,20.32446,8724.99,2135.5,1.97,1.83,-54.3,-0.446,19.67,20.99,02a59251o0659o
59251.576278,15.861,0.01,1642,16,o,0,42.42,176.34833,20.32446,8784.25,2215.85,2.01,1.85,-55.6,-0.441,19.69,20.99,02a59251o0680o
59251.581464,15.954,0.011,1507,17,o,0,34.15,176.34833,20.32446,8806.09,2101.26,2.01,1.82,-52.6,-0.445,19.69,21.01,02a59251o0691o
59253.46481,15.874,0.011,1623,18,c,0,8.21,176.34833,20.32446,1600.0,6640.24,3.14,2.98,79.8,-0.356,19.32,22.07,01a59253o0503c
59253.468033,15.783,0.01,1765,17,c,0,4.7,176.34833,20.32446,1580.63,6602.3,3.4,2.82,78.8,-0.326,19.41,22.1,01a59253o0510c
59253.483553,15.813,0.009,1716,16,c,0,11.65,176.34833,20.32446,1642.72,6681.6,2.51,2.37,68.5,-0.397,19.74,22.07,01a59253o0541c
59253.493197,15.731,0.008,1852,16,c,0,9.64,176.34833,20.32446,1660.25,6565.76,2.63,2.43,-78.3,-0.396,19.78,22.02,01a59253o0561c
59255.472819,15.813,0.009,1718,16,c,0,25.67,176.34833,20.32446,1840.33,8385.95,2.36,2.23,-39.7,-0.415,19.8,21.88,02a59255o0552c
59255.474649,15.802,0.01,1734,17,c,0,16.62,176.34833,20.32446,1862.29,8425.23,2.36,2.27,-38.9,-0.412,19.83,21.87,02a59255o0556c
59255.481806,15.725,0.008,1861,16,c,0,16.9,176.34833,20.32446,1798.47,8348.94,2.47,2.39,16.9,-0.397,19.78,21.89,02a59255o0569c
59255.486902,15.778,0.009,1774,16,c,0,18.37,176.34833,20.32446,1779.61,8464.51,2.4,2.37,-12.7,-0.405,19.8,21.9,02a59255o0580c
59257.534997,15.888,0.009,1602,14,c,0,15.43,176.34833,20.32446,9958.33,8463.27,2.69,2.52,47.4,-0.344,19.88,22.09,01a59257o0697c
59257.538806,15.885,0.009,1607,15,c,0,9.57,176.34833,20.32446,9979.5,8501.91,2.67,2.54,53.3,-0.348,19.85,22.09,01a59257o0705c
59257.545862,15.887,0.009,1604,14,c,0,15.68,176.34833,20.32446,9920.5,8423.15,2.67,2.49,46.5,-0.347,19.87,22.09,01a59257o0720c
59257.575667,15.879,0.009,1616,15,c,0,9.88,176.34833,20.32446,9906.61,8533.27,2.68,2.48,66.1,-0.352,19.86,22.05,01a59257o0780c
