MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59226.567339,21.276,0.708,11,8,c,0,1.49,174.76496,-9.41032,1746.99,7021.61,2.44,2.29,-32.0,-0.41,19.77,21.8,02a59226o0806c
59226.569168,-22.174,1.951,-5,10,c,0,0.87,174.76496,-9.41032,1766.81,7059.76,2.38,2.22,-46.3,-0.417,19.79,21.8,02a59226o0810c
59226.57237,-21.819,1.519,-7,10,c,0,0.99,174.76496,-9.41032,1708.67,6983.05,2.49,2.34,-37.4,-0.409,19.73,21.79,02a59226o0817c
59226.579268,20.866,0.575,16,9,c,0,1.03,174.76496,-9.41032,1689.46,7099.06,2.56,2.38,-34.4,-0.408,19.74,21.8,02a59226o0832c
59228.558475,20.937,0.531,15,8,c,0,1.3,174.76496,-9.41032,865.64,7310.13,2.62,2.41,-74.7,-0.384,19.74,22.02,01a59228o0502c
59228.560326,-21.35,0.741,-10,8,c,0,1.37,174.76496,-9.41032,846.24,7271.9,2.67,2.51,-67.3,-0.365,19.74,22.03,01a59228o0506c
59228.565852,21.896,1.551,6,10,c,0,0.85,174.76496,-9.41032,906.92,7350.36,2.68,2.64,-1.9,-0.357,19.69,22.04,01a59228o0518c
59228.570967,-21.585,0.957,-8,8,c,0,0.84,174.76496,-9.41032,926.53,7234.36,2.65,2.51,-51.3,-0.366,19.71,22.04,01a59228o0529c
59230.529964,-21.416,1.039,-10,10,c,0,1.08,174.76496,-9.41032,1746.76,7021.89,2.44,2.36,-39.4,-0.408,19.71,21.62,02a59230o0718c
59230.533174,-22.024,1.698,-6,10,c,0,1.29,174.76496,-9.41032,1766.01,7062.2,2.48,2.37,-49.7,-0.403,19.7,21.64,02a59230o0725c
59230.538551,23.261,4.867,2,9,c,0,0.95,174.76496,-9.41032,1707.11,6984.23,2.34,2.27,-30.2,-0.413,19.79,21.66,02a59230o0736c
59230.544068,-21.863,1.431,-6,9,c,0,1.11,174.76496,-9.41032,1686.44,7100.85,2.43,2.34,-36.0,-0.412,19.72,21.67,02a59230o0748c
