MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59227.397874,21.235,0.571,12,7,c,0,0.75,86.19171,-20.90496,5120.8,5167.44,2.85,2.41,-8.3,-0.351,19.72,22.26,01a59227o0384c
59227.401139,21.822,0.985,7,7,c,0,1.02,86.19171,-20.90496,5141.13,5205.7,2.34,2.3,-76.0,-0.363,19.87,22.27,01a59227o0391c
59227.406673,21.811,1.017,7,7,c,0,0.73,86.19171,-20.90496,5082.49,5127.96,2.56,2.43,-0.7,-0.352,19.79,22.26,01a59227o0403c
59227.41776,-23.731,5.5,-1,6,c,0,1.29,86.19171,-20.90496,5062.77,5244.66,2.54,2.45,-17.8,-0.355,19.79,22.26,01a59227o0427c
59229.361246,22.492,2.481,4,9,c,0,0.9,86.19171,-20.90496,970.13,1548.89,2.5,2.34,-69.9,-0.425,19.73,21.6,02a59229o0360c
59229.364445,0.0,21.668,0,8,c,0,1.26,86.19171,-20.90496,950.77,1509.73,2.6,2.38,-66.1,-0.421,19.64,21.6,02a59229o0367c
59229.370392,21.368,0.836,10,9,c,0,1.03,86.19171,-20.90496,1010.07,1589.64,2.56,2.4,-72.7,-0.42,19.68,21.63,02a59229o0380c
59229.405187,-20.988,0.635,-15,9,c,0,0.77,86.19171,-20.90496,1034.55,1470.06,2.53,2.38,-79.4,-0.427,19.65,21.65,02a59229o0455c
59231.375124,21.893,1.058,6,7,c,0,1.42,86.19171,-20.90496,5117.55,5167.68,2.58,2.46,-66.0,-0.388,19.76,21.86,01a59231o0258c
59231.378347,22.591,1.931,3,6,c,0,1.58,86.19171,-20.90496,5137.51,5205.82,2.57,2.35,-77.2,-0.378,19.79,21.86,01a59231o0265c
59231.384804,-24.891,21.333,0,9,c,0,1.07,86.19171,-20.90496,5079.44,5128.67,2.78,2.51,-74.2,-0.38,19.73,21.89,01a59231o0279c
59231.395884,21.376,0.633,10,6,c,0,1.85,86.19171,-20.90496,5060.12,5242.83,2.63,2.23,-82.6,-0.39,19.8,21.88,01a59231o0303c
59243.360463,18.919,0.24,98,24,o,0,1.22,86.19171,-20.90496,7397.04,2637.81,2.74,2.41,-70.0,-0.37,18.62,19.08,01a59243o0346o
59243.363702,19.259,0.323,72,23,o,0,1.29,86.19171,-20.90496,7415.35,2676.27,2.76,2.56,82.1,-0.384,18.58,19.07,01a59243o0353o
59243.369242,18.451,0.161,151,24,o,0,1.22,86.19171,-20.90496,7357.13,2598.27,2.62,2.41,-74.2,-0.401,18.57,19.06,01a59243o0365o
59243.380357,18.619,0.227,130,29,o,0,0.72,86.19171,-20.90496,7338.08,2714.82,2.91,2.65,29.9,-0.359,18.48,19.03,01a59243o0389o
59245.34325,18.874,0.183,102,19,o,0,1.29,86.19171,-20.90496,7577.96,9761.14,2.79,2.59,-71.2,-0.414,18.91,19.67,02a59245o0306o
