MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59228.469578,-21.077,0.696,-14,9,c,0,1.47,136.93697,-13.3094,6235.03,9939.86,3.65,3.17,26.0,-0.263,19.43,22.0,01a59228o0314c
59228.471881,-20.968,0.61,-15,9,c,0,1.61,136.93697,-13.3094,6215.96,9901.65,3.38,3.13,-43.3,-0.286,19.45,21.99,01a59228o0319c
59228.474646,-24.356,15.333,-1,10,c,0,1.58,136.93697,-13.3094,6275.59,9979.22,4.23,3.06,1.2,-0.277,19.35,21.98,01a59228o0325c
59228.497546,22.341,2.35,4,10,c,0,1.44,136.93697,-13.3094,4237.26,705.08,3.48,3.35,-30.9,-0.344,19.47,22.01,01a59228o0374c
59230.446598,-21.737,1.2,-7,9,c,0,1.42,136.93697,-13.3094,6545.58,4405.64,2.47,2.42,37.4,-0.398,19.74,21.73,02a59230o0538c
59230.4498,-24.892,17.0,0,7,c,0,2.67,136.93697,-13.3094,6565.52,4443.33,2.47,2.42,41.0,-0.4,19.77,21.76,02a59230o0545c
59230.453002,-21.464,0.838,-9,8,c,0,2.41,136.93697,-13.3094,6507.94,4366.54,2.43,2.34,34.1,-0.403,19.76,21.77,02a59230o0552c
59230.458497,-22.514,2.172,-4,8,c,0,2.08,136.93697,-13.3094,6488.35,4482.65,2.39,2.31,35.5,-0.406,19.81,21.77,02a59230o0564c
59231.434788,-22.141,1.769,-5,9,c,0,1.5,136.93697,-13.3094,6238.63,9940.56,2.68,2.6,-50.9,-0.368,19.67,21.93,01a59231o0387c
59231.438477,23.176,4.071,2,8,c,0,1.75,136.93697,-13.3094,6220.08,9901.41,2.86,2.65,-22.5,-0.357,19.65,21.92,01a59231o0395c
59231.460046,-21.524,0.831,-9,7,c,0,2.9,136.93697,-13.3094,6282.91,9980.17,2.72,2.49,-71.1,-0.371,19.72,22.0,01a59231o0441c
59231.465593,-22.096,1.293,-5,7,c,0,3.17,136.93697,-13.3094,6304.3,9863.95,2.76,2.52,-75.0,-0.365,19.73,22.01,01a59231o0453c
59232.455666,-20.792,0.47,-18,8,c,0,1.82,136.93697,-13.3094,2109.03,6242.58,3.2,2.55,89.5,-0.386,19.64,21.69,01a59232o0432c
59232.458524,-23.231,5.167,-2,10,c,0,1.75,136.93697,-13.3094,2088.77,6203.58,3.17,2.62,86.8,-0.376,19.59,21.69,01a59232o0438c
59232.461313,-21.328,0.836,-11,9,c,0,1.69,136.93697,-13.3094,2148.22,6282.19,3.14,2.72,86.6,-0.379,19.58,21.7,01a59232o0444c
59232.468889,21.014,0.635,14,9,c,0,1.95,136.93697,-13.3094,2169.6,6169.87,3.23,2.84,78.8,-0.375,19.58,21.71,01a59232o0460c
59234.477285,-20.907,2.421,-16,38,c,0,1.67,136.93697,-13.3094,187.45,4168.06,2.44,2.23,-56.6,-0.387,17.62,19.39,02a59234o0366c
59234.484129,-20.936,1.173,-15,18,c,0,1.41,136.93697,-13.3094,168.47,4129.21,2.41,2.22,-56.9,-0.395,18.68,20.56,02a59234o0380c
