MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59228.501694,-20.508,0.566,-23,13,c,0,0.6,128.70378,-6.45535,2664.38,7701.43,4.09,3.21,-6.5,-0.324,19.39,22.0,01a59228o0383c
59228.536256,22.268,1.862,4,8,c,0,1.02,128.70378,-6.45535,2691.53,7736.56,2.99,2.82,-36.7,-0.363,19.63,22.0,01a59228o0455c
59228.542803,22.171,1.821,5,9,c,0,1.2,128.70378,-6.45535,2631.03,7659.68,3.19,2.98,-46.2,-0.367,19.54,21.98,01a59228o0469c
59228.546598,-24.112,11.667,-1,10,c,0,0.77,128.70378,-6.45535,2611.68,7775.12,2.81,2.62,-58.4,-0.368,19.69,22.02,01a59228o0477c
59230.439278,0.0,21.643,0,8,c,0,1.13,128.70378,-6.45535,4797.64,1285.94,2.44,2.35,-64.0,-0.409,19.72,21.72,02a59230o0522c
59230.441108,-21.616,0.869,-8,7,c,0,1.76,128.70378,-6.45535,4817.26,1325.4,2.53,2.4,-64.8,-0.403,19.73,21.69,02a59230o0526c
59230.443855,22.008,1.533,6,9,c,0,0.87,128.70378,-6.45535,4759.72,1247.27,2.45,2.32,-60.1,-0.418,19.75,21.7,02a59230o0532c
59230.449343,21.668,1.155,8,9,c,0,1.02,128.70378,-6.45535,4740.25,1364.05,2.52,2.4,-59.7,-0.41,19.75,21.73,02a59230o0544c
59232.433224,-24.716,22.0,0,10,c,0,1.01,128.70378,-6.45535,3861.67,9365.86,2.95,2.87,22.2,-0.372,19.51,21.63,01a59232o0385c
59232.435068,21.731,1.393,7,10,c,0,0.86,128.70378,-6.45535,3841.33,9326.51,2.82,2.4,-85.4,-0.412,19.66,21.64,01a59232o0389c
59232.455205,-20.734,0.46,-18,8,c,0,1.21,128.70378,-6.45535,3901.65,9405.68,2.93,2.72,-70.6,-0.394,19.59,21.72,01a59232o0431c
59232.475074,-22.741,3.739,-3,11,c,0,0.93,128.70378,-6.45535,6620.96,1267.85,2.58,2.32,89.4,-0.451,19.7,21.73,01a59232o0473c
59234.463808,20.848,2.867,17,48,c,0,0.91,128.70378,-6.45535,5684.4,7322.26,2.59,2.45,43.5,-0.403,17.37,19.16,02a59234o0337c
59234.467075,-19.13,2.645,-81,214,c,0,0.91,128.70378,-6.45535,5665.9,7284.11,2.55,2.42,41.0,-0.399,16.37,18.07,02a59234o0344c
59234.47637,-20.367,2.5,-26,65,c,0,1.56,128.70378,-6.45535,5723.77,7362.46,2.55,2.37,42.8,-0.409,17.3,19.01,02a59234o0364c
59234.487818,-19.606,0.787,-52,41,c,0,1.21,128.70378,-6.45535,5746.36,7249.14,2.55,2.38,44.3,-0.403,18.01,19.78,02a59234o0388c
59244.458557,18.629,0.182,128,23,o,0,0.88,128.70378,-6.45535,4961.34,5163.06,2.29,2.18,-19.0,-0.384,18.73,19.06,01a59244o0556o
59244.46179,18.899,0.217,100,22,o,0,0.96,128.70378,-6.45535,4980.8,5201.52,2.18,2.06,-21.9,-0.378,18.79,19.06,01a59244o0563o
59244.49393,19.116,0.233,82,19,o,0,1.62,128.70378,-6.45535,4931.45,5122.66,2.26,2.21,-56.1,-0.385,18.7,19.01,01a59244o0632o
59244.522454,19.131,0.329,81,27,o,0,0.8,128.70378,-6.45535,4917.95,5239.76,2.2,2.13,-23.5,-0.391,18.65,18.92,01a59244o0693o
59246.463238,18.466,0.116,149,17,o,0,0.94,128.70378,-6.45535,7629.81,7237.03,2.51,2.13,46.3,-0.423,19.16,19.91,02a59246o0568o
59246.466444,18.778,0.15,112,17,o,0,0.92,128.70378,-6.45535,7612.66,7197.43,2.45,2.07,42.3,-0.426,19.13,19.9,02a59246o0575o
59246.472851,19.03,0.191,89,17,o,0,1.09,128.70378,-6.45535,7669.94,7272.75,2.6,2.25,50.4,-0.419,19.08,19.89,02a59246o0589o
59246.48295,19.144,0.208,80,17,o,0,1.0,128.70378,-6.45535,7690.03,7159.53,2.37,2.16,54.8,-0.423,19.14,19.89,02a59246o0611o
59248.482525,18.465,0.079,149,12,o,0,1.61,128.70378,-6.45535,8844.38,4955.37,2.24,2.12,83.1,-0.423,19.47,20.41,01a59248o0491o
59248.489914,18.652,0.09,126,11,o,0,1.3,128.70378,-6.45535,8864.77,4994.94,2.33,2.31,53.4,-0.395,19.4,20.44,01a59248o0507o
59248.493141,18.885,0.143,101,14,o,0,1.09,128.70378,-6.45535,8806.25,4917.54,2.43,2.29,87.7,-0.388,19.25,20.28,01a59248o0514o
59248.506967,18.732,0.098,117,11,o,0,2.23,128.70378,-6.45535,8787.37,5035.88,2.11,1.99,84.1,-0.418,19.39,20.27,01a59248o0544o
59252.4196,18.654,0.072,125,9,c,0,1.11,128.70378,-6.45535,8835.15,4959.85,2.82,2.33,-81.9,-0.423,19.82,21.99,01a59252o0467c
59252.422828,18.509,0.059,143,8,c,0,1.68,128.70378,-6.45535,8855.55,4998.48,2.85,2.41,-82.5,-0.423,19.78,21.98,01a59252o0474c
59252.429282,18.553,0.075,138,10,c,0,0.87,128.70378,-6.45535,8797.45,4920.64,2.83,2.42,-82.6,-0.423,19.74,21.98,01a59252o0488c
59252.439434,18.564,0.08,136,11,c,0,1.14,128.70378,-6.45535,8780.18,5035.23,2.94,2.56,-83.3,-0.406,19.7,22.0,01a59252o0510c
59256.460828,18.544,0.07,139,10,c,0,0.86,128.70378,-6.45535,8265.6,9538.27,2.8,2.65,76.9,-0.327,19.71,22.08,01a59256o0552c
59256.464261,18.618,0.077,130,10,c,0,0.85,128.70378,-6.45535,8283.4,9576.89,2.91,2.68,86.7,-0.313,19.68,22.05,01a59256o0559c
59256.471858,18.802,0.08,109,9,c,0,1.11,128.70378,-6.45535,8226.96,9498.26,2.62,2.47,74.0,-0.339,19.79,22.05,01a59256o0575c
59256.507175,18.648,0.072,126,9,c,0,1.5,128.70378,-6.45535,8215.15,9616.15,2.76,2.59,79.0,-0.328,19.65,21.92,01a59256o0650c
59258.366144,18.605,0.076,131,10,c,0,0.9,128.70378,-6.45535,6924.59,5076.22,2.67,2.47,36.8,-0.391,19.69,21.72,02a59258o0327c
59258.369345,18.801,0.095,110,10,c,0,1.04,128.70378,-6.45535,6947.5,5113.17,2.8,2.67,34.1,-0.385,19.6,21.71,02a59258o0334c
59258.372089,18.751,0.082,115,9,c,0,1.27,128.70378,-6.45535,6890.26,5036.97,2.7,2.56,28.3,-0.395,19.67,21.72,02a59258o0340c
