MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59228.462651,-20.833,0.648,-17,11,c,0,0.9,134.87327,-2.92714,6228.84,9715.02,4.31,3.14,17.1,-0.322,19.34,21.99,01a59228o0299c
59228.464492,22.119,1.538,5,8,c,0,1.33,134.87327,-2.92714,6207.79,9675.95,2.8,2.65,-14.0,-0.337,19.69,22.01,01a59228o0303c
59228.468195,-24.274,11.4,-1,8,c,0,1.42,134.87327,-2.92714,6265.18,9752.64,2.94,2.74,-6.0,-0.325,19.62,22.0,01a59228o0311c
59228.473723,21.088,0.627,13,8,c,0,1.09,134.87327,-2.92714,6284.95,9635.77,2.74,2.67,-68.2,-0.337,19.69,22.0,01a59228o0323c
59230.442479,-23.468,5.3,-2,8,c,0,1.13,134.87327,-2.92714,10239.33,4647.77,2.67,2.52,-59.0,-0.408,19.76,21.67,02a59230o0529c
59230.444313,20.977,0.596,15,9,c,0,1.21,134.87327,-2.92714,10259.54,4686.28,2.68,2.51,-59.3,-0.41,19.74,21.69,02a59230o0533c
59230.447055,24.466,14.5,1,9,c,0,1.06,134.87327,-2.92714,10200.76,4609.55,2.69,2.51,-59.9,-0.408,19.76,21.7,02a59230o0539c
59230.452087,21.256,0.674,11,8,c,0,0.87,134.87327,-2.92714,112.41,4616.88,2.5,2.27,-51.6,-0.371,19.76,21.73,02a59230o0550c
59230.452545,-21.365,0.901,-10,9,c,0,0.95,134.87327,-2.92714,10181.29,4726.45,2.63,2.49,-61.2,-0.416,19.77,21.72,02a59230o0551c
59230.453924,-22.5,2.032,-4,7,c,0,0.95,134.87327,-2.92714,131.94,4654.88,2.43,2.25,-54.4,-0.377,19.79,21.72,02a59230o0554c
59230.456668,-19.002,0.062,-91,6,c,0,1.19,134.87327,-2.92714,73.48,4577.13,2.49,2.29,-52.2,-0.373,19.79,21.74,02a59230o0560c
59230.462156,-18.877,0.059,-102,6,c,0,1.28,134.87327,-2.92714,53.84,4695.48,2.52,2.31,-50.3,-0.374,19.77,21.75,02a59230o0572c
59232.425811,20.532,0.537,22,12,c,0,0.97,134.87327,-2.92714,8525.36,6029.3,3.3,2.56,-87.2,-0.423,19.58,21.57,01a59232o0369c
59232.431838,21.01,0.733,14,10,c,0,1.09,134.87327,-2.92714,8505.7,5989.19,3.29,2.4,-84.4,-0.438,19.62,21.58,01a59232o0382c
59232.435527,-21.025,0.75,-14,11,c,0,1.18,134.87327,-2.92714,8564.09,6066.18,3.24,2.36,-85.6,-0.446,19.6,21.6,01a59232o0390c
59232.456588,21.472,1.066,9,10,c,0,1.08,134.87327,-2.92714,8583.37,5948.79,3.33,2.36,89.6,-0.434,19.68,21.68,01a59232o0434c
59234.46937,-17.508,4.806,-360,1732,c,0,0.92,134.87327,-2.92714,249.9,3963.2,2.47,2.3,-54.2,-0.412,14.74,16.37,02a59234o0349c
59234.473163,0.0,18.363,0,164,c,0,1.13,134.87327,-2.92714,229.26,3924.43,2.37,2.25,-52.5,-0.392,16.9,18.61,02a59234o0357c
59234.478718,17.967,0.46,236,109,c,0,1.15,134.87327,-2.92714,289.2,4004.64,2.36,2.25,-54.7,-0.394,16.89,18.6,02a59234o0369c
59234.485989,20.332,1.277,27,34,c,0,0.96,134.87327,-2.92714,10379.8,3992.73,2.61,2.41,-59.6,-0.423,18.16,19.99,02a59234o0384c
59234.488732,-19.241,0.5,-73,36,c,0,1.32,134.87327,-2.92714,310.02,3887.22,2.43,2.27,-56.5,-0.403,17.86,19.68,02a59234o0390c
59234.48919,-19.512,0.542,-57,31,c,0,1.21,134.87327,-2.92714,10360.51,3955.33,2.62,2.41,-59.3,-0.41,18.08,19.92,02a59234o0391c
59234.496135,-21.741,5.429,-7,40,c,0,1.35,134.87327,-2.92714,10418.49,4037.72,2.63,2.41,-59.2,-0.412,17.59,19.38,02a59234o0405c
59246.465529,19.463,0.224,60,13,o,0,1.46,134.87327,-2.92714,2205.75,3884.01,2.16,1.94,45.5,-0.446,19.17,19.9,02a59246o0573o
59246.468733,19.908,0.425,40,17,o,0,0.88,134.87327,-2.92714,2187.02,3845.29,2.25,2.11,45.6,-0.436,19.14,19.9,02a59246o0580o
59246.477889,19.617,0.29,52,15,o,0,1.19,134.87327,-2.92714,2245.39,3921.33,2.23,2.04,41.8,-0.438,19.15,19.89,02a59246o0600o
59246.489056,19.342,0.2,66,13,o,0,1.61,134.87327,-2.92714,2264.9,3806.0,2.21,2.09,53.9,-0.443,19.13,19.88,02a59246o0624o
59248.507888,18.911,0.113,99,11,o,0,1.11,134.87327,-2.92714,4187.2,8307.15,1.98,1.93,-63.7,-0.414,19.39,20.33,01a59248o0546o
59248.511572,19.35,0.178,66,12,o,0,1.14,134.87327,-2.92714,4206.97,8344.63,1.98,1.94,-38.4,-0.421,19.4,20.33,01a59248o0554o
59248.519395,19.506,0.172,57,10,o,0,1.6,134.87327,-2.92714,4148.31,8268.15,2.02,1.94,-66.5,-0.436,19.39,20.32,01a59248o0571o
59248.529529,19.906,0.335,40,13,o,0,0.85,134.87327,-2.92714,4129.03,8384.48,2.28,2.17,-75.3,-0.423,19.3,20.31,01a59248o0593o
59252.448216,18.34,0.044,167,7,c,0,1.81,134.87327,-2.92714,4180.64,8308.84,2.66,2.4,-74.5,-0.399,19.75,21.98,01a59252o0529c
59252.45144,18.385,0.053,161,8,c,0,1.25,134.87327,-2.92714,4200.71,8347.8,2.57,2.34,-73.0,-0.395,19.77,21.98,01a59252o0536c
59252.457931,18.361,0.056,164,9,c,0,0.89,134.87327,-2.92714,4143.01,8271.34,2.58,2.37,-71.5,-0.395,19.78,21.99,01a59252o0550c
59252.468562,18.318,0.054,171,9,c,0,1.11,134.87327,-2.92714,4125.58,8385.08,2.67,2.48,-71.5,-0.39,19.72,21.99,01a59252o0573c
