MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59229.504416,20.852,0.614,17,10,c,0,1.12,132.66654,13.16878,10114.84,91.99,2.73,2.52,-27.1,-0.33,19.91,21.86,01a59229o0354c
59229.504876,21.842,1.035,7,7,c,0,1.43,132.66654,13.16878,6428.51,10353.64,2.73,2.45,2.0,-0.34,19.81,21.84,01a59229o0355c
59229.517712,-23.191,4.6,-2,9,c,0,1.58,132.66654,13.16878,10137.85,129.68,2.73,2.46,-44.0,-0.345,19.91,21.85,01a59229o0381c
59229.518172,-22.182,1.292,-5,6,c,0,1.23,132.66654,13.16878,6452.57,10391.57,2.41,2.37,87.2,-0.358,19.87,21.82,01a59229o0382c
59229.518632,-21.626,2.054,-8,17,c,0,1.53,132.66654,13.16878,61.58,177.34,2.45,2.16,29.9,-0.424,19.9,21.87,01a59229o0383c
59229.52097,-23.123,3.81,-2,8,c,0,1.02,132.66654,13.16878,6393.8,10315.08,2.38,2.29,-78.1,-0.359,19.9,21.82,01a59229o0388c
59229.533307,-20.777,0.819,-18,14,c,0,1.13,132.66654,13.16878,10082.01,52.26,2.64,2.44,-48.8,-0.338,19.93,21.87,01a59229o0413c
59229.533767,-21.112,0.62,-13,8,c,0,1.01,132.66654,13.16878,6376.72,10430.7,2.39,2.23,-73.5,-0.356,19.87,21.84,01a59229o0414c
59229.541672,-20.393,0.324,-25,8,c,0,1.25,132.66654,13.16878,10063.08,171.44,2.87,2.53,-51.4,-0.33,19.85,21.89,01a59229o0430c
59231.444227,-22.49,1.733,-4,6,c,0,1.89,132.66654,13.16878,2247.45,3945.62,2.39,2.31,40.7,-0.411,19.78,21.67,02a59231o0512c
59231.446064,-22.362,1.97,-4,8,c,0,1.13,132.66654,13.16878,2266.64,3983.22,2.43,2.33,32.4,-0.41,19.76,21.67,02a59231o0516c
59231.448807,23.729,8.444,1,10,c,0,0.73,132.66654,13.16878,2208.51,3905.75,2.47,2.41,53.4,-0.405,19.76,21.69,02a59231o0522c
59231.453863,24.174,11.167,1,9,c,0,0.9,132.66654,13.16878,2188.78,4022.97,2.44,2.43,-62.9,-0.404,19.74,21.7,02a59231o0533c
59233.427677,-21.481,1.016,-9,9,c,0,1.66,132.66654,13.16878,6415.67,6692.56,2.49,2.24,-75.7,-0.382,19.44,21.43,01a59233o0015c
59233.429991,-21.34,0.883,-11,9,c,0,1.05,132.66654,13.16878,6396.64,6653.78,2.55,2.21,-77.3,-0.382,19.54,21.56,01a59233o0020c
59233.435155,-21.411,1.156,-10,11,c,0,1.11,132.66654,13.16878,6455.89,6731.95,2.51,2.23,-86.6,-0.387,19.47,21.44,01a59233o0031c
59233.460256,-22.594,3.474,-3,12,c,0,1.32,132.66654,13.16878,6473.84,6619.44,2.75,2.25,-83.4,-0.399,19.35,21.39,01a59233o0084c
59235.481888,-22.42,1.897,-4,7,c,0,1.86,132.66654,13.16878,1860.34,4667.62,2.39,2.31,42.0,-0.407,19.59,21.57,02a59235o0584c
59235.485113,22.571,2.08,3,7,c,0,1.75,132.66654,13.16878,1841.64,4629.7,2.38,2.29,44.2,-0.412,19.64,21.56,02a59235o0591c
59235.492627,-22.111,2.25,-5,12,c,0,1.16,132.66654,13.16878,1900.48,4706.56,2.45,2.31,64.0,-0.409,19.28,21.44,02a59235o0607c
59235.503437,-20.573,0.55,-21,12,c,0,1.84,132.66654,13.16878,1921.97,4591.44,2.38,2.31,51.3,-0.408,19.15,20.99,02a59235o0628c
59245.474238,19.617,0.346,52,18,o,0,1.16,132.66654,13.16878,8789.8,7797.36,2.26,2.06,83.8,-0.401,19.0,19.41,01a59245o0570o
59245.494422,-21.021,1.331,-14,19,o,0,1.15,132.66654,13.16878,8813.64,7835.36,2.33,2.08,88.5,-0.399,19.0,19.4,01a59245o0612o
59245.507686,21.083,1.235,13,16,o,0,1.26,132.66654,13.16878,8755.98,7758.65,2.17,2.01,85.7,-0.395,19.0,19.35,01a59245o0639o
59245.51046,21.246,1.478,12,17,o,0,1.32,132.66654,13.16878,8737.57,7874.67,2.31,2.13,86.0,-0.4,18.91,19.34,01a59245o0645o
59246.464153,20.314,0.506,27,14,o,0,1.16,132.66654,13.16878,3802.23,4571.4,2.19,1.92,47.1,-0.436,19.24,19.95,02a59246o0570o
59246.467359,21.392,1.517,10,15,o,0,0.87,132.66654,13.16878,3785.01,4530.89,2.35,2.05,44.1,-0.428,19.17,19.94,02a59246o0577o
59246.475138,-22.922,5.783,-2,14,o,0,1.16,132.66654,13.16878,3842.45,4608.17,2.25,1.96,41.9,-0.433,19.19,19.92,02a59246o0594o
59246.485308,20.265,0.52,28,15,o,0,1.14,132.66654,13.16878,3861.09,4491.95,2.29,1.99,45.1,-0.438,19.19,19.89,02a59246o0616o
59249.605253,19.292,0.248,70,17,o,0,0.97,132.66654,13.16878,2554.39,7638.58,2.34,2.26,-52.3,-0.38,19.08,19.91,01a59249o0069o
59249.608489,19.72,1.014,47,48,o,0,0.75,132.66654,13.16878,2573.51,7675.86,2.31,2.2,-65.7,-0.399,18.81,19.76,01a59249o0076o
59251.429825,19.09,0.114,84,10,c,0,1.1,132.66654,13.16878,6496.36,8641.34,2.53,2.47,35.9,-0.411,19.75,21.61,02a59251o0406c
59251.433034,18.955,0.102,95,10,c,0,1.25,132.66654,13.16878,6477.05,8603.45,2.55,2.48,48.0,-0.412,19.71,21.63,02a59251o0413c
59251.446117,18.881,0.088,102,9,c,0,1.56,132.66654,13.16878,6533.26,8682.0,2.54,2.49,61.6,-0.409,19.74,21.65,02a59251o0440c
59251.459383,19.032,0.108,89,10,c,0,1.3,132.66654,13.16878,6553.07,8565.38,2.59,2.48,-68.0,-0.417,19.57,21.76,02a59251o0468c
59252.484897,18.723,0.072,118,8,c,0,1.33,132.66654,13.16878,2551.32,7636.37,2.7,2.35,-78.6,-0.39,19.73,21.84,01a59252o0608c
59252.488782,18.838,0.094,106,10,c,0,1.24,132.66654,13.16878,2570.78,7675.34,3.01,2.68,-79.7,-0.38,19.58,21.84,01a59252o0616c
59252.511577,18.862,0.085,104,9,c,0,1.54,132.66654,13.16878,2516.95,7599.48,2.6,2.31,-80.2,-0.387,19.77,21.83,01a59252o0664c
59252.529375,19.244,0.121,73,9,c,0,1.11,132.66654,13.16878,2496.51,7714.94,2.93,2.58,-77.1,-0.37,19.58,21.82,01a59252o0702c
59253.380366,18.682,0.082,122,10,c,0,1.46,132.66654,13.16878,8014.75,2937.61,3.39,3.14,-13.2,-0.357,19.51,21.79,01a59253o0334c
59253.382671,18.663,0.085,124,10,c,0,1.03,132.66654,13.16878,7996.12,2899.09,2.84,2.76,-49.3,-0.398,19.66,21.8,01a59253o0339c
59253.385437,18.753,0.082,114,9,c,0,1.38,132.66654,13.16878,8054.28,2977.15,2.88,2.74,-72.7,-0.393,19.66,21.8,01a59253o0345c
59253.410426,18.532,0.065,140,9,c,0,1.46,132.66654,13.16878,8072.03,2862.56,2.74,2.71,-22.6,-0.389,19.69,21.82,01a59253o0395c
59255.417571,18.391,0.064,160,10,c,0,1.35,132.66654,13.16878,6498.81,8647.05,2.66,2.48,36.4,-0.397,19.73,21.73,02a59255o0439c
59255.44538,18.302,0.057,174,10,c,0,1.47,132.66654,13.16878,6474.76,8607.32,2.69,2.45,42.4,-0.397,19.76,21.76,02a59255o0497c
59255.448488,18.31,0.06,172,10,c,0,1.0,132.66654,13.16878,6537.25,8688.33,2.71,2.47,42.9,-0.396,19.73,21.76,02a59255o0503c
59255.453924,18.477,0.073,148,11,c,0,1.3,132.66654,13.16878,6557.31,8572.05,2.71,2.43,40.4,-0.397,19.79,21.74,02a59255o0513c
59257.421718,18.263,0.05,180,9,c,0,0.98,132.66654,13.16878,2093.97,2045.3,2.36,2.25,34.4,-0.402,19.83,21.94,01a59257o0464c
59257.437925,18.25,0.046,182,8,c,0,1.42,132.66654,13.16878,2116.14,2079.41,2.42,2.31,32.4,-0.395,19.81,21.97,01a59257o0497c
59257.443453,18.412,0.056,157,9,c,0,1.16,132.66654,13.16878,2058.93,2002.96,2.47,2.38,24.8,-0.388,19.81,21.97,01a59257o0509c
59257.448118,18.331,0.054,169,9,c,0,1.04,132.66654,13.16878,2040.93,2119.21,2.54,2.45,12.1,-0.385,19.77,21.96,01a59257o0519c
59261.360889,18.17,0.046,196,9,c,0,1.25,132.66654,13.16878,8433.25,8549.39,2.36,2.24,67.6,-0.356,19.89,21.84,01a59261o0321c
59261.363652,18.162,0.042,197,8,c,0,1.77,132.66654,13.16878,8413.91,8509.04,2.35,2.27,67.4,-0.362,19.92,21.83,01a59261o0327c
59261.366414,18.212,0.043,188,8,c,0,1.41,132.66654,13.16878,8472.69,8586.7,2.43,2.31,65.4,-0.349,19.86,21.84,01a59261o0333c
59261.371985,18.167,0.042,196,8,c,0,1.29,132.66654,13.16878,8492.3,8469.47,2.41,2.31,50.2,-0.347,19.87,21.87,01a59261o0345c
59263.42437,-17.496,1.02,-364,372,c,0,1.45,132.66654,13.16878,9987.9,2859.32,2.51,2.31,-52.7,-0.397,15.99,17.54,02a59263o0181c
59263.42757,-18.5,1.203,-144,174,c,0,1.1,132.66654,13.16878,9970.19,2821.95,2.56,2.34,-49.9,-0.394,16.57,18.18,02a59263o0188c
59263.434213,17.357,0.721,414,298,c,0,1.08,132.66654,13.16878,10029.45,2900.6,2.51,2.37,-53.1,-0.397,16.14,17.73,02a59263o0201c
59263.445475,17.49,2.127,366,779,c,0,0.94,132.66654,13.16878,10051.66,2784.75,2.49,2.38,-36.7,-0.392,15.33,17.05,02a59263o0225c
59265.393686,17.076,1.219,536,654,o,0,1.13,132.66654,13.16878,4813.52,6111.08,1.96,1.91,-87.3,-0.417,15.09,15.05,01a59265o0248o
59265.402199,-19.8,2.563,-44,112,o,0,1.41,132.66654,13.16878,4835.54,6149.1,1.9,1.84,-80.8,-0.403,16.82,16.85,01a59265o0265o
59265.406876,-18.628,0.844,-128,108,o,0,1.02,132.66654,13.16878,4777.54,6070.95,1.92,1.9,-66.2,-0.401,16.9,16.97,01a59265o0275o
59265.423869,18.067,0.813,215,175,o,0,0.9,132.66654,13.16878,4761.55,6183.93,2.14,2.08,-10.1,-0.375,16.51,16.7,01a59265o0311o
59266.450028,-14.674,0.648,-4900,3177,o,0,1.44,132.66654,13.16878,2220.75,6411.87,2.4,1.95,38.5,-0.395,13.28,13.35,02a59266o0504o
59267.331999,18.565,0.118,136,16,o,0,0.71,132.66654,13.16878,8364.4,4148.98,2.1,1.99,41.9,-0.423,19.24,19.88,02a59267o0248o
59267.334285,18.338,0.091,168,15,o,0,0.69,132.66654,13.16878,8383.94,4186.41,2.13,2.01,32.8,-0.42,19.21,20.0,02a59267o0253o
59267.33703,18.541,0.095,139,13,o,0,1.66,132.66654,13.16878,8326.44,4110.65,2.18,2.02,30.3,-0.416,19.26,20.02,02a59267o0259o
59267.361388,18.321,0.073,170,12,o,0,1.36,132.66654,13.16878,8310.37,4226.74,2.19,1.99,34.6,-0.416,19.25,19.98,02a59267o0305o
59276.387654,19.207,0.163,75,12,o,0,1.22,132.66654,13.16878,8242.54,2201.27,2.25,1.99,-81.7,-0.42,19.54,20.35,01a59276o0384o
59276.39088,18.889,0.127,101,13,o,0,1.19,132.66654,13.16878,8262.4,2239.6,2.36,2.07,-82.5,-0.421,19.47,20.33,01a59276o0391o
59276.397329,18.864,0.122,103,13,o,0,1.17,132.66654,13.16878,8205.33,2161.51,2.26,2.0,-75.7,-0.425,19.49,20.33,01a59276o0405o
59276.408387,18.864,0.114,103,12,o,0,1.37,132.66654,13.16878,8188.27,2276.21,2.35,2.05,-79.1,-0.419,19.45,20.28,01a59276o0429o
59277.365927,18.904,0.081,100,8,c,0,1.28,132.66654,13.16878,8234.81,2209.64,2.41,2.32,-54.4,-0.4,20.0,21.77,01a59277o0323c
59277.372415,18.942,0.093,96,9,c,0,1.08,132.66654,13.16878,8255.31,2247.21,2.39,2.3,-60.6,-0.395,19.98,21.78,01a59277o0334c
59277.384499,19.201,0.107,76,8,c,0,0.7,132.66654,13.16878,8199.1,2166.75,2.43,2.26,-78.3,-0.391,19.92,21.64,01a59277o0358c
59277.387641,19.021,0.095,90,8,c,0,1.06,132.66654,13.16878,8181.24,2284.16,2.47,2.31,-65.7,-0.392,19.9,21.53,01a59277o0364c
59287.327005,19.472,0.158,59,9,c,0,1.35,132.66654,13.16878,6127.42,103.27,2.67,2.3,-61.5,-0.401,19.64,21.56,02a59287o0221c
