MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59242.309914,24.237,30.6,1,22,o,0,1.44,52.20062,0.9187,626.06,1139.77,2.68,2.14,-52.5,-0.462,18.7,19.17,02a59242o0239o
59242.314081,21.579,2.825,8,24,o,0,1.07,52.20062,0.9187,607.42,1102.7,2.73,2.21,-51.0,-0.435,18.66,19.16,02a59242o0248o
59242.320945,19.486,0.545,58,32,o,0,1.02,52.20062,0.9187,666.98,1179.73,2.96,2.5,-55.8,-0.456,18.5,19.08,02a59242o0263o
59242.335642,-21.071,2.195,-14,30,o,0,1.05,52.20062,0.9187,688.2,1060.92,2.78,2.32,-53.6,-0.454,18.51,18.99,02a59242o0295o
59244.28266,20.442,0.715,24,17,o,0,1.01,52.20062,0.9187,1811.4,1042.13,2.36,2.06,86.8,-0.434,19.14,19.85,01a59244o0176o
59244.285882,-20.457,0.566,-24,14,o,0,1.55,52.20062,0.9187,1830.46,1082.6,2.03,1.83,70.4,-0.462,19.22,19.83,01a59244o0183o
59244.292826,-21.362,1.254,-10,13,o,0,1.35,52.20062,0.9187,1772.52,1004.19,2.03,1.82,69.0,-0.462,19.24,19.8,01a59244o0198o
59244.304352,-20.618,0.7,-20,14,o,0,2.14,52.20062,0.9187,1754.68,1121.3,2.13,1.95,69.3,-0.448,19.13,19.74,01a59244o0223o
59246.264977,21.432,1.304,10,13,o,0,1.13,52.20062,0.9187,628.12,1142.26,2.58,1.84,-51.8,-0.477,19.67,21.17,02a59246o0137o
59246.268182,21.165,0.944,12,12,o,0,1.47,52.20062,0.9187,608.34,1105.14,2.38,1.87,-53.1,-0.48,19.69,21.08,02a59246o0144o
59246.273691,23.238,6.071,2,11,o,0,1.19,52.20062,0.9187,668.65,1184.26,2.6,1.97,-50.2,-0.469,19.61,21.04,02a59246o0156o
59246.287912,20.899,0.653,16,10,o,0,1.36,52.20062,0.9187,689.64,1064.42,2.56,1.93,-51.5,-0.473,19.63,21.02,02a59246o0187o
59248.348679,-22.427,2.194,-4,8,c,0,1.15,52.20062,0.9187,5707.0,844.43,2.35,2.27,-62.0,-0.401,19.68,21.56,01a59248o0258c
59248.358819,-21.308,0.774,-11,8,c,0,1.92,52.20062,0.9187,5725.88,886.68,2.57,2.48,-80.0,-0.389,19.54,21.5,01a59248o0280c
59248.373594,24.949,24.667,0,9,c,0,1.5,52.20062,0.9187,5669.22,810.79,2.5,2.45,-67.4,-0.384,19.54,21.4,01a59248o0312c
59248.382001,22.601,3.6,3,12,c,0,1.52,52.20062,0.9187,5648.8,931.89,3.35,3.28,-76.5,-0.332,19.2,21.26,01a59248o0330c
59252.293822,-22.598,1.943,-3,6,c,0,2.49,52.20062,0.9187,5708.25,840.45,2.22,2.17,-49.2,-0.406,19.82,21.71,01a59252o0195c
59252.297968,-23.945,8.4,-1,8,c,0,1.41,52.20062,0.9187,5728.31,880.24,2.24,2.17,-75.4,-0.404,19.79,21.7,01a59252o0204c
59252.304425,-25.172,27.333,0,8,c,0,1.16,52.20062,0.9187,5669.19,804.62,2.31,2.22,-54.4,-0.416,19.73,21.7,01a59252o0218c
59252.314609,-22.392,2.333,-4,9,c,0,1.22,52.20062,0.9187,5649.81,922.65,2.49,2.42,60.5,-0.416,19.61,21.66,01a59252o0240c
