MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59238.472611,-20.416,0.818,-25,20,o,0,2.74,124.55379,10.89025,3492.63,10440.44,2.47,2.3,-56.8,-0.413,19.13,20.0,02a59238o0003o
59238.475429,22.5,8.4,4,30,o,0,15.31,124.55379,10.89025,3470.06,10399.6,2.38,2.08,-55.4,-0.434,19.17,19.94,02a59238o0007o
59238.480923,-19.496,0.34,-58,20,o,0,8.14,124.55379,10.89025,3524.94,10479.47,2.31,1.91,-53.6,-0.427,19.24,19.96,02a59238o0019o
59238.491084,22.492,4.469,4,16,o,0,1.95,124.55379,10.89025,3543.23,10361.82,2.43,1.92,-53.0,-0.428,19.2,19.93,02a59238o0041o
59245.448767,-20.292,0.552,-28,15,o,0,2.12,124.55379,10.89025,7098.03,2057.05,2.25,2.19,-26.8,-0.412,19.1,19.57,01a59245o0516o
59245.464077,-19.79,0.314,-44,14,o,0,2.67,124.55379,10.89025,7120.97,2095.36,2.21,2.06,-78.1,-0.419,19.11,19.57,01a59245o0548o
59245.467765,-19.537,0.314,-56,18,o,0,1.71,124.55379,10.89025,7064.18,2017.29,2.19,2.05,-75.2,-0.417,19.1,19.56,01a59245o0556o
59245.475241,-20.809,0.833,-17,14,o,0,2.21,124.55379,10.89025,7045.1,2134.9,2.14,1.98,-74.0,-0.423,19.13,19.55,01a59245o0572o
59246.450733,22.61,4.889,3,16,o,0,2.33,124.55379,10.89025,5425.12,10346.48,2.38,2.08,-52.9,-0.439,19.25,20.02,02a59246o0541o
59246.45119,-19.566,0.285,-54,15,o,0,3.29,124.55379,10.89025,9041.82,153.82,2.36,1.72,-53.3,-0.437,19.22,20.01,02a59246o0542o
59246.453512,-19.819,0.386,-43,17,o,0,1.93,124.55379,10.89025,5406.4,10307.97,2.34,2.13,-57.6,-0.428,19.23,20.01,02a59246o0547o
59246.453969,20.994,1.038,14,15,o,0,3.54,124.55379,10.89025,9022.97,114.42,2.45,1.81,-52.3,-0.437,19.19,20.01,02a59246o0548o
59246.459102,-21.055,1.263,-14,17,o,0,1.86,124.55379,10.89025,5463.74,10386.74,2.32,2.12,-56.1,-0.437,19.23,20.01,02a59246o0559o
59246.45956,-19.231,0.2,-74,15,o,0,3.98,124.55379,10.89025,9081.97,193.62,2.3,1.73,-52.8,-0.454,19.23,20.0,02a59246o0560o
