MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59234.45143,-20.183,21.5,-31,660,c,0,1.01,123.4546,-12.11599,5652.14,6525.89,2.54,2.4,39.9,-0.403,15.39,17.14,02a59234o0310c
59234.457399,-21.292,13.25,-11,146,c,0,1.51,123.4546,-12.11599,5633.2,6485.92,2.64,2.5,41.7,-0.389,16.37,18.2,02a59234o0323c
59234.4606,0.0,17.204,0,477,c,0,0.8,123.4546,-12.11599,5691.78,6565.78,2.57,2.44,42.1,-0.399,15.33,17.05,02a59234o0330c
59234.472242,-17.635,0.573,-321,184,c,0,0.73,123.4546,-12.11599,5713.01,6450.71,2.52,2.34,41.2,-0.402,16.81,18.46,02a59234o0355c
59238.497075,-20.407,0.718,-25,18,o,0,0.95,123.4546,-12.11599,5654.5,6534.21,2.35,2.21,53.2,-0.428,19.1,19.9,02a59238o0054o
59238.504973,20.816,1.014,17,17,o,0,1.29,123.4546,-12.11599,5631.38,6493.49,2.29,2.07,47.8,-0.437,19.11,19.9,02a59238o0071o
59238.508181,23.596,11.818,1,16,o,0,1.45,123.4546,-12.11599,5692.32,6572.77,2.26,2.14,66.5,-0.436,19.13,19.89,02a59238o0078o
59241.393807,-20.543,1.225,-22,27,o,0,1.52,123.4546,-12.11599,4941.83,4060.91,2.6,1.9,34.6,-0.437,18.43,18.53,02a59241o0002o
59241.395637,-19.145,1.352,-80,108,o,0,0.87,123.4546,-12.11599,4937.29,4062.32,2.37,1.85,32.7,-0.436,17.02,17.47,02a59241o0006o
59241.401124,-18.875,2.445,-102,250,o,0,1.4,123.4546,-12.11599,4877.73,3983.82,2.29,2.03,28.9,-0.434,16.57,17.17,02a59241o0018o
59243.439822,-19.539,0.464,-56,26,o,0,1.22,123.4546,-12.11599,5011.21,5956.89,2.48,2.25,-85.4,-0.356,18.45,18.74,01a59243o0518o
59243.443048,23.783,24.571,1,27,o,0,1.49,123.4546,-12.11599,5030.77,5994.53,2.95,2.77,79.3,-0.338,18.25,18.73,01a59243o0525o
59243.449962,-20.513,1.416,-23,32,o,0,0.79,123.4546,-12.11599,4974.09,5916.96,3.42,2.26,-86.4,-0.323,18.28,18.73,01a59243o0540o
59243.484046,24.649,54.75,0,28,o,0,1.24,123.4546,-12.11599,4962.31,6033.68,2.53,2.46,7.2,-0.369,18.33,18.67,01a59243o0613o
59244.44748,-19.838,0.419,-42,18,o,0,1.4,123.4546,-12.11599,5005.41,5959.1,2.2,2.12,-27.5,-0.369,18.82,19.18,01a59244o0532o
59244.450704,-21.12,1.6,-13,21,o,0,0.76,123.4546,-12.11599,5025.47,5997.85,2.26,2.16,-56.1,-0.377,18.78,19.17,01a59244o0539o
59244.456713,20.206,0.66,30,20,o,0,1.19,123.4546,-12.11599,4968.19,5920.2,2.41,2.13,-69.1,-0.364,18.76,19.16,01a59244o0552o
59244.49209,-20.888,1.22,-16,20,o,0,1.61,123.4546,-12.11599,4956.67,6035.44,2.17,2.13,-67.1,-0.391,18.77,19.06,01a59244o0628o
59246.445237,-19.933,0.332,-39,13,o,0,1.63,123.4546,-12.11599,7597.81,6436.96,2.39,2.15,50.6,-0.425,19.16,19.92,02a59246o0529o
59246.448896,20.757,0.944,18,17,o,0,1.14,123.4546,-12.11599,7578.44,6397.54,2.43,2.11,48.0,-0.424,19.04,19.87,02a59246o0537o
59246.454426,20.017,0.441,36,16,o,0,1.17,123.4546,-12.11599,7638.03,6476.47,2.39,2.15,48.9,-0.424,19.15,19.93,02a59246o0549o
59246.46461,-20.508,0.628,-23,14,o,0,1.25,123.4546,-12.11599,7657.63,6361.1,2.31,2.11,55.1,-0.429,19.18,19.89,02a59246o0571o
59248.481147,-20.529,0.613,-22,14,o,0,0.91,123.4546,-12.11599,8882.74,5758.9,2.26,2.09,85.8,-0.418,19.47,20.34,01a59248o0488o
59248.486693,20.475,0.496,23,12,o,0,1.47,123.4546,-12.11599,8902.57,5798.78,2.23,2.06,78.2,-0.41,19.47,20.37,01a59248o0500o
59248.490835,-21.81,2.051,-7,14,o,0,1.02,123.4546,-12.11599,8844.31,5721.48,2.46,2.26,89.9,-0.401,19.37,20.35,01a59248o0509o
59248.500978,-20.672,1.128,-20,22,o,0,0.62,123.4546,-12.11599,8824.65,5838.52,2.41,2.11,87.7,-0.424,19.22,20.17,01a59248o0531o
