MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59242.331954,-19.185,0.369,-77,28,o,0,1.41,70.04882,-13.22754,8471.99,4285.07,2.61,2.44,-68.3,-0.406,18.5,18.97,02a59242o0287o
59242.337486,-19.172,0.291,-78,23,o,0,1.84,70.04882,-13.22754,8452.99,4247.65,2.39,2.28,-81.0,-0.425,18.62,19.02,02a59242o0299o
59242.343438,-19.466,0.373,-59,22,o,0,1.62,70.04882,-13.22754,8510.66,4325.66,2.34,2.25,-80.1,-0.407,18.62,19.03,02a59242o0312o
59242.356296,-21.088,1.713,-13,23,o,0,1.83,70.04882,-13.22754,8531.67,4209.57,2.6,2.46,-74.4,-0.394,18.49,18.94,02a59242o0340o
59244.324255,-20.994,1.23,-14,18,o,0,1.01,70.04882,-13.22754,4141.51,8114.73,2.26,2.14,-76.1,-0.428,19.05,19.66,01a59244o0266o
59244.327476,-19.011,0.19,-90,17,o,0,1.35,70.04882,-13.22754,4160.74,8153.66,2.37,2.21,-50.1,-0.407,18.99,19.65,01a59244o0273o
59244.332595,22.118,3.531,5,18,o,0,1.7,70.04882,-13.22754,4103.44,8076.43,2.44,2.04,-78.2,-0.409,19.01,19.63,01a59244o0284o
59244.344736,15.891,0.048,1598,77,o,0,9.96,70.04882,-13.22754,4084.39,8192.74,2.42,2.1,-66.4,-0.408,18.97,19.57,01a59244o0310o
59245.340501,-19.769,0.343,-45,15,o,0,2.08,70.04882,-13.22754,8468.04,4284.06,2.29,2.2,-88.6,-0.408,19.02,19.72,02a59245o0300o
59245.344621,-21.373,1.915,-10,20,o,0,1.54,70.04882,-13.22754,8452.36,4250.08,2.47,2.42,-81.0,-0.404,18.94,19.7,02a59245o0309o
59245.357049,-20.637,0.892,-20,18,o,0,1.87,70.04882,-13.22754,8511.39,4329.11,2.28,2.19,68.5,-0.407,19.0,19.62,02a59245o0336o
59245.364839,-20.198,0.539,-30,16,o,0,2.04,70.04882,-13.22754,8531.6,4210.95,2.37,2.3,-87.3,-0.4,18.92,19.56,02a59245o0353o
59246.316036,22.65,6.944,3,22,o,0,2.08,70.04882,-13.22754,8475.82,4285.84,2.18,2.08,-81.9,-0.424,18.75,19.82,02a59246o0248o
59246.319294,-21.929,1.963,-6,12,o,0,2.01,70.04882,-13.22754,8456.45,4247.43,2.2,2.12,-86.9,-0.423,19.43,20.6,02a59246o0255o
59246.325255,-20.934,1.0,-15,15,o,0,1.89,70.04882,-13.22754,8514.19,4325.03,2.23,2.09,-73.0,-0.424,19.35,20.38,02a59246o0268o
59246.339489,-20.033,0.328,-35,12,o,0,2.45,70.04882,-13.22754,8534.88,4209.72,2.16,2.07,77.5,-0.421,19.31,20.22,02a59246o0299o
59248.341302,-21.946,1.434,-6,9,c,0,2.7,70.04882,-13.22754,7996.84,7908.18,2.55,2.32,82.4,-0.377,19.8,21.87,01a59248o0242c
59248.344533,-20.476,0.339,-23,8,c,0,2.69,70.04882,-13.22754,8016.83,7947.52,2.68,2.38,88.0,-0.376,19.75,21.85,01a59248o0249c
59248.354667,-22.367,2.057,-4,8,c,0,2.27,70.04882,-13.22754,7959.53,7870.03,2.61,2.32,88.1,-0.375,19.79,21.83,01a59248o0271c
59248.36758,-21.382,0.894,-10,9,c,0,2.29,70.04882,-13.22754,7942.45,7987.28,2.89,2.82,-70.8,-0.342,19.58,21.76,01a59248o0299c
59252.321105,19.55,0.174,55,10,c,0,2.78,70.04882,-13.22754,7997.15,7909.43,2.7,2.37,-85.7,-0.379,19.75,21.89,01a59252o0254c
59252.326631,-19.856,0.196,-41,8,c,0,2.05,70.04882,-13.22754,8017.48,7948.63,2.6,2.29,-85.0,-0.391,19.79,21.85,01a59252o0266c
59252.330336,21.187,0.733,12,9,c,0,2.65,70.04882,-13.22754,7958.59,7870.98,2.66,2.33,-83.9,-0.387,19.74,21.83,01a59252o0274c
59252.342358,-19.644,0.243,-50,12,c,0,1.63,70.04882,-13.22754,7939.1,7988.32,3.74,3.57,80.7,-0.312,19.32,21.74,01a59252o0300c
59256.322239,19.506,0.167,57,10,c,0,2.26,70.04882,-13.22754,1840.05,2337.76,2.46,2.32,77.2,-0.392,19.74,21.8,01a59256o0254c
