MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59245.552303,21.132,1.294,13,17,o,0,1.67,216.88679,15.5249,5077.95,7288.2,2.1,1.98,-61.8,-0.415,18.99,19.4,01a59245o0731o
59245.557378,21.2,1.419,12,17,o,0,1.29,216.88679,15.5249,5059.86,7249.06,2.1,1.98,-64.0,-0.412,19.01,19.43,01a59245o0742o
59245.570218,20.553,0.668,22,15,o,0,2.12,216.88679,15.5249,5118.19,7326.23,1.99,1.88,-45.5,-0.415,19.08,19.48,01a59245o0768o
59245.573449,20.669,0.708,20,14,o,0,2.26,216.88679,15.5249,5138.07,7211.96,2.0,1.92,-38.1,-0.421,19.09,19.5,01a59245o0775o
59246.555935,21.661,2.222,8,18,o,0,1.74,216.88679,15.5249,3491.76,1423.93,2.03,1.88,49.6,-0.467,18.95,19.4,02a59246o0769o
59246.563623,20.052,0.521,35,18,o,0,2.19,216.88679,15.5249,3512.45,1464.61,2.0,1.96,66.4,-0.462,18.95,19.44,02a59246o0785o
59246.56684,20.53,0.81,22,18,o,0,1.37,216.88679,15.5249,3455.81,1384.46,1.93,1.89,58.0,-0.484,19.0,19.45,02a59246o0792o
59246.577837,19.534,0.374,56,21,o,0,1.15,216.88679,15.5249,3437.64,1501.04,2.07,1.96,42.9,-0.457,18.98,19.49,02a59246o0816o
59251.610204,22.716,4.444,3,13,o,0,0.94,216.88679,15.5249,1036.99,7521.52,2.23,1.98,-46.5,-0.452,19.59,20.95,02a59251o0748o
59251.612491,20.905,0.704,16,11,o,0,2.04,216.88679,15.5249,1056.55,7560.87,2.1,1.86,-46.4,-0.464,19.61,20.95,02a59251o0753o
59251.615237,21.454,1.128,10,11,o,0,2.09,216.88679,15.5249,998.31,7482.67,2.13,1.89,-46.2,-0.46,19.66,20.95,02a59251o0759o
59251.621091,-20.537,0.528,-22,12,o,0,1.17,216.88679,15.5249,978.51,7598.98,2.16,1.93,-45.9,-0.457,19.63,20.97,02a59251o0771o
59251.67281,22.463,4.579,4,17,o,0,1.97,216.88679,15.5249,9566.64,3023.34,2.12,1.93,-53.5,-0.436,19.0,19.42,02a59251o0873o
59253.577183,20.1,0.212,33,7,c,0,2.62,216.88679,15.5249,1216.4,7516.34,2.52,2.21,-80.9,-0.408,19.81,22.04,01a59253o0735c
59253.579023,19.529,0.145,56,8,c,0,2.04,216.88679,15.5249,1197.14,7478.21,2.55,2.27,-79.7,-0.404,19.79,22.04,01a59253o0739c
59253.582709,20.538,0.328,22,7,c,0,2.32,216.88679,15.5249,1254.52,7552.97,2.46,2.2,-89.0,-0.416,19.72,22.12,01a59253o0747c
59253.589754,20.025,0.201,36,7,c,0,1.48,216.88679,15.5249,1276.67,7441.07,2.55,2.31,-77.7,-0.398,19.77,22.04,01a59253o0760c
59255.55424,20.563,0.377,22,8,c,0,2.32,216.88679,15.5249,1033.11,7517.12,2.53,2.45,-23.3,-0.405,19.71,21.96,02a59255o0717c
59255.562143,21.329,0.811,11,9,c,0,1.35,216.88679,15.5249,1051.39,7556.93,2.58,2.49,-11.7,-0.402,19.72,22.0,02a59255o0734c
59255.566321,22.278,2.0,4,9,c,0,1.94,216.88679,15.5249,993.46,7478.08,2.59,2.49,-31.6,-0.399,19.75,22.02,02a59255o0743c
59255.571353,-18.84,0.083,-106,9,c,0,13.76,216.88679,15.5249,973.73,7595.99,2.58,2.5,-22.9,-0.403,19.73,22.02,02a59255o0754c
59257.509729,19.73,0.164,47,8,c,0,2.01,216.88679,15.5249,1278.94,2940.79,2.69,2.52,60.7,-0.378,19.7,22.05,01a59257o0646c
59257.512503,19.253,0.102,72,7,c,0,2.11,216.88679,15.5249,1258.12,2903.66,2.43,2.32,70.6,-0.392,19.8,22.06,01a59257o0652c
59257.547915,19.336,0.115,67,8,c,0,2.23,216.88679,15.5249,1318.45,2983.44,2.37,2.3,48.7,-0.393,19.85,22.11,01a59257o0724c
