MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59243.563326,-21.488,2.312,-9,21,o,0,1.46,196.34904,29.5096,2502.25,4833.26,2.26,2.2,-17.1,-0.422,18.71,19.15,02a59243o0282o
59243.569616,-21.366,2.2,-10,23,o,0,1.23,196.34904,29.5096,2525.05,4872.65,2.2,2.14,-74.5,-0.436,18.66,19.09,02a59243o0295o
59243.573649,-21.148,2.153,-13,27,o,0,0.89,196.34904,29.5096,2460.08,4796.72,2.14,2.12,-69.0,-0.457,18.79,19.14,02a59243o0303o
59243.579815,20.709,1.2,19,23,o,0,1.18,196.34904,29.5096,2447.5,4910.56,2.48,2.43,4.8,-0.419,18.67,19.24,02a59243o0316o
59245.517404,-20.312,0.639,-27,17,o,0,1.85,196.34904,29.5096,6088.27,3876.68,2.07,2.01,-17.5,-0.398,18.91,19.23,01a59245o0658o
59245.51927,-20.906,1.179,-16,19,o,0,1.43,196.34904,29.5096,6066.3,3834.65,2.06,2.0,-51.2,-0.401,18.89,19.23,01a59245o0662o
59245.526237,20.347,0.741,26,20,o,0,0.73,196.34904,29.5096,6124.03,3913.19,2.11,2.03,-58.7,-0.402,18.93,19.26,01a59245o0677o
59245.545699,20.641,0.887,20,18,o,0,1.61,196.34904,29.5096,6145.22,3798.01,2.14,2.06,-17.3,-0.396,18.94,19.32,01a59245o0717o
59251.606829,-19.751,0.243,-46,11,o,0,1.64,196.34904,29.5096,8887.47,9838.91,2.49,2.05,-57.1,-0.437,19.71,21.1,02a59251o0741o
59251.63822,-20.824,0.681,-17,12,o,0,1.38,196.34904,29.5096,8863.94,9801.59,2.68,2.29,-55.7,-0.415,19.59,21.03,02a59251o0805o
59251.641422,21.624,1.328,8,11,o,0,1.82,196.34904,29.5096,8923.76,9880.49,2.61,2.13,-56.9,-0.427,19.64,21.05,02a59251o0812o
59251.646925,21.643,1.365,8,11,o,0,3.23,196.34904,29.5096,8942.79,9765.24,2.5,2.09,-54.7,-0.434,19.7,21.04,02a59251o0824o
59253.373031,22.285,5.286,4,23,c,0,1.1,196.34904,29.5096,2190.59,4075.63,6.36,5.95,85.2,-0.183,18.54,21.21,01a59253o0319c
59253.408618,19.989,0.295,37,11,c,0,1.46,196.34904,29.5096,2166.27,4037.6,3.3,2.76,83.8,-0.376,19.47,21.71,01a59253o0392c
59253.42776,22.057,1.714,6,9,c,0,1.46,196.34904,29.5096,2218.91,4117.52,2.98,2.64,83.7,-0.398,19.59,21.85,01a59253o0430c
59253.453133,21.856,1.265,7,8,c,0,1.85,196.34904,29.5096,2246.04,4007.17,2.76,2.46,86.7,-0.407,19.73,22.0,01a59253o0479c
59255.526083,-21.823,1.102,-7,8,c,0,1.91,196.34904,29.5096,1696.34,730.81,2.55,2.41,-86.7,-0.41,19.8,22.03,02a59255o0659c
59255.527913,21.87,1.104,6,7,c,0,2.03,196.34904,29.5096,1718.19,770.83,2.52,2.38,-86.6,-0.414,19.77,22.04,02a59255o0663c
59255.530662,-20.658,0.34,-20,7,c,0,2.58,196.34904,29.5096,1659.09,690.48,2.57,2.42,-86.2,-0.406,19.78,22.05,02a59255o0669c
59255.535772,25.319,32.0,0,9,c,0,2.19,196.34904,29.5096,1641.09,808.04,2.52,2.39,79.1,-0.414,19.79,22.05,02a59255o0680c
59257.58062,22.389,1.774,4,7,c,0,1.62,196.34904,29.5096,9550.35,799.41,2.84,2.53,-38.1,-0.352,19.88,22.23,01a59257o0790c
59257.585228,20.667,0.389,20,8,c,0,1.98,196.34904,29.5096,9570.15,836.14,2.8,2.56,-44.8,-0.359,19.85,22.24,01a59257o0799c
