MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59245.610381,-23.756,13.286,-1,15,o,0,1.41,242.02594,25.48373,5199.66,6235.03,2.0,1.94,-27.8,-0.396,19.18,19.73,01a59245o0854o
59245.613612,20.17,0.454,31,14,o,0,2.0,242.02594,25.48373,5181.43,6200.55,2.04,1.93,-27.3,-0.399,19.21,19.76,01a59245o0861o
59245.619134,21.061,0.892,14,12,o,0,2.25,242.02594,25.48373,5240.61,6278.39,2.0,1.95,-38.2,-0.401,19.26,19.79,01a59245o0873o
59245.629306,-22.84,5.387,-3,14,o,0,0.87,242.02594,25.48373,5261.26,6161.93,2.07,1.99,37.3,-0.385,19.23,19.84,01a59245o0895o
59253.593445,-20.906,0.661,-16,10,c,0,1.32,242.02594,25.48373,1332.43,6468.52,2.82,2.43,-86.3,-0.393,19.72,22.0,01a59253o0768c
59253.596235,21.61,1.063,8,9,c,0,1.74,242.02594,25.48373,1313.83,6429.43,2.75,2.48,-86.5,-0.398,19.75,22.01,01a59253o0774c
59253.602681,-23.621,6.0,-1,8,c,0,2.59,242.02594,25.48373,1373.7,6509.67,2.6,2.35,-81.8,-0.406,19.8,22.01,01a59253o0788c
59253.612443,-21.498,0.987,-9,9,c,0,1.7,242.02594,25.48373,1394.68,6392.54,2.57,2.31,-87.9,-0.41,19.79,21.97,01a59253o0809c
59255.58608,21.355,0.933,10,10,c,0,1.67,242.02594,25.48373,10404.11,8543.28,3.33,3.21,26.3,-0.348,19.51,22.04,02a59255o0786c
59255.589293,-21.779,1.219,-7,9,c,0,2.23,242.02594,25.48373,10424.06,8582.19,3.22,3.09,22.3,-0.37,19.63,22.06,02a59255o0793c
59255.595727,21.841,1.516,7,10,c,0,1.56,242.02594,25.48373,10363.38,8505.45,3.22,3.11,24.0,-0.355,19.63,22.07,02a59255o0807c
59255.597099,-21.327,0.807,-11,9,c,0,1.79,242.02594,25.48373,193.12,8554.07,3.04,2.76,-45.5,-0.374,19.54,22.01,02a59255o0810c
59255.600333,-21.245,0.724,-12,8,c,0,1.6,242.02594,25.48373,212.54,8593.48,2.72,2.48,-43.0,-0.395,19.67,22.03,02a59255o0817c
59255.605829,-21.476,0.774,-9,7,c,0,2.5,242.02594,25.48373,151.29,8513.51,2.69,2.47,-39.9,-0.394,19.68,22.03,02a59255o0829c
59255.606287,-20.792,0.462,-18,8,c,0,2.11,242.02594,25.48373,10344.26,8623.75,3.02,2.87,27.3,-0.368,19.65,22.06,02a59255o0830c
59255.616412,21.887,1.326,6,8,c,0,1.35,242.02594,25.48373,130.84,8630.84,2.59,2.34,-44.5,-0.42,19.7,22.02,02a59255o0852c
59257.628399,19.708,0.182,48,9,c,0,2.33,242.02594,25.48373,2147.99,1895.67,2.44,2.38,48.8,-0.399,19.81,22.18,01a59257o0887c
59257.631625,20.376,0.343,26,9,c,0,2.13,242.02594,25.48373,2128.21,1857.94,2.43,2.37,29.5,-0.4,19.83,22.18,01a59257o0894c
59257.656959,21.078,0.589,14,8,c,0,2.64,242.02594,25.48373,2187.38,1937.56,2.37,2.35,49.9,-0.397,19.81,21.95,01a59257o0944c
59257.666938,20.343,0.616,26,16,c,0,1.11,242.02594,25.48373,2204.61,1822.46,2.42,2.36,50.7,-0.393,19.17,20.21,01a59257o0964c
59261.573021,18.282,0.059,177,10,c,0,1.28,242.02594,25.48373,2153.73,1893.05,2.51,2.41,22.4,-0.392,19.78,21.98,01a59261o0755c
59261.576731,18.397,0.069,159,11,c,0,1.81,242.02594,25.48373,2133.91,1853.5,2.34,2.26,25.1,-0.398,19.81,22.0,01a59261o0763c
59261.582275,18.479,0.063,147,9,c,0,2.12,242.02594,25.48373,2193.9,1930.85,2.38,2.27,20.6,-0.393,19.85,22.02,01a59261o0775c
59261.592444,18.43,0.064,154,10,c,0,1.63,242.02594,25.48373,2213.2,1815.34,2.39,2.28,24.7,-0.391,19.84,22.04,01a59261o0797c
59263.590992,18.873,0.5,102,51,c,0,1.07,242.02594,25.48373,7315.69,4221.31,2.54,2.37,39.3,-0.392,17.78,19.55,02a59263o0513c
59263.601387,-16.485,0.91,-924,841,c,0,1.17,242.02594,25.48373,7270.49,4184.84,2.69,2.37,36.0,-0.397,14.9,16.52,02a59263o0534c
59267.630878,17.558,0.033,344,11,c,0,1.19,242.02594,25.48373,8027.2,613.52,2.5,2.2,-60.9,-0.408,19.8,21.97,02a59267o0841c
59267.634422,17.61,0.031,328,10,c,0,2.37,242.02594,25.48373,8046.67,653.14,2.52,2.24,-62.9,-0.405,19.82,21.97,02a59267o0848c
59267.637178,17.672,0.038,310,12,c,0,1.75,242.02594,25.48373,7990.06,576.34,2.63,2.33,-61.2,-0.399,19.73,21.96,02a59267o0854c
59267.645516,17.59,0.03,334,10,c,0,2.42,242.02594,25.48373,7969.41,697.53,2.53,2.3,-58.0,-0.402,19.77,22.01,02a59267o0870c
59269.522846,17.645,0.06,318,19,o,0,1.74,242.02594,25.48373,2518.4,7995.24,2.28,2.11,-76.7,-0.411,19.06,19.75,01a59269o0668o
59269.526534,17.667,0.061,311,19,o,0,1.77,242.02594,25.48373,2500.29,7953.29,2.26,2.12,-82.4,-0.415,19.09,19.79,01a59269o0676o
59269.53299,17.582,0.054,337,18,o,0,1.8,242.02594,25.48373,2559.53,8032.52,2.41,2.25,-78.9,-0.41,19.04,19.83,01a59269o0690o
59269.543137,17.602,0.044,330,15,o,0,1.96,242.02594,25.48373,2581.89,7914.91,2.22,2.03,-81.1,-0.413,19.16,19.89,01a59269o0712o
59277.587715,17.907,0.051,250,13,o,0,4.55,242.02594,25.48373,6084.34,1677.44,2.12,1.99,-70.9,-0.426,19.47,20.29,01a59277o0694o
59277.589605,17.901,0.051,251,13,o,0,1.41,242.02594,25.48373,6065.34,1639.18,2.05,1.94,-68.6,-0.426,19.5,20.29,01a59277o0698o
59277.606057,17.932,0.058,244,14,o,0,1.52,242.02594,25.48373,6123.91,1716.26,2.11,2.01,-76.2,-0.433,19.48,20.32,01a59277o0730o
59277.609763,17.926,0.055,245,14,o,0,1.82,242.02594,25.48373,6142.45,1598.76,2.16,2.07,-71.0,-0.43,19.46,20.33,01a59277o0738o
59291.54545,19.408,0.153,63,10,c,0,1.45,242.02594,25.48373,5783.12,244.25,2.35,2.13,-77.6,-0.43,19.78,21.79,02a59291o0456c
59291.551697,19.19,0.113,77,9,c,0,2.34,242.02594,25.48373,5794.87,283.98,2.55,2.31,56.8,-0.39,19.68,21.81,02a59291o0467c
59291.553984,19.059,0.143,86,12,c,0,2.15,242.02594,25.48373,5740.86,203.34,2.7,2.51,-74.0,-0.4,19.67,21.8,02a59291o0472c
59291.554442,19.099,0.129,83,11,c,0,1.62,242.02594,25.48373,2285.6,10440.45,2.78,2.4,-52.6,-0.419,19.66,21.82,02a59291o0473c
59291.556336,19.449,0.239,60,14,c,0,1.29,242.02594,25.48373,2303.52,10480.15,2.51,2.17,-50.2,-0.428,19.79,21.83,02a59291o0477c
59291.559397,19.24,0.157,73,12,c,0,1.46,242.02594,25.48373,5724.67,323.13,2.41,2.23,-74.9,-0.41,19.78,21.79,02a59291o0483c
59291.559854,19.13,0.119,81,10,c,0,1.75,242.02594,25.48373,2247.56,10399.92,2.57,2.23,-51.2,-0.43,19.77,21.82,02a59291o0484c
59291.568695,18.014,0.381,226,86,c,0,0.42,242.02594,25.48373,2225.11,10517.59,2.79,2.37,-49.2,-0.409,19.71,21.83,02a59291o0502c
59293.492565,18.669,0.079,124,10,o,0,2.18,242.02594,25.48373,3663.48,3919.94,2.14,1.96,23.7,-0.401,19.76,21.09,01a59293o0460o
59293.517894,18.469,0.062,149,9,o,0,3.45,242.02594,25.48373,3641.2,3882.79,2.12,1.96,9.4,-0.407,19.81,21.16,01a59293o0513o
59293.521023,18.538,0.084,140,12,o,0,1.45,242.02594,25.48373,3697.67,3959.94,1.88,1.78,-86.0,-0.422,19.9,21.17,01a59293o0519o
59293.526129,18.606,0.067,131,9,o,0,3.53,242.02594,25.48373,3717.61,3844.55,1.89,1.85,79.5,-0.426,19.88,21.18,01a59293o0530o
59297.549189,18.79,0.103,111,11,o,0,2.85,242.02594,25.48373,5599.41,3811.78,2.12,2.06,-84.5,-0.398,19.5,20.42,01a59297o0550o
59297.562356,19.053,0.113,87,10,o,0,2.47,242.02594,25.48373,5579.9,3774.06,2.06,2.02,-74.7,-0.405,19.63,20.65,01a59297o0575o
59297.56558,18.846,0.086,105,9,o,0,4.71,242.02594,25.48373,5638.38,3850.52,2.0,1.96,-45.4,-0.408,19.7,20.79,01a59297o0582o
59297.571171,18.783,0.098,111,11,o,0,1.98,242.02594,25.48373,5657.31,3735.02,1.97,1.95,-80.1,-0.409,19.84,21.0,01a59297o0594o
59299.513446,19.177,0.187,77,14,o,0,1.75,242.02594,25.48373,2200.51,8475.72,2.01,1.93,5.8,-0.441,19.05,19.6,02a59299o0629o
59299.518965,18.961,0.172,95,16,o,0,1.84,242.02594,25.48373,2224.55,8513.47,2.01,1.97,-3.4,-0.436,19.1,19.66,02a59299o0639o
