MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59245.509067,21.091,1.301,13,17,o,0,0.95,137.17782,13.10359,7164.61,7937.37,2.07,1.98,-86.2,-0.41,18.97,19.29,01a59245o0642o
59245.514404,-20.366,0.715,-26,18,o,0,1.36,137.17782,13.10359,7184.47,7975.85,2.16,2.06,-84.8,-0.414,18.9,19.27,01a59245o0652o
59245.539567,-20.406,0.74,-25,18,o,0,1.05,137.17782,13.10359,7132.13,7900.71,2.2,2.1,-73.3,-0.412,18.87,19.21,01a59245o0705o
59245.564748,-20.263,0.618,-28,18,o,0,2.05,137.17782,13.10359,7117.95,8017.34,2.09,2.0,-73.6,-0.417,18.84,19.12,01a59245o0757o
59246.478347,-22.845,5.04,-3,13,o,0,1.48,137.17782,13.10359,5425.91,4446.39,2.27,1.91,43.1,-0.434,19.19,19.88,02a59246o0601o
59246.481549,-20.942,0.87,-15,13,o,0,1.37,137.17782,13.10359,5407.11,4407.81,2.42,2.0,43.1,-0.424,19.14,19.88,02a59246o0608o
59246.486679,-21.8,2.172,-7,15,o,0,0.96,137.17782,13.10359,5465.02,4485.39,2.28,1.96,44.7,-0.433,19.16,19.87,02a59246o0619o
59246.49824,22.7,4.962,3,15,o,0,1.19,137.17782,13.10359,5483.97,4369.73,2.41,1.99,44.3,-0.431,19.11,19.83,02a59246o0644o
59249.487742,-16.144,0.712,-1266,902,o,0,0.67,137.17782,13.10359,929.8,7804.07,2.14,1.97,-85.6,-0.408,15.16,15.25,01a59249o0052o
59249.603406,-21.992,2.339,-6,14,o,0,1.98,137.17782,13.10359,938.77,7803.63,2.1,2.04,-61.2,-0.396,19.27,20.09,01a59249o0065o
59249.606647,20.939,1.007,15,15,o,0,1.08,137.17782,13.10359,878.95,7724.44,2.31,2.17,-89.2,-0.391,19.19,20.09,01a59249o0072o
59249.612171,24.023,22.714,1,20,o,0,1.49,137.17782,13.10359,858.75,7839.79,2.39,2.21,-75.5,-0.389,19.02,19.83,01a59249o0084o
59251.447039,21.316,0.867,11,9,c,0,1.27,137.17782,13.10359,7977.85,8528.76,2.62,2.52,47.4,-0.405,19.72,21.62,02a59251o0442c
59251.46334,-25.999,64.0,0,9,c,0,1.27,137.17782,13.10359,7957.52,8491.05,2.62,2.53,47.6,-0.405,19.77,21.64,02a59251o0476c
59251.474018,-21.106,0.963,-13,13,c,0,0.88,137.17782,13.10359,8017.13,8571.6,2.81,2.57,-62.6,-0.412,19.35,21.68,02a59251o0499c
59251.477158,-24.804,19.333,0,8,c,0,1.57,137.17782,13.10359,8036.35,8453.97,2.6,2.56,73.0,-0.403,19.74,21.64,02a59251o0505c
59252.478705,-20.795,0.426,-18,7,c,0,1.76,137.17782,13.10359,912.28,7768.15,2.63,2.29,-80.9,-0.395,19.74,21.79,01a59252o0595c
59252.484437,21.981,1.6,6,9,c,0,1.22,137.17782,13.10359,932.16,7805.21,2.85,2.49,-79.0,-0.381,19.66,21.79,01a59252o0607c
59252.488192,22.743,3.444,3,10,c,0,1.44,137.17782,13.10359,873.54,7728.36,3.08,2.9,-66.3,-0.363,19.53,21.79,01a59252o0615c
59252.49811,21.198,0.772,12,9,c,0,1.19,137.17782,13.10359,855.59,7844.35,2.84,2.52,-80.5,-0.38,19.66,21.79,01a59252o0636c
59253.37443,-20.884,0.592,-16,10,c,0,1.17,137.17782,13.10359,9653.09,2818.02,2.82,2.32,87.6,-0.397,19.71,21.76,01a59253o0322c
59253.377604,23.057,4.0,2,9,c,0,1.5,137.17782,13.10359,9633.01,2779.69,2.9,2.46,-82.8,-0.403,19.7,21.72,01a59253o0328c
59253.380828,21.646,1.38,8,11,c,0,0.92,137.17782,13.10359,9690.91,2857.82,3.25,2.68,-86.0,-0.371,19.61,21.73,01a59253o0335c
59253.409505,21.976,1.523,6,9,c,0,1.3,137.17782,13.10359,9710.58,2741.16,2.82,2.57,-71.4,-0.383,19.77,21.76,01a59253o0393c
59255.447573,22.372,2.074,4,8,c,0,1.46,137.17782,13.10359,7978.3,8534.18,2.79,2.52,42.7,-0.392,19.76,21.73,02a59255o0501c
