MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59251.582836,-21.957,1.431,-6,9,o,0,1.24,189.3509,23.09354,5229.38,7514.4,2.14,1.95,42.2,-0.444,19.69,21.04,02a59251o0694o
59251.587141,23.335,4.625,2,8,o,0,1.99,189.3509,23.09354,5209.71,7476.91,2.16,1.98,42.9,-0.437,19.71,21.06,02a59251o0703o
59251.594405,21.299,0.912,11,10,o,0,1.53,189.3509,23.09354,5266.13,7554.21,2.26,1.96,41.8,-0.436,19.69,21.07,02a59251o0717o
59251.604941,-22.205,1.848,-5,9,o,0,1.8,189.3509,23.09354,5287.75,7442.27,2.17,1.94,41.2,-0.44,19.68,21.03,02a59251o0737o
59253.49003,-21.279,0.528,-11,6,c,0,1.75,189.3509,23.09354,3477.59,1813.86,2.38,2.31,66.6,-0.416,19.82,22.09,01a59253o0555c
59253.506209,-20.995,0.51,-14,7,c,0,1.14,189.3509,23.09354,3450.99,1775.78,2.33,2.23,77.9,-0.426,19.86,22.1,01a59253o0589c
59253.513249,-21.374,0.704,-10,7,c,0,1.28,189.3509,23.09354,3513.69,1855.5,2.35,2.32,29.0,-0.413,19.82,22.09,01a59253o0603c
59253.527329,-22.005,1.2,-6,7,c,0,1.23,189.3509,23.09354,3531.45,1740.31,2.28,2.18,72.6,-0.417,19.87,22.1,01a59253o0632c
59255.490572,-21.544,0.672,-9,6,c,0,1.91,189.3509,23.09354,5352.46,3044.61,2.58,2.39,46.2,-0.393,19.74,21.9,02a59255o0588c
59255.492862,19.894,0.173,40,7,c,0,56.67,189.3509,23.09354,5371.18,3083.47,2.58,2.37,49.1,-0.398,19.77,21.92,02a59255o0593c
59255.500507,-20.511,0.349,-23,8,c,0,0.92,189.3509,23.09354,5320.41,3005.31,2.54,2.34,47.0,-0.399,19.81,21.97,02a59255o0608c
59255.508906,21.857,1.17,7,8,c,0,1.09,189.3509,23.09354,5292.03,3123.33,2.61,2.42,45.4,-0.394,19.75,21.96,02a59255o0624c
59257.510656,-21.763,0.899,-7,6,c,0,1.97,189.3509,23.09354,7143.8,7420.46,2.44,2.31,-85.8,-0.381,19.89,22.16,01a59257o0648c
59257.512963,-21.27,0.641,-11,7,c,0,1.2,189.3509,23.09354,7125.23,7381.62,2.46,2.43,-76.8,-0.369,19.84,22.17,01a59257o0653c
59257.515725,20.898,0.479,16,8,c,0,1.7,189.3509,23.09354,7183.05,7459.85,2.7,2.6,-70.4,-0.365,19.72,22.22,01a59257o0659c
59257.520774,-21.688,0.944,-8,7,c,0,1.05,189.3509,23.09354,7200.92,7342.68,2.48,2.35,-79.3,-0.381,19.86,22.15,01a59257o0669c
59261.490572,21.644,0.744,8,6,c,0,1.76,189.3509,23.09354,7144.73,7416.83,2.29,2.17,-86.3,-0.386,19.89,21.97,01a59261o0585c
59261.492514,-21.696,0.825,-8,6,c,0,1.53,189.3509,23.09354,7126.09,7376.78,2.3,2.25,79.2,-0.38,19.88,21.94,01a59261o0589c
59261.495742,22.087,1.545,5,8,c,0,0.98,189.3509,23.09354,7184.64,7455.34,2.3,2.28,28.2,-0.382,19.88,21.95,01a59261o0596c
59261.500809,26.408,62.0,0,6,c,0,1.85,189.3509,23.09354,7203.92,7339.61,2.38,2.25,-76.2,-0.384,19.89,21.96,01a59261o0607c
59263.498089,-18.771,2.222,-113,250,c,0,0.82,189.3509,23.09354,5152.95,8899.85,2.57,2.39,36.2,-0.384,15.87,17.6,02a59263o0326c
59263.501323,19.714,0.67,47,32,c,0,1.12,189.3509,23.09354,5097.45,8820.47,2.5,2.38,37.8,-0.397,18.39,20.19,02a59263o0332c
59263.506366,-20.897,1.683,-16,27,c,0,1.34,189.3509,23.09354,5078.43,8937.37,2.49,2.38,39.8,-0.4,18.96,20.82,02a59263o0343c
59267.542314,18.93,0.108,97,10,c,0,0.92,189.3509,23.09354,6173.51,5296.78,2.72,2.48,44.1,-0.387,19.48,21.16,02a59267o0664c
59267.545681,19.081,0.1,85,8,c,0,1.23,189.3509,23.09354,6154.09,5258.13,2.63,2.38,44.0,-0.393,19.59,21.27,02a59267o0671c
59267.580422,19.331,0.142,67,10,c,0,0.82,189.3509,23.09354,6207.2,5336.67,2.68,2.45,45.3,-0.393,19.75,21.91,02a59267o0744c
59267.58589,17.505,0.033,361,12,c,0,32.26,189.3509,23.09354,6227.61,5221.95,2.66,2.4,43.7,-0.393,19.79,21.9,02a59267o0754c
59269.416279,18.675,0.144,123,18,o,0,1.19,189.3509,23.09354,6125.13,3352.9,2.34,2.23,-77.2,-0.388,19.07,19.71,01a59269o0437o
59269.41906,18.69,0.135,121,16,o,0,1.06,189.3509,23.09354,6106.61,3318.47,2.32,2.2,-76.3,-0.398,19.08,19.73,01a59269o0443o
59269.421844,18.407,0.094,157,15,o,0,1.19,189.3509,23.09354,6165.03,3393.45,2.34,2.23,-77.6,-0.397,19.07,19.75,01a59269o0449o
59269.431993,18.713,0.134,119,16,o,0,1.02,189.3509,23.09354,6185.3,3275.89,2.2,2.06,-80.2,-0.412,19.19,19.8,01a59269o0471o
59277.45336,17.635,0.039,321,12,o,0,1.4,189.3509,23.09354,1115.85,7269.79,2.17,1.97,-74.3,-0.425,19.45,20.35,01a59277o0483o
59277.456933,17.886,0.06,254,15,o,0,1.32,189.3509,23.09354,1097.91,7231.27,2.35,2.28,-55.8,-0.42,19.3,20.46,01a59277o0490o
59277.459947,17.661,0.039,313,12,o,0,2.0,189.3509,23.09354,1154.94,7307.68,2.1,1.87,-81.7,-0.426,19.5,20.33,01a59277o0496o
59277.468856,17.701,0.046,302,14,o,0,1.05,189.3509,23.09354,1173.56,7189.63,2.25,2.02,-76.9,-0.422,19.4,20.35,01a59277o0514o
59291.440861,17.963,0.038,237,9,c,0,1.8,189.3509,23.09354,2139.3,4858.99,2.35,2.23,45.9,-0.414,19.83,21.79,02a59291o0244c
