MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59250.252624,-20.562,0.583,-22,13,c,0,1.08,42.06716,50.7989,8190.49,5851.8,2.74,2.31,-86.6,-0.404,19.71,21.72,01a59250o0108c
59250.25585,-21.579,1.208,-8,10,c,0,3.07,42.06716,50.7989,8212.57,5891.93,2.58,2.37,-86.0,-0.389,19.71,21.73,01a59250o0115c
59250.260963,-21.53,1.227,-9,11,c,0,2.16,42.06716,50.7989,8154.54,5817.03,2.54,2.47,-77.9,-0.372,19.74,21.75,01a59250o0126c
59250.271605,22.4,2.969,4,12,c,0,1.64,42.06716,50.7989,8137.22,5935.19,2.69,2.38,-82.0,-0.391,19.73,21.76,01a59250o0149c
59252.293319,-21.44,1.479,-10,14,c,0,2.84,42.06716,50.7989,1366.02,10429.35,2.67,1.97,-49.0,-0.48,19.69,21.43,02a59252o0191c
59252.296987,23.696,12.222,1,15,c,0,1.41,42.06716,50.7989,1348.74,10389.68,2.61,1.99,-49.7,-0.476,19.64,21.41,02a59252o0199c
59252.303406,20.08,0.611,34,21,c,0,1.32,42.06716,50.7989,1403.62,10465.41,2.69,2.04,-49.6,-0.479,19.62,21.38,02a59252o0213c
59252.306638,-24.918,40.333,0,16,c,0,0.88,42.06716,50.7989,7007.12,169.98,2.51,2.2,-61.0,-0.433,19.62,21.35,02a59252o0220c
59252.310306,-21.492,1.406,-9,13,c,0,1.29,42.06716,50.7989,6986.95,127.87,2.54,2.21,-58.8,-0.438,19.66,21.33,02a59252o0228c
59252.316265,21.112,1.041,13,14,c,0,1.53,42.06716,50.7989,1427.29,10342.13,2.55,1.99,-50.2,-0.487,19.62,21.32,02a59252o0241c
59252.31718,22.575,4.0,3,14,c,0,1.16,42.06716,50.7989,7048.36,206.96,2.45,2.13,-61.0,-0.443,19.65,21.31,02a59252o0243c
59252.330463,-24.884,34.333,0,14,c,0,1.44,42.06716,50.7989,7071.12,86.9,2.57,2.19,-54.4,-0.425,19.56,21.21,02a59252o0272c
59254.229894,-23.198,5.353,-2,10,c,0,2.43,42.06716,50.7989,8188.36,5850.51,2.61,2.22,-84.6,-0.404,19.73,21.58,01a59254o0055c
59254.23362,-22.78,4.167,-3,12,c,0,1.76,42.06716,50.7989,8208.63,5888.2,2.65,2.27,-85.9,-0.404,19.71,21.61,01a59254o0063c
59254.238746,20.58,0.505,21,11,c,0,1.9,42.06716,50.7989,8151.92,5815.71,2.49,2.41,-80.8,-0.374,19.76,21.64,01a59254o0074c
59254.24856,-22.082,2.128,-5,11,c,0,1.9,42.06716,50.7989,8135.16,5933.18,2.93,2.46,-83.9,-0.383,19.62,21.66,01a59254o0095c
59256.224359,23.067,8.875,2,19,c,0,1.66,42.06716,50.7989,1384.77,10440.67,2.75,2.01,-51.8,-0.472,19.52,20.99,02a59256o0039c
59256.227616,22.477,4.536,4,17,c,0,1.22,42.06716,50.7989,1366.36,10402.7,2.72,2.02,-50.9,-0.461,19.64,21.24,02a59256o0046c
