MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59253.623678,21.542,0.904,9,8,c,0,1.46,248.29826,9.5672,5885.1,6109.96,2.66,2.4,86.7,-0.372,19.66,21.66,01a59253o0832c
59253.627252,-21.399,0.895,-10,9,c,0,1.02,248.29826,9.5672,5860.0,6070.88,2.68,2.28,-82.4,-0.39,19.69,21.66,01a59253o0839c
59253.63607,-22.019,1.519,-6,9,c,0,0.77,248.29826,9.5672,5918.4,6147.74,2.58,2.24,-81.2,-0.385,19.73,21.64,01a59253o0857c
59253.642835,20.862,0.6,16,10,c,0,1.18,248.29826,9.5672,5938.45,6030.64,2.77,2.34,-83.0,-0.385,19.64,21.61,01a59253o0870c
59255.60262,22.733,3.75,3,11,c,0,1.35,248.29826,9.5672,2451.65,8911.54,2.91,2.81,-40.4,-0.374,19.55,21.79,02a59255o0822c
59255.609063,21.766,1.5,7,11,c,0,0.93,248.29826,9.5672,2468.75,8949.7,2.71,2.68,-18.4,-0.379,19.62,21.79,02a59255o0836c
59255.612752,22.387,2.56,4,10,c,0,1.11,248.29826,9.5672,2410.82,8871.63,2.72,2.64,-41.9,-0.379,19.59,21.8,02a59255o0844c
59255.624257,-22.206,2.267,-5,11,c,0,0.86,248.29826,9.5672,2384.83,8989.42,2.7,2.63,-44.0,-0.385,19.64,21.78,02a59255o0869c
59257.640932,-20.325,0.319,-27,9,c,0,1.34,248.29826,9.5672,10073.24,1542.87,2.91,2.65,-52.0,-0.358,19.73,21.89,01a59257o0913c
59257.646803,-22.296,2.031,-4,9,c,0,1.17,248.29826,9.5672,10054.04,1504.58,2.86,2.57,-54.7,-0.362,19.78,21.88,01a59257o0925c
59257.650219,-22.132,1.895,-5,10,c,0,1.05,248.29826,9.5672,10112.6,1582.63,2.83,2.56,-56.8,-0.364,19.75,21.85,01a59257o0932c
59257.665062,-20.179,0.482,-31,15,c,0,0.93,248.29826,9.5672,10135.01,1461.32,2.91,2.65,-49.5,-0.356,19.28,20.48,01a59257o0961c
59258.600734,21.35,0.879,10,9,c,0,1.58,248.29826,9.5672,2759.91,4545.85,2.95,2.75,45.8,-0.382,19.48,21.49,02a59258o0831c
59258.603939,22.024,1.71,6,10,c,0,1.57,248.29826,9.5672,2778.87,4584.8,2.95,2.76,41.8,-0.383,19.48,21.5,02a59258o0838c
59258.609441,21.511,0.983,9,9,c,0,1.31,248.29826,9.5672,2720.5,4506.51,2.76,2.54,39.6,-0.386,19.57,21.51,02a59258o0850c
59258.621346,24.292,14.25,1,10,c,0,1.08,248.29826,9.5672,2701.2,4623.02,2.91,2.72,38.4,-0.385,19.52,21.57,02a59258o0876c
59261.58504,21.711,1.089,8,8,c,0,1.59,248.29826,9.5672,10076.14,1549.8,2.79,2.52,-59.2,-0.365,19.73,21.75,01a59261o0781c
59261.590595,20.929,0.603,15,9,c,0,0.99,248.29826,9.5672,10057.28,1508.4,2.77,2.53,-60.8,-0.368,19.72,21.77,01a59261o0793c
59261.593829,21.268,0.933,11,10,c,0,0.91,248.29826,9.5672,10116.41,1586.4,2.68,2.44,-65.3,-0.379,19.77,21.77,01a59261o0800c
59261.607239,-21.436,0.934,-10,9,c,0,1.04,248.29826,9.5672,10140.88,1470.38,2.73,2.53,-25.5,-0.355,19.77,21.81,01a59261o0829c
59262.62653,22.01,1.833,6,10,c,0,0.72,248.29826,9.5672,2764.04,4545.85,2.73,2.28,39.5,-0.384,19.7,21.58,02a59262o0894c
59262.62974,-21.444,0.921,-10,9,c,0,0.98,248.29826,9.5672,2783.17,4584.66,2.54,2.25,38.9,-0.397,19.69,21.58,02a59262o0901c
59262.648613,22.571,2.63,3,9,c,0,0.94,248.29826,9.5672,2725.73,4507.75,2.55,2.27,37.5,-0.393,19.68,21.6,02a59262o0942c
59262.657801,-21.389,0.837,-10,8,c,0,1.33,248.29826,9.5672,2707.37,4623.5,2.55,2.27,33.9,-0.395,19.65,21.48,02a59262o0962c
59268.572453,22.193,3.312,5,16,o,0,0.88,248.29826,9.5672,3577.84,7661.23,2.78,2.55,-72.3,-0.413,19.12,20.35,01a59268o0764o
59268.576368,21.109,1.143,13,15,o,0,0.97,248.29826,9.5672,3560.87,7624.48,2.73,2.51,-87.6,-0.41,19.15,20.44,01a59268o0772o
59268.582358,23.061,4.889,2,11,o,0,1.38,248.29826,9.5672,3620.9,7701.68,2.46,2.33,-56.9,-0.413,19.32,20.64,01a59268o0785o
59268.592552,21.351,0.868,10,9,o,0,1.34,248.29826,9.5672,3642.57,7585.46,2.23,2.11,-37.1,-0.411,19.62,21.11,01a59268o0807o
59269.534831,20.757,1.297,18,23,o,0,0.8,248.29826,9.5672,3570.41,7652.95,2.75,2.58,-86.5,-0.406,18.73,19.55,01a59269o0694o
59269.538062,20.366,0.797,26,21,o,0,1.12,248.29826,9.5672,3552.53,7615.56,2.59,2.44,-87.8,-0.402,18.84,19.57,01a59269o0701o
59269.545447,20.125,0.466,32,15,o,0,1.31,248.29826,9.5672,3612.11,7692.07,2.18,2.04,-72.6,-0.419,19.02,19.65,01a59269o0717o
59269.560239,-22.656,7.043,-3,22,o,0,0.79,248.29826,9.5672,3636.78,7578.5,2.6,2.49,-78.1,-0.405,18.91,19.75,01a59269o0749o
59270.589257,19.917,0.514,39,20,o,0,1.18,248.29826,9.5672,6914.57,952.51,2.42,2.28,-27.8,-0.408,18.91,19.65,02a59270o0241o
59270.593401,20.444,0.73,24,18,o,0,1.27,248.29826,9.5672,6933.63,991.94,2.31,2.18,-31.0,-0.419,18.96,19.67,02a59270o0250o
59270.598891,20.384,0.704,26,18,o,0,1.12,248.29826,9.5672,6875.39,914.05,2.41,2.29,-21.3,-0.424,18.9,19.69,02a59270o0262o
59270.609902,19.556,0.338,55,18,o,0,0.91,248.29826,9.5672,6856.59,1031.9,2.2,2.13,-2.1,-0.426,19.02,19.77,02a59270o0286o
59277.615558,18.676,0.136,123,17,o,0,0.71,248.29826,9.5672,3831.49,1357.17,2.24,2.19,15.7,-0.42,19.22,19.99,01a59277o0750o
59277.6174,18.732,0.128,117,15,o,0,1.17,248.29826,9.5672,3811.25,1317.8,2.25,2.19,35.9,-0.427,19.24,19.99,01a59277o0754o
59277.622851,18.512,0.1,143,14,o,0,1.13,248.29826,9.5672,3870.36,1396.21,2.22,2.12,22.0,-0.412,19.25,19.96,01a59277o0765o
59277.649263,18.685,0.105,122,13,o,0,1.36,248.29826,9.5672,3886.09,1278.48,2.13,2.04,15.0,-0.42,19.26,19.9,01a59277o0816o
59277.660545,18.567,0.183,136,25,o,0,1.04,248.29826,9.5672,3847.93,1337.59,2.55,2.46,-20.6,-0.431,18.71,19.07,01a59277o0837o
59280.59308,18.338,0.067,168,11,o,0,1.32,248.29826,9.5672,7905.36,7950.37,2.2,2.08,-88.7,-0.403,19.59,20.66,01a59280o0804o
59280.594922,18.299,0.068,174,12,o,0,0.96,248.29826,9.5672,7886.81,7910.57,2.19,2.01,-83.6,-0.406,19.61,20.67,01a59280o0808o
59280.606084,18.398,0.07,159,11,o,0,0.92,248.29826,9.5672,7949.46,7984.05,2.23,2.01,-75.5,-0.402,19.63,20.75,01a59280o0831o
59280.60978,18.27,0.065,179,12,o,0,0.62,248.29826,9.5672,7967.81,7870.45,2.22,2.03,-81.4,-0.403,19.66,20.81,01a59280o0839o
59293.553224,18.297,0.055,174,10,o,0,1.35,248.29826,9.5672,8194.99,3585.92,2.14,1.94,-75.1,-0.426,19.86,21.09,01a59293o0586o
59293.555758,18.245,0.062,183,11,o,0,0.83,248.29826,9.5672,8175.12,3547.37,2.2,2.01,-74.7,-0.42,19.81,21.1,01a59293o0591o
59293.57391,18.163,0.053,197,10,o,0,1.22,248.29826,9.5672,8234.31,3622.45,2.11,1.94,-72.3,-0.424,19.85,21.09,01a59293o0628o
59293.591369,18.263,0.059,180,11,o,0,1.09,248.29826,9.5672,8254.42,3506.87,2.12,2.0,-72.2,-0.419,19.83,21.07,01a59293o0664o
59297.53262,18.493,0.09,146,13,o,0,1.6,248.29826,9.5672,10150.84,3493.74,2.4,2.01,-84.8,-0.406,19.44,20.18,01a59297o0516o
59297.53448,18.51,0.09,143,13,o,0,1.46,248.29826,9.5672,10132.02,3454.93,2.39,2.07,-81.0,-0.405,19.44,20.19,01a59297o0520o
59297.557443,18.436,0.086,153,13,o,0,1.03,248.29826,9.5672,10192.36,3526.95,2.41,2.15,-78.3,-0.402,19.52,20.48,01a59297o0565o
