MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59256.448718,20.346,0.291,26,8,c,0,2.08,160.477,58.25008,2876.5,6072.35,2.58,2.36,43.9,-0.388,19.76,21.98,02a59256o0522c
59256.450545,21.86,1.163,6,8,c,0,2.53,160.477,58.25008,2896.3,6111.71,2.57,2.35,44.8,-0.388,19.75,21.97,02a59256o0526c
59256.453749,20.409,0.378,25,9,c,0,1.25,160.477,58.25008,2838.57,6032.17,2.61,2.35,43.0,-0.386,19.77,21.97,02a59256o0533c
59256.468448,20.373,0.293,26,8,c,0,1.96,160.477,58.25008,2821.79,6145.27,2.57,2.37,39.7,-0.396,19.77,21.95,02a59256o0564c
59258.506379,19.496,0.19,58,11,c,0,3.11,160.477,58.25008,10503.26,5931.0,3.18,2.81,4.6,-0.305,19.64,21.91,01a59258o0650c
59258.511914,21.478,1.079,9,10,c,0,1.19,160.477,58.25008,10481.77,6045.95,2.92,2.78,88.7,-0.347,19.71,21.91,01a59258o0662c
59258.517447,-22.002,1.32,-6,8,c,0,1.47,160.477,58.25008,871.64,6149.02,2.55,2.39,-89.2,-0.384,19.71,21.94,01a59258o0674c
59258.520675,20.69,0.459,19,9,c,0,1.24,160.477,58.25008,892.57,6188.92,2.42,2.31,-86.8,-0.389,19.75,21.94,01a59258o0681c
59258.555186,20.019,0.252,36,9,c,0,1.33,160.477,58.25008,837.88,6102.14,2.49,2.36,-85.6,-0.383,19.74,21.95,01a59258o0754c
59258.583693,22.704,2.565,3,8,c,0,1.82,160.477,58.25008,824.54,6213.13,2.69,2.57,-84.8,-0.369,19.66,21.88,01a59258o0815c
59262.410593,20.944,0.636,15,10,c,0,0.99,160.477,58.25008,47.14,4581.28,2.3,2.12,-89.0,-0.39,19.82,21.82,01a59262o0425c
59262.415663,-22.901,4.321,-2,11,c,0,1.46,160.477,58.25008,64.67,4464.8,2.27,2.09,-88.9,-0.393,19.85,21.83,01a59262o0436c
59262.421191,-22.354,1.943,-4,8,c,0,1.6,160.477,58.25008,9674.8,4472.04,2.52,2.44,-79.2,-0.405,19.79,21.81,01a59262o0448c
59262.423956,24.717,18.0,0,8,c,0,1.59,160.477,58.25008,9655.87,4431.97,2.52,2.42,-80.6,-0.402,19.84,21.8,01a59262o0454c
59262.427183,-21.837,1.14,-7,8,c,0,1.8,160.477,58.25008,9716.67,4510.96,2.52,2.45,72.2,-0.386,19.86,21.8,01a59262o0461c
59262.432258,24.476,13.2,1,8,c,0,1.68,160.477,58.25008,9735.77,4396.62,2.51,2.46,80.1,-0.397,19.78,21.8,01a59262o0472c
59266.523138,25.055,22.0,0,8,c,0,1.66,160.477,58.25008,8020.36,10221.69,2.49,2.43,-49.0,-0.35,19.73,21.8,01a59266o0229c
59266.526862,20.117,0.377,33,12,c,0,1.06,160.477,58.25008,8042.59,10259.7,2.54,2.45,-74.3,-0.362,19.04,21.08,01a59266o0237c
59266.532406,18.895,0.088,100,9,c,0,2.64,160.477,58.25008,7977.66,10186.46,2.52,2.43,-14.5,-0.342,19.58,21.6,01a59266o0249c
59266.534712,20.331,0.587,27,16,c,0,0.93,160.477,58.25008,763.97,38.22,2.47,2.16,35.0,-0.422,19.81,21.88,01a59266o0254c
59266.592687,-21.463,0.897,-9,8,c,0,1.53,160.477,58.25008,7951.57,10309.82,2.53,2.48,27.6,-0.358,19.69,21.79,01a59266o0278c
59266.599614,21.107,1.902,13,25,c,0,1.51,160.477,58.25008,709.55,65.19,2.65,2.31,38.1,-0.407,19.16,21.22,01a59266o0293c
59266.660026,22.932,4.5,2,11,c,0,1.62,160.477,58.25008,7977.87,10262.98,2.75,2.7,78.7,-0.346,19.15,20.65,01a59266o0423c
59270.393034,20.247,0.881,29,26,o,0,0.98,160.477,58.25008,2592.26,307.26,2.47,2.33,43.5,-0.419,18.68,19.01,01a59270o0277o
59270.394877,-22.976,8.304,-2,19,o,0,1.84,160.477,58.25008,2570.17,269.75,2.25,2.1,32.2,-0.428,18.74,19.01,01a59270o0281o
59270.397637,19.783,0.547,44,24,o,0,1.12,160.477,58.25008,2633.51,346.19,2.42,2.25,35.0,-0.453,18.66,19.01,01a59270o0287o
59270.402784,-19.262,0.335,-72,24,o,0,0.95,160.477,58.25008,2650.78,230.06,2.14,1.97,27.5,-0.433,18.8,19.03,01a59270o0298o
59276.56231,19.375,0.245,65,16,o,0,1.5,160.477,58.25008,4627.63,8501.74,2.45,2.24,32.0,-0.404,19.09,19.93,02a59276o0195o
59276.565598,18.877,0.189,102,19,o,0,0.88,160.477,58.25008,4608.64,8462.68,2.46,2.24,34.1,-0.407,19.05,19.91,02a59276o0202o
59276.574066,18.582,0.143,134,19,o,0,1.16,160.477,58.25008,4661.58,8543.39,2.37,2.2,33.9,-0.408,19.09,19.87,02a59276o0220o
59276.586957,19.157,0.229,79,18,o,0,1.44,160.477,58.25008,4684.65,8417.37,2.32,2.06,34.9,-0.406,19.09,19.83,02a59276o0247o
59278.389775,18.891,0.11,101,11,c,0,1.22,160.477,58.25008,3983.82,4204.69,2.36,2.3,-40.8,-0.377,19.52,21.33,01a59278o0216c
59278.403953,18.613,0.09,130,12,c,0,1.12,160.477,58.25008,3924.66,4130.2,2.36,2.24,65.4,-0.377,19.49,21.34,01a59278o0246c
59278.407181,18.492,0.088,146,13,c,0,1.39,160.477,58.25008,3984.5,4208.86,2.26,2.23,-38.2,-0.379,19.3,21.11,01a59278o0253c
59278.411355,18.794,0.145,110,16,c,0,0.96,160.477,58.25008,4004.51,4092.79,2.34,2.32,-36.1,-0.376,19.08,20.95,01a59278o0262c
59278.426258,18.834,0.246,106,26,c,0,1.24,160.477,58.25008,6578.61,6410.09,2.6,2.55,79.3,-0.362,18.5,20.35,01a59278o0293c
59284.396479,18.258,0.051,181,9,c,0,2.02,160.477,58.25008,1318.14,4345.13,2.59,2.57,83.6,-0.404,19.6,21.77,02a59284o0322c
59284.403663,18.234,0.054,185,10,c,0,1.61,160.477,58.25008,1337.4,4386.46,2.54,2.49,67.1,-0.403,19.64,21.76,02a59284o0336c
59284.42274,-17.55,0.327,-347,113,c,0,1.58,160.477,58.25008,9315.31,6265.21,2.68,2.62,60.8,-0.439,16.75,18.59,02a59284o0377c
59284.608229,18.412,0.077,157,12,c,0,1.46,160.477,58.25008,9323.37,6147.68,2.84,2.6,31.9,-0.384,19.42,21.13,02a59284o0381c
59288.382347,18.182,0.048,194,9,c,0,2.04,160.477,58.25008,1319.63,4344.47,2.46,2.32,48.0,-0.42,19.73,21.84,02a59288o0364c
59288.384176,18.302,0.054,173,9,c,0,1.59,160.477,58.25008,1337.87,4385.9,2.48,2.37,49.1,-0.421,19.73,21.84,02a59288o0368c
59288.39893,18.229,0.051,186,10,c,0,2.03,160.477,58.25008,1281.82,4303.67,2.45,2.39,37.2,-0.416,19.75,21.88,02a59288o0397c
59288.404272,18.282,0.049,177,9,c,0,2.06,160.477,58.25008,1264.78,4417.55,2.36,2.34,41.1,-0.426,19.75,21.88,02a59288o0407c
59294.466114,18.687,0.063,122,8,o,0,3.56,160.477,58.25008,6986.32,4146.64,1.94,1.86,-69.8,-0.418,19.9,21.15,01a59294o0035o
59294.472742,18.883,0.092,102,9,o,0,3.42,160.477,58.25008,7005.92,4184.19,1.98,1.85,-77.4,-0.425,19.9,21.19,01a59294o0048o
59294.476899,18.428,0.06,154,9,o,0,1.71,160.477,58.25008,6949.12,4108.76,2.02,1.91,-76.6,-0.42,19.87,21.19,01a59294o0057o
59294.498765,18.555,0.052,137,7,o,0,4.51,160.477,58.25008,6936.77,4226.22,2.07,1.86,-75.3,-0.421,19.82,21.04,01a59294o0103o
59298.458649,19.021,0.206,90,18,o,0,1.81,160.477,58.25008,5086.98,4286.61,2.24,2.11,-4.7,-0.377,18.76,19.05,01a59298o0519o
59298.461882,19.184,0.709,77,55,o,0,0.94,160.477,58.25008,5107.0,4325.06,2.24,2.09,-7.5,-0.371,17.76,17.8,01a59298o0526o
59298.467408,19.271,0.243,71,17,o,0,2.29,160.477,58.25008,5049.93,4248.04,2.16,2.02,-6.5,-0.373,18.8,18.94,01a59298o0538o
59298.479864,19.017,0.262,90,24,o,0,1.7,160.477,58.25008,5029.68,4363.02,2.26,2.18,-40.3,-0.369,18.5,18.66,01a59298o0565o
59300.411419,19.329,0.848,67,57,o,0,1.2,160.477,58.25008,5748.74,4553.74,2.46,1.97,34.5,-0.418,17.58,17.38,02a59300o0384o
59300.414641,-17.657,0.15,-314,47,o,0,6.21,160.477,58.25008,5729.06,4513.28,2.51,2.05,35.2,-0.437,17.68,17.6,02a59300o0391o
59300.420205,18.665,0.266,124,33,o,0,1.25,160.477,58.25008,5786.82,4589.55,2.43,1.92,34.6,-0.411,18.25,18.26,02a59300o0403o
59300.4312,20.032,1.136,35,40,o,0,1.03,160.477,58.25008,5808.2,4471.89,2.34,1.88,33.6,-0.463,18.11,18.07,02a59300o0427o
59304.367876,19.457,0.255,60,15,o,0,1.45,160.477,58.25008,5753.96,4564.96,2.27,1.82,30.1,-0.439,19.2,19.84,02a59304o0324o
59304.401693,19.528,0.248,56,14,o,0,2.09,160.477,58.25008,5732.46,4520.7,2.14,1.81,30.0,-0.444,19.16,19.76,02a59304o0391o
59304.429945,19.877,0.69,41,28,o,0,1.77,160.477,58.25008,5794.25,4598.62,2.34,1.85,35.3,-0.435,18.37,18.68,02a59304o0450o
59304.433223,19.234,0.927,74,68,o,0,1.14,160.477,58.25008,5814.0,4477.57,2.38,1.88,39.1,-0.425,17.48,17.72,02a59304o0457o
59306.402243,19.595,0.227,53,12,o,0,1.54,160.477,58.25008,8528.34,6158.91,2.06,2.02,87.2,-0.407,19.54,20.33,01a59306o0018o
59306.406606,20.367,0.387,26,10,o,0,2.34,160.477,58.25008,8592.99,6232.83,2.23,1.99,7.3,-0.399,19.48,20.29,01a59306o0026o
