MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59258.431697,-21.628,1.078,-8,9,c,0,1.79,129.12009,74.16634,6256.31,5862.11,2.55,2.54,-9.8,-0.361,19.65,21.7,01a59258o0489c
59258.434936,-21.434,0.795,-10,8,c,0,1.91,129.12009,74.16634,6277.7,5899.76,2.49,2.4,-78.5,-0.367,19.69,21.69,01a59258o0496c
59258.440938,-24.618,17.25,0,9,c,0,2.05,129.12009,74.16634,6216.88,5825.34,2.63,2.51,-79.2,-0.362,19.62,21.68,01a59258o0509c
59258.452466,-23.266,5.133,-2,9,c,0,1.85,129.12009,74.16634,6201.32,5941.29,2.51,2.44,-15.6,-0.36,19.63,21.69,01a59258o0534c
59266.51806,21.185,0.757,12,9,c,0,3.33,129.12009,74.16634,4838.76,9976.02,2.37,2.17,-55.4,-0.372,19.53,21.34,01a59266o0218c
59266.521297,21.641,1.241,8,10,c,0,1.93,129.12009,74.16634,4860.65,10015.82,2.37,2.19,-50.1,-0.374,19.32,21.21,01a59266o0225c
59266.528714,-19.988,2.27,-37,83,c,0,0.82,129.12009,74.16634,4784.08,9939.75,2.62,2.39,-58.7,-0.38,17.38,19.38,01a59266o0241c
59270.388578,-21.527,2.704,-9,24,o,0,1.5,129.12009,74.16634,4848.19,9986.76,2.46,2.36,-66.2,-0.402,18.52,18.94,01a59270o0268o
59270.42152,21.522,2.793,9,25,o,0,1.31,129.12009,74.16634,4875.68,10022.8,2.26,2.12,-69.4,-0.399,18.64,18.93,01a59270o0338o
59270.449758,-20.087,0.696,-34,23,o,0,1.26,129.12009,74.16634,4803.39,9943.67,2.24,2.11,-64.6,-0.409,18.62,18.9,01a59270o0398o
59270.469546,20.504,0.972,23,22,o,0,1.45,129.12009,74.16634,4785.99,10060.15,2.31,2.18,-34.6,-0.388,18.58,18.9,01a59270o0440o
59278.431239,19.351,0.378,66,25,o,0,1.02,129.12009,74.16634,2318.23,6012.62,2.27,2.06,-82.3,-0.416,18.58,19.74,01a59278o0300o
59278.434466,20.181,0.733,31,22,o,0,1.64,129.12009,74.16634,2339.45,6052.58,2.18,2.01,-85.1,-0.417,18.67,19.76,01a59278o0307o
59278.441382,19.483,0.435,58,25,o,0,0.9,129.12009,74.16634,2279.74,5971.03,2.23,2.11,-78.1,-0.419,18.67,19.69,01a59278o0322o
59278.452013,19.531,1.114,56,62,o,0,2.04,129.12009,74.16634,2261.26,6083.17,2.38,2.05,-85.6,-0.419,17.46,18.2,01a59278o0345o
59284.377518,18.18,0.06,194,12,c,0,1.43,129.12009,74.16634,4995.03,6415.47,2.48,2.36,41.1,-0.395,19.62,21.54,02a59284o0286c
59284.408828,18.064,0.049,216,10,c,0,1.87,129.12009,74.16634,4974.05,6369.34,2.73,2.46,40.3,-0.377,19.58,21.48,02a59284o0347c
59284.411605,18.0,0.051,229,12,c,0,2.57,129.12009,74.16634,5028.29,6446.05,2.75,2.59,40.8,-0.378,19.5,21.47,02a59284o0353c
59284.418585,18.17,0.092,196,18,c,0,1.7,129.12009,74.16634,5049.82,6326.45,2.67,2.5,39.3,-0.374,18.91,20.74,02a59284o0368c
59288.341221,17.859,0.038,261,10,c,0,2.42,129.12009,74.16634,4993.23,6421.89,2.82,2.4,35.1,-0.372,19.65,21.53,02a59288o0276c
59288.344423,17.881,0.043,256,11,c,0,2.33,129.12009,74.16634,4980.07,6382.75,2.4,2.33,50.7,-0.399,19.67,21.54,02a59288o0283c
59288.349926,17.806,0.037,274,10,c,0,3.16,129.12009,74.16634,5035.29,6459.34,2.41,2.31,40.4,-0.401,19.66,21.52,02a59288o0295c
59288.361843,17.921,0.047,246,12,c,0,2.02,129.12009,74.16634,5054.87,6340.28,2.46,2.4,55.9,-0.396,19.61,21.56,02a59288o0321c
59292.299029,17.912,0.047,248,12,o,0,4.71,129.12009,74.16634,3439.71,2986.21,2.14,1.82,30.1,-0.45,19.46,20.56,02a59292o0181o
59292.302231,17.893,0.049,253,12,o,0,5.47,129.12009,74.16634,3419.29,2947.94,1.93,1.88,11.1,-0.455,19.51,20.57,02a59292o0188o
59292.308195,17.861,0.047,260,12,o,0,4.08,129.12009,74.16634,3480.8,3020.46,1.97,1.9,17.9,-0.45,19.46,20.57,02a59292o0201o
59292.318285,18.072,0.053,214,11,o,0,15.82,129.12009,74.16634,3506.86,2900.36,1.99,1.93,20.7,-0.451,19.48,20.54,02a59292o0223o
59298.352604,17.443,0.332,383,127,o,0,0.98,129.12009,74.16634,9226.55,3622.91,2.61,2.39,-84.5,-0.389,16.89,17.12,01a59298o0297o
59298.355834,17.883,0.232,255,59,o,0,1.03,129.12009,74.16634,9247.95,3659.89,2.72,2.37,-86.3,-0.392,17.78,17.87,01a59298o0304o
59298.362338,17.903,0.34,250,85,o,0,1.45,129.12009,74.16634,9191.74,3592.04,2.61,2.16,-83.9,-0.412,17.41,17.34,01a59298o0318o
59298.372539,18.0,0.153,229,35,o,0,1.83,129.12009,74.16634,9174.65,3712.27,2.57,2.37,-80.3,-0.389,18.08,18.13,01a59298o0340o
59298.377154,17.399,0.305,398,121,o,0,1.25,129.12009,74.16634,585.02,3708.88,2.74,2.19,81.7,-0.401,17.19,17.36,01a59298o0350o
59298.380377,18.213,0.436,188,82,o,0,1.77,129.12009,74.16634,606.18,3751.57,2.43,2.19,75.7,-0.385,17.27,17.09,01a59298o0357o
59298.413397,17.955,0.112,239,27,o,0,1.59,129.12009,74.16634,555.39,3659.94,2.54,2.24,81.3,-0.383,18.45,18.8,01a59298o0422o
59298.418927,18.082,0.179,212,38,o,0,0.97,129.12009,74.16634,538.42,3771.05,2.77,2.42,87.0,-0.381,18.02,18.36,01a59298o0434o
59300.367285,17.958,0.112,238,27,o,0,1.94,129.12009,74.16634,361.51,5188.5,2.32,2.08,-50.6,-0.388,18.46,18.75,02a59300o0288o
59300.370485,17.907,0.103,250,26,o,0,1.2,129.12009,74.16634,341.83,5149.99,2.25,1.98,-50.0,-0.394,18.55,18.74,02a59300o0295o
59300.376064,18.128,0.143,204,29,o,0,1.65,129.12009,74.16634,400.54,5217.67,2.43,2.25,-49.3,-0.394,18.4,18.73,02a59300o0307o
59300.386656,17.915,0.12,248,30,o,0,2.1,129.12009,74.16634,422.57,5094.21,2.42,2.23,-51.0,-0.395,18.29,18.55,02a59300o0330o
59300.392599,19.365,0.78,65,51,o,0,1.0,129.12009,74.16634,9404.99,5176.78,2.34,2.28,89.5,-0.407,17.89,17.89,02a59300o0343o
59300.395798,18.488,0.312,146,46,o,0,1.23,129.12009,74.16634,9384.96,5133.0,2.54,2.33,31.8,-0.388,17.64,17.82,02a59300o0350o
59300.401777,17.67,0.127,310,40,o,0,1.01,129.12009,74.16634,9444.04,5219.25,2.43,2.33,-85.8,-0.406,18.19,18.35,02a59300o0363o
59300.411887,17.741,0.273,291,79,o,0,1.45,129.12009,74.16634,9465.53,5103.68,2.33,2.32,47.1,-0.414,17.27,17.12,02a59300o0385o
59304.297718,18.083,0.068,212,14,o,0,2.85,129.12009,74.16634,365.08,5211.92,2.37,2.11,-50.7,-0.405,19.2,20.11,02a59304o0171o
59304.300945,17.925,0.065,246,16,o,0,1.55,129.12009,74.16634,346.77,5175.34,2.5,2.1,-57.9,-0.381,19.06,19.91,02a59304o0178o
59304.307826,17.976,0.075,234,18,o,0,2.6,129.12009,74.16634,405.22,5242.11,2.2,2.09,-12.7,-0.397,19.07,19.77,02a59304o0193o
59304.319264,18.012,0.077,227,18,o,0,2.83,129.12009,74.16634,426.18,5118.87,2.26,1.94,-51.8,-0.399,19.0,19.6,02a59304o0218o
59304.320703,18.222,0.111,187,21,o,0,1.27,129.12009,74.16634,9411.51,5188.44,2.35,2.1,-67.8,-0.424,19.01,19.64,02a59304o0221o
59304.324376,18.045,0.08,220,18,o,0,2.03,129.12009,74.16634,9392.08,5146.43,2.14,2.03,-77.9,-0.436,19.06,19.64,02a59304o0229o
59304.329878,18.007,0.086,228,20,o,0,2.83,129.12009,74.16634,9449.69,5230.79,2.22,2.05,37.7,-0.415,19.02,19.6,02a59304o0241o
59304.33994,18.093,0.092,210,19,o,0,1.8,129.12009,74.16634,9470.4,5114.83,2.2,2.09,41.2,-0.42,18.98,19.58,02a59304o0263o
59306.407072,18.321,0.081,170,14,o,0,1.49,129.12009,74.16634,4289.52,5989.6,2.12,2.02,-61.4,-0.4,19.22,19.91,01a59306o0027o
59306.4122,18.235,0.082,184,15,o,0,2.36,129.12009,74.16634,4314.65,6027.09,2.12,2.07,-37.8,-0.403,19.17,19.86,01a59306o0037o
59306.420058,18.087,0.079,212,17,o,0,1.86,129.12009,74.16634,4255.06,5948.54,2.25,2.11,-10.8,-0.408,19.13,19.82,01a59306o0053o
59306.424133,18.422,0.091,155,14,o,0,1.85,129.12009,74.16634,4236.07,6063.53,2.01,1.95,-42.6,-0.42,19.19,19.8,01a59306o0060o
59308.462967,18.301,0.139,174,24,o,0,2.14,129.12009,74.16634,6846.35,1016.3,2.04,1.9,-21.0,-0.443,18.7,21.17,02a59308o0081o
59308.465814,18.379,0.141,162,23,o,0,1.69,129.12009,74.16634,6822.94,982.48,2.0,1.96,-45.4,-0.445,18.66,21.16,02a59308o0087o
59308.476876,18.349,0.132,166,22,o,0,2.82,129.12009,74.16634,6890.04,1061.24,1.97,1.81,-12.0,-0.455,18.39,20.84,02a59308o0110o
59308.482389,16.869,0.542,649,352,o,0,1.45,129.12009,74.16634,6914.27,952.34,2.15,1.95,-15.3,-0.431,16.46,19.1,02a59308o0122o
