MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59258.425176,20.736,0.623,18,12,c,0,10.98,152.39939,-13.04214,1627.3,7663.3,2.61,2.44,-43.7,-0.406,19.69,21.67,02a59258o0453c
59258.427969,19.341,0.178,67,12,c,0,3.95,152.39939,-13.04214,1644.75,7702.83,2.73,2.59,-42.7,-0.395,19.6,21.67,02a59258o0459c
59258.446116,20.922,0.687,16,11,c,0,6.42,152.39939,-13.04214,1587.04,7626.5,2.76,2.56,-47.0,-0.401,19.64,21.68,02a59258o0497c
59258.450775,19.056,0.144,87,12,c,0,3.81,152.39939,-13.04214,1568.52,7743.32,2.95,2.77,-45.3,-0.4,19.59,21.69,02a59258o0507c
59259.479521,16.408,0.008,993,8,c,0,746.65,152.39939,-13.04214,5148.32,1968.2,2.34,2.29,-16.0,-0.379,19.89,22.01,01a59259o0407c
59259.482744,19.971,0.261,37,10,c,0,2.33,152.39939,-13.04214,5168.7,2006.56,2.26,2.17,-11.8,-0.385,19.93,22.03,01a59259o0414c
59259.48919,16.352,0.009,1046,9,c,0,615.07,152.39939,-13.04214,5110.47,1928.12,2.49,2.33,-4.2,-0.372,19.81,22.02,01a59259o0428c
59259.524104,20.076,0.254,34,9,c,0,3.52,152.39939,-13.04214,5098.82,2041.38,2.77,2.7,-53.1,-0.361,19.62,21.88,01a59259o0503c
59260.467704,16.543,0.01,877,8,c,0,466.2,152.39939,-13.04214,5140.55,1973.92,2.56,2.44,-22.2,-0.363,19.77,21.92,01a59260o0458c
59260.471852,16.504,0.01,908,9,c,0,402.45,152.39939,-13.04214,5161.1,2012.08,2.71,2.61,-10.9,-0.353,19.67,21.91,01a59260o0467c
59260.492406,16.946,0.012,605,7,c,0,291.69,152.39939,-13.04214,5105.21,1931.98,2.59,2.54,-7.9,-0.364,19.7,21.94,01a59260o0510c
59260.501273,17.573,0.022,340,7,c,0,82.37,152.39939,-13.04214,5087.95,2046.59,2.88,2.85,85.1,-0.348,19.59,21.94,01a59260o0529c
59261.486946,19.307,0.128,69,9,c,0,9.89,152.39939,-13.04214,8947.85,2890.54,2.5,2.43,83.0,-0.388,19.71,21.7,02a59261o0602c
