MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59258.368431,22.063,1.9,5,10,c,0,0.73,130.34451,2.88982,3582.72,7295.63,2.55,2.48,7.1,-0.389,19.67,21.67,02a59258o0332c
59258.370718,21.02,0.656,14,9,c,0,0.92,130.34451,2.88982,3602.96,7334.04,2.71,2.62,10.6,-0.385,19.63,21.67,02a59258o0337c
59258.373461,22.182,2.027,5,10,c,0,0.76,130.34451,2.88982,3545.69,7256.58,2.51,2.43,8.2,-0.389,19.75,21.67,02a59258o0343c
59258.400902,22.052,1.632,6,9,c,0,1.0,130.34451,2.88982,7060.14,3185.23,2.66,2.54,57.5,-0.378,19.66,21.7,02a59258o0402c
59260.403387,-20.763,0.562,-18,10,c,0,0.75,130.34451,2.88982,1298.94,1623.74,2.63,2.46,36.3,-0.389,19.72,21.87,01a59260o0320c
59260.407534,24.772,17.25,0,8,c,0,1.31,130.34451,2.88982,1320.15,1661.96,2.52,2.4,37.1,-0.403,19.77,21.88,01a59260o0329c
59260.413063,-21.612,1.061,-8,9,c,0,1.17,130.34451,2.88982,1260.97,1582.63,2.38,2.26,46.6,-0.413,19.76,21.88,01a59260o0341c
59260.423744,-21.514,0.904,-9,8,c,0,1.09,130.34451,2.88982,1244.41,1698.39,2.5,2.37,46.7,-0.392,19.78,21.86,01a59260o0364c
59262.415984,-21.849,1.42,-7,9,c,0,0.99,130.34451,2.88982,7000.56,3261.35,2.54,2.42,59.1,-0.387,19.68,21.64,02a59262o0442c
59262.422535,-22.496,2.222,-4,8,c,0,1.05,130.34451,2.88982,6981.07,3225.09,2.59,2.42,55.4,-0.382,19.71,21.62,02a59262o0456c
59262.425768,-22.69,2.833,-3,9,c,0,1.08,130.34451,2.88982,7040.04,3301.15,2.49,2.36,54.4,-0.39,19.76,21.63,02a59262o0463c
59262.43865,-22.957,3.5,-2,8,c,0,1.4,130.34451,2.88982,7061.77,3188.62,2.54,2.42,52.9,-0.385,19.72,21.59,02a59262o0491c
59264.434318,20.445,1.088,24,26,c,0,1.0,130.34451,2.88982,7746.55,5659.48,2.57,2.46,-87.1,-0.367,18.71,20.61,01a59264o0479c
59264.440311,-21.731,3.045,-7,22,c,0,1.19,130.34451,2.88982,7765.81,5698.11,2.83,2.64,88.5,-0.373,18.65,20.72,01a59264o0492c
59264.444928,-19.494,0.825,-58,48,c,0,1.24,130.34451,2.88982,7707.81,5619.56,3.24,3.01,-83.0,-0.35,17.66,19.82,01a59264o0502c
59264.461584,18.991,1.462,92,134,c,0,1.77,130.34451,2.88982,7689.46,5733.58,2.49,2.39,85.9,-0.38,16.35,18.38,01a59264o0538c
59266.387421,18.186,2.504,193,483,o,0,2.0,130.34451,2.88982,2895.61,6831.17,2.43,1.91,41.4,-0.397,15.31,15.14,02a59266o0369o
59266.397366,-19.961,21.684,-38,816,o,0,1.7,130.34451,2.88982,2875.66,6791.48,2.49,1.88,40.4,-0.383,14.98,14.81,02a59266o0390o
59266.40103,16.349,0.699,1048,733,o,0,1.76,130.34451,2.88982,2934.18,6871.27,2.45,1.89,43.0,-0.421,14.92,14.76,02a59266o0398o
59266.408834,16.854,1.607,658,1057,o,0,1.53,130.34451,2.88982,2954.68,6752.67,2.55,1.92,43.5,-0.402,14.55,14.43,02a59266o0415o
59267.330599,23.272,8.235,2,15,o,0,0.89,130.34451,2.88982,7690.26,3724.87,2.17,1.99,35.1,-0.426,19.26,20.02,02a59267o0245o
59267.333371,-21.497,1.426,-9,13,o,0,1.42,130.34451,2.88982,7709.75,3764.24,2.08,1.92,36.1,-0.426,19.28,20.03,02a59267o0251o
