MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59261.396346,22.83,3.043,3,8,c,0,1.75,159.97401,21.84438,10205.82,5046.2,2.6,2.49,24.2,-0.361,19.81,21.82,01a59261o0394c
59261.406061,-22.223,1.6,-5,8,c,0,1.35,159.97401,21.84438,225.48,5045.65,2.3,2.16,-76.3,-0.391,19.81,21.82,01a59261o0414c
59261.408891,-23.037,3.667,-2,8,c,0,1.08,159.97401,21.84438,205.45,5007.29,2.3,2.17,-87.7,-0.39,19.85,21.83,01a59261o0420c
59261.411658,-21.232,0.663,-12,8,c,0,1.56,159.97401,21.84438,10183.91,5005.13,2.53,2.48,-75.2,-0.386,19.86,21.85,01a59261o0426c
59261.427706,21.292,0.787,11,9,c,0,1.37,159.97401,21.84438,10244.53,5083.93,2.69,2.55,87.0,-0.373,19.75,21.86,01a59261o0456c
59261.429089,23.477,5.2,2,8,c,0,1.09,159.97401,21.84438,264.29,5085.08,2.35,2.26,-88.9,-0.39,19.81,21.84,01a59261o0459c
59261.430931,20.989,0.681,15,10,c,0,1.03,159.97401,21.84438,10262.64,4964.13,2.77,2.59,-86.0,-0.36,19.8,21.85,01a59261o0463c
59261.440367,22.238,1.653,5,8,c,0,1.27,159.97401,21.84438,283.28,4969.92,2.3,2.2,-82.9,-0.393,19.83,21.83,01a59261o0483c
59263.464273,-18.022,1.202,-224,270,c,0,0.99,159.97401,21.84438,3558.31,9471.35,2.47,2.42,-65.8,-0.383,16.45,18.08,02a59263o0264c
59263.468764,-19.182,1.282,-77,99,c,0,1.1,159.97401,21.84438,3539.42,9434.96,2.48,2.46,86.4,-0.386,17.33,18.97,02a59263o0272c
59263.484866,-19.767,1.143,-45,51,c,0,1.16,159.97401,21.84438,3615.35,9393.72,2.46,2.45,-37.5,-0.397,17.77,19.48,02a59263o0301c
59267.424784,20.224,0.459,30,14,o,0,1.22,159.97401,21.84438,2149.24,7662.64,2.2,2.09,39.9,-0.416,19.32,20.33,02a59267o0434o
59267.426613,20.513,0.532,23,12,o,0,1.08,159.97401,21.84438,2168.83,7701.57,2.2,2.06,48.1,-0.42,19.37,20.34,02a59267o0438o
59267.431749,-22.627,4.172,-3,14,o,0,1.36,159.97401,21.84438,2111.21,7622.97,2.24,2.07,46.0,-0.407,19.38,20.34,02a59267o0449o
59267.439423,20.845,0.857,17,14,o,0,0.94,159.97401,21.84438,2091.64,7739.85,2.25,2.08,36.9,-0.413,19.36,20.36,02a59267o0465o
59267.665569,22.162,9.0,5,45,c,0,1.31,159.97401,21.84438,8452.81,2885.36,3.04,2.85,-9.1,-0.349,17.83,19.07,02a59267o0908c
59269.327495,-20.817,1.242,-17,21,o,0,1.16,159.97401,21.84438,8404.08,940.33,2.38,2.06,-77.5,-0.422,18.96,19.28,01a59269o0252o
59269.33443,21.255,1.968,11,22,o,0,1.11,159.97401,21.84438,8386.02,906.92,2.59,2.25,-79.0,-0.417,18.85,19.31,01a59269o0267o
59269.347347,-20.781,1.368,-18,24,o,0,0.79,159.97401,21.84438,8444.28,983.33,2.54,2.18,-78.9,-0.424,18.89,19.36,01a59269o0293o
59269.351068,-21.242,1.718,-12,20,o,0,0.72,159.97401,21.84438,8462.96,858.87,2.38,2.1,-76.2,-0.418,19.03,19.38,01a59269o0301o
59277.434517,-24.537,17.714,-1,10,o,0,1.17,159.97401,21.84438,6419.81,5761.42,2.03,1.9,-80.7,-0.414,19.62,20.5,01a59277o0448o
59277.437034,21.666,1.417,8,11,o,0,1.13,159.97401,21.84438,6441.01,5799.73,2.39,2.21,-85.8,-0.406,19.45,20.49,01a59277o0453o
59277.44303,20.352,0.44,26,12,o,0,1.02,159.97401,21.84438,6383.3,5721.52,2.18,2.04,-76.0,-0.416,19.55,20.47,01a59277o0464o
59277.537656,21.045,0.943,14,13,o,0,1.08,159.97401,21.84438,6386.94,5825.41,2.71,2.46,-23.9,-0.357,19.26,20.34,01a59277o0590o
59287.365137,18.053,0.096,218,21,c,0,1.11,159.97401,21.84438,6420.46,3818.45,2.79,2.63,18.3,-0.387,19.04,21.07,02a59287o0295c
59287.367399,19.947,4.389,38,167,c,0,1.43,159.97401,21.84438,6441.06,3856.82,2.75,2.61,41.9,-0.482,16.82,18.8,02a59287o0299c
59287.370604,17.798,0.439,276,121,c,0,1.33,159.97401,21.84438,6385.36,3779.18,2.56,2.42,37.9,-0.458,16.99,18.9,02a59287o0306c
59287.375755,17.93,0.102,244,25,c,0,1.07,159.97401,21.84438,6367.05,3896.6,2.53,2.37,39.4,-0.453,18.63,20.57,02a59287o0317c
59291.411357,17.715,0.034,298,10,c,0,1.79,159.97401,21.84438,606.19,3292.77,2.34,2.28,74.4,-0.411,19.76,21.73,02a59291o0182c
59291.415108,17.691,0.037,304,11,c,0,1.62,159.97401,21.84438,587.63,3252.62,2.33,2.28,-77.1,-0.411,19.74,21.72,02a59291o0190c
59291.420561,17.727,0.038,295,11,c,0,1.45,159.97401,21.84438,650.67,3331.93,2.28,2.26,76.7,-0.413,19.76,21.7,02a59291o0201c
59291.430816,17.605,0.031,330,10,c,0,2.4,159.97401,21.84438,671.78,3216.64,2.31,2.28,74.4,-0.41,19.75,21.69,02a59291o0223c
59293.407265,17.891,0.04,253,10,o,0,1.63,159.97401,21.84438,2187.22,3544.03,1.9,1.74,76.7,-0.436,19.88,21.06,01a59293o0289o
59293.414289,17.908,0.041,249,10,o,0,1.64,159.97401,21.84438,2208.43,3581.14,1.91,1.73,81.0,-0.435,19.9,21.1,01a59293o0303o
59293.417509,17.858,0.037,261,10,o,0,2.02,159.97401,21.84438,2150.4,3503.87,1.88,1.7,77.7,-0.436,19.91,21.12,01a59293o0310o
59293.44002,17.977,0.035,234,8,o,0,3.2,159.97401,21.84438,2137.68,3613.92,1.87,1.68,86.8,-0.439,19.96,21.25,01a59293o0355o
59297.412999,17.856,0.078,262,20,o,0,1.39,159.97401,21.84438,10243.53,3547.29,2.44,2.16,-80.6,-0.411,19.03,19.32,01a59297o0274o
59297.415764,17.823,0.08,270,22,o,0,0.94,159.97401,21.84438,10264.0,3584.87,2.44,2.17,-79.9,-0.417,18.99,19.35,01a59297o0280o
59297.416225,17.901,0.063,251,16,o,0,1.75,159.97401,21.84438,250.71,3613.12,2.16,1.88,77.2,-0.408,19.1,19.47,01a59297o0281o
59297.419533,17.705,0.061,301,18,o,0,1.33,159.97401,21.84438,269.38,3652.13,2.25,2.04,71.0,-0.4,19.08,19.54,01a59297o0288o
59297.421046,18.0,0.094,229,22,o,0,0.95,159.97401,21.84438,10205.87,3508.46,2.51,2.08,-80.7,-0.391,18.94,19.29,01a59297o0291o
59297.43699,18.04,0.08,221,18,o,0,1.4,159.97401,21.84438,213.86,3571.03,2.22,1.93,85.1,-0.393,19.07,19.69,01a59297o0323o
59297.443021,17.911,0.079,249,20,o,0,1.11,159.97401,21.84438,197.11,3686.2,2.28,1.89,81.0,-0.415,18.98,19.98,01a59297o0335o
59303.369203,18.04,0.076,221,17,o,0,1.23,159.97401,21.84438,6313.39,5217.59,2.32,2.04,35.7,-0.433,18.93,19.47,02a59303o0136o
59303.384803,18.217,0.103,188,19,o,0,1.39,159.97401,21.84438,6292.82,5174.78,2.33,1.97,45.0,-0.432,18.97,19.45,02a59303o0168o
