MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59270.501297,22.92,8.0,2,20,o,0,1.13,196.6724,9.33175,9461.56,1392.04,2.22,1.87,-56.7,-0.477,18.46,19.08,02a59270o0049o
59270.504049,20.454,0.864,24,21,o,0,1.45,196.6724,9.33175,9481.74,1430.37,2.24,1.84,-54.2,-0.48,18.89,19.36,02a59270o0055o
59270.506792,-21.84,2.492,-7,17,o,0,1.04,196.6724,9.33175,9424.03,1354.39,2.27,1.85,-54.3,-0.489,18.9,19.48,02a59270o0061o
59270.512281,20.931,1.341,15,21,o,0,0.84,196.6724,9.33175,9404.61,1472.14,2.27,1.91,-54.6,-0.483,18.97,19.5,02a59270o0073o
59276.526465,-20.534,0.73,-22,16,o,0,1.1,196.6724,9.33175,9255.86,9656.73,2.18,2.02,72.7,-0.392,19.3,19.82,01a59276o0685o
59276.530207,-20.87,0.845,-16,14,o,0,1.52,196.6724,9.33175,9277.22,9694.9,2.11,1.96,77.4,-0.398,19.33,19.82,01a59276o0693o
59276.565635,21.688,2.034,8,16,o,0,1.23,196.6724,9.33175,9228.08,9608.97,2.16,1.95,80.8,-0.393,19.32,19.81,01a59276o0769o
59276.594252,-20.889,1.035,-16,17,o,0,1.03,196.6724,9.33175,9218.57,9723.53,2.21,2.04,84.5,-0.41,19.21,19.76,01a59276o0830o
59277.551368,-22.144,2.564,-5,13,o,0,1.42,196.6724,9.33175,9264.34,9651.12,2.2,2.05,51.1,-0.39,19.5,20.28,01a59277o0618o
59277.555135,23.295,8.063,2,14,o,0,0.87,196.6724,9.33175,9284.65,9689.93,2.39,2.21,62.8,-0.399,19.39,20.26,01a59277o0626o
59277.560591,-20.423,0.515,-25,13,o,0,1.34,196.6724,9.33175,9227.25,9611.27,2.23,2.06,59.9,-0.4,19.43,20.25,01a59277o0636o
59277.5952,-21.163,0.977,-12,12,o,0,1.71,196.6724,9.33175,9213.94,9724.6,2.27,2.03,86.2,-0.408,19.39,20.22,01a59277o0708o
59278.602517,19.688,0.918,48,44,o,0,1.44,196.6724,9.33175,979.97,5277.94,2.11,1.93,34.4,-0.44,18.01,18.37,02a59278o0409o
59278.606193,19.778,0.929,44,41,o,0,1.65,196.6724,9.33175,961.2,5239.47,2.14,2.0,28.8,-0.446,18.03,18.42,02a59278o0417o
59278.613817,-21.29,3.457,-11,38,o,0,1.7,196.6724,9.33175,1019.01,5314.36,2.34,2.04,35.4,-0.42,17.95,18.37,02a59278o0433o
59278.627748,19.687,0.482,48,23,o,0,0.97,196.6724,9.33175,1041.48,5197.74,2.13,1.9,37.4,-0.457,18.68,19.23,02a59278o0462o
59280.45714,-20.951,0.63,-15,10,o,0,1.02,196.6724,9.33175,5391.29,7489.53,1.93,1.86,-65.3,-0.414,19.8,20.88,01a59280o0513o
59280.460394,-22.2,1.964,-5,9,o,0,1.07,196.6724,9.33175,5370.77,7454.38,2.13,1.95,-73.0,-0.409,19.7,20.91,01a59280o0520o
59280.465483,23.137,4.68,2,10,o,0,1.04,196.6724,9.33175,5429.24,7531.48,2.01,1.9,-67.2,-0.414,19.76,20.95,01a59280o0531o
59280.476133,-23.17,3.538,-2,7,o,0,2.23,196.6724,9.33175,5449.84,7414.98,1.92,1.87,-44.1,-0.414,19.83,20.98,01a59280o0554o
59284.570611,22.301,2.5,4,11,o,0,1.73,196.6724,9.33175,5151.93,3079.91,1.97,1.87,-11.8,-0.41,19.23,20.36,01a59284o0027o
59284.574298,-21.075,0.593,-14,8,o,0,1.76,196.6724,9.33175,5174.38,3117.88,2.01,1.86,7.7,-0.406,19.67,20.81,01a59284o0035o
59284.579458,20.961,0.566,15,8,o,0,1.25,196.6724,9.33175,5117.8,3040.38,1.89,1.87,-39.5,-0.411,19.8,20.96,01a59284o0046o
59288.392157,20.768,0.479,18,9,o,0,1.27,196.6724,9.33175,5689.25,3142.12,2.01,1.96,73.9,-0.402,19.77,20.94,01a59288o0351o
59288.404175,22.199,1.902,5,9,o,0,1.19,196.6724,9.33175,5669.01,3103.62,2.15,2.08,83.0,-0.407,19.73,21.04,01a59288o0376o
59288.432384,20.278,0.287,28,8,o,0,1.51,196.6724,9.33175,5727.49,3175.0,2.02,1.97,-20.8,-0.402,19.89,21.19,01a59288o0436o
59288.436626,21.313,0.78,11,8,o,0,1.26,196.6724,9.33175,5746.03,3062.16,2.04,1.93,-74.3,-0.41,19.87,21.2,01a59288o0445o
59292.515779,19.342,0.138,67,9,o,0,1.23,196.6724,9.33175,4872.4,7444.83,2.09,2.05,-72.9,-0.416,19.78,21.05,01a59292o0521o
59292.519982,19.438,0.159,61,10,o,0,0.93,196.6724,9.33175,4893.39,7483.13,2.02,1.97,-79.5,-0.414,19.8,21.06,01a59292o0530o
59292.54817,19.319,0.131,68,9,o,0,1.11,196.6724,9.33175,4841.86,7401.19,1.98,1.92,-71.3,-0.412,19.81,21.09,01a59292o0590o
59292.576693,19.255,0.134,72,10,o,0,1.27,196.6724,9.33175,4827.8,7513.3,2.07,1.97,-78.2,-0.425,19.79,21.09,01a59292o0651o
59293.433547,19.071,0.105,86,9,o,0,1.03,196.6724,9.33175,5685.5,3133.32,1.99,1.93,87.2,-0.41,19.88,21.22,01a59293o0343o
59293.463632,19.611,0.149,52,8,o,0,1.56,196.6724,9.33175,5665.75,3093.66,1.96,1.86,-78.0,-0.41,19.89,21.17,01a59293o0401o
59293.465491,19.167,0.099,78,8,o,0,1.41,196.6724,9.33175,5724.31,3171.09,2.0,1.88,88.2,-0.411,19.87,21.16,01a59293o0405o
59293.48198,19.099,0.09,83,8,o,0,1.83,196.6724,9.33175,5743.68,3055.29,1.96,1.87,-78.4,-0.418,19.9,21.14,01a59293o0440o
59297.391518,18.691,0.11,121,13,o,0,1.4,196.6724,9.33175,7630.15,3042.82,2.25,1.96,-76.2,-0.433,19.27,19.87,01a59297o0231o
59297.425828,18.542,0.1,139,14,o,0,1.02,196.6724,9.33175,7610.74,2996.82,2.51,2.41,-34.9,-0.408,19.24,20.04,01a59297o0301o
59297.431369,18.619,0.115,130,15,o,0,1.28,196.6724,9.33175,7667.8,3074.98,2.59,2.47,-12.4,-0.394,19.15,20.01,01a59297o0312o
