MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59270.438443,15.516,0.016,2258,36,o,0,296.55,189.81079,65.0789,218.06,3583.22,2.19,2.03,58.8,-0.374,18.8,19.11,01a59270o0374o
59270.441286,-20.452,0.935,-24,22,o,0,3.21,189.81079,65.0789,193.9,3552.14,2.36,1.97,79.3,-0.374,18.84,19.13,01a59270o0380o
59270.444051,20.288,0.768,28,21,o,0,3.45,189.81079,65.0789,254.67,3623.1,2.36,2.05,81.2,-0.384,18.79,19.13,01a59270o0386o
59270.456442,22.627,6.486,3,21,o,0,1.47,189.81079,65.0789,271.19,3508.82,2.3,1.94,80.5,-0.382,18.84,19.14,01a59270o0412o
59270.465665,-19.933,0.728,-39,28,o,0,1.2,189.81079,65.0789,9705.7,3496.52,2.92,2.63,-82.3,-0.372,18.7,19.16,01a59270o0432o
59270.467507,-18.996,0.259,-92,24,o,0,1.16,189.81079,65.0789,9685.22,3455.24,2.32,2.14,-80.8,-0.411,18.86,19.18,01a59270o0436o
59270.473774,21.066,1.69,14,23,o,0,1.65,189.81079,65.0789,9747.98,3537.63,2.59,2.18,-80.5,-0.406,18.8,19.2,01a59270o0448o
59270.483801,20.709,1.247,19,24,o,0,1.48,189.81079,65.0789,9766.44,3420.57,2.71,2.26,-82.4,-0.386,18.77,19.22,01a59270o0469o
59276.615199,-21.003,0.932,-14,13,o,0,4.86,189.81079,65.0789,5184.33,1379.97,2.43,2.03,46.5,-0.414,19.09,19.91,02a59276o0307o
59276.619227,-20.775,0.783,-18,14,o,0,5.3,189.81079,65.0789,5166.56,1345.36,2.19,1.98,47.6,-0.438,19.13,19.92,02a59276o0315o
59276.625681,-20.289,0.506,-28,14,o,0,1.98,189.81079,65.0789,5232.33,1420.35,2.19,2.13,64.5,-0.429,19.09,19.92,02a59276o0329o
59276.642788,-21.363,1.472,-10,15,o,0,6.59,189.81079,65.0789,5258.37,1299.13,2.14,2.13,-41.2,-0.434,19.09,19.89,02a59276o0366o
59276.660685,22.006,3.548,6,20,o,0,2.59,189.81079,65.0789,5209.71,1351.16,2.48,2.17,43.6,-0.416,18.56,19.02,02a59276o0404o
59278.489352,21.452,1.848,10,18,o,0,1.72,189.81079,65.0789,9060.59,7326.8,2.15,1.95,-80.5,-0.422,19.13,19.82,01a59278o0425o
59278.491196,20.18,0.479,31,15,o,0,3.53,189.81079,65.0789,9042.2,7285.47,2.07,1.96,-74.3,-0.428,19.27,20.01,01a59278o0429o
59278.493958,20.272,0.564,28,16,o,0,2.01,189.81079,65.0789,9099.3,7367.95,2.26,2.08,-84.1,-0.41,19.2,20.04,01a59278o0435o
59278.499025,20.139,0.564,32,18,o,0,2.88,189.81079,65.0789,9116.61,7252.66,2.37,2.08,-79.9,-0.412,18.79,19.52,01a59278o0446o
59278.520099,21.179,0.981,12,12,o,0,18.64,189.81079,65.0789,10368.87,3015.34,2.46,2.07,-80.5,-0.409,19.41,20.3,01a59278o0491o
59278.523344,19.623,0.447,51,23,o,0,1.99,189.81079,65.0789,10388.21,3050.91,2.55,2.18,-83.2,-0.404,18.89,19.72,01a59278o0498o
59278.551369,22.406,6.391,4,25,o,0,2.08,189.81079,65.0789,10336.83,2977.53,2.52,2.13,-84.6,-0.397,18.73,19.32,01a59278o0558o
59278.557822,-17.613,1.009,-327,330,o,0,0.85,189.81079,65.0789,10318.77,3097.85,2.42,2.23,-79.3,-0.386,16.24,16.62,01a59278o0572o
59286.431556,18.618,0.087,130,11,o,0,4.66,189.81079,65.0789,3677.19,3658.61,1.91,1.84,-89.2,-0.415,19.61,20.93,01a59286o0201o
59286.434781,18.42,0.06,156,9,o,0,6.09,189.81079,65.0789,3656.78,3620.61,2.02,1.89,-88.5,-0.406,19.84,21.23,01a59286o0208o
59286.437542,18.163,0.047,197,9,o,0,14.79,189.81079,65.0789,3721.58,3693.15,2.13,1.96,11.7,-0.395,19.77,21.19,01a59286o0214o
59286.44355,18.43,0.06,154,9,o,0,6.44,189.81079,65.0789,3737.17,3579.87,2.05,1.91,89.7,-0.408,19.56,21.01,01a59286o0227o
59288.437319,17.963,0.039,237,9,c,0,10.17,189.81079,65.0789,6154.98,1404.34,2.48,2.32,-78.2,-0.401,19.74,21.88,02a59288o0477c
59288.439147,18.042,0.044,220,10,c,0,6.65,189.81079,65.0789,6172.96,1445.35,2.46,2.32,-81.4,-0.4,19.77,21.88,02a59288o0481c
59288.442807,18.029,0.042,223,10,c,0,8.09,189.81079,65.0789,6120.64,1366.94,2.5,2.33,-72.2,-0.399,19.76,21.88,02a59288o0489c
59288.453079,18.05,0.047,219,10,c,0,3.15,189.81079,65.0789,6103.38,1484.36,2.48,2.34,-83.4,-0.397,19.72,21.88,02a59288o0511c
59292.432828,17.451,0.029,380,11,c,0,3.44,189.81079,65.0789,4358.23,4892.07,2.53,2.3,45.8,-0.396,19.73,21.73,02a59292o0452c
59292.434658,17.444,0.027,382,10,c,0,8.77,189.81079,65.0789,4376.79,4932.7,2.63,2.33,46.0,-0.384,19.69,21.73,02a59292o0456c
59292.440662,17.49,0.03,366,11,c,0,4.68,189.81079,65.0789,4321.18,4853.34,2.55,2.4,47.4,-0.394,19.66,21.74,02a59292o0469c
59292.448917,17.442,0.028,383,11,c,0,3.35,189.81079,65.0789,4303.51,4968.5,2.68,2.35,38.2,-0.384,19.66,21.75,02a59292o0487c
59294.56757,17.463,0.032,376,12,o,0,11.43,189.81079,65.0789,2792.34,1105.35,2.2,1.99,78.7,-0.432,19.73,21.11,01a59294o0247o
59294.571253,17.488,0.031,367,12,o,0,9.79,189.81079,65.0789,2811.78,1144.65,2.19,2.04,73.5,-0.442,19.72,21.09,01a59294o0255o
59294.577873,17.48,0.027,370,10,o,0,24.73,189.81079,65.0789,2757.16,1064.15,2.08,2.01,29.9,-0.426,19.73,21.08,01a59294o0269o
59294.588869,17.401,0.029,398,12,o,0,9.57,189.81079,65.0789,2744.85,1179.91,2.04,2.0,55.6,-0.427,19.78,21.18,01a59294o0292o
59298.402128,17.741,0.183,291,53,o,0,1.25,189.81079,65.0789,830.08,9573.8,2.43,2.08,-69.5,-0.427,18.04,18.09,01a59298o0398o
59298.403974,17.451,0.057,380,22,o,0,2.49,189.81079,65.0789,820.54,9533.27,2.41,2.16,-67.4,-0.429,18.63,19.09,01a59298o0402o
59298.426543,17.526,0.102,354,36,o,0,2.25,189.81079,65.0789,869.43,9614.28,2.3,1.93,-73.5,-0.43,18.28,18.37,01a59298o0450o
59298.429772,17.442,0.188,383,72,o,0,1.09,189.81079,65.0789,890.5,9495.04,2.33,1.95,-73.7,-0.446,17.58,17.42,01a59298o0457o
