MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59200.596496,-21.555,1.032,-9,9,c,0,1.4,157.6112,40.25058,5370.07,8553.37,2.63,2.45,49.1,-0.398,19.77,21.86,02a59200o0780c
59200.598326,22.746,3.2,3,9,c,0,1.3,157.6112,40.25058,5389.95,8594.38,2.73,2.44,48.6,-0.396,19.75,21.85,02a59200o0784c
59200.603691,-20.918,0.566,-16,9,c,0,0.96,157.6112,40.25058,5331.15,8515.14,2.59,2.42,49.1,-0.404,19.8,21.86,02a59200o0795c
59200.609228,22.251,1.719,5,8,c,0,1.75,157.6112,40.25058,5308.92,8632.74,2.61,2.43,49.4,-0.402,19.79,21.85,02a59200o0807c
59206.50319,21.287,0.704,11,8,c,0,1.15,157.6112,40.25058,4215.58,6465.8,2.88,2.59,7.8,-0.355,19.65,21.93,01a59206o0651c
59206.508746,22.255,1.941,4,9,c,0,0.88,157.6112,40.25058,4196.4,6427.11,2.98,2.48,9.4,-0.349,19.66,21.94,01a59206o0663c
59206.518898,22.291,1.718,4,8,c,0,1.09,157.6112,40.25058,4251.85,6499.87,2.51,2.41,-56.6,-0.378,19.77,21.94,01a59206o0685c
59206.523054,-23.894,7.125,-1,7,c,0,1.47,157.6112,40.25058,4271.14,6384.18,2.68,2.56,-2.6,-0.364,19.72,21.94,01a59206o0694c
59208.566019,21.261,0.776,11,9,c,0,1.37,157.6112,40.25058,3377.61,8630.71,2.6,2.42,48.0,-0.385,19.7,21.52,02a59208o0801c
59208.569218,21.755,1.462,7,10,c,0,1.19,157.6112,40.25058,3399.39,8668.22,2.59,2.49,58.0,-0.387,19.71,21.56,02a59208o0808c
59208.571979,-25.324,31.5,0,8,c,0,1.66,157.6112,40.25058,3340.78,8591.71,2.59,2.42,49.9,-0.387,19.71,21.57,02a59208o0814c
59208.578391,21.014,0.76,14,11,c,0,1.08,157.6112,40.25058,3321.15,8708.05,2.6,2.45,53.9,-0.389,19.7,21.58,02a59208o0828c
59212.505203,-21.266,1.681,-11,19,o,0,1.4,157.6112,40.25058,4727.6,497.58,2.07,1.86,-55.0,-0.461,18.83,19.24,02a59212o0685o
59212.512634,20.353,0.802,26,21,o,0,1.29,157.6112,40.25058,4745.8,532.65,2.02,1.9,-62.1,-0.458,18.82,19.27,02a59212o0701o
59212.532889,-20.115,0.58,-33,19,o,0,1.61,157.6112,40.25058,4689.0,453.71,2.0,1.89,-64.3,-0.456,18.84,19.32,02a59212o0742o
59212.537953,-20.2,0.63,-30,19,o,0,0.9,157.6112,40.25058,4671.41,572.16,2.08,1.97,-86.1,-0.437,18.85,19.32,02a59212o0753o
59214.463946,19.622,0.436,51,22,o,0,1.27,157.6112,40.25058,3232.09,2112.65,2.3,2.06,4.8,-0.389,18.63,18.8,01a59214o0591o
59214.46765,19.627,0.51,51,26,o,0,0.89,157.6112,40.25058,3211.15,2075.26,2.0,1.93,-15.6,-0.404,18.72,18.81,01a59214o0599o
59214.474103,20.432,1.048,24,26,o,0,0.83,157.6112,40.25058,3271.42,2152.4,2.13,2.0,-3.4,-0.401,18.69,18.83,01a59214o0613o
59214.48559,20.033,0.699,35,25,o,0,1.04,157.6112,40.25058,3287.74,2037.71,2.04,1.95,-11.7,-0.402,18.72,18.88,01a59214o0637o
59218.537563,19.34,0.21,67,14,o,0,1.28,157.6112,40.25058,290.85,8219.11,2.14,1.88,-66.9,-0.436,19.27,20.01,01a59218o0736o
59218.539407,19.177,0.171,78,13,o,0,1.5,157.6112,40.25058,272.11,8181.27,2.14,1.92,-72.4,-0.447,19.27,20.0,01a59218o0740o
59218.5431,19.399,0.23,63,14,o,0,1.07,157.6112,40.25058,330.29,8258.16,2.11,1.96,-38.7,-0.428,19.29,20.01,01a59218o0748o
59218.548175,19.246,0.192,73,14,o,0,1.39,157.6112,40.25058,10011.66,8200.75,2.55,2.2,36.4,-0.384,19.14,19.96,01a59218o0759o
59218.548637,19.144,0.174,80,14,o,0,1.56,157.6112,40.25058,350.42,8141.15,2.32,2.05,-43.1,-0.416,19.24,20.03,01a59218o0760o
59218.550021,19.631,0.32,51,16,o,0,1.18,157.6112,40.25058,9991.57,8160.41,2.37,2.15,45.2,-0.388,19.22,19.96,01a59218o0763o
59218.552812,19.038,0.216,88,19,o,0,0.88,157.6112,40.25058,10050.25,8240.56,2.56,2.26,35.4,-0.386,19.14,19.97,01a59218o0769o
59218.579014,19.284,0.225,70,16,o,0,0.97,157.6112,40.25058,10066.21,8127.42,2.67,2.14,24.2,-0.376,19.2,20.0,01a59218o0825o
59220.599425,18.775,0.101,112,11,o,0,1.48,157.6112,40.25058,4406.83,4246.46,2.18,1.82,31.7,-0.447,19.54,20.61,02a59220o0875o
59220.633769,18.733,0.096,117,11,o,0,1.35,157.6112,40.25058,4387.01,4205.11,2.17,1.76,34.2,-0.445,19.57,20.6,02a59220o0949o
59220.640674,19.085,0.143,84,12,o,0,0.97,157.6112,40.25058,4443.3,4282.18,2.17,1.78,33.4,-0.446,19.54,20.6,02a59220o0964o
59220.643472,18.783,0.108,111,12,o,0,1.46,157.6112,40.25058,4463.23,4166.18,2.51,1.81,35.3,-0.438,19.53,20.62,02a59220o0970o
59222.487928,18.343,0.062,167,10,c,0,1.12,157.6112,40.25058,10006.94,8202.93,2.86,2.59,70.2,-0.337,19.76,21.9,01a59222o0633c
59222.48885,18.628,0.072,128,9,c,0,1.55,157.6112,40.25058,295.04,8210.24,2.66,2.45,-57.5,-0.389,19.76,21.92,01a59222o0635c
59222.492073,18.427,0.073,155,11,c,0,1.05,157.6112,40.25058,275.25,8173.4,2.59,2.32,-60.3,-0.393,19.81,21.92,01a59222o0642c
59222.494407,18.54,0.066,139,9,c,0,0.96,157.6112,40.25058,9987.73,8162.46,2.69,2.51,66.1,-0.352,19.81,21.85,01a59222o0647c
59222.503424,18.388,0.062,160,10,c,0,1.14,157.6112,40.25058,333.08,8251.93,2.8,2.55,-66.7,-0.389,19.71,21.92,01a59222o0665c
59222.511007,18.365,0.057,164,9,c,0,1.58,157.6112,40.25058,10049.1,8243.72,2.93,2.64,70.2,-0.344,19.74,21.92,01a59222o0681c
59222.51239,18.601,0.072,132,10,c,0,1.27,157.6112,40.25058,354.49,8136.68,2.95,2.7,-66.1,-0.372,19.64,21.91,01a59222o0684c
59222.523007,18.388,0.065,160,10,c,0,1.33,157.6112,40.25058,10063.86,8122.97,3.16,2.82,49.9,-0.327,19.61,21.85,01a59222o0704c
59226.4852,18.57,0.074,136,10,c,0,0.99,157.6112,40.25058,9191.12,1862.37,3.28,3.11,-20.4,-0.333,19.62,22.14,01a59226o0590c
59226.510941,18.353,0.045,166,8,c,0,2.44,157.6112,40.25058,9165.94,1820.22,2.81,2.72,-65.6,-0.36,19.79,22.21,01a59226o0645c
59226.514633,18.295,0.052,175,9,c,0,1.22,157.6112,40.25058,9227.66,1899.09,2.76,2.64,-41.1,-0.369,19.84,22.21,01a59226o0653c
59226.520671,18.452,0.065,151,10,c,0,1.21,157.6112,40.25058,9248.05,1782.04,2.99,2.82,-0.6,-0.322,19.78,22.2,01a59226o0666c
59228.564723,18.311,0.05,172,9,c,0,2.19,157.6112,40.25058,8091.2,8255.95,2.8,2.69,43.5,-0.384,19.69,21.83,02a59228o0724c
59228.59757,18.578,0.075,135,10,c,0,1.13,157.6112,40.25058,8067.6,8217.35,2.69,2.62,46.7,-0.388,19.78,21.81,02a59228o0795c
59228.600779,18.366,0.061,164,10,c,0,1.48,157.6112,40.25058,8126.94,8296.02,2.67,2.63,55.2,-0.39,19.75,21.81,02a59228o0802c
59228.606265,18.46,0.067,150,10,c,0,1.33,157.6112,40.25058,8145.19,8179.28,2.69,2.55,38.4,-0.389,19.78,21.8,02a59228o0814c
59230.453103,18.419,0.062,156,10,c,0,1.36,157.6112,40.25058,9202.74,1868.39,2.8,2.57,10.2,-0.394,19.79,21.92,01a59230o0553c
59230.468999,18.378,0.061,162,10,c,0,1.46,157.6112,40.25058,9175.57,1823.7,2.57,2.22,-89.7,-0.406,19.86,21.94,01a59230o0586c
59230.470908,18.486,0.062,146,9,c,0,1.41,157.6112,40.25058,9236.52,1905.1,2.54,2.19,87.2,-0.408,19.84,21.92,01a59230o0590c
59230.476096,18.353,0.065,166,11,c,0,0.95,157.6112,40.25058,9257.92,1788.22,2.77,2.55,14.8,-0.373,19.79,21.96,01a59230o0601c
59238.465871,21.161,2.693,12,34,o,0,1.43,157.6112,40.25058,6204.93,8307.66,1.94,1.89,81.9,-0.407,18.07,18.26,01a59238o0552o
59238.471315,19.737,0.723,46,33,o,0,1.07,157.6112,40.25058,6184.79,8268.8,1.92,1.91,-55.6,-0.405,18.35,18.63,01a59238o0563o
59238.477822,19.223,0.272,74,20,o,0,0.86,157.6112,40.25058,6241.3,8348.73,2.02,1.96,87.1,-0.402,18.97,19.46,01a59238o0577o
59238.483396,19.368,0.308,65,20,o,0,0.97,157.6112,40.25058,6260.95,8232.71,2.08,1.98,-10.2,-0.404,18.62,19.18,01a59238o0589o
59246.46084,19.33,0.189,67,13,o,0,1.21,157.6112,40.25058,2449.88,4377.58,1.81,1.73,70.9,-0.448,19.38,19.84,01a59246o0539o
59246.464069,19.253,0.178,72,13,o,0,1.22,157.6112,40.25058,2430.48,4338.09,1.82,1.76,64.6,-0.435,19.36,19.84,01a59246o0546o
59246.466838,19.183,0.182,77,14,o,0,1.38,157.6112,40.25058,2488.96,4414.29,1.93,1.84,72.2,-0.434,19.32,19.84,01a59246o0552o
59246.482195,19.165,0.16,78,12,o,0,1.52,157.6112,40.25058,2505.77,4301.01,1.93,1.86,83.4,-0.443,19.29,19.86,01a59246o0584o
59250.544056,19.439,0.144,61,9,o,0,1.63,157.6112,40.25058,2140.33,6011.57,2.0,1.9,-61.5,-0.425,19.65,20.92,01a59250o0635o
59250.5473,19.795,0.193,44,8,o,0,1.75,157.6112,40.25058,2161.08,6051.17,2.02,1.94,-51.5,-0.419,19.61,20.88,01a59250o0642o
59250.555139,19.221,0.141,74,10,o,0,1.06,157.6112,40.25058,2102.43,5971.76,2.05,1.95,-71.9,-0.421,19.62,20.87,01a59250o0659o
59250.565368,19.629,0.225,51,12,o,0,1.23,157.6112,40.25058,2086.31,6087.63,2.18,2.06,-16.5,-0.403,19.54,20.84,01a59250o0681o
59252.489946,19.82,0.184,43,8,c,0,1.15,157.6112,40.25058,2087.53,10310.1,2.64,2.06,-50.4,-0.415,19.84,21.87,02a59252o0619c
59252.493196,19.455,0.132,60,8,c,0,1.81,157.6112,40.25058,2068.23,10271.24,2.49,2.11,-51.9,-0.422,19.85,21.88,02a59252o0626c
59252.499643,19.336,0.116,67,8,c,0,1.82,157.6112,40.25058,2123.14,10347.74,2.62,2.09,-52.0,-0.427,19.85,21.87,02a59252o0640c
59252.503844,20.199,0.292,30,9,c,0,1.45,157.6112,40.25058,9623.76,131.92,2.58,2.04,-59.0,-0.427,19.85,21.9,02a59252o0649c
59252.506624,19.911,0.236,39,9,c,0,1.14,157.6112,40.25058,9604.37,91.91,2.57,2.05,-59.0,-0.423,19.86,21.9,02a59252o0655c
59252.514696,19.477,0.168,59,10,c,0,1.07,157.6112,40.25058,9660.9,171.58,2.46,2.06,-60.6,-0.429,19.83,21.91,02a59252o0672c
59252.515153,19.673,0.193,49,10,c,0,0.66,157.6112,40.25058,2141.8,10229.18,2.59,2.15,-51.7,-0.437,19.86,21.88,02a59252o0673c
59252.524797,20.291,0.409,28,11,c,0,1.14,157.6112,40.25058,9689.39,56.87,2.6,2.07,-59.3,-0.419,19.84,21.93,02a59252o0694c
59254.510308,19.745,0.179,46,8,c,0,1.02,157.6112,40.25058,2136.46,6010.74,2.65,2.31,-85.8,-0.404,19.78,22.02,01a59254o0656c
59254.534718,19.657,0.174,50,9,c,0,0.85,157.6112,40.25058,2163.34,6047.49,2.59,2.19,-87.2,-0.413,19.81,22.05,01a59254o0708c
59254.538459,19.654,0.16,50,8,c,0,1.52,157.6112,40.25058,2103.6,5969.59,2.56,2.18,-87.3,-0.413,19.84,22.06,01a59254o0716c
59254.544528,20.02,0.199,36,7,c,0,1.95,157.6112,40.25058,2085.39,6085.92,2.68,2.29,-86.2,-0.404,19.78,22.07,01a59254o0729c
59256.357136,19.713,0.253,47,12,c,0,1.04,157.6112,40.25058,8476.9,249.84,2.52,2.38,-60.6,-0.377,19.61,21.7,02a59256o0326c
59256.3869,20.006,0.42,36,15,c,0,0.94,157.6112,40.25058,8510.28,289.96,2.64,2.38,-46.2,-0.378,19.69,21.77,02a59256o0389c
59256.396287,19.836,0.243,42,10,c,0,1.3,157.6112,40.25058,8448.25,214.11,2.6,2.22,-54.9,-0.385,19.75,21.81,02a59256o0409c
59256.406886,19.917,0.288,39,11,c,0,1.25,157.6112,40.25058,8430.56,332.04,2.44,2.26,-63.3,-0.386,19.73,21.85,02a59256o0432c
59256.447801,20.07,0.265,34,9,c,0,1.57,157.6112,40.25058,966.12,10437.14,2.58,2.34,-51.8,-0.437,19.78,21.97,02a59256o0520c
59256.449631,21.847,2.0,7,13,c,0,1.18,157.6112,40.25058,986.57,10477.14,2.6,2.33,-50.3,-0.448,19.78,21.97,02a59256o0524c
59256.452376,19.616,0.162,52,8,c,0,2.39,157.6112,40.25058,926.2,10396.51,2.59,2.32,-46.2,-0.444,19.8,21.97,02a59256o0530c
59256.457867,-21.513,11.206,-9,101,c,0,0.04,157.6112,40.25058,904.1,10515.68,2.57,2.26,-51.8,-0.464,19.82,21.97,02a59256o0542c
59258.475075,21.343,0.753,10,8,c,0,1.39,157.6112,40.25058,6515.88,402.46,2.64,2.53,-23.1,-0.382,19.78,21.92,01a59258o0583c
59258.506841,20.176,0.448,31,14,c,0,1.39,157.6112,40.25058,9213.9,10490.83,2.71,2.63,41.9,-0.359,19.76,21.93,01a59258o0651c
59258.507301,20.91,0.509,16,8,c,0,1.37,157.6112,40.25058,6540.56,434.86,2.8,2.67,-30.5,-0.37,19.72,21.91,01a59258o0652c
59258.510071,19.857,0.198,41,8,c,0,1.29,157.6112,40.25058,6483.81,356.11,2.7,2.48,-20.8,-0.379,19.75,21.91,01a59258o0658c
59258.516525,19.949,0.23,38,9,c,0,1.03,157.6112,40.25058,6467.12,473.46,3.0,2.79,-25.6,-0.339,19.68,21.9,01a59258o0672c
59258.668434,20.543,1.975,22,44,c,0,1.12,157.6112,40.25058,6535.21,412.59,3.12,2.96,-23.8,-0.351,17.96,18.75,01a59258o0994c
59262.409208,23.715,5.692,1,7,c,0,1.55,157.6112,40.25058,3992.3,10163.13,2.26,2.16,-78.7,-0.393,19.88,21.84,01a59262o0422c
59262.410133,23.991,16.333,1,15,c,0,1.01,157.6112,40.25058,1375.62,43.53,2.39,2.19,40.1,-0.441,19.83,21.86,01a59262o0424c
59262.411053,19.83,0.18,42,8,c,0,1.54,157.6112,40.25058,3973.94,10123.97,2.33,2.19,-81.7,-0.39,19.85,21.84,01a59262o0426c
59262.414741,20.205,0.275,30,8,c,0,1.24,157.6112,40.25058,4028.99,10201.36,2.3,2.11,-82.5,-0.39,19.84,21.85,01a59262o0434c
59262.41981,20.419,0.295,25,7,c,0,1.33,157.6112,40.25058,4048.24,10083.77,2.24,2.13,-56.3,-0.399,19.86,21.84,01a59262o0445c
59266.449155,21.395,1.108,10,11,o,0,2.07,157.6112,40.25058,8315.4,4435.11,1.99,1.98,-36.8,-0.43,19.24,19.79,01a59266o0077o
59266.453413,19.92,0.275,39,11,o,0,1.11,157.6112,40.25058,8334.72,4471.69,2.07,1.97,-74.2,-0.441,19.52,20.33,01a59266o0086o
59266.459403,20.203,0.365,30,11,o,0,0.92,157.6112,40.25058,8278.08,4395.14,2.0,1.97,-42.2,-0.439,19.61,20.47,01a59266o0099o
59266.469626,20.541,0.53,22,12,o,0,1.67,157.6112,40.25058,8260.92,4509.43,2.14,2.01,-77.7,-0.436,19.36,20.17,01a59266o0121o
59267.450579,19.919,0.328,39,13,o,0,0.89,157.6112,40.25058,2201.74,8053.67,2.16,2.1,6.5,-0.419,19.33,20.31,02a59267o0486o
59267.454805,21.601,1.359,8,11,o,0,1.35,157.6112,40.25058,2182.24,8014.44,2.1,2.05,-14.0,-0.423,19.35,20.31,02a59267o0495o
59267.461797,21.311,1.463,11,16,o,0,0.87,157.6112,40.25058,2241.02,8099.1,2.19,2.14,-16.3,-0.415,19.33,20.31,02a59267o0509o
59267.478396,20.265,0.518,28,15,o,0,1.04,157.6112,40.25058,2259.75,7976.81,2.09,1.99,-17.9,-0.427,19.37,20.31,02a59267o0541o
59269.325189,19.712,0.375,47,18,o,0,1.55,157.6112,40.25058,2215.99,6113.98,2.17,1.93,-87.0,-0.429,18.97,19.25,01a59269o0247o
59269.337664,19.381,0.291,64,19,o,0,1.65,157.6112,40.25058,2197.58,6077.1,2.26,2.06,-83.1,-0.422,18.91,19.29,01a59269o0274o
59269.349656,20.808,1.005,17,17,o,0,1.39,157.6112,40.25058,2254.94,6154.07,2.16,2.03,-79.5,-0.424,18.99,19.33,01a59269o0298o
59269.357103,20.512,0.842,23,19,o,0,0.9,157.6112,40.25058,2274.65,6038.85,2.31,2.11,-85.1,-0.418,18.93,19.35,01a59269o0314o
59276.583692,24.019,17.143,1,15,o,0,0.88,157.6112,40.25058,6346.11,4158.82,2.5,2.05,36.8,-0.423,19.07,19.83,02a59276o0240o
59276.588333,21.364,1.613,10,17,o,0,1.33,157.6112,40.25058,6326.18,4116.59,2.49,2.05,36.3,-0.428,19.04,19.8,02a59276o0250o
59276.595695,20.453,0.638,24,15,o,0,1.2,157.6112,40.25058,6387.65,4193.98,2.3,2.06,34.2,-0.427,19.06,19.75,02a59276o0266o
59276.606197,19.433,0.263,61,16,o,0,1.42,157.6112,40.25058,6407.61,4080.03,2.52,2.1,36.6,-0.424,18.98,19.68,02a59276o0288o
59278.460793,19.359,0.241,66,16,o,0,1.25,157.6112,40.25058,2771.69,592.2,1.98,1.94,21.7,-0.437,19.16,20.02,01a59278o0364o
59278.464037,22.102,3.711,5,19,o,0,1.07,157.6112,40.25058,2791.7,631.41,2.03,2.0,3.3,-0.436,18.93,19.77,01a59278o0371o
59278.47005,-24.185,22.167,-1,17,o,0,1.48,157.6112,40.25058,2735.73,551.65,2.04,1.98,-73.0,-0.437,18.99,19.77,01a59278o0384o
59278.481153,20.869,0.986,16,16,o,0,1.46,157.6112,40.25058,2720.12,667.37,2.05,1.94,-26.4,-0.419,19.02,19.75,01a59278o0408o
59288.417745,20.274,0.322,28,9,c,0,1.2,157.6112,40.25058,1122.91,1777.31,2.35,2.29,-77.9,-0.419,19.82,21.86,02a59288o0436c
59288.421943,20.319,0.261,27,7,c,0,1.59,157.6112,40.25058,1104.04,1742.99,2.37,2.27,-59.5,-0.42,19.83,21.88,02a59288o0445c
59288.455066,21.834,1.109,7,7,c,0,1.31,157.6112,40.25058,1161.15,1813.33,2.38,2.28,59.5,-0.414,19.8,21.83,02a59288o0515c
59288.460607,21.399,0.797,10,8,c,0,1.1,157.6112,40.25058,1181.21,1691.42,2.43,2.35,79.0,-0.41,19.78,21.81,02a59288o0527c
59294.47136,22.545,1.92,4,7,o,0,1.8,157.6112,40.25058,5373.78,8546.92,1.84,1.76,-40.7,-0.425,19.94,21.24,01a59294o0045o
59294.475977,20.896,0.65,16,10,o,0,0.52,157.6112,40.25058,5395.06,8585.46,1.85,1.75,-55.3,-0.428,19.9,21.19,01a59294o0055o
59294.481124,22.208,1.641,5,8,o,0,1.26,157.6112,40.25058,5337.11,8507.53,1.91,1.81,-13.2,-0.416,19.88,21.16,01a59294o0066o
59300.409133,19.946,1.61,38,61,o,0,1.09,157.6112,40.25058,7576.21,197.06,2.1,1.84,-61.6,-0.428,17.58,17.42,02a59300o0379o
59300.412347,-18.304,0.573,-173,99,o,0,2.02,157.6112,40.25058,7556.46,156.62,2.11,1.83,-64.8,-0.493,16.99,16.7,02a59300o0386o
59300.418377,-20.665,2.59,-20,51,o,0,1.06,157.6112,40.25058,7616.77,235.94,2.04,1.74,-62.2,-0.483,17.86,17.73,02a59300o0399o
59300.428444,23.496,31.462,2,46,o,0,1.96,157.6112,40.25058,7640.04,117.12,2.05,1.75,-62.6,-0.51,17.86,17.67,02a59300o0421o
59304.355047,-20.28,0.9,-28,25,o,0,1.25,157.6112,40.25058,186.74,10492.96,3.0,1.47,-55.6,-0.532,19.29,19.99,02a59304o0296o
59304.355504,23.213,7.429,2,14,o,0,1.23,157.6112,40.25058,7580.14,200.76,2.07,1.68,-60.1,-0.465,19.26,19.97,02a59304o0297o
59304.358249,22.078,4.649,5,25,o,0,1.1,157.6112,40.25058,168.15,10454.23,2.95,1.44,-56.0,-0.499,19.29,19.98,02a59304o0303o
59304.358706,-20.81,0.783,-17,14,o,0,1.28,157.6112,40.25058,7559.85,161.3,2.07,1.65,-58.6,-0.48,19.25,19.94,02a59304o0304o
59304.364666,20.921,1.0,16,16,o,0,0.91,157.6112,40.25058,7618.82,240.56,2.14,1.76,-58.0,-0.461,19.21,19.96,02a59304o0317o
59304.367419,19.515,0.522,57,30,o,0,1.01,157.6112,40.25058,9778.62,10495.96,2.48,2.04,-62.1,-0.437,19.2,20.14,02a59304o0323o
59304.398936,21.394,2.129,10,21,o,0,0.76,157.6112,40.25058,240.94,10407.48,2.53,1.45,-54.7,-0.652,19.23,19.88,02a59304o0385o
59304.399398,-21.62,1.831,-8,15,o,0,1.01,157.6112,40.25058,7640.68,122.79,2.13,1.68,-57.3,-0.461,19.2,19.88,02a59304o0386o
59304.401236,-21.01,1.252,-14,18,o,0,1.24,157.6112,40.25058,9756.3,10454.67,2.52,1.99,-56.0,-0.451,19.22,19.85,02a59304o0390o
59304.432745,-20.969,2.907,-15,43,o,0,1.31,157.6112,40.25058,9835.15,10418.16,2.93,2.1,-56.4,-0.427,18.45,18.78,02a59304o0456o
59306.442166,21.625,1.106,8,9,o,0,2.02,157.6112,40.25058,4662.55,496.65,1.93,1.87,-50.0,-0.435,19.52,20.27,01a59306o0099o
59306.445403,20.861,0.663,16,11,o,0,1.29,157.6112,40.25058,4682.32,536.53,2.01,1.93,-56.1,-0.427,19.48,20.28,01a59306o0106o
59306.450931,-22.709,3.735,-3,11,o,0,1.54,157.6112,40.25058,4626.87,457.76,2.06,1.97,-62.3,-0.43,19.48,20.25,01a59306o0118o
59306.462008,-22.062,1.984,-5,11,o,0,1.59,157.6112,40.25058,4612.94,575.56,2.02,1.93,-74.7,-0.433,19.43,20.19,01a59306o0142o
59308.514585,-18.673,1.518,-123,187,o,0,1.11,157.6112,40.25058,4192.21,6476.68,1.94,1.8,61.1,-0.453,17.16,19.76,02a59308o0192o
59308.518253,17.875,4.312,257,1108,o,0,1.29,157.6112,40.25058,4173.52,6436.81,1.92,1.8,56.9,-0.45,13.49,16.14,02a59308o0200o
