MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59277.608375,20.962,0.804,15,12,o,0,1.13,245.54176,21.22221,9611.42,3612.84,2.41,2.1,-77.4,-0.431,19.44,20.32,01a59277o0735o
59277.611611,-20.7,0.712,-19,14,o,0,0.87,245.54176,21.22221,9590.8,3571.82,2.39,2.07,-80.7,-0.428,19.47,20.26,01a59277o0742o
59277.616018,20.774,0.837,18,15,o,0,1.05,245.54176,21.22221,9649.99,3651.8,2.53,2.33,-79.3,-0.409,19.33,20.25,01a59277o0751o
59277.623309,-21.721,2.0,-7,15,o,0,1.11,245.54176,21.22221,9668.77,3534.94,2.41,2.16,-78.6,-0.421,19.37,20.16,01a59277o0766o
59291.557709,19.278,0.118,71,8,c,0,1.49,245.54176,21.22221,1978.77,8504.42,2.39,2.31,-36.6,-0.415,19.77,21.78,02a59291o0480c
59291.560895,19.511,0.2,57,11,c,0,1.12,245.54176,21.22221,2000.64,8543.28,2.99,2.84,-42.6,-0.385,19.51,21.76,02a59291o0486c
59291.563646,19.321,0.126,68,8,c,0,1.66,245.54176,21.22221,1941.22,8464.01,2.66,2.48,-45.1,-0.399,19.67,21.79,02a59291o0492c
59291.569153,19.323,0.141,68,10,c,0,1.0,245.54176,21.22221,1920.3,8581.65,2.57,2.35,-43.3,-0.405,19.71,21.78,02a59291o0503c
59293.544393,18.689,0.072,122,9,o,0,1.11,245.54176,21.22221,3855.47,5831.66,2.03,1.98,-61.9,-0.426,19.82,21.17,01a59293o0568o
59293.546702,18.771,0.078,113,9,o,0,0.98,245.54176,21.22221,3833.01,5789.26,1.94,1.84,-62.0,-0.425,19.9,21.18,01a59293o0573o
59293.551705,18.692,0.112,121,14,o,0,0.5,245.54176,21.22221,3890.85,5868.73,2.02,1.89,87.2,-0.426,19.63,21.46,01a59293o0583o
59293.55714,18.724,0.073,118,9,o,0,1.59,245.54176,21.22221,3910.83,5753.64,1.93,1.86,-51.7,-0.419,19.86,21.18,01a59293o0594o
59297.529859,18.165,0.058,197,11,o,0,1.19,245.54176,21.22221,5779.53,5726.38,1.95,1.84,-65.5,-0.399,19.58,20.27,01a59297o0510o
59297.53216,18.052,0.06,218,13,o,0,0.78,245.54176,21.22221,5760.41,5687.53,2.01,1.91,-60.2,-0.404,19.53,20.28,01a59297o0515o
59297.542518,18.024,0.065,224,14,o,0,1.22,245.54176,21.22221,5816.28,5763.22,2.16,2.06,-87.0,-0.411,19.24,20.45,01a59297o0536o
59297.547805,18.087,0.047,212,10,o,0,2.31,245.54176,21.22221,5835.46,5645.53,2.13,2.07,-60.6,-0.409,19.47,20.42,01a59297o0547o
59299.522706,18.041,0.065,221,14,o,0,2.07,245.54176,21.22221,8775.94,6548.04,2.44,2.05,38.6,-0.417,19.12,19.68,02a59299o0647o
59299.524562,17.91,0.071,249,18,o,0,1.38,245.54176,21.22221,8795.44,6585.75,2.31,2.04,42.1,-0.434,19.11,19.69,02a59299o0651o
59299.527318,17.865,0.072,259,19,o,0,1.07,245.54176,21.22221,8736.46,6511.03,2.26,2.01,41.0,-0.433,19.11,19.68,02a59299o0657o
59299.535992,18.112,0.076,207,16,o,0,2.43,245.54176,21.22221,8718.85,6626.86,2.3,2.01,41.8,-0.428,19.07,19.65,02a59299o0675o
59303.492162,18.109,0.128,207,26,o,0,1.2,245.54176,21.22221,8774.31,6548.57,2.26,2.11,39.5,-0.428,18.72,18.93,02a59303o0388o
