MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59278.527028,-21.329,0.91,-11,10,o,0,6.05,184.14321,60.36458,1914.31,2288.9,1.99,1.81,59.2,-0.436,19.44,20.37,01a59278o0506o
59278.554133,-21.483,2.8,-9,26,o,0,1.28,184.14321,60.36458,1939.61,2325.34,2.23,2.11,65.6,-0.433,18.23,18.92,01a59278o0564o
59278.557362,-19.322,0.955,-68,65,o,0,1.44,184.14321,60.36458,1882.57,2244.41,2.01,1.93,42.9,-0.43,17.95,18.39,01a59278o0571o
59278.585768,19.379,0.339,64,22,o,0,2.97,184.14321,60.36458,1874.71,2357.07,1.99,1.9,83.4,-0.424,18.59,19.13,01a59278o0631o
59286.42368,-20.071,0.227,-34,8,o,0,2.81,184.14321,60.36458,2949.48,4711.22,1.93,1.9,14.6,-0.417,19.88,21.32,01a59286o0185o
59286.426488,-19.813,0.185,-43,8,o,0,6.06,184.14321,60.36458,2927.2,4675.23,1.84,1.8,76.8,-0.423,19.92,21.26,01a59286o0190o
59286.429712,20.235,0.293,29,9,o,0,4.25,184.14321,60.36458,2986.26,4750.71,1.92,1.8,-88.8,-0.423,19.91,21.28,01a59286o0197o
59286.436162,20.346,0.343,26,9,o,0,5.04,184.14321,60.36458,3006.17,4632.85,2.13,2.04,57.0,-0.41,19.59,21.05,01a59286o0211o
59288.432693,-19.844,0.245,-42,10,c,0,2.01,184.14321,60.36458,6558.86,354.54,2.49,2.21,-66.3,-0.414,19.82,21.91,02a59288o0467c
59288.435489,-19.766,0.156,-45,7,c,0,3.33,184.14321,60.36458,6572.97,393.19,2.51,2.31,84.6,-0.404,19.73,21.92,02a59288o0473c
59288.437319,-19.219,0.134,-74,10,c,0,1.67,184.14321,60.36458,832.12,10424.71,2.57,2.26,-54.6,-0.479,19.74,21.88,02a59288o0477c
59288.438232,-19.543,0.133,-55,7,c,0,2.75,184.14321,60.36458,6519.3,315.83,2.48,2.27,80.9,-0.405,19.69,21.92,02a59288o0479c
59288.439147,-18.129,0.063,-203,13,c,0,3.05,184.14321,60.36458,852.9,10467.68,2.48,2.26,-54.8,-0.48,19.77,21.88,02a59288o0481c
59288.442807,-20.487,0.432,-23,10,c,0,2.7,184.14321,60.36458,790.56,10383.15,2.43,2.22,-50.7,-0.503,19.76,21.88,02a59288o0489c
59288.449417,-20.366,0.338,-26,9,c,0,2.08,184.14321,60.36458,6506.54,434.36,2.46,2.21,-67.6,-0.418,19.75,21.92,02a59288o0503c
59288.453079,-17.585,0.044,-336,15,c,0,5.19,184.14321,60.36458,767.0,10499.53,2.45,2.25,-51.0,-0.502,19.72,21.88,02a59288o0511c
59288.635642,21.132,0.7,13,9,c,0,2.11,184.14321,60.36458,3155.51,3375.55,2.5,2.33,44.8,-0.393,19.51,21.35,02a59288o0900c
59288.636099,-21.916,1.643,-6,10,c,0,1.53,184.14321,60.36458,3135.33,3336.91,2.65,2.32,48.2,-0.395,19.49,21.34,02a59288o0901c
59288.636556,-20.823,0.571,-17,10,c,0,1.45,184.14321,60.36458,3195.32,3412.61,2.7,2.35,45.0,-0.386,19.52,21.33,02a59288o0902c
59288.637014,19.69,0.205,48,10,c,0,2.18,184.14321,60.36458,3215.66,3295.61,2.6,2.32,43.5,-0.392,19.53,21.33,02a59288o0903c
59288.637471,23.692,9.25,1,11,c,0,1.52,184.14321,60.36458,3175.28,3354.63,2.67,2.36,43.3,-0.392,19.51,21.33,02a59288o0904c
59292.424424,20.148,0.292,32,9,c,0,2.31,184.14321,60.36458,4834.55,3866.24,2.5,2.33,52.7,-0.397,19.71,21.76,02a59292o0434c
59292.426285,19.473,0.149,59,9,c,0,2.12,184.14321,60.36458,4855.61,3903.46,2.54,2.34,49.2,-0.399,19.72,21.77,02a59292o0438c
59292.430999,19.843,0.211,42,9,c,0,2.51,184.14321,60.36458,4800.84,3826.31,2.6,2.35,46.7,-0.396,19.72,21.78,02a59292o0448c
59292.44112,20.39,0.309,25,8,c,0,2.1,184.14321,60.36458,4784.44,3944.03,2.6,2.35,44.4,-0.397,19.72,21.77,02a59292o0470c
59294.513472,19.37,0.124,65,8,o,0,6.27,184.14321,60.36458,7241.61,10219.65,1.9,1.8,-72.2,-0.399,19.83,21.11,01a59294o0134o
59294.531464,18.973,0.094,94,9,o,0,5.27,184.14321,60.36458,7262.48,10260.36,1.99,1.93,-48.3,-0.399,19.78,21.09,01a59294o0171o
59294.535251,18.832,0.073,106,8,o,0,5.45,184.14321,60.36458,7197.71,10182.81,1.93,1.78,-71.0,-0.401,19.81,21.1,01a59294o0179o
59294.541748,19.792,0.174,44,8,o,0,5.21,184.14321,60.36458,7178.38,10301.93,1.99,1.82,-72.4,-0.398,19.77,21.06,01a59294o0193o
59298.402128,18.149,0.215,200,43,o,0,1.76,184.14321,60.36458,5471.55,195.9,2.27,2.22,-24.5,-0.408,18.04,18.09,01a59298o0398o
59298.403974,17.899,0.094,251,24,o,0,1.8,184.14321,60.36458,5457.68,153.37,2.59,2.38,-9.8,-0.403,18.63,19.09,01a59298o0402o
59298.426543,17.847,0.125,264,33,o,0,0.9,184.14321,60.36458,5511.1,236.63,2.21,2.08,-26.4,-0.403,18.28,18.37,01a59298o0450o
59298.429772,18.193,0.313,192,60,o,0,1.7,184.14321,60.36458,5533.19,118.52,2.19,2.1,-35.5,-0.428,17.58,17.42,01a59298o0457o
59298.484935,17.562,0.077,343,26,o,0,3.96,184.14321,60.36458,1145.57,92.1,2.29,2.03,60.7,-0.435,18.87,19.24,01a59298o0576o
59298.48777,17.836,0.141,266,38,o,0,2.02,184.14321,60.36458,1166.31,131.99,2.07,1.9,49.8,-0.463,18.61,19.01,01a59298o0582o
59298.519828,-21.239,2.426,-12,28,o,0,1.53,184.14321,60.36458,1117.85,44.8,2.21,1.96,60.8,-0.474,18.97,19.39,01a59298o0650o
59298.54841,17.695,0.063,303,19,o,0,3.28,184.14321,60.36458,1107.9,156.83,1.97,1.83,57.5,-0.447,19.05,19.39,01a59298o0711o
59300.44812,16.38,0.705,1019,718,o,0,0.66,184.14321,60.36458,1174.35,8782.69,2.31,1.87,-51.3,-0.547,16.18,15.88,02a59300o0464o
59300.448577,-17.361,1.81,-413,747,o,0,0.95,184.14321,60.36458,10293.48,8869.57,2.56,2.15,-61.6,-0.603,16.01,15.65,02a59300o0465o
59300.451795,-19.511,9.907,-57,564,o,0,1.7,184.14321,60.36458,1156.49,8744.67,2.34,1.91,-52.1,-0.546,16.56,16.2,02a59300o0472o
59300.452252,-18.992,5.168,-92,475,o,0,1.32,184.14321,60.36458,10274.05,8829.27,2.56,2.17,-60.5,-0.5,16.58,16.22,02a59300o0473o
59300.458213,20.452,31.162,24,746,o,0,1.42,184.14321,60.36458,1208.83,8814.72,2.31,2.11,-42.2,-0.538,16.18,15.85,02a59300o0486o
59300.458671,17.5,1.505,363,546,o,0,1.73,184.14321,60.36458,10327.68,8909.6,2.58,2.34,-76.1,-0.475,16.31,15.95,02a59300o0487o
59300.492589,17.32,0.353,428,151,o,0,2.36,184.14321,60.36458,1227.44,8693.71,2.35,1.96,-47.7,-0.583,17.31,17.18,02a59300o0560o
59300.493046,17.651,0.486,316,154,o,0,1.65,184.14321,60.36458,10345.7,8796.28,2.72,2.28,-56.7,-0.411,17.42,17.36,02a59300o0561o
59304.371836,17.503,0.049,362,18,o,0,1.71,184.14321,60.36458,9419.12,1777.57,2.29,1.85,-55.9,-0.469,19.11,19.8,02a59304o0332o
59304.376974,17.401,0.047,398,18,o,0,2.3,184.14321,60.36458,9437.19,1817.3,2.28,1.88,-57.9,-0.464,19.11,19.79,02a59304o0343o
59304.380184,17.502,0.049,362,18,o,0,1.97,184.14321,60.36458,9384.81,1744.17,2.32,1.89,-56.2,-0.459,19.12,19.78,02a59304o0350o
59304.407127,17.386,0.05,403,20,o,0,1.81,184.14321,60.36458,9373.76,1864.19,2.28,1.9,-54.6,-0.451,19.08,19.67,02a59304o0401o
59304.409523,17.247,0.043,458,20,o,0,2.13,184.14321,60.36458,312.9,1698.48,2.41,1.89,-55.4,-0.442,19.05,19.63,02a59304o0406o
59304.414582,17.415,0.043,393,17,o,0,3.51,184.14321,60.36458,333.02,1740.28,2.36,2.0,-53.5,-0.442,19.05,19.73,02a59304o0417o
59304.416409,17.468,0.049,374,18,o,0,2.45,184.14321,60.36458,273.15,1656.52,2.5,2.0,-57.1,-0.436,19.03,19.72,02a59304o0421o
59304.424685,17.456,0.047,378,18,o,0,2.71,184.14321,60.36458,255.9,1772.27,2.36,1.97,-53.5,-0.432,19.06,19.74,02a59304o0439o
59306.508644,17.319,0.033,429,14,o,0,3.07,184.14321,60.36458,3782.65,2229.25,1.99,1.95,-7.2,-0.417,19.45,20.2,01a59306o0243o
59306.517126,17.454,0.036,379,14,o,0,3.7,184.14321,60.36458,3798.38,2265.23,2.13,1.91,83.2,-0.424,19.41,20.18,01a59306o0260o
59306.521287,17.408,0.033,395,13,o,0,6.09,184.14321,60.36458,3746.84,2189.75,2.09,1.97,79.4,-0.423,19.4,20.21,01a59306o0269o
59306.533278,17.31,0.03,432,13,o,0,3.78,184.14321,60.36458,3729.88,2303.16,2.2,2.06,85.5,-0.419,19.36,20.19,01a59306o0295o
59310.373362,17.251,0.02,457,9,c,0,5.12,184.14321,60.36458,6744.32,8353.31,2.56,2.28,-76.7,-0.397,19.98,21.97,01a59310o0263c
59310.376147,17.273,0.021,447,10,c,0,4.84,184.14321,60.36458,6728.93,8311.38,2.51,2.48,-72.4,-0.371,19.89,21.96,01a59310o0269c
59310.378915,17.161,0.02,496,10,c,0,3.08,184.14321,60.36458,6780.91,8393.72,2.56,2.34,-74.2,-0.394,19.92,21.95,01a59310o0275c
59310.397516,17.216,0.02,472,10,c,0,3.93,184.14321,60.36458,3706.76,2319.39,2.43,2.24,81.7,-0.402,19.93,21.91,01a59310o0315c
59314.41862,17.38,0.024,406,10,c,0,2.1,184.14321,60.36458,8559.19,7901.1,2.45,2.42,54.1,-0.368,19.94,21.71,01a59314o0427c
59314.422314,17.439,0.026,384,10,c,0,3.04,184.14321,60.36458,8579.92,7937.69,2.44,2.38,89.3,-0.37,19.86,21.65,01a59314o0435c
59314.429687,17.365,0.022,411,9,c,0,3.44,184.14321,60.36458,8517.37,7862.52,2.53,2.5,-17.0,-0.361,19.89,21.73,01a59314o0451c
59314.439953,17.754,0.131,287,38,c,0,2.54,184.14321,60.36458,8500.32,7980.45,2.4,2.37,-85.6,-0.365,17.64,19.3,01a59314o0473c
59318.346607,17.753,0.035,288,10,c,0,1.58,184.14321,60.36458,2006.95,2635.47,2.35,2.27,63.5,-0.403,19.84,21.54,01a59318o0275c
59318.348452,17.755,0.034,287,10,c,0,3.28,184.14321,60.36458,1987.68,2594.25,2.44,2.32,50.6,-0.385,19.78,21.53,01a59318o0279c
59318.35436,17.736,0.034,292,10,c,0,2.3,184.14321,60.36458,2043.79,2674.53,2.21,2.14,65.8,-0.41,19.87,21.53,01a59318o0290c
59318.389488,17.648,0.032,317,10,c,0,1.88,184.14321,60.36458,8495.64,7986.32,2.63,2.55,86.4,-0.356,19.78,21.49,01a59318o0362c
59320.419914,18.045,0.062,220,14,o,0,3.34,184.14321,60.36458,1282.73,505.28,2.12,1.71,-61.6,-0.472,19.51,20.62,02a59320o0420o
59320.423115,17.755,0.046,287,13,o,0,3.94,184.14321,60.36458,1259.25,462.76,2.04,1.75,-64.7,-0.461,19.5,20.6,02a59320o0427o
59320.429073,17.937,0.045,243,11,o,0,7.87,184.14321,60.36458,1318.47,540.88,2.12,1.77,-60.6,-0.463,19.58,20.66,02a59320o0440o
59320.465115,17.848,0.042,264,11,o,0,6.09,184.14321,60.36458,1344.3,412.72,2.23,1.71,-59.4,-0.461,19.54,20.61,02a59320o0516o
59320.474049,17.226,0.087,467,40,o,0,9.51,184.14321,60.36458,5747.18,10521.31,2.29,1.82,-57.5,-0.451,19.54,20.62,02a59320o0535o
59322.320631,18.445,0.079,152,12,o,0,4.97,184.14321,60.36458,234.67,6727.28,1.92,1.69,-87.6,-0.453,19.74,20.7,01a59322o0214o
59322.322474,18.237,0.065,184,12,o,0,7.94,184.14321,60.36458,211.44,6692.02,2.03,1.71,-85.3,-0.442,19.7,20.73,01a59322o0218o
59322.326715,18.527,0.064,141,9,o,0,11.19,184.14321,60.36458,269.7,6767.83,2.03,1.67,-85.6,-0.433,19.73,20.74,01a59322o0227o
59322.333282,18.632,0.08,128,10,o,0,5.14,184.14321,60.36458,290.93,6648.37,1.94,1.66,-85.6,-0.442,19.75,20.78,01a59322o0241o
59322.373497,18.351,0.073,166,12,o,0,2.95,184.14321,60.36458,9563.96,6635.41,2.29,1.86,-82.3,-0.437,19.77,20.84,01a59322o0323o
59322.376546,18.102,0.062,209,13,o,0,2.6,184.14321,60.36458,9540.14,6597.04,2.28,1.85,-81.5,-0.434,19.77,20.86,01a59322o0328o
59322.382031,18.082,0.054,212,12,o,0,3.6,184.14321,60.36458,9598.38,6678.09,2.55,1.81,-82.2,-0.437,19.73,20.89,01a59322o0338o
59322.392961,17.994,0.048,230,11,o,0,4.89,184.14321,60.36458,9624.73,6556.9,2.28,2.08,4.6,-0.402,19.63,20.85,01a59322o0361o
59324.484407,18.068,0.056,215,12,o,0,5.91,184.14321,60.36458,2135.27,6474.77,1.98,1.79,24.2,-0.441,19.6,20.81,02a59324o0502o
59324.517408,17.925,0.056,246,14,o,0,4.22,184.14321,60.36458,2118.53,6432.92,2.09,1.84,29.0,-0.428,19.49,20.65,02a59324o0573o
59324.520256,18.132,0.066,203,14,o,0,2.65,184.14321,60.36458,2172.64,6500.51,2.15,1.88,27.3,-0.419,19.46,20.64,02a59324o0579o
59324.525413,18.272,0.063,178,11,o,0,6.06,184.14321,60.36458,2193.04,6381.02,1.98,1.92,12.6,-0.432,19.45,20.62,02a59324o0590o
59326.362583,17.78,0.12,281,34,o,0,1.61,184.14321,60.36458,10293.62,3790.94,2.68,2.1,-87.3,-0.427,18.44,18.66,01a59326o0109o
59326.365883,18.176,0.154,195,30,o,0,1.31,184.14321,60.36458,10312.57,3827.24,2.51,2.13,-87.5,-0.423,18.52,18.81,01a59326o0116o
59326.371059,18.348,0.176,166,29,o,0,0.82,184.14321,60.36458,10256.73,3754.09,2.51,2.02,-86.7,-0.444,18.83,19.11,01a59326o0127o
59326.406398,17.966,0.093,236,22,o,0,1.49,184.14321,60.36458,10243.23,3867.25,2.42,2.35,-19.2,-0.383,18.92,19.39,01a59326o0197o
59326.411036,18.378,0.126,162,20,o,0,2.32,184.14321,60.36458,960.93,3984.54,2.3,1.96,81.6,-0.413,18.91,19.37,01a59326o0207o
59326.414261,18.141,0.086,201,17,o,0,2.27,184.14321,60.36458,982.14,4023.54,2.4,2.01,76.5,-0.411,19.08,19.61,01a59326o0214o
59326.420274,18.071,0.082,214,18,o,0,2.03,184.14321,60.36458,923.21,3942.04,2.32,1.98,82.1,-0.414,19.11,19.66,01a59326o0227o
59326.455359,18.205,0.149,190,28,o,0,1.71,184.14321,60.36458,920.08,4050.49,1.99,1.95,-19.0,-0.404,18.52,18.7,01a59326o0302o
59328.356921,18.619,0.165,130,21,o,0,2.17,184.14321,60.36458,2144.93,6499.64,2.26,2.23,4.7,-0.419,18.73,19.16,02a59328o0287o
59328.387124,18.328,0.16,169,27,o,0,1.55,184.14321,60.36458,2122.56,6455.65,2.41,2.34,19.0,-0.401,18.66,19.1,02a59328o0350o
59328.407717,18.135,0.106,202,22,o,0,1.56,184.14321,60.36458,2180.98,6529.75,2.23,2.19,-23.0,-0.416,18.73,19.12,02a59328o0389o
59328.410918,18.441,0.146,153,22,o,0,1.89,184.14321,60.36458,2199.12,6408.43,2.29,2.23,13.9,-0.415,18.7,19.12,02a59328o0396o
59330.403812,18.661,0.524,125,65,o,0,0.88,184.14321,60.36458,5650.23,5995.03,2.07,1.87,0.9,-0.385,17.63,17.76,01a59330o0391o
59330.407034,18.545,0.333,139,46,o,0,1.14,184.14321,60.36458,5668.28,6032.48,2.02,1.98,-68.9,-0.408,18.02,18.14,01a59330o0398o
59330.412564,20.835,10.405,17,175,o,0,1.06,184.14321,60.36458,5608.77,5954.71,2.11,2.03,88.2,-0.388,16.74,17.32,01a59330o0410o
59330.424097,17.976,0.138,234,32,o,0,1.69,184.14321,60.36458,5590.72,6069.43,2.05,1.99,-43.1,-0.393,18.31,18.59,01a59330o0435o
59332.388747,18.505,0.151,144,22,o,0,2.87,184.14321,60.36458,2220.54,10383.88,2.59,1.63,-55.8,-0.458,18.9,19.36,02a59332o0257o
59332.391947,18.127,0.088,204,18,o,0,4.74,184.14321,60.36458,2200.46,10345.69,2.24,1.62,-57.8,-0.5,18.87,19.36,02a59332o0264o
59332.397439,17.94,0.078,242,19,o,0,2.89,184.14321,60.36458,2255.15,10419.85,2.55,1.57,-54.6,-0.467,18.88,19.35,02a59332o0276o
59332.400661,18.301,0.125,174,22,o,0,2.35,184.14321,60.36458,7633.93,148.71,1.83,1.56,-68.5,-0.51,18.68,19.07,02a59332o0283o
59332.403868,18.368,0.153,163,25,o,0,1.7,184.14321,60.36458,7617.48,109.86,2.24,1.72,-59.2,-0.475,18.77,19.28,02a59332o0290o
59332.407527,18.255,0.15,181,27,o,0,1.78,184.14321,60.36458,2273.89,10301.02,2.64,1.69,-54.8,-0.455,18.79,19.34,02a59332o0298o
59332.409812,18.202,0.106,190,20,o,0,3.19,184.14321,60.36458,7680.49,190.05,2.15,1.65,-58.3,-0.478,18.83,19.29,02a59332o0303o
59332.42034,19.462,0.452,60,27,o,0,2.14,184.14321,60.36458,7704.03,73.06,2.14,1.63,-58.1,-0.498,18.81,19.28,02a59332o0326o
