MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59196.61954,20.429,0.529,24,13,c,0,1.12,164.40658,-7.4746,4628.49,9425.19,5.2,4.38,12.1,-0.189,19.04,21.6,01a59196o0419c
59196.622788,-20.965,0.971,-15,14,c,0,1.24,164.40658,-7.4746,4608.36,9385.92,5.46,4.83,-0.4,-0.241,18.83,21.53,01a59196o0426c
59196.634313,21.286,1.31,11,15,c,0,1.02,164.40658,-7.4746,4671.87,9465.69,4.78,4.51,0.4,-0.335,18.98,21.54,01a59196o0451c
59196.656135,-22.213,2.524,-5,12,c,0,1.11,164.40658,-7.4746,5844.58,1211.66,3.72,3.42,5.1,-0.342,19.18,21.11,01a59196o0497c
59196.664296,20.515,1.475,23,33,c,0,1.06,164.40658,-7.4746,4654.0,9409.04,3.67,3.45,-2.8,-0.353,18.2,19.44,01a59196o0514c
59198.574268,-20.479,1.219,-23,28,c,0,0.82,164.40658,-7.4746,3923.52,9470.59,2.54,2.38,-47.9,-0.388,18.7,20.4,02a59198o0842c
59198.576553,20.059,0.697,34,24,c,0,0.9,164.40658,-7.4746,3942.19,9508.79,2.56,2.44,-46.8,-0.391,18.85,20.57,02a59198o0847c
59198.579753,20.035,0.404,35,14,c,0,1.45,164.40658,-7.4746,3884.5,9431.39,2.56,2.4,-47.7,-0.392,19.07,20.82,02a59198o0854c
59198.584794,20.483,0.968,23,22,c,0,1.06,164.40658,-7.4746,3863.11,9549.02,2.51,2.36,-47.5,-0.397,18.95,20.65,02a59198o0865c
59204.573616,21.723,0.85,7,6,c,0,1.21,164.40658,-7.4746,4434.92,5551.17,2.3,2.18,-80.2,-0.376,19.83,21.78,01a59204o0762c
59204.58183,-23.025,3.409,-2,8,c,0,0.81,164.40658,-7.4746,4419.51,5513.15,2.42,2.3,-2.3,-0.361,19.78,21.78,01a59204o0779c
59204.593399,21.88,1.076,6,7,c,0,1.22,164.40658,-7.4746,4479.0,5592.42,2.36,2.26,86.7,-0.367,19.82,21.8,01a59204o0804c
59204.596621,22.255,1.333,4,6,c,0,1.5,164.40658,-7.4746,4498.02,5477.43,2.51,2.38,-77.3,-0.357,19.77,21.78,01a59204o0811c
59206.562648,25.366,34.5,0,9,c,0,0.9,164.40658,-7.4746,1986.14,9576.96,2.48,2.24,-49.4,-0.437,19.7,21.6,02a59206o0793c
59206.564476,20.747,0.536,18,10,c,0,1.06,164.40658,-7.4746,2005.41,9616.04,2.52,2.22,-51.6,-0.448,19.68,21.6,02a59206o0797c
59206.568137,21.072,0.604,14,8,c,0,1.31,164.40658,-7.4746,1947.2,9537.98,2.47,2.22,-47.9,-0.441,19.74,21.61,02a59206o0805c
59206.573653,-22.665,2.625,-3,8,c,0,1.22,164.40658,-7.4746,1926.04,9655.62,2.5,2.23,-50.0,-0.442,19.77,21.62,02a59206o0817c
59208.577366,22.021,1.383,6,8,c,0,1.06,164.40658,-7.4746,4720.08,1189.24,2.72,2.33,-2.2,-0.383,19.69,21.66,01a59208o0810c
59208.57921,25.383,36.0,0,9,c,0,0.82,164.40658,-7.4746,4700.72,1150.61,2.79,2.42,-1.3,-0.381,19.7,21.67,01a59208o0814c
