MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59272.61595,20.264,0.683,28,20,o,0,1.12,257.5905,-3.23107,9175.65,7072.69,2.02,1.94,-87.3,-0.414,19.0,19.14,01a59272o0369o
59272.62747,-22.235,3.906,-5,18,o,0,1.5,257.5905,-3.23107,9154.42,7031.76,2.15,1.9,-87.3,-0.421,18.98,19.22,01a59272o0394o
59272.639923,-20.639,0.98,-20,20,o,0,0.98,257.5905,-3.23107,9219.26,7108.92,2.28,2.04,-86.3,-0.414,18.98,19.27,01a59272o0421o
59272.649373,-20.599,0.814,-21,17,o,0,1.8,257.5905,-3.23107,9240.22,6991.51,2.26,2.02,-86.9,-0.419,18.98,19.3,01a59272o0441o
59275.596259,-20.844,1.185,-17,20,o,0,1.18,257.5905,-3.23107,9181.05,7075.49,2.18,1.9,-88.2,-0.416,18.94,19.23,01a59275o0374o
59275.599489,-20.36,1.129,-26,29,o,0,1.05,257.5905,-3.23107,9163.59,7038.23,2.09,2.01,89.3,-0.406,18.41,18.65,01a59275o0381o
59275.60549,-21.018,0.963,-14,14,o,0,1.9,257.5905,-3.23107,9225.18,7115.78,2.18,1.88,-88.9,-0.411,19.15,19.51,01a59275o0394o
59275.616552,-22.198,3.792,-5,18,o,0,0.98,257.5905,-3.23107,9247.4,6995.83,2.14,2.02,-89.6,-0.403,19.11,19.54,01a59275o0418o
59276.580665,-20.21,0.503,-30,15,o,0,1.86,257.5905,-3.23107,9173.65,7075.8,2.23,2.02,88.8,-0.415,19.09,19.51,01a59276o0801o
59276.584352,20.689,0.847,19,16,o,0,1.18,257.5905,-3.23107,9154.49,7036.61,2.21,1.96,-89.0,-0.416,19.14,19.52,01a59276o0809o
59276.589431,-20.247,0.626,-29,18,o,0,0.85,257.5905,-3.23107,9215.1,7113.27,2.36,2.12,-88.4,-0.414,19.03,19.55,01a59276o0820o
59276.602218,-21.081,1.086,-13,15,o,0,2.06,257.5905,-3.23107,9237.09,6996.19,2.26,2.01,-86.7,-0.42,19.16,19.61,01a59276o0847o
