MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59277.358225,-21.57,1.011,-9,9,c,0,36.22,132.20946,29.87054,5279.56,378.82,2.24,2.18,-38.4,-0.409,20.02,21.74,01a59277o0307c
59277.363099,21.31,0.694,11,8,c,0,39.28,132.20946,29.87054,5300.58,417.02,2.22,2.14,-6.8,-0.408,19.99,21.75,01a59277o0317c
59277.370952,17.015,0.013,568,7,c,0,455.19,132.20946,29.87054,5244.78,337.79,2.19,2.16,-20.2,-0.408,20.02,21.75,01a59277o0331c
59277.386477,16.709,0.011,752,9,c,0,478.82,132.20946,29.87054,5229.44,451.9,2.26,2.24,-55.1,-0.409,19.94,21.56,01a59277o0362c
59287.324259,21.122,0.821,13,11,c,0,18.09,132.20946,29.87054,2725.12,1972.27,2.51,2.4,-66.6,-0.404,19.71,21.56,02a59287o0215c
59287.327509,23.468,6.5,2,10,c,0,14.05,132.20946,29.87054,2706.07,1935.39,2.61,2.45,-58.7,-0.399,19.57,21.51,02a59287o0222c
59287.334708,17.187,0.018,484,9,c,0,189.37,132.20946,29.87054,2763.46,2010.77,2.48,2.38,-70.4,-0.406,19.68,21.58,02a59287o0236c
59287.344809,20.167,0.317,31,10,c,0,12.01,132.20946,29.87054,2784.73,1895.31,2.48,2.42,-62.4,-0.404,19.7,21.64,02a59287o0257c
59291.338136,20.015,0.27,36,10,c,0,12.78,132.20946,29.87054,7369.68,8593.87,2.72,2.54,46.7,-0.394,19.71,21.55,02a59291o0026c
59291.341337,21.339,1.015,11,11,c,0,9.29,132.20946,29.87054,7293.38,8637.32,2.79,2.6,46.5,-0.391,19.64,21.57,02a59291o0033c
59291.346836,20.336,0.379,27,10,c,0,9.11,132.20946,29.87054,7350.68,8714.16,2.65,2.59,79.0,-0.397,19.72,21.6,02a59291o0045c
59291.36547,17.57,0.029,340,10,c,0,138.75,132.20946,29.87054,7369.63,8593.91,2.72,2.57,44.0,-0.395,19.7,21.63,02a59291o0085c
59292.325169,16.146,0.01,1264,13,o,0,919.03,132.20946,29.87054,7323.16,8677.95,2.11,2.04,-86.3,-0.448,19.64,20.8,02a59292o0238o
59292.329309,15.103,0.004,3303,13,o,0,4505.42,132.20946,29.87054,7303.71,8639.23,2.19,2.08,-74.9,-0.441,19.61,20.8,02a59292o0247o
59292.337093,15.584,0.005,2121,10,o,0,3132.74,132.20946,29.87054,7360.65,8717.89,2.19,2.11,87.5,-0.44,19.63,20.79,02a59292o0264o
59292.34766,18.572,0.093,135,13,o,0,25.57,132.20946,29.87054,7379.92,8599.66,2.14,2.06,65.4,-0.445,19.64,20.81,02a59292o0287o
59293.326013,15.86,0.006,1645,10,o,0,2614.6,132.20946,29.87054,3672.21,8324.59,1.83,1.76,-71.2,-0.45,19.74,20.73,01a59293o0121o
59293.350939,15.608,0.006,2075,12,o,0,2260.57,132.20946,29.87054,3696.2,8362.22,2.01,1.75,-69.6,-0.439,19.72,20.73,01a59293o0173o
59293.355991,15.792,0.006,1751,10,o,0,2401.85,132.20946,29.87054,3636.34,8282.54,1.92,1.69,-74.6,-0.451,19.73,20.71,01a59293o0183o
59293.36616,16.181,0.009,1224,11,o,0,909.01,132.20946,29.87054,3619.64,8398.62,2.0,1.73,-71.1,-0.438,19.69,20.76,01a59293o0204o
59303.329147,16.252,0.025,1146,28,o,0,17.64,132.20946,29.87054,8613.93,445.93,2.08,1.67,-54.8,-0.461,19.09,19.66,02a59303o0051o
59303.332805,15.965,0.013,1493,19,o,0,44.78,132.20946,29.87054,8593.71,403.62,2.08,1.62,-56.9,-0.469,19.11,19.65,02a59303o0059o
59303.352188,16.175,0.024,1231,30,o,0,16.73,132.20946,29.87054,8650.87,481.63,2.2,1.61,-51.9,-0.479,19.08,19.61,02a59303o0100o
59303.35779,16.224,0.023,1175,27,o,0,23.96,132.20946,29.87054,8671.26,364.36,2.18,1.64,-54.2,-0.473,19.07,19.6,02a59303o0112o
59305.359468,16.085,0.014,1336,19,o,0,68.21,132.20946,29.87054,7195.14,237.89,1.95,1.75,-70.9,-0.439,19.63,20.35,01a59305o0290o
59305.363181,14.73,0.004,4655,17,o,0,4518.23,132.20946,29.87054,7216.46,276.03,2.13,1.84,-66.1,-0.429,19.51,20.26,01a59305o0298o
59305.370291,16.119,0.015,1295,19,o,0,52.32,132.20946,29.87054,7160.71,199.91,2.04,1.78,-76.8,-0.44,19.47,20.14,01a59305o0313o
59305.402918,16.084,0.015,1338,21,o,0,31.81,132.20946,29.87054,7150.55,322.45,2.05,1.84,-62.5,-0.423,19.38,19.9,01a59305o0381o
59305.407407,16.068,0.016,1357,22,o,0,71.79,132.20946,29.87054,6285.94,10457.37,1.93,1.77,-72.6,-0.416,19.3,19.88,01a59305o0390o
59305.410631,16.049,0.019,1381,26,o,0,82.06,132.20946,29.87054,6305.12,10497.58,1.99,1.87,-77.6,-0.407,19.22,19.86,01a59305o0397o
59305.416168,14.749,0.004,4577,20,o,0,2300.02,132.20946,29.87054,6243.33,10419.82,2.16,2.02,-84.0,-0.4,19.15,19.82,01a59305o0409o
59309.295631,15.358,0.006,2611,14,c,0,838.01,132.20946,29.87054,7182.75,240.32,2.36,2.16,-31.9,-0.39,19.95,21.42,01a59309o0025c
59309.300119,15.495,0.006,2300,14,c,0,556.83,132.20946,29.87054,7201.32,277.34,2.36,2.13,-35.5,-0.393,19.93,21.42,01a59309o0034c
59309.301046,15.87,0.01,1630,16,c,0,54.51,132.20946,29.87054,6279.11,10448.13,2.16,2.0,-58.6,-0.376,19.95,21.46,01a59309o0036c
59309.304271,15.263,0.005,2849,15,c,0,1177.91,132.20946,29.87054,6301.73,10487.06,2.23,2.01,-60.1,-0.374,19.94,21.47,01a59309o0043c
59309.305661,15.898,0.01,1588,16,c,0,41.39,132.20946,29.87054,7149.24,199.83,2.36,2.16,-35.5,-0.398,19.93,21.47,01a59309o0046c
59309.313073,15.866,0.011,1636,17,c,0,48.62,132.20946,29.87054,6241.66,10409.94,2.23,2.05,-61.1,-0.379,19.93,21.49,01a59309o0062c
59309.320926,15.503,0.006,2284,14,c,0,846.25,132.20946,29.87054,7131.79,317.27,2.31,2.15,-46.5,-0.407,19.96,21.48,01a59309o0078c
59309.329038,15.723,0.013,1866,24,c,0,185.94,132.20946,29.87054,6223.47,10526.87,2.29,1.99,-72.2,-0.382,19.95,21.54,01a59309o0094c
59313.324943,15.998,0.011,1448,16,c,0,53.55,132.20946,29.87054,3830.68,6088.8,2.18,1.97,-79.8,-0.408,19.95,21.56,01a59313o0230c
59313.330666,15.53,0.006,2228,14,c,0,450.14,132.20946,29.87054,3851.7,6127.23,2.26,2.02,-80.4,-0.403,19.95,21.55,01a59313o0242c
59313.350006,15.909,0.01,1572,15,c,0,46.72,132.20946,29.87054,3794.71,6049.8,2.29,2.06,-78.0,-0.404,19.92,21.53,01a59313o0282c
59313.363719,15.524,0.006,2241,13,c,0,480.8,132.20946,29.87054,3776.61,6165.29,2.42,2.14,-79.5,-0.394,19.84,21.51,01a59313o0311c
59319.292597,16.428,0.015,974,14,o,0,19.74,132.20946,29.87054,4934.33,2363.71,1.91,1.85,48.7,-0.449,19.61,20.74,02a59319o0153o
59319.295435,15.026,0.005,3545,17,o,0,2776.46,132.20946,29.87054,4915.42,2324.06,1.99,1.98,14.3,-0.441,19.55,20.74,02a59319o0159o
59319.311423,15.043,0.005,3491,17,o,0,2333.77,132.20946,29.87054,4971.87,2401.13,1.9,1.88,79.0,-0.447,19.59,20.7,02a59319o0193o
59319.328483,16.522,0.023,894,20,o,0,24.63,132.20946,29.87054,4996.13,2285.04,1.99,1.94,-67.3,-0.44,19.53,20.64,02a59319o0229o
59321.283793,14.838,0.005,4214,19,o,0,2603.27,132.20946,29.87054,9150.18,2053.1,2.23,1.83,-72.2,-0.443,19.57,21.44,01a59321o0113o
59321.287444,15.07,0.004,3406,15,o,0,3205.52,132.20946,29.87054,9169.65,2090.27,2.17,1.75,-77.4,-0.455,19.71,20.51,01a59321o0120o
59321.299769,15.126,0.004,3234,14,o,0,2823.98,132.20946,29.87054,9114.18,2014.38,2.2,1.76,-76.0,-0.453,19.67,20.45,01a59321o0145o
59321.314278,15.316,0.005,2715,15,o,0,1987.1,132.20946,29.87054,9097.01,2131.08,2.23,1.83,-76.3,-0.448,19.64,20.5,01a59321o0174o
59323.240695,16.667,0.026,782,20,o,0,26.32,132.20946,29.87054,3293.3,8380.62,2.07,1.97,-60.5,-0.431,19.13,19.68,02a59323o0037o
59323.244886,16.044,0.014,1388,20,o,0,127.98,132.20946,29.87054,3274.51,8340.92,2.05,1.96,-61.9,-0.436,19.25,19.84,02a59323o0046o
59323.250862,16.706,0.032,755,24,o,0,4.64,132.20946,29.87054,3331.52,8420.11,2.03,1.93,-61.9,-0.436,19.26,19.88,02a59323o0059o
59323.260964,16.642,0.025,800,20,o,0,18.94,132.20946,29.87054,3351.4,8303.44,2.04,2.04,-18.1,-0.439,19.17,19.91,02a59323o0080o
59327.276871,16.75,0.053,724,38,o,0,5.87,132.20946,29.87054,3286.35,8377.52,2.09,1.97,-49.4,-0.44,18.76,19.08,02a59327o0098o
59327.280249,16.806,0.049,688,34,o,0,7.74,132.20946,29.87054,3267.18,8339.1,2.05,1.99,-44.8,-0.428,18.8,19.08,02a59327o0105o
59327.292375,16.788,0.052,700,37,o,0,2.29,132.20946,29.87054,3324.54,8414.19,2.0,1.92,-45.0,-0.441,18.77,19.02,02a59327o0123o
59327.298075,16.656,0.045,790,36,o,0,7.49,132.20946,29.87054,3344.53,8295.48,2.09,1.98,-44.7,-0.435,18.7,19.03,02a59327o0135o
59329.323294,16.704,0.031,756,23,o,0,24.04,132.20946,29.87054,5708.88,4054.6,2.1,1.95,-80.7,-0.373,18.75,19.2,01a59329o0220o
59329.326525,16.751,0.033,724,24,o,0,14.06,132.20946,29.87054,5728.8,4093.26,2.17,2.12,-62.7,-0.389,18.69,19.2,01a59329o0227o
59329.332055,16.638,0.032,803,26,o,0,24.59,132.20946,29.87054,5671.31,4016.43,2.15,2.02,-73.3,-0.39,18.72,19.17,01a59329o0239o
59329.343613,16.788,0.035,699,24,o,0,30.23,132.20946,29.87054,5649.11,4133.1,2.17,1.98,-79.8,-0.382,18.67,19.1,01a59329o0264o
59331.348549,0.0,0.0,0,0,o,0,-0.0,132.20946,29.87054,787.9,2124.29,2.23,1.96,-50.1,-0.506,16.31,16.39,02a59331o0266o
59331.351752,17.035,0.27,557,150,o,0,1.36,132.20946,29.87054,809.01,2006.45,2.17,1.9,-56.4,-0.487,17.25,17.02,02a59331o0273o
59335.247562,15.304,0.006,2744,16,o,0,1618.37,132.20946,29.87054,748.52,2101.18,2.14,1.79,-52.8,-0.474,19.5,20.52,02a59335o0045o
59335.261719,15.0,0.004,3630,15,o,0,3676.74,132.20946,29.87054,726.56,2060.15,2.06,1.81,-53.5,-0.475,19.52,20.62,02a59335o0074o
59335.265377,14.405,0.004,6281,24,o,0,4515.55,132.20946,29.87054,787.53,2137.13,2.05,1.78,-52.8,-0.481,19.59,20.63,02a59335o0082o
59335.281057,14.656,0.003,4985,16,o,0,6589.93,132.20946,29.87054,809.61,2018.05,2.11,1.8,-52.8,-0.488,19.52,20.62,02a59335o0116o
59337.299388,16.449,0.023,956,22,o,0,62.52,132.20946,29.87054,3790.21,4156.27,1.79,1.68,-66.8,-0.425,19.02,19.98,01a59337o0161o
59337.302156,16.934,0.043,612,26,o,0,8.96,132.20946,29.87054,3807.76,4196.99,1.81,1.69,-71.8,-0.423,18.7,19.63,01a59337o0167o
59337.309082,16.765,0.045,715,32,o,0,20.83,132.20946,29.87054,3750.78,4118.82,1.81,1.7,-81.1,-0.426,18.98,19.89,01a59337o0182o
59337.321542,16.854,0.042,658,28,o,0,20.02,132.20946,29.87054,3731.83,4233.45,1.81,1.69,-77.0,-0.427,19.43,20.32,01a59337o0209o
59343.242449,17.89,0.083,254,21,c,0,6.67,132.20946,29.87054,9249.44,8634.99,2.73,2.59,43.7,-0.383,19.05,20.13,02a59343o0009c
59343.246578,17.774,0.056,282,16,c,0,6.94,132.20946,29.87054,9229.46,8595.2,2.72,2.61,50.7,-0.383,19.48,20.81,02a59343o0018c
59343.25437,17.69,0.049,305,15,c,0,10.52,132.20946,29.87054,9287.83,8674.32,2.69,2.6,41.9,-0.387,19.58,21.07,02a59343o0035c
59343.268162,17.743,0.054,290,16,c,0,7.27,132.20946,29.87054,9306.72,8557.36,2.7,2.58,40.8,-0.388,19.59,21.1,02a59343o0065c
59345.284938,17.266,0.037,451,17,o,0,62.84,132.20946,29.87054,10306.67,10195.79,2.01,1.61,85.0,-0.445,19.63,20.34,01a59345o0127o
59345.289543,14.434,0.004,6117,23,o,0,5763.86,132.20946,29.87054,1209.53,62.47,1.88,1.75,49.9,-0.48,19.59,20.38,01a59345o0137o
59345.290003,17.28,0.031,444,14,o,0,50.97,132.20946,29.87054,10326.97,10235.07,2.15,1.7,86.6,-0.425,19.55,20.31,01a59345o0138o
59345.302455,16.555,0.017,867,15,o,0,174.28,132.20946,29.87054,10262.37,10160.43,2.05,1.66,85.2,-0.416,19.54,20.21,01a59345o0165o
59345.307085,15.53,0.004,2228,10,o,0,3129.73,132.20946,29.87054,10242.24,10279.59,2.08,1.61,85.5,-0.436,19.51,20.19,01a59345o0175o
59345.308008,14.749,0.004,4574,18,o,0,5237.23,132.20946,29.87054,1135.45,100.84,1.82,1.74,51.1,-0.471,19.56,20.21,01a59345o0177o
59347.289748,17.967,0.05,236,12,c,0,7.57,132.20946,29.87054,4789.75,4591.08,2.41,2.32,44.1,-0.396,19.49,21.0,02a59347o0126c
59347.292949,18.024,0.057,224,13,c,0,31.03,132.20946,29.87054,4771.19,4551.5,2.39,2.32,45.9,-0.398,19.43,20.98,02a59347o0133c
59347.298929,18.079,0.056,213,12,c,0,11.21,132.20946,29.87054,4828.22,4629.52,2.58,2.46,48.1,-0.389,19.39,20.95,02a59347o0146c
59347.309493,18.21,0.077,189,14,c,0,2.16,132.20946,29.87054,4851.41,4510.6,2.93,2.77,46.0,-0.387,19.18,20.89,02a59347o0169c
59349.242955,17.662,0.057,313,18,o,0,42.13,132.20946,29.87054,10301.79,10191.0,2.26,1.72,-88.9,-0.437,19.31,19.82,01a59349o0031o
59349.246898,17.491,0.057,366,21,o,0,102.6,132.20946,29.87054,10322.62,10229.59,2.25,1.68,-87.6,-0.44,19.43,20.11,01a59349o0039o
59349.247359,14.702,0.004,4778,20,o,0,5004.98,132.20946,29.87054,1197.75,66.01,1.96,1.79,64.3,-0.497,19.47,20.21,01a59349o0040o
59349.252044,17.505,0.045,361,16,o,0,46.01,132.20946,29.87054,10260.01,10151.34,2.32,1.76,-86.5,-0.437,19.46,20.26,01a59349o0050o
59349.274311,14.51,0.003,5700,15,o,0,5058.9,132.20946,29.87054,1125.21,100.23,2.2,1.9,73.7,-0.5,19.44,20.37,01a59349o0097o
59351.243117,17.742,0.104,291,30,o,0,13.07,132.20946,29.87054,4795.75,4594.87,2.49,2.23,41.6,-0.421,18.31,18.74,02a59351o0021o
59351.246324,17.788,0.085,278,24,o,0,7.04,132.20946,29.87054,4779.12,4554.53,2.38,2.13,41.7,-0.427,18.57,19.01,02a59351o0028o
59351.25475,17.629,0.08,322,26,o,0,8.26,132.20946,29.87054,4838.74,4631.29,2.57,2.4,40.9,-0.42,18.55,19.2,02a59351o0045o
59351.266215,17.732,0.082,293,24,o,0,5.88,132.20946,29.87054,4858.94,4513.49,2.35,2.11,41.5,-0.425,18.6,19.21,02a59351o0070o
59363.260088,18.642,0.19,127,24,o,0,26.5,132.20946,29.87054,1412.63,10459.17,2.2,1.59,-50.5,-0.429,19.24,20.01,02a59363o0049o
59363.260544,17.471,0.049,373,18,o,0,29.31,132.20946,29.87054,2330.91,218.7,2.18,1.7,-51.1,-0.47,19.26,20.09,02a59363o0050o
59363.263299,15.247,0.006,2892,16,o,0,2480.86,132.20946,29.87054,1395.41,10419.77,2.35,1.69,-48.9,-0.448,19.17,20.05,02a59363o0056o
59363.263756,17.886,0.071,254,18,o,0,13.22,132.20946,29.87054,2311.88,178.99,2.2,1.74,-51.3,-0.472,19.28,20.13,02a59363o0057o
59363.269262,14.359,0.004,6551,26,o,0,5276.21,132.20946,29.87054,1451.72,10496.29,2.38,1.63,-47.6,-0.407,19.26,20.04,02a59363o0069o
59363.271091,17.778,0.078,281,22,o,0,13.7,132.20946,29.87054,2373.46,255.41,2.34,1.83,-50.9,-0.458,19.23,20.12,02a59363o0073o
59363.27935,14.685,0.004,4853,21,o,0,3963.32,132.20946,29.87054,1472.69,10375.84,2.3,1.72,-45.7,-0.427,19.15,20.01,02a59363o0091o
59363.281179,18.096,0.081,210,17,o,0,11.99,132.20946,29.87054,2393.55,135.23,2.29,1.77,-49.2,-0.464,19.21,20.09,02a59363o0095o
59369.266211,18.29,0.063,176,11,c,0,68.3,132.20946,29.87054,1889.85,6163.66,2.13,2.04,-72.1,-0.406,19.52,20.74,01a59369o0067c
