MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59277.588684,-22.33,2.898,-4,12,o,0,1.31,245.31671,14.55266,3000.98,842.94,2.05,2.0,59.4,-0.438,19.38,20.15,01a59277o0696o
59277.605135,-21.408,1.387,-10,14,o,0,1.24,245.31671,14.55266,2981.26,804.28,2.13,1.97,21.6,-0.409,19.21,20.8,01a59277o0728o
59277.607915,20.731,0.7,18,13,o,0,0.89,245.31671,14.55266,3039.84,883.46,1.95,1.88,-31.3,-0.43,19.37,20.41,01a59277o0734o
59277.614174,22.233,2.617,5,12,o,0,1.48,245.31671,14.55266,3058.29,765.91,2.21,2.15,26.3,-0.442,19.31,20.11,01a59277o0747o
59291.569714,22.454,1.964,4,7,c,0,1.12,245.31671,14.55266,8882.83,1059.24,2.6,2.3,-52.3,-0.398,19.71,21.7,02a59291o0504c
59291.604103,22.253,1.771,5,8,c,0,0.93,245.31671,14.55266,8908.16,1101.05,2.53,2.31,-56.1,-0.406,19.73,21.78,02a59291o0527c
59293.542921,-22.897,3.0,-2,8,o,0,1.39,245.31671,14.55266,568.75,3102.66,2.0,1.81,79.2,-0.42,19.84,21.25,01a59293o0565o
59293.544853,-21.339,0.766,-11,8,o,0,1.05,245.31671,14.55266,553.67,3067.31,2.08,1.89,74.0,-0.424,19.86,21.17,01a59293o0569o
59293.547623,-21.488,0.959,-9,9,o,0,0.77,245.31671,14.55266,611.4,3142.3,2.0,1.81,70.7,-0.418,19.89,21.22,01a59293o0575o
59293.552765,-22.228,1.966,-5,9,o,0,1.15,245.31671,14.55266,628.9,3027.04,2.04,1.87,83.8,-0.425,19.87,21.18,01a59293o0585o
59297.527095,21.306,1.061,11,12,o,0,0.87,245.31671,14.55266,2531.36,2991.17,1.9,1.82,82.5,-0.431,19.54,20.24,01a59297o0504o
59297.528937,20.219,0.345,30,10,o,0,1.33,245.31671,14.55266,2511.0,2952.99,1.86,1.8,72.6,-0.432,19.54,20.27,01a59297o0508o
59297.5317,21.549,1.242,9,11,o,0,1.22,245.31671,14.55266,2570.54,3030.47,1.86,1.83,75.2,-0.43,19.55,20.27,01a59297o0514o
59297.542978,23.315,6.3,2,11,o,0,0.88,245.31671,14.55266,2586.09,2912.59,2.08,1.97,12.1,-0.413,19.47,20.34,01a59297o0537o
59299.525032,20.166,0.629,31,20,o,0,0.69,245.31671,14.55266,5175.29,9322.88,2.19,2.0,44.4,-0.426,19.11,19.69,02a59299o0652o
59299.526861,20.311,0.598,27,16,o,0,1.5,245.31671,14.55266,5194.71,9363.84,2.08,2.0,35.6,-0.44,19.12,19.68,02a59299o0656o
59299.529605,22.103,3.48,5,18,o,0,1.1,245.31671,14.55266,5136.17,9285.86,2.06,2.03,36.8,-0.434,19.13,19.7,02a59299o0662o
59299.543738,20.689,0.853,19,16,o,0,1.13,245.31671,14.55266,5108.71,9404.7,2.03,2.01,24.5,-0.431,19.2,19.77,02a59299o0691o
59300.526155,18.161,0.839,198,166,o,0,0.66,245.31671,14.55266,2532.02,2996.6,2.06,2.02,-89.2,-0.423,16.66,16.3,01a59300o0670o
59300.529838,18.139,1.149,202,232,o,0,1.1,245.31671,14.55266,2511.38,2958.27,2.04,2.0,-67.2,-0.444,16.22,15.76,01a59300o0678o
59300.533076,-17.708,1.653,-300,496,o,0,1.03,245.31671,14.55266,2572.01,3036.2,2.2,2.01,-17.7,-0.426,15.19,14.71,01a59300o0685o
