MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59284.573377,-21.782,1.663,-7,12,o,0,1.12,186.42365,7.22841,5837.12,7138.47,1.84,1.84,55.0,-0.406,19.62,20.68,01a59284o0033o
59284.577143,22.142,1.859,5,9,o,0,1.64,186.42365,7.22841,5858.18,7177.32,1.89,1.84,83.7,-0.413,19.7,20.79,01a59284o0041o
59284.583176,-21.16,0.745,-12,9,o,0,1.88,186.42365,7.22841,5799.66,7100.84,1.96,1.83,-83.0,-0.418,19.75,20.83,01a59284o0054o
59288.435244,21.079,0.786,13,11,o,0,1.03,186.42365,7.22841,5023.82,9233.9,1.82,1.71,-40.5,-0.42,19.93,21.12,01a59288o0442o
59288.438928,20.78,0.457,18,8,o,0,1.5,186.42365,7.22841,5005.05,9196.49,1.8,1.71,-45.1,-0.417,19.92,21.11,01a59288o0450o
59288.441699,23.657,7.316,1,9,o,0,1.26,186.42365,7.22841,5063.27,9274.35,1.82,1.74,-37.0,-0.417,19.9,21.12,01a59288o0456o
59288.453436,23.959,8.857,1,8,o,0,1.96,186.42365,7.22841,5083.97,9159.16,1.84,1.77,-26.5,-0.418,19.91,21.13,01a59288o0481o
59292.472149,-21.01,0.646,-14,9,o,0,1.67,186.42365,7.22841,5499.55,1347.07,2.07,2.05,-57.1,-0.419,19.75,20.98,01a59292o0429o
59292.476335,21.276,0.985,11,11,o,0,1.0,186.42365,7.22841,5520.31,1386.23,2.0,1.98,-17.6,-0.416,19.8,20.99,01a59292o0438o
59292.511117,-22.068,1.638,-5,9,o,0,1.92,186.42365,7.22841,5469.67,1300.8,2.12,2.1,-32.9,-0.414,19.71,20.95,01a59292o0511o
59292.518113,-23.019,4.115,-2,9,o,0,2.11,186.42365,7.22841,5450.62,1418.18,2.04,1.99,-85.5,-0.423,19.76,20.95,01a59292o0526o
59296.581548,-22.038,1.914,-6,11,o,0,0.98,186.42365,7.22841,3594.98,1429.2,1.94,1.87,-9.4,-0.417,19.69,20.72,01a59296o0029o
59296.587081,21.409,0.91,10,9,o,0,2.85,186.42365,7.22841,3615.68,1466.94,1.86,1.81,-42.6,-0.419,19.7,20.71,01a59296o0041o
59296.590302,-23.931,8.692,-1,8,o,0,1.91,186.42365,7.22841,3557.84,1389.94,1.87,1.82,-86.6,-0.423,19.66,20.68,01a59296o0048o
59296.601851,-21.168,1.0,-12,12,o,0,1.26,186.42365,7.22841,3540.15,1506.52,2.35,2.22,84.5,-0.424,19.43,20.62,01a59296o0073o
59297.386437,21.64,1.902,8,15,o,0,1.38,186.42365,7.22841,6952.88,9137.34,2.03,1.89,-70.6,-0.387,19.32,19.82,01a59297o0220o
59297.401483,21.44,1.765,10,17,o,0,0.87,186.42365,7.22841,6932.82,9095.23,2.74,2.17,1.8,-0.368,19.09,19.88,01a59297o0251o
59297.427266,-21.013,0.964,-14,14,o,0,1.58,186.42365,7.22841,6994.83,9170.34,2.32,2.19,-4.3,-0.385,19.21,19.93,01a59297o0304o
59297.430911,-21.021,1.08,-14,15,o,0,1.06,186.42365,7.22841,7013.43,9053.3,2.26,2.19,-64.2,-0.403,19.24,19.92,01a59297o0311o
59304.401888,16.597,0.032,834,27,o,0,1.63,186.42365,7.22841,8795.68,7105.12,2.2,1.93,88.8,-0.427,18.73,18.81,01a59304o0383o
59304.403731,16.726,0.028,740,21,o,0,1.55,186.42365,7.22841,8776.3,7067.43,2.16,1.98,-87.0,-0.422,19.01,19.26,01a59304o0387o
59304.430834,16.595,0.022,835,18,o,0,1.41,186.42365,7.22841,1693.22,3467.63,1.86,1.73,-8.2,-0.411,19.23,19.58,01a59304o0444o
59304.437229,16.596,0.022,835,18,o,0,2.07,186.42365,7.22841,1677.01,3583.45,1.92,1.82,77.7,-0.424,19.22,19.59,01a59304o0457o
59306.387826,15.601,0.009,2087,20,o,0,6.06,186.42365,7.22841,7788.63,7033.33,2.28,1.97,40.0,-0.426,19.53,20.64,02a59306o0366o
59306.389659,15.559,0.009,2170,20,o,0,4.0,186.42365,7.22841,7808.87,7072.14,2.27,2.04,41.6,-0.432,19.51,20.61,02a59306o0370o
59306.392413,15.571,0.01,2146,21,o,0,5.95,186.42365,7.22841,7750.52,6993.88,2.22,1.96,40.2,-0.436,19.51,20.55,02a59306o0376o
59306.399731,15.537,0.009,2214,20,o,0,8.37,186.42365,7.22841,7731.91,7110.08,2.34,1.93,37.0,-0.429,19.47,20.46,02a59306o0392o
59308.382803,14.751,0.005,4566,21,c,0,53.63,186.42365,7.22841,8798.26,7104.14,2.53,2.27,-85.5,-0.392,19.88,21.55,01a59308o0147c
59308.38557,14.733,0.005,4641,22,c,0,48.42,186.42365,7.22841,8777.9,7065.48,2.46,2.23,-88.7,-0.4,19.96,21.57,01a59308o0153c
59308.388338,14.734,0.005,4640,22,c,0,34.36,186.42365,7.22841,8836.33,7143.22,2.53,2.31,-85.8,-0.39,19.91,21.55,01a59308o0159c
59308.395719,14.747,0.005,4583,22,c,0,32.13,186.42365,7.22841,8855.08,7026.4,2.55,2.35,-85.5,-0.387,19.9,21.59,01a59308o0175c
59312.382437,13.769,0.003,11282,32,c,0,237.86,186.42365,7.22841,8542.32,1280.87,2.46,2.28,-39.7,-0.38,20.03,21.85,01a59312o0356c
59312.384747,13.753,0.003,11449,32,c,0,142.53,186.42365,7.22841,8522.19,1242.2,2.55,2.36,-41.9,-0.369,20.01,21.85,01a59312o0361c
59312.387536,13.776,0.003,11210,32,c,0,225.11,186.42365,7.22841,8580.7,1320.55,2.51,2.35,-36.7,-0.37,20.01,21.85,01a59312o0367c
59312.393061,13.76,0.003,11376,32,c,0,215.04,186.42365,7.22841,8601.35,1202.78,2.51,2.39,-32.3,-0.368,20.02,21.87,01a59312o0379c
59313.435653,13.61,0.003,13065,33,c,0,262.09,186.42365,7.22841,2025.28,9318.59,2.32,2.12,-66.9,-0.395,19.94,21.71,01a59313o0458c
59313.438604,13.631,0.003,12813,32,c,0,589.49,186.42365,7.22841,2046.29,9357.51,2.29,2.09,-67.0,-0.395,19.98,21.71,01a59313o0464c
