MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59288.368701,-22.584,2.667,-3,9,c,0,1.52,154.16101,73.40056,195.82,5302.72,2.5,2.14,-57.6,-0.38,19.69,21.6,02a59288o0336c
59288.37192,20.983,0.588,15,9,c,0,1.55,154.16101,73.40056,175.59,5264.95,2.43,2.29,-50.8,-0.373,19.64,21.6,02a59288o0343c
59288.377408,-21.523,1.042,-9,9,c,0,1.15,154.16101,73.40056,234.04,5333.37,2.44,2.18,-53.8,-0.388,19.71,21.61,02a59288o0355c
59288.410373,23.512,6.273,1,9,c,0,1.35,154.16101,73.40056,253.28,5201.98,2.48,2.26,-53.7,-0.381,19.66,21.65,02a59288o0420c
59288.463842,23.461,7.0,2,10,c,0,0.99,154.16101,73.40056,9236.44,5191.73,2.68,2.39,29.9,-0.384,19.69,21.65,02a59288o0534c
59288.467514,-20.563,0.48,-22,10,c,0,1.12,154.16101,73.40056,9217.73,5150.99,2.55,2.43,40.6,-0.392,19.66,21.64,02a59288o0542c
59288.491431,-21.702,1.326,-8,10,c,0,1.17,154.16101,73.40056,9271.21,5231.28,2.7,2.57,42.7,-0.388,19.61,21.56,02a59288o0593c
59288.496551,-20.592,0.521,-21,11,c,0,1.13,154.16101,73.40056,9291.94,5116.62,2.54,2.47,47.0,-0.394,19.64,21.54,02a59288o0604c
59298.457724,-21.84,3.807,-7,25,o,0,0.86,154.16101,73.40056,5210.94,5439.88,2.31,2.13,-79.6,-0.375,18.45,18.68,01a59298o0517o
59298.460956,20.978,1.909,15,28,o,0,1.26,154.16101,73.40056,5232.32,5478.57,2.28,2.22,-12.5,-0.373,18.52,18.78,01a59298o0524o
59298.466486,-20.479,0.932,-23,22,o,0,0.9,154.16101,73.40056,5173.08,5402.81,2.13,1.99,-75.4,-0.382,18.76,18.95,01a59298o0536o
59298.478013,19.893,0.669,40,27,o,0,0.66,154.16101,73.40056,5157.62,5521.12,2.3,2.23,-55.8,-0.379,18.67,19.01,01a59298o0561o
59300.410048,19.257,0.665,72,48,o,0,1.14,154.16101,73.40056,5243.57,3391.55,2.37,2.11,34.0,-0.421,17.75,17.75,02a59300o0381o
59300.413261,21.004,5.289,14,76,o,0,0.84,154.16101,73.40056,5223.29,3351.53,2.28,2.01,34.0,-0.44,17.51,17.41,02a59300o0388o
59300.418834,-19.265,0.583,-71,42,o,0,4.75,154.16101,73.40056,5284.01,3428.25,2.18,1.97,32.6,-0.442,17.93,17.88,02a59300o0400o
59300.428911,-19.199,0.464,-76,35,o,0,0.54,154.16101,73.40056,5307.21,3309.4,2.23,1.98,34.6,-0.45,18.36,18.46,02a59300o0422o
59304.353677,21.509,2.048,9,18,o,0,1.28,154.16101,73.40056,5246.3,3405.4,2.11,1.93,22.9,-0.456,18.98,19.6,02a59304o0293o
59304.356877,20.902,1.289,16,20,o,0,1.31,154.16101,73.40056,5222.34,3364.63,2.39,1.84,33.4,-0.455,19.03,19.6,02a59304o0300o
59304.36238,24.595,36.0,0,19,o,0,0.83,154.16101,73.40056,5286.65,3442.43,2.11,1.88,28.9,-0.45,18.99,19.56,02a59304o0312o
59304.398021,-20.586,0.985,-21,21,o,0,0.92,154.16101,73.40056,5301.25,3319.38,2.17,1.88,32.8,-0.45,18.96,19.51,02a59304o0383o
59306.448168,17.891,0.068,253,17,o,0,1.19,154.16101,73.40056,8644.25,7237.36,2.34,2.09,-77.9,-0.403,19.16,19.81,01a59306o0112o
59306.452773,17.84,0.07,266,19,o,0,0.73,154.16101,73.40056,8663.85,7275.14,2.35,2.01,-84.6,-0.411,19.12,19.79,01a59306o0122o
59306.458783,17.833,0.059,267,16,o,0,1.66,154.16101,73.40056,8600.85,7208.62,2.29,2.11,-74.2,-0.405,19.09,19.77,01a59306o0135o
59306.470315,17.835,0.072,267,19,o,0,1.01,154.16101,73.40056,8579.12,7329.63,2.38,1.9,-83.9,-0.411,19.15,19.73,01a59306o0160o
59308.485669,16.835,0.211,670,142,o,0,1.03,154.16101,73.40056,7315.94,9756.56,1.99,1.81,-66.1,-0.509,17.46,19.89,02a59308o0129o
59308.491633,16.732,0.073,737,53,o,0,0.89,154.16101,73.40056,7292.91,9721.52,1.95,1.83,-69.2,-0.508,16.9,19.43,02a59308o0142o
59308.504054,15.685,0.397,1932,767,o,0,1.1,154.16101,73.40056,7344.39,9800.92,2.0,1.89,-85.6,-0.498,14.97,17.57,02a59308o0169o
59308.50772,16.911,0.135,625,84,o,0,0.75,154.16101,73.40056,7361.61,9682.62,2.01,1.87,-53.6,-0.484,17.74,20.21,02a59308o0177o
59310.324468,15.795,0.01,1746,17,c,0,4.02,154.16101,73.40056,8633.68,7224.03,2.98,2.52,-88.3,-0.387,19.73,21.68,01a59310o0158c
59310.327697,15.766,0.009,1793,17,c,0,3.83,154.16101,73.40056,8655.82,7260.36,2.89,2.46,-89.7,-0.392,19.78,21.7,01a59310o0165c
59310.333235,15.752,0.009,1817,16,c,0,5.92,154.16101,73.40056,8591.65,7190.13,2.96,2.51,-87.9,-0.392,19.73,21.7,01a59310o0177c
59310.343947,15.773,0.009,1782,16,c,0,4.9,154.16101,73.40056,8575.27,7307.87,2.59,2.5,85.0,-0.388,19.81,21.73,01a59310o0200c
59314.361388,14.714,0.034,4727,159,c,0,1.54,154.16101,73.40056,2454.12,3065.61,2.44,2.23,69.0,-0.406,17.1,18.73,01a59314o0309c
59314.36508,14.916,0.072,3922,283,c,0,0.99,154.16101,73.40056,2472.54,3105.25,2.47,2.18,78.8,-0.401,17.07,18.74,01a59314o0317c
59314.371079,14.715,0.005,4720,25,c,0,30.61,154.16101,73.40056,2416.9,3023.23,2.38,2.18,65.2,-0.412,19.69,21.38,01a59314o0330c
59314.40617,14.731,0.006,4650,26,c,0,23.95,154.16101,73.40056,2414.34,3131.72,2.47,2.28,80.1,-0.415,19.55,21.24,01a59314o0400c
59320.310878,14.44,0.005,6084,30,o,0,51.5,154.16101,73.40056,1461.4,5530.5,2.02,1.85,-56.5,-0.461,19.43,20.45,02a59320o0192o
59320.314085,14.443,0.005,6062,30,o,0,82.34,154.16101,73.40056,1440.29,5488.97,1.95,1.89,8.5,-0.461,19.43,20.49,02a59320o0199o
59320.319576,14.456,0.005,5994,31,o,0,75.03,154.16101,73.40056,1496.45,5557.45,2.1,1.83,25.1,-0.452,19.48,20.57,02a59320o0211o
59320.332444,14.453,0.005,6011,31,o,0,42.44,154.16101,73.40056,1520.15,5439.39,1.98,1.84,-53.1,-0.464,19.52,20.62,02a59320o0239o
59320.342512,14.465,0.006,5946,34,o,0,57.68,154.16101,73.40056,10505.78,5777.92,2.47,1.88,-66.0,-0.466,19.54,20.65,02a59320o0261o
59320.346175,14.449,0.005,6033,32,o,0,23.6,154.16101,73.40056,10486.13,5735.24,2.32,1.93,-64.7,-0.46,19.51,20.66,02a59320o0269o
59322.319147,14.432,0.004,6128,27,o,0,62.82,154.16101,73.40056,6814.06,9245.7,1.92,1.89,-31.4,-0.391,19.53,20.37,01a59322o0211o
59322.353575,14.422,0.005,6182,28,o,0,24.22,154.16101,73.40056,6837.99,9283.84,1.96,1.88,-49.4,-0.392,19.57,20.49,01a59322o0283o
59322.357275,14.414,0.005,6229,28,o,0,49.74,154.16101,73.40056,6768.35,9210.41,1.96,1.89,-51.0,-0.394,19.54,20.48,01a59322o0291o
59322.385385,14.425,0.005,6168,28,o,0,25.86,154.16101,73.40056,6748.87,9331.5,2.05,1.95,-65.0,-0.388,19.47,20.5,01a59322o0345o
