MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59291.56778,21.672,1.317,8,10,c,0,1.38,240.88745,14.55224,10494.63,992.42,2.65,2.18,-51.0,-0.403,19.76,21.74,02a59291o0500c
59291.569714,22.776,3.263,3,9,c,0,0.84,240.88745,14.55224,531.04,1043.86,2.67,2.45,-57.7,-0.407,19.71,21.7,02a59291o0504c
59291.570628,20.941,0.837,15,13,c,0,1.22,240.88745,14.55224,10473.13,1111.71,2.95,2.47,-49.2,-0.396,19.55,21.62,02a59291o0506c
59291.604103,26.025,52.0,0,7,c,0,1.47,240.88745,14.55224,557.0,1084.39,2.57,2.45,-68.7,-0.415,19.73,21.78,02a59291o0527c
59293.542921,22.172,1.982,5,10,o,0,0.86,240.88745,14.55224,8894.09,3075.98,2.05,1.96,-77.2,-0.423,19.84,21.25,01a59293o0565o
59293.544853,24.689,17.0,0,8,o,0,1.2,240.88745,14.55224,8879.4,3040.37,2.24,2.03,-78.0,-0.43,19.86,21.17,01a59293o0569o
59293.547623,20.848,0.492,17,8,o,0,1.23,240.88745,14.55224,8936.16,3115.2,2.09,1.95,-88.1,-0.429,19.89,21.22,01a59293o0575o
59293.552765,21.945,1.613,6,10,o,0,1.06,240.88745,14.55224,8954.58,2999.59,2.28,2.02,-71.2,-0.429,19.87,21.18,01a59293o0585o
59297.504161,21.398,1.177,10,12,o,0,0.85,240.88745,14.55224,746.8,3002.35,2.07,1.86,72.1,-0.419,19.46,20.2,01a59297o0458o
59297.525711,20.92,0.738,16,12,o,0,1.06,240.88745,14.55224,731.37,2966.22,1.95,1.89,77.7,-0.414,19.52,20.28,01a59297o0501o
59297.527555,-22.413,2.909,-4,11,o,0,0.93,240.88745,14.55224,789.27,3044.02,1.91,1.79,69.9,-0.42,19.58,20.29,01a59297o0505o
59297.53032,-23.521,7.474,-1,11,o,0,1.13,240.88745,14.55224,807.92,2927.76,1.95,1.84,58.4,-0.417,19.54,20.3,01a59297o0511o
59299.524083,21.878,2.788,6,18,o,0,0.99,240.88745,14.55224,7101.8,9322.25,2.3,2.14,45.5,-0.443,19.08,19.69,02a59299o0650o
59299.525946,-21.772,2.534,-7,18,o,0,1.26,240.88745,14.55224,7121.76,9361.14,2.29,2.14,40.8,-0.437,19.11,19.69,02a59299o0654o
59299.52869,21.258,1.388,11,16,o,0,1.28,240.88745,14.55224,7062.3,9285.58,2.19,2.1,51.9,-0.449,19.14,19.7,02a59299o0660o
59299.53462,21.423,1.639,10,16,o,0,1.05,240.88745,14.55224,7044.85,9400.76,2.25,2.1,42.8,-0.437,19.16,19.73,02a59299o0672o
59300.525694,-18.867,1.437,-103,148,o,0,1.31,240.88745,14.55224,750.77,3011.45,2.13,2.02,-13.3,-0.402,16.69,16.26,01a59300o0669o
59300.529378,20.47,7.628,24,180,o,0,1.6,240.88745,14.55224,729.61,2972.97,2.07,2.04,-53.4,-0.4,16.34,15.9,01a59300o0677o
