MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59200.580848,20.26,0.321,29,9,c,0,2.45,155.11811,53.85746,3063.81,2496.19,2.53,2.45,77.6,-0.396,19.75,21.82,02a59200o0746c
59200.584525,19.818,0.201,43,9,c,0,3.6,155.11811,53.85746,3086.23,2536.1,2.45,2.37,84.1,-0.402,19.8,21.83,02a59200o0754c
59200.590018,21.035,0.536,14,8,c,0,4.29,155.11811,53.85746,3030.53,2456.47,2.44,2.33,64.3,-0.404,19.79,21.85,02a59200o0766c
59200.597411,20.503,0.302,23,7,c,0,4.41,155.11811,53.85746,3012.11,2574.03,2.42,2.32,72.7,-0.404,19.83,21.85,02a59200o0782c
59206.528598,-18.96,0.077,-95,7,c,0,2.72,155.11811,53.85746,8310.3,2365.47,2.76,2.7,-68.7,-0.375,19.75,21.94,01a59206o0706c
59206.530903,-20.588,0.432,-21,9,c,0,2.42,155.11811,53.85746,8289.41,2324.04,2.83,2.78,-24.4,-0.351,19.69,21.95,01a59206o0711c
59206.533668,-20.04,0.25,-35,9,c,0,2.5,155.11811,53.85746,8349.35,2403.53,2.71,2.65,-45.4,-0.368,19.76,21.95,01a59206o0717c
59206.538734,-20.865,0.639,-16,10,c,0,1.79,155.11811,53.85746,8368.51,2290.4,2.69,2.63,-23.6,-0.383,19.74,21.94,01a59206o0728c
59208.553631,22.036,1.568,6,9,c,0,3.21,155.11811,53.85746,1170.88,2506.08,2.41,2.33,68.7,-0.416,19.62,21.32,02a59208o0774c
59208.556833,-21.032,0.701,-14,10,c,0,2.53,155.11811,53.85746,1198.35,2547.03,2.49,2.35,-74.9,-0.42,19.65,21.41,02a59208o0781c
59208.559619,-21.605,1.016,-8,8,c,0,4.02,155.11811,53.85746,1136.5,2465.07,2.48,2.33,53.9,-0.419,19.65,21.45,02a59208o0787c
59208.56419,-18.408,0.084,-157,13,c,0,4.5,155.11811,53.85746,10508.34,2546.91,2.74,2.34,-58.8,-0.419,19.69,21.5,02a59208o0797c
59208.570147,-19.872,0.208,-41,8,c,0,3.01,155.11811,53.85746,1122.05,2581.01,2.47,2.37,53.6,-0.414,19.66,21.52,02a59208o0810c
59212.538868,-21.402,1.726,-10,17,o,0,2.64,155.11811,53.85746,4708.87,4657.33,2.44,2.0,43.4,-0.422,18.75,19.19,02a59212o0755o
59212.542092,22.675,7.852,3,24,o,0,1.59,155.11811,53.85746,4728.53,4699.49,2.4,1.94,42.9,-0.428,18.78,19.19,02a59212o0762o
59212.548054,19.746,0.484,46,22,o,0,1.79,155.11811,53.85746,4673.21,4621.42,2.44,1.94,42.8,-0.428,18.79,19.19,02a59212o0775o
59212.554911,-18.653,0.148,-126,18,o,0,3.37,155.11811,53.85746,4655.87,4738.67,2.38,1.89,43.5,-0.439,18.82,19.21,02a59212o0790o
59214.463486,21.027,1.383,14,20,o,0,2.76,155.11811,53.85746,5652.07,8118.53,1.99,1.96,-34.8,-0.409,18.75,18.82,01a59214o0590o
59214.467191,-19.763,0.551,-45,25,o,0,1.28,155.11811,53.85746,5632.86,8082.24,2.1,2.07,-30.6,-0.407,18.67,18.83,01a59214o0598o
59214.473181,19.546,0.495,55,27,o,0,1.35,155.11811,53.85746,5690.17,8157.43,2.1,2.06,-28.1,-0.405,18.68,18.84,01a59214o0611o
59214.485129,-19.976,0.694,-37,26,o,0,2.03,155.11811,53.85746,5709.57,8044.5,2.7,2.08,17.3,-0.386,18.56,18.9,01a59214o0636o
59216.469436,19.038,0.288,88,25,o,0,1.44,155.11811,53.85746,4692.08,4659.4,2.69,2.36,37.5,-0.405,18.49,19.05,02a59216o0600o
59216.47782,-18.93,0.264,-97,26,o,0,1.76,155.11811,53.85746,4718.95,4697.41,2.91,2.66,38.1,-0.4,18.42,19.07,02a59216o0618o
59216.489387,-21.383,2.534,-10,26,o,0,1.45,155.11811,53.85746,4663.88,4621.66,2.82,2.55,48.2,-0.42,18.49,19.11,02a59216o0643o
59216.493604,-20.063,0.67,-34,23,o,0,2.28,155.11811,53.85746,4641.29,4738.52,2.71,2.38,44.9,-0.405,18.54,19.13,02a59216o0652o
59218.526958,20.439,0.659,24,16,o,0,2.39,155.11811,53.85746,10021.83,4092.03,2.53,2.16,28.6,-0.394,19.25,20.07,01a59218o0713o
59218.528338,-19.914,0.352,-39,14,o,0,4.52,155.11811,53.85746,197.48,4122.21,2.06,1.9,82.2,-0.418,19.34,20.14,01a59218o0716o
59218.530181,-21.024,0.946,-14,13,o,0,4.5,155.11811,53.85746,176.67,4084.03,2.08,1.91,82.2,-0.415,19.36,20.14,01a59218o0720o
59218.530642,23.543,11.083,1,15,o,0,2.62,155.11811,53.85746,9996.9,4050.21,2.35,2.32,65.1,-0.402,19.26,20.09,01a59218o0721o
59218.533404,-21.393,1.562,-10,16,o,0,4.55,155.11811,53.85746,236.04,4158.22,1.97,1.83,86.8,-0.417,19.42,20.15,01a59218o0727o
59218.53617,19.402,0.218,63,14,o,0,1.88,155.11811,53.85746,10055.82,4129.63,2.43,2.31,-78.2,-0.402,19.29,20.1,01a59218o0733o
59218.540791,-22.258,3.13,-4,14,o,0,4.11,155.11811,53.85746,254.48,4041.47,2.19,2.13,14.5,-0.401,19.28,20.16,01a59218o0743o
59218.542639,23.678,12.444,1,15,o,0,2.54,155.11811,53.85746,10078.99,4011.84,2.76,2.34,14.4,-0.394,19.17,20.11,01a59218o0747o
59220.553765,18.39,0.1,160,16,o,0,5.8,155.11811,53.85746,1922.25,10423.22,2.17,1.87,-53.4,-0.449,19.47,20.47,02a59220o0776o
59220.557466,18.329,0.105,169,18,o,0,9.46,155.11811,53.85746,1944.83,10462.94,2.14,1.89,-52.9,-0.457,19.43,20.51,02a59220o0784o
59220.562954,18.036,0.061,222,13,o,0,5.84,155.11811,53.85746,1883.4,10382.34,2.15,1.87,-47.1,-0.446,19.49,20.57,02a59220o0796o
59220.568445,18.137,0.13,202,26,o,0,20.65,155.11811,53.85746,1859.78,10503.55,2.2,1.94,-53.7,-0.436,19.51,20.58,02a59220o0808o
59220.598969,20.078,0.422,34,14,o,0,2.65,155.11811,53.85746,6802.38,10300.3,2.37,1.96,-61.9,-0.454,19.55,20.61,02a59220o0874o
59220.633312,18.907,0.115,99,11,o,0,7.23,155.11811,53.85746,6779.96,10256.93,2.32,1.91,-57.8,-0.448,19.57,20.59,02a59220o0948o
59220.641588,19.131,0.152,81,12,o,0,4.13,155.11811,53.85746,6832.88,10338.05,2.39,1.92,-56.8,-0.443,19.57,20.6,02a59220o0966o
59220.644482,19.146,0.144,80,12,o,0,4.25,155.11811,53.85746,6851.0,10221.74,2.34,1.95,-57.6,-0.45,19.56,20.61,02a59220o0972o
59222.528025,18.322,0.073,170,12,o,0,3.23,155.11811,53.85746,10018.5,4085.72,2.5,2.34,16.9,-0.383,19.52,20.84,01a59222o0710o
59222.530329,19.87,0.29,41,12,o,0,4.07,155.11811,53.85746,9997.8,4045.03,2.49,2.24,12.3,-0.388,19.54,20.83,01a59222o0715o
59222.533092,18.388,0.078,160,12,o,0,4.86,155.11811,53.85746,10056.78,4125.6,2.49,2.22,8.0,-0.391,19.56,20.84,01a59222o0721o
59222.540009,18.682,0.094,122,12,o,0,4.02,155.11811,53.85746,10075.62,4008.7,2.4,2.19,-75.2,-0.406,19.61,20.84,01a59222o0736o
59226.516949,17.628,0.028,323,9,c,0,4.52,155.11811,53.85746,1920.16,7906.4,2.66,2.43,-70.3,-0.378,19.82,22.26,01a59226o0658c
59226.518814,17.736,0.031,292,9,c,0,4.22,155.11811,53.85746,1902.03,7868.93,2.53,2.39,-61.6,-0.371,19.83,22.26,01a59226o0662c
59226.524355,17.879,0.041,256,10,c,0,2.24,155.11811,53.85746,1957.5,7944.1,3.16,2.95,-76.5,-0.361,19.6,22.25,01a59226o0674c
59226.529881,17.71,0.032,299,10,c,0,4.23,155.11811,53.85746,1976.76,7828.1,2.92,2.69,-63.3,-0.359,19.65,22.25,01a59226o0686c
59228.564265,17.736,0.033,292,10,c,0,4.15,155.11811,53.85746,8049.48,4117.46,2.76,2.49,31.5,-0.377,19.67,21.74,02a59228o0723c
59228.597113,17.694,0.037,304,11,c,0,2.06,155.11811,53.85746,8026.34,4078.52,2.77,2.39,30.9,-0.378,19.71,21.81,02a59228o0794c
59228.600322,17.661,0.034,313,10,c,0,2.86,155.11811,53.85746,8090.95,4160.93,2.48,2.45,51.6,-0.391,19.78,21.81,02a59228o0801c
59228.605809,17.576,0.03,339,10,c,0,2.95,155.11811,53.85746,8109.62,4044.22,2.47,2.36,38.8,-0.39,19.75,21.79,02a59228o0813c
59230.480734,17.488,0.028,367,10,c,0,3.88,155.11811,53.85746,1923.7,7905.71,2.61,2.29,-76.7,-0.404,19.82,21.97,01a59230o0611c
59230.483039,17.606,0.031,329,10,c,0,4.95,155.11811,53.85746,1905.45,7864.96,2.48,2.23,-75.8,-0.408,19.87,22.01,01a59230o0616c
59230.493215,17.627,0.03,323,10,c,0,3.67,155.11811,53.85746,1959.73,7942.1,2.66,2.29,-79.8,-0.405,19.83,22.01,01a59230o0637c
59230.496911,17.491,0.029,366,11,c,0,3.52,155.11811,53.85746,1977.96,7827.47,2.61,2.25,-78.5,-0.407,19.84,21.99,01a59230o0645c
59238.457484,18.845,0.147,105,16,o,0,2.67,155.11811,53.85746,6080.23,4159.03,2.55,1.97,12.9,-0.378,19.08,19.79,01a59238o0534o
59238.460729,17.968,0.072,236,17,o,0,3.35,155.11811,53.85746,6058.58,4119.39,2.14,1.94,5.5,-0.379,19.07,19.57,01a59238o0541o
59238.464486,18.328,0.082,169,14,o,0,7.02,155.11811,53.85746,6117.63,4199.4,2.0,1.97,17.5,-0.392,18.94,19.4,01a59238o0549o
59238.473167,17.939,0.08,242,19,o,0,2.91,155.11811,53.85746,6131.74,4085.48,2.05,1.94,-89.7,-0.392,18.62,19.21,01a59238o0567o
59242.483033,18.569,0.234,136,32,o,0,1.12,155.11811,53.85746,4986.86,10377.13,2.3,2.19,-75.4,-0.388,18.45,18.65,01a59242o0553o
59242.483955,17.889,0.107,254,27,o,0,1.49,155.11811,53.85746,6554.31,181.97,2.35,2.16,81.4,-0.419,18.5,18.7,01a59242o0555o
59242.485799,18.089,0.141,211,30,o,0,2.05,155.11811,53.85746,6535.16,141.94,2.16,2.05,-87.9,-0.425,18.59,18.7,01a59242o0559o
59242.486261,17.915,0.113,248,28,o,0,1.68,155.11811,53.85746,4971.42,10335.8,2.2,2.03,-66.8,-0.42,18.51,18.66,01a59242o0560o
59242.488563,17.763,0.079,285,23,o,0,2.09,155.11811,53.85746,6596.62,220.88,2.14,2.05,-81.4,-0.421,18.62,18.71,01a59242o0565o
59242.494119,17.836,0.106,266,28,o,0,1.7,155.11811,53.85746,5023.91,10418.5,2.28,2.12,72.2,-0.432,18.46,18.66,01a59242o0577o
59242.495498,17.957,0.127,238,30,o,0,1.45,155.11811,53.85746,6613.58,104.66,2.07,2.02,-56.5,-0.417,18.69,18.72,01a59242o0580o
59242.504769,17.702,0.091,302,27,o,0,1.48,155.11811,53.85746,5042.57,10298.52,2.09,2.0,39.7,-0.416,18.6,18.68,01a59242o0600o
59244.5053,19.223,0.348,74,26,o,0,1.87,155.11811,53.85746,4337.95,2036.55,2.32,2.27,48.4,-0.429,18.59,18.98,02a59244o0659o
59244.508504,18.692,0.184,121,22,o,0,3.1,155.11811,53.85746,4318.08,1998.0,2.24,2.14,38.8,-0.427,18.58,18.98,02a59244o0666o
59244.513997,18.724,0.236,118,28,o,0,1.37,155.11811,53.85746,4378.16,2073.76,2.32,2.27,49.3,-0.425,18.59,18.98,02a59244o0678o
59244.549157,18.284,0.145,176,26,o,0,1.28,155.11811,53.85746,4400.88,1954.58,2.4,2.32,42.9,-0.408,18.54,18.96,02a59244o0754o
59246.418274,18.128,0.052,204,11,o,0,5.5,155.11811,53.85746,4987.05,10375.61,2.12,1.87,30.1,-0.393,19.24,19.92,01a59246o0448o
59246.421058,17.957,0.056,238,13,o,0,5.19,155.11811,53.85746,4966.2,10335.57,1.8,1.78,76.7,-0.417,19.34,19.93,01a59246o0454o
59246.422047,18.361,0.109,164,18,o,0,2.19,155.11811,53.85746,6571.54,184.32,2.33,1.94,67.3,-0.413,19.23,19.92,01a59246o0456o
59246.444673,18.017,0.052,226,12,o,0,4.94,155.11811,53.85746,5018.11,10418.65,1.8,1.77,-13.1,-0.425,19.4,19.96,01a59246o0504o
59246.445134,18.079,0.072,213,15,o,0,4.58,155.11811,53.85746,6535.75,147.09,2.01,1.84,7.9,-0.421,19.37,19.95,01a59246o0505o
59246.448822,17.964,0.063,237,15,o,0,2.65,155.11811,53.85746,6598.09,224.62,1.9,1.78,7.5,-0.434,19.4,19.97,01a59246o0513o
59246.450678,17.843,0.056,265,15,o,0,3.41,155.11811,53.85746,5042.88,10296.67,1.78,1.72,-30.4,-0.44,19.38,19.98,01a59246o0517o
59246.454845,18.539,0.125,139,17,o,0,2.73,155.11811,53.85746,6621.65,104.59,2.31,2.09,4.2,-0.412,19.28,19.97,01a59246o0526o
59250.528301,19.513,0.203,57,12,o,0,7.44,155.11811,53.85746,8170.22,10109.58,2.02,2.0,48.6,-0.401,19.63,20.89,01a59250o0601o
59250.531546,18.822,0.108,107,12,o,0,3.54,155.11811,53.85746,8194.51,10150.35,2.11,2.04,-2.6,-0.396,19.62,20.88,01a59250o0608o
59250.537567,19.448,0.159,60,10,o,0,5.31,155.11811,53.85746,8131.58,10074.18,2.12,2.07,-6.1,-0.391,19.56,20.81,01a59250o0621o
59250.548229,20.528,0.496,22,11,o,0,7.86,155.11811,53.85746,8111.78,10190.63,2.11,2.06,-71.6,-0.391,19.53,20.79,01a59250o0644o
59252.476571,20.268,0.278,28,8,c,0,5.56,155.11811,53.85746,2035.45,6162.06,2.36,2.25,-48.8,-0.418,19.8,21.88,02a59252o0590c
59252.479799,19.065,0.11,86,10,c,0,2.57,155.11811,53.85746,2015.74,6123.41,2.38,2.28,-48.8,-0.416,19.81,21.88,02a59252o0597c
59252.487158,19.356,0.135,66,9,c,0,4.01,155.11811,53.85746,2071.79,6197.79,2.38,2.26,-47.8,-0.418,19.81,21.89,02a59252o0613c
59252.497792,19.78,0.218,44,10,c,0,2.75,155.11811,53.85746,2091.14,6079.4,2.35,2.3,-18.2,-0.415,19.82,21.88,02a59252o0636c
59254.497832,20.391,0.371,25,9,c,0,2.22,155.11811,53.85746,8166.02,10107.9,2.6,2.54,-80.0,-0.348,19.78,21.99,01a59254o0629c
59254.501065,20.05,0.254,35,9,c,0,2.76,155.11811,53.85746,8188.18,10146.62,2.48,2.4,-76.9,-0.358,19.8,22.0,01a59254o0636c
59254.508002,21.056,0.661,14,9,c,0,2.32,155.11811,53.85746,8123.35,10068.29,2.7,2.39,-79.8,-0.374,19.71,22.02,01a59254o0651c
59254.532417,24.131,9.429,1,8,c,0,3.25,155.11811,53.85746,8111.92,10185.02,2.63,2.3,-80.8,-0.375,19.78,22.04,01a59254o0703c
59256.43498,19.244,0.114,73,8,c,0,2.29,155.11811,53.85746,8561.12,4407.33,2.55,2.4,47.8,-0.386,19.83,21.95,02a59256o0492c
59256.43681,20.393,0.369,25,9,c,0,2.59,155.11811,53.85746,8580.61,4446.71,2.64,2.5,44.2,-0.381,19.79,21.94,02a59256o0496c
59256.439554,20.177,0.227,31,7,c,0,4.25,155.11811,53.85746,8522.93,4371.27,2.54,2.42,52.8,-0.386,19.83,21.96,02a59256o0502c
59256.444591,18.955,0.096,95,9,c,0,2.46,155.11811,53.85746,8500.48,4487.42,2.74,2.47,42.1,-0.374,19.79,21.98,02a59256o0513c
59258.463099,20.719,0.48,19,9,c,0,2.34,155.11811,53.85746,6570.45,4554.02,2.59,2.56,-34.5,-0.365,19.75,21.94,01a59258o0557c
59258.466324,20.345,0.278,26,7,c,0,5.04,155.11811,53.85746,6590.92,4592.89,2.5,2.44,-29.7,-0.371,19.79,21.94,01a59258o0564c
59258.471852,19.595,0.132,53,7,c,0,5.12,155.11811,53.85746,6534.25,4515.23,2.55,2.52,-22.7,-0.366,19.78,21.94,01a59258o0576c
59258.505456,19.908,0.197,40,8,c,0,2.24,155.11811,53.85746,6522.97,4626.87,2.69,2.63,-50.5,-0.353,19.71,21.93,01a59258o0648c
59262.402295,19.775,0.175,45,8,c,0,2.93,155.11811,53.85746,3958.16,6007.85,2.32,2.18,-73.9,-0.381,19.84,21.85,01a59262o0407c
59262.404137,20.391,0.289,25,7,c,0,5.0,155.11811,53.85746,3940.77,5968.05,2.28,2.16,-79.2,-0.387,19.83,21.84,01a59262o0411c
59262.408746,20.016,0.233,36,8,c,0,3.21,155.11811,53.85746,3997.54,6046.92,2.28,2.15,-72.0,-0.384,19.85,21.85,01a59262o0421c
59262.413818,19.762,0.182,45,8,c,0,3.67,155.11811,53.85746,4017.06,5927.8,2.29,2.28,25.7,-0.365,19.77,21.87,01a59262o0432c
59266.450534,21.903,1.873,6,12,o,0,15.0,155.11811,53.85746,4234.48,8645.54,1.81,1.75,-19.0,-0.427,19.19,19.75,01a59266o0080o
59266.454795,-22.736,3.854,-3,11,o,0,19.66,155.11811,53.85746,4255.36,8683.53,1.82,1.76,-26.9,-0.425,19.47,20.24,01a59266o0089o
59266.460786,-19.851,0.263,-42,11,o,0,6.05,155.11811,53.85746,4195.26,8605.08,1.87,1.82,-34.9,-0.428,19.56,20.4,01a59266o0102o
59266.471008,-19.733,0.224,-46,10,o,0,8.09,155.11811,53.85746,4178.21,8719.88,1.82,1.75,-46.9,-0.423,19.22,19.85,01a59266o0124o
59270.392575,-23.635,17.167,-1,22,o,0,1.0,155.11811,53.85746,6342.09,1935.81,2.35,2.21,70.6,-0.39,18.76,18.99,01a59270o0276o
59270.394416,19.429,0.36,61,22,o,0,1.67,155.11811,53.85746,6321.09,1896.86,2.26,2.25,32.6,-0.384,18.77,18.99,01a59270o0280o
59270.397175,20.495,0.907,23,21,o,0,1.91,155.11811,53.85746,6381.56,1975.34,2.36,2.31,18.3,-0.39,18.74,19.0,01a59270o0286o
59270.402325,19.476,0.407,59,24,o,0,2.0,155.11811,53.85746,6399.42,1860.46,2.54,2.52,-3.2,-0.378,18.67,19.01,01a59270o0297o
59276.576913,17.807,0.08,274,22,o,0,6.34,155.11811,53.85746,402.66,61.06,2.31,1.95,-63.2,-0.451,18.98,19.75,02a59276o0226o
59276.58415,19.592,0.327,53,17,o,0,2.87,155.11811,53.85746,8619.97,10276.4,2.53,2.16,-54.1,-0.419,19.09,19.83,02a59276o0241o
59276.587415,18.809,0.16,109,17,o,0,3.56,155.11811,53.85746,448.78,96.73,2.35,1.89,-57.3,-0.444,19.01,19.71,02a59276o0248o
59276.587871,-19.815,0.463,-43,20,o,0,1.14,155.11811,53.85746,8600.05,10232.02,2.43,2.17,-50.3,-0.429,19.06,19.82,02a59276o0249o
59276.594307,-20.084,0.633,-34,21,o,0,2.06,155.11811,53.85746,8658.55,10316.4,2.73,2.21,-52.1,-0.42,19.05,19.78,02a59276o0263o
59276.604825,20.197,0.641,30,19,o,0,2.73,155.11811,53.85746,8674.15,10195.74,2.4,2.27,-49.0,-0.431,18.98,19.7,02a59276o0285o
59278.458491,-21.418,2.224,-10,22,o,0,1.72,155.11811,53.85746,2745.41,4746.27,2.27,2.09,-88.9,-0.417,18.81,19.69,01a59278o0359o
59278.461721,19.402,0.336,63,21,o,0,2.44,155.11811,53.85746,2766.25,4785.53,2.08,1.99,89.5,-0.431,18.96,19.81,01a59278o0366o
59278.467263,19.367,0.455,65,30,o,0,1.9,155.11811,53.85746,2708.22,4706.37,2.0,1.94,74.7,-0.434,18.67,19.36,01a59278o0378o
59278.47742,-20.415,0.863,-25,21,o,0,2.86,155.11811,53.85746,2691.92,4821.63,1.99,1.93,-22.3,-0.427,18.77,19.36,01a59278o0400o
59288.417287,21.009,0.542,14,8,c,0,3.93,155.11811,53.85746,3795.83,7762.89,2.37,2.29,19.2,-0.402,19.8,21.84,02a59288o0435c
59288.420532,19.685,0.199,48,10,c,0,2.87,155.11811,53.85746,3778.04,7725.58,2.42,2.29,21.0,-0.397,19.8,21.84,02a59288o0442c
59288.426561,23.039,3.667,2,8,c,0,2.8,155.11811,53.85746,3835.91,7805.82,2.4,2.31,17.8,-0.397,19.83,21.86,02a59288o0455c
59288.456913,19.335,0.118,67,8,c,0,3.24,155.11811,53.85746,3847.8,7679.56,2.54,2.32,38.3,-0.384,19.77,21.82,02a59288o0519c
59294.465191,-20.167,0.273,-31,8,o,0,15.16,155.11811,53.85746,3000.53,2518.0,1.82,1.8,-54.9,-0.426,19.88,21.17,01a59294o0033o
59294.472282,-20.244,0.282,-29,8,o,0,18.45,155.11811,53.85746,3020.13,2555.59,1.84,1.81,74.3,-0.428,19.9,21.21,01a59294o0047o
59294.476438,23.275,6.043,2,11,o,0,5.66,155.11811,53.85746,2963.47,2476.11,1.92,1.83,-88.1,-0.427,19.87,21.21,01a59294o0056o
59294.49091,-24.465,16.143,-1,10,o,0,7.66,155.11811,53.85746,2951.19,2590.43,2.01,1.92,89.4,-0.425,19.79,21.08,01a59294o0087o
59298.379457,17.895,0.633,252,160,o,0,1.01,155.11811,53.85746,10486.4,2393.51,2.75,2.33,-84.1,-0.361,17.09,16.77,01a59298o0355o
59298.412473,-21.812,22.852,-7,156,o,0,0.98,155.11811,53.85746,10511.64,2428.58,2.75,2.33,-80.7,-0.344,16.98,16.74,01a59298o0420o
59298.416163,19.279,0.522,70,37,o,0,1.55,155.11811,53.85746,10456.35,2355.25,2.66,2.26,-78.5,-0.364,18.26,18.25,01a59298o0428o
59298.418467,-20.148,1.568,-32,50,o,0,1.46,155.11811,53.85746,1107.44,2557.98,2.31,2.13,72.5,-0.409,17.85,17.78,01a59298o0433o
59298.422155,20.357,0.742,26,19,o,0,3.07,155.11811,53.85746,1128.08,2597.36,2.28,2.09,72.2,-0.412,18.58,18.81,01a59298o0441o
59298.423078,19.53,0.549,56,31,o,0,1.64,155.11811,53.85746,10438.57,2474.15,2.66,2.27,-80.7,-0.379,18.53,18.74,01a59298o0443o
59298.457263,-19.294,0.412,-70,29,o,0,1.57,155.11811,53.85746,1078.59,2511.21,2.16,1.98,70.1,-0.413,18.48,18.49,01a59298o0516o
59298.465105,-22.741,8.818,-3,26,o,0,2.44,155.11811,53.85746,1064.2,2626.83,2.03,1.88,70.5,-0.423,18.58,18.62,01a59298o0533o
59300.399004,-21.094,2.92,-13,39,o,0,2.3,155.11811,53.85746,90.95,6354.47,2.22,2.01,2.8,-0.322,17.94,17.99,02a59300o0357o
59300.402691,-17.828,0.141,-268,38,o,0,2.2,155.11811,53.85746,71.67,6315.78,2.3,1.95,-47.7,-0.348,18.29,18.32,02a59300o0365o
59300.408218,-20.052,1.59,-35,55,o,0,1.46,155.11811,53.85746,129.64,6390.23,2.28,2.01,-41.0,-0.331,17.7,17.49,02a59300o0377o
59300.40959,18.523,0.369,142,52,o,0,2.3,155.11811,53.85746,9681.35,6347.65,2.29,2.27,71.0,-0.431,17.78,17.66,02a59300o0380o
59300.412803,-17.384,0.331,-404,134,o,0,1.36,155.11811,53.85746,9661.98,6306.98,2.37,2.28,45.9,-0.461,17.05,16.76,02a59300o0387o
59300.417919,-18.773,0.449,-112,50,o,0,1.11,155.11811,53.85746,9717.84,6387.17,2.53,2.19,28.3,-0.398,17.93,17.89,02a59300o0398o
59300.419291,-21.299,3.233,-11,36,o,0,1.91,155.11811,53.85746,149.13,6268.83,2.1,1.94,-17.1,-0.361,18.21,18.21,02a59300o0401o
59300.427988,-18.8,0.417,-110,46,o,0,1.57,155.11811,53.85746,9739.94,6271.02,2.17,2.15,79.2,-0.435,18.08,18.0,02a59300o0420o
59304.34177,-18.992,0.168,-92,15,o,0,7.74,155.11811,53.85746,98.42,6368.0,2.17,1.79,-51.9,-0.385,19.28,19.94,02a59304o0267o
