MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59306.553261,-21.578,1.576,-8,13,o,0,1.79,204.99054,67.56793,2912.7,8609.53,2.29,2.02,-75.4,-0.415,19.22,20.0,01a59306o0338o
59306.556489,22.688,4.086,3,12,o,0,1.47,204.99054,67.56793,2934.6,8649.79,2.11,1.89,-75.0,-0.43,19.3,19.98,01a59306o0345o
59306.56345,-21.555,1.471,-9,13,o,0,1.09,204.99054,67.56793,2870.22,8568.51,2.04,1.91,-63.3,-0.424,19.28,19.97,01a59306o0360o
59306.573603,22.163,3.038,5,15,o,0,1.01,204.99054,67.56793,2849.66,8684.13,2.22,1.98,-72.1,-0.416,19.22,19.94,01a59306o0382o
59308.434363,20.944,1.093,15,17,o,0,0.87,204.99054,67.56793,2615.67,1933.24,1.89,1.75,34.8,-0.472,19.0,21.37,02a59308o0064o
59308.436221,-21.26,1.491,-11,17,o,0,1.41,204.99054,67.56793,2638.18,1970.17,1.84,1.78,-18.9,-0.475,19.0,21.38,02a59308o0068o
59308.439887,22.281,3.864,4,17,o,0,0.83,204.99054,67.56793,2580.63,1891.93,1.87,1.77,34.2,-0.472,19.04,21.4,02a59308o0076o
59308.47503,20.662,1.022,20,20,o,0,1.39,204.99054,67.56793,8034.6,8570.33,1.99,1.8,-56.6,-0.489,18.99,21.37,02a59308o0106o
59310.430881,-23.134,4.267,-2,9,c,0,1.42,204.99054,67.56793,7679.2,2000.85,2.7,2.55,-67.9,-0.397,19.81,21.78,01a59310o0386c
59310.437406,-22.808,3.048,-3,8,c,0,1.06,204.99054,67.56793,7660.55,1961.73,2.65,2.52,-59.0,-0.401,19.83,21.79,01a59310o0399c
59310.441092,21.893,1.143,6,7,c,0,1.32,204.99054,67.56793,7721.82,2042.67,2.66,2.51,-52.5,-0.396,19.81,21.79,01a59310o0407c
59310.446321,-21.187,0.617,-12,8,c,0,1.07,204.99054,67.56793,7740.47,1928.1,2.66,2.48,-60.2,-0.399,19.8,21.79,01a59310o0418c
59314.403759,19.63,1.091,51,56,c,0,1.14,204.99054,67.56793,946.57,6554.29,2.41,2.11,-80.1,-0.408,17.83,19.49,01a59314o0395c
59314.405603,23.459,7.9,2,12,c,0,1.34,204.99054,67.56793,926.03,6518.26,2.5,2.2,-75.9,-0.407,19.44,21.21,01a59314o0399c
59314.433874,-20.895,0.543,-16,9,c,0,1.22,204.99054,67.56793,9522.97,3932.04,2.61,2.48,-82.6,-0.393,19.85,21.71,01a59314o0460c
59314.43903,21.651,2.529,8,20,c,0,0.71,204.99054,67.56793,9506.09,4048.29,2.67,2.42,-79.7,-0.399,18.42,20.11,01a59314o0471c
