MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59312.568198,21.749,1.219,7,9,c,0,1.02,274.00423,6.75176,2991.14,352.59,2.53,2.42,19.2,-0.411,19.79,21.65,01a59312o0753c
59312.575602,-21.145,0.642,-13,8,c,0,1.3,274.00423,6.75176,2967.18,316.6,2.55,2.45,44.4,-0.418,19.8,21.67,01a59312o0769c
59312.578828,-21.223,0.672,-12,8,c,0,1.17,274.00423,6.75176,3026.83,395.68,2.35,2.26,20.1,-0.419,19.86,21.69,01a59312o0776c
59312.588984,-26.189,86.0,0,10,c,0,0.94,274.00423,6.75176,3047.04,278.13,2.62,2.51,56.5,-0.418,19.77,21.69,01a59312o0798c
59312.607748,22.199,2.412,5,12,c,0,1.14,274.00423,6.75176,5459.05,10506.64,2.32,2.18,-47.8,-0.377,19.8,21.6,01a59312o0838c
59312.639836,22.17,4.5,5,22,c,0,1.06,274.00423,6.75176,4972.52,129.56,2.96,2.55,-17.3,-0.355,18.83,19.71,01a59312o0905c
59313.602135,-22.356,2.225,-4,9,c,0,0.96,274.00423,6.75176,2982.25,350.82,2.35,2.25,15.3,-0.419,19.75,21.48,01a59313o0804c
59313.613259,-20.936,0.659,-15,10,c,0,1.15,274.00423,6.75176,2961.48,312.45,2.44,2.31,29.3,-0.416,19.59,21.33,01a59313o0825c
59313.626271,21.603,1.232,8,10,c,0,1.3,274.00423,6.75176,3019.55,390.56,2.52,2.32,11.5,-0.411,19.61,21.28,01a59313o0851c
59322.505159,22.166,3.25,5,16,o,0,0.89,274.00423,6.75176,7400.16,6314.85,2.73,2.02,35.4,-0.467,19.28,20.54,02a59322o0608o
59322.517553,-22.599,3.64,-3,12,o,0,1.37,274.00423,6.75176,7426.42,6351.53,2.29,1.91,39.2,-0.487,19.31,20.5,02a59322o0635o
59322.525696,21.12,1.041,13,14,o,0,0.88,274.00423,6.75176,7362.34,6277.57,2.69,1.94,39.3,-0.469,19.39,20.74,02a59322o0652o
59322.531219,-21.99,2.2,-6,13,o,0,1.1,274.00423,6.75176,7347.81,6391.9,2.31,1.92,37.5,-0.49,19.36,20.61,02a59322o0664o
59323.61061,-22.229,2.381,-5,11,o,0,1.47,274.00423,6.75176,7412.99,6322.18,2.36,1.87,33.8,-0.483,19.5,20.72,02a59323o0807o
59323.616519,-21.89,1.75,-6,11,o,0,1.4,274.00423,6.75176,7433.28,6360.41,2.42,1.87,35.9,-0.481,19.49,20.71,02a59323o0819o
59323.631873,-24.488,29.25,-1,17,o,0,1.06,274.00423,6.75176,3216.22,4285.95,2.91,2.07,37.4,-0.461,19.07,19.92,02a59323o0851o
59323.633958,20.822,0.943,17,16,o,0,1.36,274.00423,6.75176,3234.84,4170.26,2.53,1.92,38.0,-0.48,18.91,19.49,02a59323o0855o
59324.491344,-22.714,2.586,-3,8,c,0,1.32,274.00423,6.75176,1229.67,4350.06,2.42,2.29,27.0,-0.393,19.74,21.57,01a59324o0482c
59324.519861,20.826,0.452,17,8,c,0,1.25,274.00423,6.75176,1211.95,4310.28,2.31,2.26,75.3,-0.405,19.82,21.59,01a59324o0543c
59324.530676,25.209,26.667,0,8,c,0,0.9,274.00423,6.75176,1266.94,4390.48,2.4,2.25,87.8,-0.412,19.82,21.63,01a59324o0566c
59324.533957,-22.062,1.375,-5,8,c,0,1.35,274.00423,6.75176,1287.28,4273.88,2.36,2.23,79.5,-0.409,19.84,21.66,01a59324o0573c
59326.509948,-22.085,3.227,-5,17,o,0,0.86,274.00423,6.75176,7405.32,6311.55,2.43,1.94,38.8,-0.468,19.23,20.13,02a59326o0601o
59326.512237,-23.378,10.0,-2,16,o,0,1.18,274.00423,6.75176,7424.68,6350.24,2.39,1.89,40.0,-0.469,19.25,20.14,02a59326o0606o
59326.514981,-21.528,1.416,-9,13,o,0,1.36,274.00423,6.75176,7366.34,6273.11,2.39,1.86,39.1,-0.48,19.3,20.19,02a59326o0612o
59326.520927,20.296,0.519,28,14,o,0,1.24,274.00423,6.75176,7346.56,6389.14,2.41,1.85,39.5,-0.485,19.33,20.24,02a59326o0625o
59328.528764,19.495,0.262,58,15,o,0,1.27,274.00423,6.75176,1120.3,2403.3,2.24,2.01,72.1,-0.416,19.18,19.79,01a59328o0663o
59328.530607,19.69,0.338,48,16,o,0,1.09,274.00423,6.75176,1100.17,2365.69,2.29,2.14,69.5,-0.422,19.13,19.79,01a59328o0667o
59328.533379,19.738,0.411,46,19,o,0,1.11,274.00423,6.75176,1160.45,2444.04,2.53,2.31,77.3,-0.414,19.06,19.8,01a59328o0673o
59328.538916,20.35,0.607,26,16,o,0,1.22,274.00423,6.75176,1179.1,2327.44,2.28,2.08,70.7,-0.416,19.2,19.85,01a59328o0685o
59329.519583,19.41,0.266,62,17,o,0,1.42,274.00423,6.75176,1118.63,2398.92,2.01,1.92,25.9,-0.418,19.0,19.59,01a59329o0625o
59329.52238,19.173,0.227,78,18,o,0,1.4,274.00423,6.75176,1099.02,2360.24,2.07,1.97,24.3,-0.415,18.95,19.59,01a59329o0631o
59329.535822,18.937,0.256,97,25,o,0,0.85,274.00423,6.75176,1156.67,2437.85,2.62,2.09,0.5,-0.417,18.79,19.59,01a59329o0659o
59329.553622,19.51,0.328,57,19,o,0,1.14,274.00423,6.75176,1180.39,2324.56,2.18,2.06,18.6,-0.407,18.95,19.67,01a59329o0695o
59332.486177,17.861,0.079,260,20,o,0,1.19,274.00423,6.75176,1128.33,2402.34,2.02,1.91,55.9,-0.418,18.81,18.9,01a59332o0473o
59332.489872,17.902,0.077,251,19,o,0,1.02,274.00423,6.75176,1104.77,2361.74,2.0,1.91,63.9,-0.426,18.83,18.91,01a59332o0481o
59332.495878,18.024,0.102,224,23,o,0,0.95,274.00423,6.75176,1164.03,2439.98,2.06,1.92,71.4,-0.42,18.79,18.93,01a59332o0494o
59332.504214,17.832,0.073,267,20,o,0,0.89,274.00423,6.75176,1184.9,2324.41,1.96,1.87,58.3,-0.425,18.87,18.98,01a59332o0512o
59334.506898,17.141,0.043,505,22,o,0,1.44,274.00423,6.75176,7237.98,2441.5,1.92,1.87,23.7,-0.482,18.68,19.18,02a59334o0545o
59334.508726,17.268,0.051,449,23,o,0,0.99,274.00423,6.75176,7256.88,2481.76,2.0,1.9,42.9,-0.48,18.7,19.19,02a59334o0549o
59334.513871,17.207,0.041,476,20,o,0,1.82,274.00423,6.75176,7199.65,2403.87,1.98,1.9,38.7,-0.476,18.69,19.21,02a59334o0560o
59334.536812,17.189,0.076,484,37,o,0,1.45,274.00423,6.75176,7177.92,2522.88,2.12,1.96,34.6,-0.455,18.08,18.43,02a59334o0608o
59336.483388,16.866,0.04,651,26,o,0,1.02,274.00423,6.75176,3078.71,2298.0,2.96,2.81,48.0,-0.411,18.71,19.66,01a59336o0557o
59336.490763,16.784,0.029,702,20,o,0,1.16,274.00423,6.75176,3052.6,2260.87,2.44,2.3,68.3,-0.401,18.97,19.67,01a59336o0573o
59336.52625,16.878,0.032,644,21,o,0,0.99,274.00423,6.75176,3112.54,2336.27,2.68,2.55,50.4,-0.392,18.93,19.87,01a59336o0649o
59336.530993,16.837,0.027,669,18,o,0,1.0,274.00423,6.75176,3129.66,2222.35,2.45,2.35,-21.0,-0.407,19.06,19.97,01a59336o0659o
59338.531786,16.524,0.022,892,20,o,0,0.99,274.00423,6.75176,1101.23,6121.14,1.94,1.84,-24.7,-0.484,19.17,20.22,02a59338o0572o
59338.533624,16.549,0.023,872,20,o,0,1.26,274.00423,6.75176,1120.51,6159.73,1.9,1.81,-20.6,-0.488,19.19,20.12,02a59338o0576o
59338.537743,16.5,0.021,912,19,o,0,1.99,274.00423,6.75176,1061.8,6081.89,1.97,1.85,-24.1,-0.48,19.08,20.01,02a59338o0585o
59338.543235,16.549,0.021,872,18,o,0,1.5,274.00423,6.75176,1042.57,6198.14,1.97,1.85,-27.4,-0.488,19.26,20.35,02a59338o0597o
59338.622598,16.575,0.026,851,22,o,0,0.98,274.00423,6.75176,9507.22,4426.33,2.07,2.02,58.7,-0.454,18.83,19.62,02a59338o0766o
59344.452739,16.412,0.021,989,21,o,0,1.08,274.00423,6.75176,9570.43,6365.0,2.39,2.01,-88.8,-0.407,19.22,20.47,01a59344o0488o
59344.461057,16.37,0.014,1028,14,o,0,4.25,274.00423,6.75176,9547.42,6328.18,2.23,1.85,-86.8,-0.427,19.37,20.72,01a59344o0506o
