MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59319.439043,21.177,0.833,12,10,o,0,1.63,220.22412,24.97166,704.06,7498.94,2.08,1.83,-48.4,-0.465,19.61,20.87,02a59319o0448o
59319.442319,-21.639,1.5,-8,12,o,0,0.86,220.22412,24.97166,724.01,7535.9,1.99,1.79,-48.8,-0.464,19.6,20.84,02a59319o0455o
59319.445066,22.051,1.5,6,8,o,0,1.52,220.22412,24.97166,664.9,7457.63,2.0,1.79,-45.2,-0.46,19.61,20.84,02a59319o0461o
59319.454037,20.415,0.506,25,12,o,0,1.07,220.22412,24.97166,641.24,7580.52,2.04,1.78,-41.8,-0.449,19.62,20.84,02a59319o0478o
59321.444521,-22.375,1.421,-4,6,c,0,1.77,220.22412,24.97166,7394.8,9127.91,2.54,2.43,79.3,-0.346,19.96,21.89,01a59321o0435c
59321.44774,-22.276,1.629,-4,7,c,0,1.39,220.22412,24.97166,7375.92,9087.79,2.77,2.67,68.3,-0.338,19.83,21.86,01a59321o0442c
59321.450512,22.277,1.409,4,6,c,0,1.7,220.22412,24.97166,7433.47,9166.17,2.47,2.36,73.8,-0.35,19.97,21.87,01a59321o0448c
59321.476631,-20.611,0.359,-21,7,c,0,1.14,220.22412,24.97166,3055.23,1552.23,2.61,2.6,20.2,-0.388,19.85,21.85,01a59321o0495c
59323.417668,-22.429,2.205,-4,8,o,0,1.64,220.22412,24.97166,1280.97,1479.75,2.05,1.87,-56.5,-0.481,19.63,20.92,02a59323o0401o
59323.419955,-22.658,3.323,-3,10,o,0,1.18,220.22412,24.97166,1300.35,1519.33,2.07,1.89,-58.6,-0.476,19.65,20.95,02a59323o0406o
59323.422699,24.137,17.25,1,14,o,0,0.69,220.22412,24.97166,1241.58,1439.61,2.05,1.88,-53.9,-0.492,19.65,20.97,02a59323o0412o
59323.428621,20.878,0.766,16,12,o,0,1.28,220.22412,24.97166,1223.34,1556.9,2.03,1.88,-58.8,-0.482,19.43,20.69,02a59323o0424o
59327.398351,21.819,2.375,7,16,o,0,1.44,220.22412,24.97166,1278.32,1481.88,2.13,1.9,-56.0,-0.469,19.09,19.6,02a59327o0339o
59327.400722,-20.03,0.459,-35,16,o,0,1.29,220.22412,24.97166,1297.66,1519.8,2.14,1.97,-57.1,-0.469,19.09,19.6,02a59327o0344o
59327.403466,-20.913,1.252,-16,20,o,0,0.71,220.22412,24.97166,1239.21,1440.9,2.21,2.02,-56.5,-0.464,19.06,19.62,02a59327o0350o
59327.409607,20.5,0.694,23,16,o,0,1.18,220.22412,24.97166,1216.71,1560.24,2.19,1.98,-56.7,-0.46,19.1,19.66,02a59327o0362o
59329.454334,-21.059,1.703,-14,23,o,0,1.18,220.22412,24.97166,3204.37,3416.04,2.01,2.0,-79.5,-0.404,18.68,19.07,01a59329o0497o
59329.459485,19.537,0.374,56,21,o,0,1.69,220.22412,24.97166,3225.87,3453.87,1.99,1.95,3.8,-0.411,18.69,19.07,01a59329o0508o
59329.495663,-20.119,0.53,-32,17,o,0,1.47,220.22412,24.97166,3176.71,3369.21,1.96,1.92,-2.6,-0.403,18.76,19.12,01a59329o0581o
59329.504146,19.896,0.515,40,21,o,0,1.3,220.22412,24.97166,3158.83,3484.61,1.97,1.9,-9.9,-0.408,18.74,19.12,01a59329o0596o
59331.462775,23.764,25.091,1,28,o,0,1.23,220.22412,24.97166,5712.14,2742.94,2.19,1.87,39.2,-0.44,18.39,18.44,02a59331o0512o
59331.466009,20.316,0.989,27,27,o,0,1.35,220.22412,24.97166,5694.23,2704.43,2.19,1.88,39.6,-0.441,18.45,18.44,02a59331o0519o
59331.499592,19.438,1.721,61,105,o,0,1.28,220.22412,24.97166,5751.88,2783.46,2.32,1.97,42.7,-0.44,16.97,16.72,02a59331o0589o
59331.504793,18.827,0.623,107,67,o,0,1.81,220.22412,24.97166,5776.42,2668.75,2.3,1.97,39.6,-0.419,17.36,17.11,02a59331o0600o
59333.513355,-19.749,0.4,-46,18,o,0,1.22,220.22412,24.97166,3221.79,3399.34,2.08,1.93,-86.2,-0.426,18.87,19.93,01a59333o0324o
59333.516319,20.864,0.897,16,15,o,0,1.0,220.22412,24.97166,3243.78,3437.23,1.91,1.82,-87.5,-0.43,19.17,19.5,01a59333o0330o
59333.52181,-20.498,0.682,-23,16,o,0,1.3,220.22412,24.97166,3186.65,3357.63,1.88,1.76,-79.4,-0.434,19.2,19.47,01a59333o0341o
59333.557042,-21.5,1.289,-9,12,o,0,1.91,220.22412,24.97166,3177.51,3471.0,1.95,1.82,-77.8,-0.421,19.12,19.4,01a59333o0413o
59335.387842,19.758,0.227,45,10,o,0,1.92,220.22412,24.97166,4873.51,7826.59,2.12,1.91,36.3,-0.438,19.58,20.76,02a59335o0338o
59335.390132,20.86,0.718,16,12,o,0,1.28,220.22412,24.97166,4893.25,7865.06,2.19,2.01,33.5,-0.434,19.52,20.71,02a59335o0343o
