MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59322.581989,-22.876,5.778,-3,15,o,0,1.0,302.49258,1.21936,9588.65,6864.25,2.22,2.05,39.6,-0.437,19.25,20.35,02a59322o0774o
59322.586106,-22.766,4.2,-3,12,o,0,1.95,302.49258,1.21936,9608.95,6903.58,2.19,2.07,42.8,-0.445,19.21,20.33,02a59322o0783o
59322.592067,20.086,0.69,34,23,o,0,0.87,302.49258,1.21936,9549.81,6825.68,2.24,2.04,40.8,-0.443,18.87,19.9,02a59322o0796o
59322.610982,21.618,2.638,8,22,o,0,0.94,302.49258,1.21936,9530.61,6942.66,2.22,2.06,44.8,-0.45,19.03,20.04,02a59322o0837o
59326.550709,24.26,23.333,1,17,o,0,0.62,302.49258,1.21936,9590.06,6863.78,2.22,2.06,35.3,-0.443,19.4,20.45,02a59326o0690o
59326.55391,-24.727,29.0,0,14,o,0,1.16,302.49258,1.21936,9609.38,6902.39,2.18,2.04,37.1,-0.448,19.42,20.49,02a59326o0697o
59326.560784,21.541,1.64,9,14,o,0,1.03,302.49258,1.21936,9548.4,6824.25,2.22,2.03,36.9,-0.447,19.41,20.51,02a59326o0712o
59326.57088,-21.903,2.212,-6,14,o,0,0.76,302.49258,1.21936,9528.65,6940.91,2.25,2.09,41.9,-0.438,19.48,20.56,02a59326o0734o
59328.5818,20.022,0.43,36,15,o,0,1.17,302.49258,1.21936,9071.48,1836.67,2.43,2.09,-74.4,-0.402,19.21,19.84,01a59328o0778o
59328.585945,20.676,0.768,20,15,o,0,0.76,302.49258,1.21936,9052.15,1797.38,2.41,2.06,-75.5,-0.403,19.31,19.94,01a59328o0787o
59328.596101,20.391,0.506,25,13,o,0,0.76,302.49258,1.21936,9112.17,1874.21,2.3,2.02,-73.2,-0.406,19.45,20.29,01a59328o0809o
59328.609225,20.586,0.522,21,11,o,0,0.87,302.49258,1.21936,9132.58,1755.08,2.4,2.02,-77.1,-0.412,19.63,20.72,01a59328o0837o
59332.547898,19.205,0.304,76,23,o,0,0.89,302.49258,1.21936,9074.48,1836.15,2.23,2.01,-59.1,-0.392,18.91,19.01,01a59332o0605o
59332.551581,19.293,0.301,70,21,o,0,1.32,302.49258,1.21936,9054.44,1795.17,2.25,2.09,-64.6,-0.39,18.87,19.04,01a59332o0613o
59332.559411,19.451,0.359,60,22,o,0,1.04,302.49258,1.21936,9115.24,1873.51,2.37,2.19,-57.9,-0.39,18.83,19.08,01a59332o0630o
59332.570015,18.967,0.221,94,21,o,0,0.94,302.49258,1.21936,9138.53,1755.35,2.34,2.07,-67.9,-0.391,18.94,19.17,01a59332o0653o
59334.491945,19.245,0.476,73,35,o,0,1.18,302.49258,1.21936,906.2,2999.44,2.47,2.27,-48.8,-0.434,18.21,18.79,02a59334o0513o
59334.500708,18.945,0.251,96,24,o,0,1.7,302.49258,1.21936,931.76,3036.42,2.21,1.89,-50.7,-0.451,18.47,18.89,02a59334o0532o
59334.514821,19.431,0.384,61,24,o,0,1.42,302.49258,1.21936,873.07,2955.52,2.23,1.95,-52.0,-0.448,18.58,19.04,02a59334o0562o
59334.535833,19.282,0.32,70,22,o,0,1.05,302.49258,1.21936,849.17,3069.4,2.25,2.13,-49.3,-0.437,18.61,19.18,02a59334o0606o
59336.578575,19.076,0.333,85,28,o,0,0.76,302.49258,1.21936,869.46,1742.79,3.36,3.14,66.3,-0.41,18.59,19.47,01a59336o0761o
59336.582263,19.204,0.309,76,23,o,0,0.79,302.49258,1.21936,848.9,1704.28,2.82,2.58,63.1,-0.421,18.79,19.51,01a59336o0769o
59336.588742,18.393,0.133,160,21,o,0,1.71,302.49258,1.21936,909.11,1783.56,3.06,2.69,22.5,-0.401,18.77,19.52,01a59336o0783o
59336.610482,18.976,0.227,93,21,o,0,1.05,302.49258,1.21936,928.18,1667.18,2.6,2.35,28.8,-0.411,18.91,19.55,01a59336o0829o
59344.565293,18.772,0.079,113,9,o,0,1.41,302.49258,1.21936,7312.96,5809.14,2.17,2.06,-12.5,-0.399,19.62,20.79,01a59344o0728o
