MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59321.319416,21.72,1.226,7,9,o,0,1.19,160.87997,29.52061,8544.62,2757.81,2.15,1.91,-78.8,-0.445,19.77,20.78,01a59321o0185o
59321.32264,22.339,2.082,4,9,o,0,1.09,160.87997,29.52061,8565.51,2796.12,2.11,1.89,-74.8,-0.452,19.81,20.78,01a59321o0192o
59321.339841,-23.869,9.167,-1,9,o,0,1.36,160.87997,29.52061,8510.83,2717.34,2.13,1.88,-69.5,-0.441,19.78,20.75,01a59321o0228o
59321.353239,20.365,0.417,26,11,o,0,1.03,160.87997,29.52061,8493.48,2832.04,2.62,2.3,-77.1,-0.397,19.54,20.79,01a59321o0256o
59323.302647,21.795,2.321,7,16,o,0,1.23,160.87997,29.52061,3893.0,7694.2,2.12,1.98,45.3,-0.432,19.09,19.96,02a59323o0163o
59323.336321,-21.027,0.75,-14,11,o,0,1.14,160.87997,29.52061,3868.87,7655.68,2.13,1.92,43.3,-0.427,19.43,20.44,02a59323o0234o
59323.33958,-22.275,2.974,-4,13,o,0,1.06,160.87997,29.52061,3929.02,7735.29,2.17,1.96,37.5,-0.431,19.33,20.25,02a59323o0241o
59323.348159,-21.009,0.773,-14,11,o,0,1.0,160.87997,29.52061,3951.24,7618.19,2.19,2.01,36.9,-0.425,19.46,20.59,02a59323o0259o
59329.367416,-19.925,0.604,-39,24,o,0,1.12,160.87997,29.52061,4306.75,4742.06,1.94,1.87,-69.0,-0.403,18.7,18.99,01a59329o0315o
59329.370678,-21.97,4.247,-6,25,o,0,0.9,160.87997,29.52061,4326.13,4780.29,1.99,1.91,-79.7,-0.384,18.66,18.97,01a59329o0322o
59329.380838,-21.665,3.376,-8,26,o,0,0.86,160.87997,29.52061,4267.87,4702.31,1.96,1.92,-48.5,-0.403,18.64,18.93,01a59329o0344o
