MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59346.388447,23.204,4.875,2,9,c,0,1.57,227.45362,0.53353,7868.72,1793.6,2.35,2.19,-58.0,-0.402,19.75,21.61,02a59346o0344c
59346.390733,-22.307,2.297,-4,10,c,0,2.11,227.45362,0.53353,7888.43,1833.46,2.34,2.18,-59.5,-0.404,19.75,21.58,02a59346o0349c
59346.393951,22.549,2.833,4,10,c,0,1.49,227.45362,0.53353,7830.03,1754.53,2.32,2.16,-63.2,-0.404,19.74,21.56,02a59346o0356c
59346.403154,-20.96,0.742,-15,11,c,0,1.13,227.45362,0.53353,7810.0,1872.43,2.37,2.22,-61.1,-0.399,19.68,21.55,02a59346o0376c
59348.382107,21.356,0.921,10,10,o,0,1.48,227.45362,0.53353,1067.15,4497.99,2.09,1.84,83.2,-0.437,19.75,20.97,01a59348o0314o
59348.383953,22.063,2.382,5,13,o,0,0.61,227.45362,0.53353,1046.78,4459.08,2.06,1.79,79.9,-0.441,19.77,20.96,01a59348o0318o
59348.386736,-23.29,6.25,-2,11,o,0,1.0,227.45362,0.53353,1105.09,4536.51,1.96,1.73,79.3,-0.439,19.81,20.95,01a59348o0324o
59348.393667,-22.286,2.183,-4,10,o,0,1.46,227.45362,0.53353,1124.6,4420.8,1.97,1.74,83.3,-0.441,19.8,20.96,01a59348o0339o
59350.429385,-20.772,0.639,-18,11,c,0,1.15,227.45362,0.53353,2717.55,8763.02,2.54,2.53,-48.2,-0.389,19.61,21.47,02a59350o0276c
59350.432588,-21.804,1.565,-7,11,c,0,1.38,227.45362,0.53353,2698.33,8724.86,2.58,2.56,-61.5,-0.389,19.56,21.48,02a59350o0283c
59350.452766,-22.616,3.944,-3,13,c,0,1.35,227.45362,0.53353,2757.42,8803.71,2.91,2.77,-64.6,-0.378,19.51,21.48,02a59350o0325c
59350.460593,23.157,6.167,2,12,c,0,1.46,227.45362,0.53353,2773.5,8683.68,2.75,2.65,-65.4,-0.383,19.52,21.48,02a59350o0342c
59352.428246,21.098,0.814,13,11,o,0,1.34,227.45362,0.53353,9760.68,1680.8,2.31,2.0,-75.8,-0.418,19.76,20.93,01a59352o0387o
59352.431178,21.761,1.542,7,11,o,0,1.54,227.45362,0.53353,9780.01,1718.81,2.23,2.0,-69.4,-0.412,19.74,20.93,01a59352o0393o
59352.436764,24.224,16.286,1,12,o,0,1.21,227.45362,0.53353,9721.51,1638.96,2.33,2.05,-76.0,-0.413,19.68,20.9,01a59352o0405o
59352.470689,-20.745,0.611,-18,11,o,0,2.17,227.45362,0.53353,9708.61,1753.3,2.27,1.91,-80.5,-0.421,19.72,20.84,01a59352o0477o
59353.378779,-22.004,2.267,-6,13,o,0,1.27,227.45362,0.53353,7865.81,1795.52,1.99,1.86,-51.4,-0.443,19.44,20.48,02a59353o0315o
59353.383235,-20.228,0.471,-29,14,o,0,1.07,227.45362,0.53353,7885.52,1833.42,1.94,1.89,-1.7,-0.439,19.43,20.47,02a59353o0324o
59353.399681,21.955,2.492,6,15,o,0,0.88,227.45362,0.53353,7830.75,1755.49,1.98,1.94,-32.2,-0.441,19.44,20.48,02a59353o0359o
59353.413228,-21.778,1.939,-7,14,o,0,1.36,227.45362,0.53353,2778.25,8682.58,2.07,2.04,23.5,-0.432,19.41,20.46,02a59353o0388o
59354.382623,-21.709,2.545,-8,19,o,0,0.68,227.45362,0.53353,1619.3,1593.31,2.05,1.82,-51.4,-0.468,19.44,20.29,02a59354o0306o
59354.38512,20.971,0.836,15,12,o,0,1.54,227.45362,0.53353,1641.54,1633.57,2.05,1.82,-48.7,-0.468,19.49,20.29,02a59354o0311o
59354.388391,-20.876,0.838,-16,14,o,0,1.14,227.45362,0.53353,1581.26,1553.0,1.99,1.87,-51.0,-0.47,19.45,20.31,02a59354o0318o
59354.393448,-21.041,0.896,-14,12,o,0,1.61,227.45362,0.53353,1562.75,1669.79,2.02,1.83,-50.2,-0.472,19.42,20.3,02a59354o0329o
59362.446824,-19.76,0.382,-45,17,o,0,2.17,227.45362,0.53353,3009.74,4407.01,2.23,1.89,47.0,-0.441,18.76,19.2,02a59362o0460o
59362.452419,21.067,1.614,14,22,o,0,1.39,227.45362,0.53353,2990.0,4368.21,2.18,1.81,45.0,-0.451,18.74,19.17,02a59362o0472o
59362.455628,-21.328,2.433,-11,26,o,0,0.81,227.45362,0.53353,3048.32,4446.07,2.15,1.82,46.1,-0.456,18.71,19.16,02a59362o0479o
59362.468934,21.694,3.514,8,27,o,0,0.91,227.45362,0.53353,3069.67,4328.46,2.17,1.8,46.9,-0.457,18.75,19.12,02a59362o0508o
59364.412101,20.369,0.586,26,15,o,0,1.13,227.45362,0.53353,3785.8,8325.54,2.11,2.04,-62.3,-0.431,19.4,20.22,01a59364o0358o
59364.415322,-22.452,3.816,-4,14,o,0,1.05,227.45362,0.53353,3807.13,8364.01,2.24,2.11,-66.3,-0.421,19.34,20.23,01a59364o0365o
59364.420857,-23.952,13.75,-1,13,o,0,1.03,227.45362,0.53353,3749.26,8285.46,1.95,1.9,-65.6,-0.431,19.44,20.18,01a59364o0377o
59364.430945,20.886,1.106,16,18,o,0,0.88,227.45362,0.53353,3728.72,8400.94,1.98,1.91,-68.4,-0.427,19.43,20.15,01a59364o0398o
59366.452371,19.691,0.319,48,15,o,0,0.85,227.45362,0.53353,3017.66,4404.49,2.25,1.85,43.6,-0.448,19.46,20.51,02a59366o0362o
59366.455579,20.107,0.484,33,16,o,0,0.61,227.45362,0.53353,2998.8,4366.0,2.26,1.87,42.9,-0.448,19.45,20.48,02a59366o0369o
59366.461564,19.669,0.251,49,12,o,0,1.37,227.45362,0.53353,3058.72,4443.96,2.19,1.84,43.0,-0.448,19.43,20.44,02a59366o0382o
59366.482047,19.669,0.33,49,16,o,0,0.72,227.45362,0.53353,3080.28,4328.41,2.25,1.85,42.8,-0.448,19.35,20.29,02a59366o0426o
59368.505639,19.083,0.16,84,14,o,0,1.63,227.45362,0.53353,3938.97,2017.05,1.82,1.77,-35.0,-0.424,19.68,20.61,01a59368o0579o
59368.508868,18.738,0.11,116,13,o,0,1.47,227.45362,0.53353,3962.2,2057.03,1.83,1.8,-56.8,-0.422,19.65,20.58,01a59368o0586o
59368.53278,18.952,0.141,95,14,o,0,1.23,227.45362,0.53353,3902.68,1979.02,2.07,1.93,-26.2,-0.413,19.43,20.29,01a59368o0637o
59368.547101,18.788,0.153,111,17,o,0,0.86,227.45362,0.53353,3888.83,2096.8,2.2,2.07,-15.8,-0.406,19.24,20.03,01a59368o0667o
59370.411705,17.899,0.284,251,71,o,0,0.24,227.45362,0.53353,6702.68,10524.52,2.57,2.27,-59.2,-0.429,19.52,20.89,02a59370o0374o
59370.413093,18.165,0.087,197,17,o,0,0.72,227.45362,0.53353,6711.45,319.63,2.16,1.8,-56.3,-0.455,19.62,20.97,02a59370o0377o
59370.414486,18.406,0.184,158,29,o,0,0.64,227.45362,0.53353,6683.37,10485.73,2.44,2.15,-60.2,-0.435,19.61,20.89,02a59370o0380o
59370.416774,18.188,0.078,193,15,o,0,1.12,227.45362,0.53353,6693.08,281.37,2.26,1.93,-56.0,-0.459,19.53,20.96,02a59370o0385o
59370.423206,18.232,0.078,185,14,o,0,1.29,227.45362,0.53353,6750.73,359.82,2.11,1.8,-57.2,-0.453,19.61,20.94,02a59370o0399o
59370.430678,18.049,0.071,219,16,o,0,0.89,227.45362,0.53353,6762.77,10450.45,2.47,2.22,-55.4,-0.43,19.56,20.88,02a59370o0415o
59370.438682,18.056,0.069,218,15,o,0,0.9,227.45362,0.53353,6771.99,242.05,2.08,1.78,-57.9,-0.462,19.61,20.97,02a59370o0431o
59372.370375,17.581,0.026,337,9,c,0,3.08,227.45362,0.53353,3922.93,2030.46,2.32,2.1,-0.0,-0.388,19.91,21.79,01a59372o0290c
59372.375483,17.577,0.029,338,10,c,0,3.9,227.45362,0.53353,3943.88,2069.23,2.3,2.13,6.7,-0.392,19.91,21.78,01a59372o0301c
59372.379183,17.697,0.036,303,11,c,0,2.24,227.45362,0.53353,3885.49,1991.35,2.33,2.08,1.6,-0.386,19.91,21.78,01a59372o0309c
59372.399376,17.647,0.204,317,64,c,0,0.57,227.45362,0.53353,3872.48,2102.73,2.33,2.13,3.0,-0.391,19.91,21.75,01a59372o0352c
59374.372063,17.647,0.169,317,54,o,0,0.52,227.45362,0.53353,6709.5,10521.91,2.77,2.56,-64.9,-0.429,19.46,21.02,02a59374o0288o
59374.372521,17.518,0.049,357,18,o,0,1.05,227.45362,0.53353,6716.64,315.75,2.46,2.12,-56.0,-0.434,19.55,21.08,02a59374o0289o
59374.375279,17.648,0.064,317,20,o,0,2.23,227.45362,0.53353,6690.97,10485.62,2.65,2.42,-64.3,-0.424,19.49,20.99,02a59374o0295o
59374.375736,17.6,0.046,331,15,o,0,1.32,227.45362,0.53353,6698.49,278.98,2.26,1.9,-58.1,-0.454,19.61,21.05,02a59374o0296o
59374.405855,17.591,0.041,334,14,o,0,1.89,227.45362,0.53353,6751.19,357.21,2.29,1.9,-56.3,-0.443,19.63,21.04,02a59374o0361o
59374.411916,17.516,0.05,358,18,o,0,0.98,227.45362,0.53353,6765.04,10448.49,2.5,2.2,-57.7,-0.43,19.57,20.98,02a59374o0374o
