MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59368.348441,19.877,0.633,41,26,c,0,2.17,187.01216,9.8028,1222.82,4395.33,2.15,2.0,-88.2,-0.421,20.0,21.72,01a59368o0246c
59368.354891,-19.405,0.409,-63,26,c,0,6.74,187.01216,9.8028,1239.39,4433.84,2.27,2.08,86.1,-0.412,19.92,21.71,01a59368o0260c
59368.366417,22.623,6.649,3,22,c,0,4.4,187.01216,9.8028,1180.64,4356.16,2.21,2.04,88.1,-0.416,19.95,21.69,01a59368o0285c
59368.369639,-20.116,0.546,-33,18,c,0,5.46,187.01216,9.8028,1162.31,4473.07,2.25,2.08,88.0,-0.41,19.92,21.68,01a59368o0292c
59369.318368,-19.082,0.336,-85,28,c,0,0.89,187.01216,9.8028,1216.16,4403.57,2.2,2.05,-89.2,-0.41,19.9,21.61,01a59369o0180c
59369.330851,-20.103,0.668,-33,22,c,0,15.2,187.01216,9.8028,1238.56,4441.55,2.19,2.02,-88.0,-0.412,19.94,21.66,01a59369o0207c
59369.334536,-21.406,2.008,-10,20,c,0,2.3,187.01216,9.8028,1180.15,4363.61,2.15,2.03,88.7,-0.413,19.93,21.65,01a59369o0215c
59369.350878,23.515,18.125,1,26,c,0,1.86,187.01216,9.8028,1162.94,4478.18,2.2,2.03,-88.1,-0.418,19.89,21.59,01a59369o0250c
59370.307458,-19.935,0.78,-38,30,o,0,5.52,187.01216,9.8028,9418.63,8156.15,2.54,2.39,-69.4,-0.423,19.51,21.09,02a59370o0149o
59370.310246,-22.178,8.0,-5,39,o,0,3.99,187.01216,9.8028,9399.28,8119.23,2.43,2.31,-66.9,-0.424,19.53,20.93,02a59370o0155o
59370.317116,-21.08,2.382,-13,32,o,0,4.15,187.01216,9.8028,9457.78,8198.42,2.33,2.27,48.8,-0.426,19.6,20.9,02a59370o0170o
59370.32724,-20.295,1.095,-28,30,o,0,7.83,187.01216,9.8028,9476.67,8080.69,2.29,2.25,62.9,-0.434,19.57,20.86,02a59370o0192o
59372.304598,21.503,2.009,9,18,c,0,2.24,187.01216,9.8028,1213.97,4399.35,2.14,1.94,86.3,-0.417,20.03,21.75,01a59372o0148c
59372.308281,-19.802,0.347,-44,15,c,0,5.06,187.01216,9.8028,1234.2,4437.17,2.14,1.96,84.1,-0.413,20.01,21.77,01a59372o0156c
