MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59377.5791,18.828,0.149,107,16,c,0,2.86,0.81429,16.1457,1478.0,5880.77,2.23,2.1,-86.2,-0.411,19.83,21.46,01a59377o0712c
59377.582789,20.539,0.713,22,16,c,0,2.94,0.81429,16.1457,1459.83,5845.35,2.23,2.16,-85.6,-0.402,19.82,21.47,01a59377o0720c
59377.599813,19.88,0.515,40,21,c,0,2.37,0.81429,16.1457,1522.69,5924.04,2.25,2.13,-84.9,-0.407,19.86,21.45,01a59377o0756c
59377.61009,19.149,0.221,80,18,c,0,2.49,0.81429,16.1457,1546.56,5809.73,2.31,2.24,-31.2,-0.407,19.54,20.84,01a59377o0778c
59383.565357,-18.695,0.26,-121,31,o,0,3.46,0.81429,16.1457,9320.47,6657.8,2.11,1.96,38.4,-0.441,19.28,20.47,02a59383o0669o
59383.571339,20.965,1.476,15,22,o,0,3.77,0.81429,16.1457,9261.6,6580.23,2.13,1.97,39.2,-0.441,19.55,20.75,02a59383o0682o
59383.582854,-20.016,0.737,-36,26,o,0,4.97,0.81429,16.1457,9238.37,6696.68,2.11,1.96,38.9,-0.443,19.67,20.91,02a59383o0707o
59387.58921,-19.862,0.777,-41,32,o,0,4.43,0.81429,16.1457,5152.34,10233.5,2.19,1.92,-46.0,-0.449,19.55,20.69,02a59387o0726o
59387.592432,-18.489,0.163,-146,24,o,0,6.26,0.81429,16.1457,5171.51,10273.51,2.2,1.91,-46.2,-0.444,19.49,20.64,02a59387o0733o
59387.592895,-18.876,0.439,-102,45,o,0,2.05,0.81429,16.1457,5227.85,66.25,2.04,1.81,-56.0,-0.43,19.49,20.58,02a59387o0734o
59387.602903,-20.347,1.14,-26,30,o,0,2.95,0.81429,16.1457,5103.94,10195.02,2.18,1.87,-48.0,-0.439,19.54,20.66,02a59387o0753o
59387.611573,-20.403,1.158,-25,29,o,0,2.16,0.81429,16.1457,5151.52,104.86,2.11,1.89,-53.1,-0.441,19.37,20.33,02a59387o0771o
59387.612153,-19.389,0.522,-64,33,o,0,3.85,0.81429,16.1457,5091.59,10312.87,2.26,1.9,-49.4,-0.435,19.38,20.27,02a59387o0772o
59389.564818,18.456,0.323,150,49,o,0,1.97,0.81429,16.1457,3552.01,2380.03,1.94,1.9,-6.2,-0.412,18.95,19.08,01a59389o0673o
59389.567598,18.749,0.396,115,46,o,0,2.12,0.81429,16.1457,3533.31,2343.75,1.95,1.92,-18.9,-0.418,18.87,19.05,01a59389o0679o
59389.573144,18.468,0.281,149,42,o,0,1.7,0.81429,16.1457,3595.26,2424.03,1.92,1.87,-9.9,-0.415,18.95,19.12,01a59389o0691o
59389.59205,-19.258,0.396,-72,28,o,0,5.41,0.81429,16.1457,3616.98,2310.2,2.03,1.76,-5.9,-0.41,19.06,19.32,01a59389o0732o
59391.548139,20.781,2.462,18,44,o,0,4.5,0.81429,16.1457,5143.85,10231.78,2.23,1.96,-49.5,-0.439,18.93,19.35,02a59391o0636o
59391.551341,-19.449,0.737,-60,44,o,0,1.52,0.81429,16.1457,5163.48,10272.27,2.19,1.86,-50.3,-0.43,18.99,19.36,02a59391o0643o
59391.561403,-19.392,0.518,-64,33,o,0,3.37,0.81429,16.1457,5104.17,10194.52,2.18,1.87,-49.1,-0.455,18.97,19.41,02a59391o0664o
59391.561862,-19.019,0.417,-90,37,o,0,2.47,0.81429,16.1457,5218.58,66.48,2.0,1.69,-55.5,-0.46,18.98,19.36,02a59391o0665o
59391.571181,-18.245,0.18,-183,33,o,0,3.42,0.81429,16.1457,5085.3,10310.89,2.12,1.94,-44.7,-0.447,18.99,19.45,02a59391o0685o
59391.57301,-22.309,6.788,-4,29,o,0,5.25,0.81429,16.1457,5144.03,105.76,1.96,1.68,-54.4,-0.438,18.99,19.4,02a59391o0689o
59393.576384,18.889,0.196,101,20,o,0,2.61,0.81429,16.1457,3654.68,4321.59,1.84,1.79,-69.1,-0.426,19.37,19.88,01a59393o0693o
59393.593872,19.658,0.552,50,28,o,0,2.27,0.81429,16.1457,3633.93,4283.44,1.87,1.81,-37.1,-0.417,19.36,19.91,01a59393o0729o
59393.596754,19.193,0.311,76,24,o,0,3.09,0.81429,16.1457,3691.03,4359.6,1.87,1.8,-29.9,-0.414,19.37,19.9,01a59393o0735o
59393.603881,19.945,0.877,38,34,o,0,0.89,0.81429,16.1457,3712.74,4245.62,1.82,1.74,2.3,-0.418,19.33,19.79,01a59393o0747o
