MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59382.488776,-21.995,1.154,-6,7,c,0,1.06,265.34295,38.42745,7406.05,2179.95,2.5,2.4,-45.0,-0.384,19.97,21.93,01a59382o0349c
59382.492004,21.482,0.628,9,6,c,0,1.61,265.34295,38.42745,7426.4,2218.11,2.46,2.35,-49.1,-0.386,19.95,21.91,01a59382o0356c
59382.497539,24.87,16.0,0,6,c,0,1.27,265.34295,38.42745,7370.84,2141.25,2.4,2.28,-41.9,-0.388,20.0,21.87,01a59382o0368c
59382.510473,21.453,0.726,10,7,c,0,1.39,265.34295,38.42745,7355.24,2256.51,2.55,2.41,-43.8,-0.378,19.93,21.86,01a59382o0396c
59384.384305,-21.403,1.148,-10,11,o,0,1.4,265.34295,38.42745,10219.43,4055.89,2.3,1.93,-59.8,-0.448,19.42,20.36,02a59384o0289o
59384.386591,-21.655,1.5,-8,12,o,0,1.33,265.34295,38.42745,10239.53,4094.89,2.25,1.92,-60.5,-0.45,19.43,20.39,02a59384o0294o
59384.399657,21.521,1.421,9,13,o,0,1.19,265.34295,38.42745,10184.19,4020.78,2.27,2.07,-48.4,-0.429,19.38,20.42,02a59384o0319o
59384.418914,21.888,1.662,6,11,o,0,1.26,265.34295,38.42745,429.28,6437.61,2.16,1.6,-53.2,-0.423,19.25,20.23,02a59384o0359o
59384.466189,22.024,2.362,6,13,o,0,0.82,265.34295,38.42745,10152.81,6509.3,2.34,1.99,-61.0,-0.449,19.61,20.7,02a59384o0460o
59384.469411,21.249,0.878,12,10,o,0,1.38,265.34295,38.42745,10132.77,6469.45,2.29,2.01,-56.2,-0.445,19.63,20.8,02a59384o0467o
59384.476762,20.738,0.551,18,10,o,0,1.43,265.34295,38.42745,10191.62,6550.31,2.28,2.01,-53.6,-0.445,19.69,20.96,02a59384o0483o
59384.511971,21.067,0.683,14,9,o,0,1.41,265.34295,38.42745,10204.0,6435.75,2.21,2.02,-50.5,-0.441,19.74,21.15,02a59384o0559o
59386.390786,20.527,0.587,22,13,o,0,1.22,265.34295,38.42745,9639.29,4908.53,2.2,1.95,86.7,-0.438,19.43,20.1,01a59386o0043o
59386.394256,21.073,1.035,14,14,o,0,0.92,265.34295,38.42745,9616.74,4875.44,2.2,2.05,83.2,-0.423,19.46,20.12,01a59386o0049o
59386.397017,20.28,0.446,28,12,o,0,1.02,265.34295,38.42745,9678.28,4948.1,2.19,1.98,-88.3,-0.425,19.45,20.12,01a59386o0055o
59386.404638,-22.469,3.324,-4,12,o,0,1.72,265.34295,38.42745,9698.69,4831.81,2.35,2.05,-88.5,-0.417,19.37,20.15,01a59386o0070o
59386.615437,-18.984,0.483,-93,45,o,0,1.09,265.34295,38.42745,910.05,5688.92,5.98,5.77,66.7,-0.237,17.73,19.26,01a59386o0523o
