MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59380.31388,-21.974,2.633,-6,16,c,0,1.26,216.56215,-1.96657,6870.23,9271.55,2.46,2.33,-74.4,-0.359,19.03,20.55,01a59380o0163c
59380.317104,20.603,0.612,21,13,c,0,2.12,216.56215,-1.96657,6891.2,9311.52,2.61,2.46,-13.5,-0.339,19.03,20.63,01a59380o0170c
59380.326851,22.976,15.167,2,36,c,0,1.2,216.56215,-1.96657,6834.07,9231.81,2.53,2.42,-67.7,-0.346,18.18,19.66,01a59380o0191c
59380.360317,-21.054,0.679,-14,9,c,0,1.16,216.56215,-1.96657,6822.83,9342.34,2.41,2.23,-82.6,-0.36,19.6,21.37,01a59380o0263c
59382.319694,20.42,0.541,25,13,o,0,1.03,216.56215,-1.96657,7802.91,9540.83,2.59,2.21,-59.9,-0.437,19.46,20.56,02a59382o0173o
59382.325192,21.097,1.091,13,14,o,0,0.82,216.56215,-1.96657,7783.43,9500.7,2.63,2.28,-58.2,-0.427,19.42,20.52,02a59382o0185o
59382.328869,21.293,1.176,11,13,o,0,1.35,216.56215,-1.96657,7842.47,9580.11,2.64,2.24,-57.7,-0.432,19.42,20.51,02a59382o0193o
59382.341329,-22.501,4.115,-4,15,o,0,1.09,216.56215,-1.96657,7865.27,9464.86,2.56,2.15,-57.8,-0.437,19.46,20.45,02a59382o0220o
59384.305943,20.362,0.643,26,17,o,0,1.23,216.56215,-1.96657,478.97,2634.58,2.11,1.79,72.4,-0.418,19.08,19.41,01a59384o0145o
59384.309626,22.549,6.349,4,22,o,0,1.35,216.56215,-1.96657,499.62,2674.18,2.05,1.73,77.1,-0.417,18.85,19.12,01a59384o0153o
59384.319761,-23.459,13.053,-2,20,o,0,1.18,216.56215,-1.96657,440.37,2596.07,2.02,1.73,73.2,-0.424,18.94,19.09,01a59384o0175o
59384.326577,-19.961,0.542,-38,20,o,0,1.52,216.56215,-1.96657,423.93,2709.74,2.05,1.72,76.0,-0.422,18.84,19.01,01a59384o0189o
59388.337017,20.784,1.119,18,20,o,0,1.21,216.56215,-1.96657,482.64,2622.79,1.91,1.67,74.2,-0.428,18.87,18.9,01a59388o0210o
59388.340271,20.938,1.272,15,20,o,0,1.28,216.56215,-1.96657,503.9,2661.8,1.92,1.68,74.8,-0.427,18.86,18.9,01a59388o0217o
59388.346744,20.571,1.043,21,22,o,0,0.88,216.56215,-1.96657,445.07,2583.34,1.98,1.7,73.2,-0.421,18.87,18.92,01a59388o0231o
59388.359088,20.54,0.97,22,21,o,0,0.9,216.56215,-1.96657,426.45,2698.49,2.02,1.75,76.0,-0.41,18.85,18.91,01a59388o0257o
59389.39205,-22.413,7.972,-4,31,o,0,1.12,216.56215,-1.96657,1769.99,5943.84,2.14,1.97,45.1,-0.438,18.39,18.53,02a59389o0325o
59389.395257,-20.855,1.691,-16,28,o,0,1.24,216.56215,-1.96657,1750.61,5904.78,2.18,1.96,47.3,-0.43,18.41,18.52,02a59389o0332o
59389.40126,-20.51,1.433,-23,32,o,0,1.27,216.56215,-1.96657,1808.59,5982.67,2.2,2.02,51.4,-0.432,18.34,18.42,02a59389o0345o
59389.412332,20.8,2.916,17,51,o,0,1.18,216.56215,-1.96657,1828.71,5865.52,2.22,2.01,53.2,-0.434,17.85,17.99,02a59389o0369o
59390.320313,20.497,1.914,23,44,o,0,0.69,216.56215,-1.96657,1780.52,5944.93,1.98,1.92,87.3,-0.468,18.16,18.15,02a59390o0168o
59390.32352,-20.8,2.336,-17,41,o,0,1.13,216.56215,-1.96657,1762.54,5906.34,2.02,1.95,65.5,-0.469,18.13,18.16,02a59390o0175o
59390.329043,20.074,0.947,34,32,o,0,2.18,216.56215,-1.96657,1820.99,5982.97,2.04,1.94,67.9,-0.497,18.07,18.09,02a59390o0187o
59390.340079,-20.945,3.375,-15,51,o,0,1.19,216.56215,-1.96657,1841.24,5867.72,1.93,1.85,78.6,-0.465,17.82,17.75,02a59390o0211o
59391.361476,-21.884,2.657,-6,17,o,0,0.68,216.56215,-1.96657,491.29,2616.18,1.82,1.64,82.1,-0.413,19.17,19.42,01a59391o0265o
59391.364697,-22.375,3.738,-4,15,o,0,0.72,216.56215,-1.96657,511.97,2654.36,1.83,1.68,82.8,-0.406,19.14,19.39,01a59391o0272o
59391.371612,20.955,1.071,15,16,o,0,1.47,216.56215,-1.96657,452.86,2575.82,1.93,1.67,77.8,-0.432,19.1,19.31,01a59391o0287o
59391.382219,-21.617,2.185,-8,18,o,0,0.8,216.56215,-1.96657,435.99,2691.29,1.81,1.73,79.1,-0.407,19.07,19.35,01a59391o0310o
59392.362466,22.434,5.936,4,23,o,0,1.08,216.56215,-1.96657,10502.94,538.71,2.15,1.81,-73.7,-0.376,19.35,19.76,01a59392o0267o
59392.367085,-20.159,0.57,-31,18,o,0,0.78,216.56215,-1.96657,358.19,656.38,1.93,1.67,63.0,-0.489,19.33,19.77,01a59392o0277o
59392.370804,-19.896,0.399,-40,16,o,0,0.85,216.56215,-1.96657,378.97,695.33,1.86,1.68,68.2,-0.501,19.32,19.75,01a59392o0285o
59392.373564,21.337,1.5,11,16,o,0,1.36,216.56215,-1.96657,10484.16,657.52,2.17,1.82,-67.8,-0.382,19.27,19.66,01a59392o0291o
59392.378632,-21.99,2.361,-6,14,o,0,1.73,216.56215,-1.96657,319.59,615.59,1.94,1.75,71.3,-0.498,19.26,19.71,01a59392o0302o
59392.412999,21.896,2.84,6,18,o,0,1.13,216.56215,-1.96657,307.35,731.5,1.88,1.72,71.7,-0.497,19.12,19.46,01a59392o0375o
59394.340383,-21.555,0.929,-9,8,c,0,1.07,216.56215,-1.96657,8166.31,1584.37,2.52,2.13,-58.3,-0.419,19.74,21.54,02a59394o0210c
59394.345981,-22.081,1.643,-5,9,c,0,1.18,216.56215,-1.96657,8147.24,1544.75,2.57,2.15,-56.3,-0.412,19.74,21.56,02a59394o0222c
59394.366299,-25.388,29.0,0,7,c,0,1.69,216.56215,-1.96657,8206.03,1624.09,2.52,2.17,-54.9,-0.41,19.67,21.47,02a59394o0266c
59394.373712,22.37,2.188,4,9,c,0,1.22,216.56215,-1.96657,8225.28,1507.69,2.51,2.18,-55.5,-0.413,19.59,21.29,02a59394o0282c
59396.34348,20.126,0.329,32,11,o,0,0.85,216.56215,-1.96657,359.07,657.74,1.88,1.67,60.7,-0.505,19.75,20.79,01a59396o0225o
59396.346704,-21.245,0.954,-12,11,o,0,0.89,216.56215,-1.96657,380.11,697.0,1.89,1.69,66.2,-0.496,19.75,20.8,01a59396o0232o
59396.35178,22.279,3.396,4,15,o,0,1.6,216.56215,-1.96657,10505.39,538.91,2.32,1.91,-71.3,-0.371,19.69,20.7,01a59396o0243o
59396.353622,-20.855,0.618,-16,10,o,0,1.04,216.56215,-1.96657,320.33,617.47,2.08,1.88,65.2,-0.49,19.6,20.74,01a59396o0247o
59396.364668,20.034,0.346,35,12,o,0,1.61,216.56215,-1.96657,10484.41,658.85,2.24,1.83,-79.8,-0.404,19.68,20.69,01a59396o0271o
59396.366511,21.211,0.825,12,10,o,0,1.34,216.56215,-1.96657,303.67,734.01,1.87,1.68,64.3,-0.491,19.69,20.76,01a59396o0275o
