MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59382.363038,-21.687,1.773,-8,14,o,0,1.05,235.86368,7.90683,7272.55,8324.62,2.2,2.08,56.2,-0.448,19.53,20.57,02a59382o0267o
59382.393691,21.191,1.157,12,14,o,0,0.89,235.86368,7.90683,7250.99,8289.39,2.17,2.04,60.5,-0.444,19.55,20.65,02a59382o0333o
59382.422305,-22.489,3.438,-4,13,o,0,0.99,235.86368,7.90683,7305.07,8369.24,2.17,2.07,75.5,-0.445,19.58,20.71,02a59382o0393o
59382.425524,-20.744,0.832,-18,15,o,0,0.71,235.86368,7.90683,7325.28,8255.06,2.18,2.04,65.0,-0.446,19.6,20.72,02a59382o0400o
59384.406949,-22.669,5.049,-3,16,o,0,0.79,235.86368,7.90683,928.66,3832.75,1.96,1.73,81.2,-0.473,19.39,20.02,01a59384o0360o
59384.41114,-20.216,0.565,-30,17,o,0,1.64,235.86368,7.90683,949.02,3868.87,2.07,1.73,85.9,-0.408,18.81,19.16,01a59384o0369o
59384.419127,20.42,1.231,25,30,o,0,0.55,235.86368,7.90683,891.07,3791.19,1.93,1.67,80.8,-0.426,18.84,19.26,01a59384o0386o
59384.430408,-20.287,9.409,-28,262,o,0,1.43,235.86368,7.90683,873.53,3905.01,2.16,1.8,83.8,-0.394,17.22,17.81,01a59384o0410o
59385.470272,-22.506,4.975,-4,18,o,0,1.17,235.86368,7.90683,940.5,3817.32,2.22,1.89,81.2,-0.424,19.11,19.51,01a59385o0274o
59385.473055,-22.108,3.413,-5,18,o,0,0.79,235.86368,7.90683,957.01,3856.34,2.02,1.9,-89.0,-0.42,19.14,19.5,01a59385o0280o
59385.493117,-23.667,14.462,-1,18,o,0,1.08,235.86368,7.90683,903.38,3778.02,2.25,1.96,82.5,-0.417,19.11,19.65,01a59385o0321o
59385.500036,21.168,1.26,12,16,o,0,1.31,235.86368,7.90683,880.88,3893.85,2.34,1.97,78.8,-0.41,19.17,19.76,01a59385o0335o
59390.368188,19.307,0.677,69,47,o,0,1.15,235.86368,7.90683,1295.97,4748.22,1.99,1.95,89.4,-0.494,17.79,17.66,02a59390o0272o
59390.371396,19.379,0.892,64,57,o,0,0.97,235.86368,7.90683,1276.71,4710.7,1.97,1.92,-85.6,-0.48,17.8,17.66,02a59390o0279o
59390.378736,-19.077,0.754,-85,64,o,0,1.32,235.86368,7.90683,1334.45,4788.19,1.95,1.9,-88.9,-0.493,17.66,17.44,02a59390o0295o
59390.388816,19.422,0.915,62,57,o,0,1.34,235.86368,7.90683,1353.0,4671.48,2.02,1.92,52.4,-0.48,17.72,17.55,02a59390o0317o
59392.427764,19.855,0.343,42,14,o,0,1.47,235.86368,7.90683,811.88,1868.85,1.87,1.79,71.6,-0.428,19.3,19.79,01a59392o0407o
59392.440024,23.853,14.429,1,15,o,0,0.94,235.86368,7.90683,831.19,1909.21,1.92,1.76,73.1,-0.451,19.28,19.73,01a59392o0433o
59392.452449,20.167,0.561,31,18,o,0,0.76,235.86368,7.90683,775.02,1830.54,1.95,1.81,74.3,-0.451,19.22,19.65,01a59392o0459o
59392.460869,22.36,4.308,4,18,o,0,0.96,235.86368,7.90683,759.5,1945.89,1.96,1.89,-89.7,-0.414,19.15,19.59,01a59392o0477o
59394.468881,20.017,0.769,36,28,o,0,1.31,235.86368,7.90683,1599.86,10512.69,2.2,1.75,-51.7,-0.473,19.14,19.81,02a59394o0481o
59394.474968,-20.953,1.327,-15,20,o,0,0.79,235.86368,7.90683,1575.96,361.45,1.99,1.78,-59.2,-0.482,19.07,19.8,02a59394o0494o
59394.481709,21.159,1.459,12,18,o,0,0.73,235.86368,7.90683,1559.55,323.01,2.0,1.76,-59.9,-0.494,18.65,19.43,02a59394o0508o
59394.486318,-20.485,0.797,-23,18,o,0,0.99,235.86368,7.90683,1621.99,398.0,1.98,1.74,-57.4,-0.489,18.47,19.27,02a59394o0518o
59394.500885,20.316,0.808,27,22,o,0,1.08,235.86368,7.90683,1639.5,282.23,2.09,1.79,-63.3,-0.49,18.01,18.85,02a59394o0549o
59396.406996,24.804,26.5,0,12,o,0,0.7,235.86368,7.90683,812.09,1871.92,1.89,1.77,70.8,-0.445,19.83,21.11,01a59396o0362o
59396.411151,-21.63,1.105,-8,9,o,0,1.03,235.86368,7.90683,832.96,1910.36,1.88,1.72,69.8,-0.448,19.84,21.07,01a59396o0371o
