MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59380.564665,-25.122,33.0,0,11,c,0,1.26,356.93935,-8.38601,8769.2,9209.17,2.98,2.74,-89.8,-0.316,19.39,21.2,01a59380o0698c
59380.56789,-21.764,1.565,-7,11,c,0,1.28,356.93935,-8.38601,8751.36,9169.57,2.92,2.72,-89.7,-0.324,19.44,21.21,01a59380o0705c
59380.575293,21.756,1.48,7,11,c,0,1.09,356.93935,-8.38601,8814.07,9248.34,2.72,2.62,86.9,-0.33,19.47,21.22,01a59380o0721c
59380.593332,21.341,0.932,11,10,c,0,1.36,356.93935,-8.38601,8844.17,9130.19,2.68,2.56,85.9,-0.337,19.28,20.96,01a59380o0760c
59382.5784,-22.675,4.545,-3,14,o,0,0.61,356.93935,-8.38601,1909.6,3296.4,1.98,1.77,32.5,-0.456,19.51,20.44,02a59382o0727o
59382.581608,21.014,0.747,14,11,o,0,1.5,356.93935,-8.38601,1931.26,3334.91,1.92,1.86,22.0,-0.449,19.51,20.45,02a59382o0734o
59382.600895,20.448,0.43,24,10,o,0,1.73,356.93935,-8.38601,1869.51,3256.82,1.99,1.9,25.4,-0.44,19.47,20.48,02a59382o0776o
59382.611461,-21.621,1.612,-8,13,o,0,1.73,356.93935,-8.38601,1850.12,3372.74,2.0,1.83,29.9,-0.454,19.23,19.87,02a59382o0799o
59384.581036,-20.365,0.897,-26,23,c,0,2.22,356.93935,-8.38601,776.79,5707.59,2.27,2.12,88.9,-0.407,18.45,20.11,01a59384o0722c
59384.584554,20.059,0.68,34,23,c,0,0.95,356.93935,-8.38601,762.35,5666.89,2.3,2.16,86.6,-0.405,18.68,20.34,01a59384o0729c
59384.602345,-20.465,1.11,-24,26,c,0,1.15,356.93935,-8.38601,818.04,5747.4,2.29,2.17,-84.7,-0.398,18.58,20.22,01a59384o0766c
59384.613947,-17.019,0.446,-565,252,c,0,1.19,356.93935,-8.38601,838.31,5632.37,2.29,2.17,-89.4,-0.394,16.04,17.17,01a59384o0790c
59386.589757,-21.892,1.382,-6,9,o,0,1.88,356.93935,-8.38601,7945.57,6885.46,2.44,1.9,37.9,-0.422,19.54,20.71,02a59386o0696o
59386.596637,21.449,1.145,10,11,o,0,1.3,356.93935,-8.38601,7965.76,6924.03,2.29,1.98,36.5,-0.441,19.55,20.67,02a59386o0711o
59386.60729,-20.967,0.713,-15,11,o,0,1.22,356.93935,-8.38601,7907.7,6846.25,2.27,1.92,33.8,-0.436,19.5,20.5,02a59386o0734o
59386.612796,-21.125,1.07,-13,14,o,0,1.61,356.93935,-8.38601,7887.81,6962.22,2.34,1.93,35.5,-0.425,19.31,20.08,02a59386o0746o
59388.531941,21.079,1.497,13,20,o,0,1.26,356.93935,-8.38601,771.67,5703.41,2.07,1.92,87.8,-0.424,18.91,19.28,01a59388o0624o
59388.53563,21.089,1.192,13,16,o,0,1.99,356.93935,-8.38601,752.81,5665.1,2.15,1.96,86.4,-0.414,18.93,19.31,01a59388o0632o
59388.54254,20.437,0.662,24,16,o,0,1.14,356.93935,-8.38601,811.89,5743.01,2.06,1.92,77.9,-0.425,19.0,19.37,01a59388o0647o
