MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59383.415077,20.688,0.413,19,8,o,0,2.65,249.66851,32.5485,3756.51,5223.14,2.1,1.75,35.5,-0.445,19.58,20.6,02a59383o0360o
59383.418744,21.439,0.886,10,8,o,0,2.1,249.66851,32.5485,3736.75,5182.41,2.06,1.75,37.5,-0.445,19.57,20.61,02a59383o0368o
59383.453913,21.477,1.196,9,11,o,0,1.34,249.66851,32.5485,3787.51,5257.79,2.19,1.8,39.5,-0.445,19.58,20.77,02a59383o0439o
59383.459593,21.25,8.0,12,92,o,0,0.98,249.66851,32.5485,3809.41,5142.68,2.2,1.77,39.1,-0.444,17.24,18.15,02a59383o0450o
59385.456771,-21.616,1.827,-8,15,o,0,1.06,249.66851,32.5485,4702.85,6915.91,1.99,1.78,-78.5,-0.425,19.49,20.18,01a59385o0246o
59385.474193,20.71,0.612,19,12,o,0,1.3,249.66851,32.5485,4728.18,6951.62,1.92,1.73,-69.6,-0.427,19.52,20.17,01a59385o0282o
59385.485375,22.103,1.574,5,8,o,0,2.94,249.66851,32.5485,4671.18,6874.18,2.0,1.82,-72.9,-0.423,19.49,20.2,01a59385o0305o
59385.491678,-21.199,0.909,-12,11,o,0,2.25,249.66851,32.5485,4654.7,6990.27,1.93,1.81,-24.4,-0.407,19.5,20.23,01a59385o0318o
59387.451625,19.565,0.433,54,24,o,0,1.36,249.66851,32.5485,4651.98,1628.63,1.99,1.88,-45.6,-0.452,18.7,18.97,02a59387o0451o
59387.454862,22.141,5.14,5,26,o,0,0.58,249.66851,32.5485,4631.83,1588.89,1.96,1.89,-41.7,-0.462,18.79,19.1,02a59387o0458o
59387.460695,-20.008,0.646,-36,23,o,0,1.04,249.66851,32.5485,4695.45,1669.98,2.0,1.89,-46.2,-0.447,18.8,19.1,02a59387o0470o
59387.47498,-21.748,2.027,-7,15,o,0,1.73,249.66851,32.5485,4715.82,1553.79,2.0,1.89,-48.9,-0.453,18.93,19.41,02a59387o0495o
59389.374875,-20.5,0.933,-23,21,o,0,0.95,249.66851,32.5485,4686.75,6927.07,1.77,1.74,-33.7,-0.41,19.04,19.11,01a59389o0285o
59389.378933,24.034,18.071,1,16,o,0,1.46,249.66851,32.5485,4707.05,6964.04,1.78,1.72,-25.3,-0.407,19.02,19.12,01a59389o0292o
59389.385563,21.51,1.888,9,17,o,0,1.72,249.66851,32.5485,4650.08,6885.97,1.77,1.72,-25.5,-0.414,19.03,19.11,01a59389o0305o
59389.416686,20.951,1.266,15,19,o,0,1.38,249.66851,32.5485,4640.01,6997.21,1.76,1.69,-43.3,-0.415,18.99,19.07,01a59389o0370o
59391.370278,21.708,2.0,8,15,o,0,1.3,249.66851,32.5485,4659.86,1628.11,1.9,1.84,-45.9,-0.456,19.13,19.72,02a59391o0273o
59391.375587,20.431,0.734,24,18,o,0,0.92,249.66851,32.5485,4640.66,1590.83,1.9,1.83,-37.1,-0.461,19.14,19.68,02a59391o0284o
59391.409274,22.481,5.026,4,19,o,0,1.09,249.66851,32.5485,4698.19,1668.05,1.96,1.89,-52.0,-0.447,19.03,19.56,02a59391o0354o
59391.412478,22.248,4.689,5,22,o,0,0.83,249.66851,32.5485,4720.41,1550.84,1.98,1.93,-66.5,-0.448,19.01,19.52,02a59391o0361o
59393.455816,-23.083,4.813,-2,10,o,0,1.62,249.66851,32.5485,4586.02,4982.79,1.83,1.74,-47.1,-0.401,19.58,20.28,01a59393o0454o
59393.459971,21.027,0.796,14,11,o,0,1.95,249.66851,32.5485,4608.33,5020.91,1.8,1.73,-42.1,-0.41,19.59,20.26,01a59393o0463o
59393.488203,-22.56,4.412,-3,15,o,0,1.31,249.66851,32.5485,4550.39,4943.38,1.83,1.75,-56.2,-0.4,19.47,20.11,01a59393o0519o
59393.500719,-22.183,2.484,-5,12,o,0,1.58,249.66851,32.5485,4532.81,5058.82,1.98,1.88,-62.7,-0.399,19.39,20.07,01a59393o0543o
59397.371275,-23.536,6.182,-1,9,o,0,2.95,249.66851,32.5485,4575.33,4994.63,1.77,1.71,-83.7,-0.411,19.96,21.29,01a59397o0283o
59397.374501,-23.436,4.696,-2,7,o,0,3.8,249.66851,32.5485,4595.65,5032.55,1.79,1.78,-21.9,-0.404,19.93,21.32,01a59397o0290o
59397.402896,22.98,3.378,2,8,o,0,3.31,249.66851,32.5485,4542.18,4949.49,1.77,1.69,-52.8,-0.409,19.99,21.4,01a59397o0348o
59397.421562,21.729,1.318,7,10,o,0,2.25,249.66851,32.5485,4527.81,5063.44,1.87,1.76,-63.1,-0.409,19.92,21.33,01a59397o0385o
59401.473547,21.417,0.813,10,8,o,0,3.54,249.66851,32.5485,7924.76,8807.57,1.91,1.85,-57.5,-0.385,19.69,20.81,01a59401o0490o
59401.494693,23.341,8.0,2,13,o,0,1.2,249.66851,32.5485,7944.17,8848.5,1.99,1.89,-68.6,-0.385,19.55,20.61,01a59401o0532o
59401.508455,25.435,48.667,0,12,o,0,1.54,249.66851,32.5485,7880.56,8774.65,1.94,1.86,-64.1,-0.392,19.46,20.4,01a59401o0559o
59401.51404,21.777,2.135,7,15,o,0,1.15,249.66851,32.5485,7862.98,8892.07,1.91,1.89,-12.2,-0.385,19.29,20.21,01a59401o0570o
59403.380085,19.996,0.275,36,10,c,0,1.28,249.66851,32.5485,3085.65,7351.16,2.37,2.3,-39.1,-0.415,19.78,21.77,02a59403o0296c
