MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59388.343369,20.468,1.673,24,40,o,0,0.97,215.58336,47.9342,1398.43,978.7,2.32,1.77,-52.4,-0.474,18.1,18.14,02a59388o0219o
59388.34657,17.474,0.564,372,210,o,0,1.31,215.58336,47.9342,1380.23,939.58,2.45,1.82,-52.5,-0.496,16.47,16.22,02a59388o0226o
59388.353445,-22.969,10.619,-2,25,o,0,1.13,215.58336,47.9342,1440.78,1014.49,2.29,1.77,-50.9,-0.471,18.87,19.14,02a59388o0241o
59388.363606,20.475,0.884,23,21,o,0,1.79,215.58336,47.9342,1463.0,894.04,2.21,1.78,-54.0,-0.479,18.84,19.16,02a59388o0263o
59390.310879,-20.969,1.125,-15,17,o,0,1.69,215.58336,47.9342,6971.15,7573.23,1.9,1.82,-31.2,-0.423,18.93,19.02,01a59390o0158o
59390.314562,20.372,0.799,26,21,o,0,1.08,215.58336,47.9342,6992.98,7611.59,1.89,1.79,-8.2,-0.414,18.82,18.83,01a59390o0166o
59390.319668,-19.927,0.62,-39,24,o,0,1.0,215.58336,47.9342,6931.13,7534.26,1.85,1.83,-19.6,-0.429,18.75,18.71,01a59390o0177o
59390.331688,-19.703,0.48,-48,23,o,0,1.15,215.58336,47.9342,6915.8,7651.12,1.9,1.81,-15.0,-0.413,18.65,18.61,01a59390o0203o
59392.306171,19.869,0.288,41,12,o,0,1.68,215.58336,47.9342,1404.56,982.33,2.45,1.77,-55.2,-0.468,19.6,20.71,02a59392o0142o
59392.309373,20.499,0.455,23,10,o,0,2.15,215.58336,47.9342,1383.2,942.62,2.07,1.77,-60.9,-0.479,19.62,20.64,02a59392o0149o
59392.315805,20.299,0.407,28,11,o,0,1.71,215.58336,47.9342,1445.03,1018.28,2.18,1.77,-57.6,-0.476,19.5,20.45,02a59392o0163o
59392.326824,20.575,0.756,21,16,o,0,1.14,215.58336,47.9342,1462.84,898.74,2.21,1.76,-57.1,-0.476,19.34,20.15,02a59392o0187o
