MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59390.537694,-20.27,0.841,-28,24,o,0,1.0,354.92787,42.17871,2212.11,1982.23,2.03,1.84,-1.6,-0.384,18.64,18.78,01a59390o0646o
59390.542149,20.548,0.822,22,18,o,0,1.42,354.92787,42.17871,2194.55,1943.89,2.01,1.79,-6.7,-0.381,18.73,18.8,01a59390o0655o
59390.547753,-20.049,0.604,-35,21,o,0,1.01,354.92787,42.17871,2249.77,2016.54,1.86,1.79,57.3,-0.421,18.76,18.82,01a59390o0667o
59390.55887,22.611,6.163,3,20,o,0,0.84,354.92787,42.17871,2270.71,1897.95,1.84,1.82,-11.5,-0.41,18.82,18.85,01a59390o0691o
59392.551813,-23.621,14.429,-1,19,o,0,1.24,354.92787,42.17871,5839.2,461.77,2.01,1.74,-53.0,-0.473,19.03,19.55,02a59392o0664o
59392.557055,20.668,0.913,20,18,o,0,1.32,354.92787,42.17871,5857.1,505.46,2.07,1.76,-52.2,-0.47,19.03,19.56,02a59392o0675o
59392.56304,-20.849,0.982,-17,16,o,0,1.49,354.92787,42.17871,5801.6,425.21,2.13,1.76,-47.7,-0.47,19.04,19.59,02a59392o0688o
59392.575924,-20.827,1.231,-17,21,o,0,1.04,354.92787,42.17871,5783.35,542.92,1.99,1.81,-58.6,-0.456,19.04,19.56,02a59392o0716o
59394.538212,-20.678,0.567,-19,11,o,0,0.9,354.92787,42.17871,2510.25,3915.03,1.92,1.9,-89.1,-0.415,19.39,20.08,01a59394o0638o
59394.54192,-23.158,6.0,-2,12,o,0,0.9,354.92787,42.17871,2491.16,3877.8,1.88,1.85,-82.1,-0.421,19.44,20.1,01a59394o0646o
59394.547475,-21.846,1.932,-7,13,o,0,0.96,354.92787,42.17871,2551.45,3954.31,1.91,1.87,-77.4,-0.418,19.43,20.12,01a59394o0658o
59394.561066,-23.192,7.042,-2,14,o,0,1.05,354.92787,42.17871,2570.37,3837.14,1.97,1.95,-85.1,-0.415,19.4,20.14,01a59394o0687o
59398.560461,24.205,10.182,1,8,o,0,1.1,354.92787,42.17871,2510.42,3914.88,1.83,1.79,-79.1,-0.417,19.8,20.89,01a59398o0682o
59398.56323,21.064,0.57,14,8,o,0,0.87,354.92787,42.17871,2490.02,3877.04,1.9,1.86,-64.8,-0.408,19.72,20.89,01a59398o0688o
59398.569703,21.624,1.301,8,11,o,0,0.84,354.92787,42.17871,2549.92,3954.92,1.96,1.75,-86.8,-0.422,19.75,20.88,01a59398o0702o
59398.585991,-22.953,3.531,-2,8,o,0,1.09,354.92787,42.17871,2567.17,3839.16,1.93,1.88,-45.7,-0.406,19.73,20.91,01a59398o0737o
59402.560525,-21.745,1.288,-7,9,o,0,0.8,354.92787,42.17871,2868.06,10224.12,1.87,1.75,-61.9,-0.437,19.78,21.02,01a59402o0687o
59402.562368,-21.627,1.246,-8,10,o,0,1.19,354.92787,42.17871,2849.88,10185.51,1.83,1.7,-58.3,-0.439,19.79,21.03,01a59402o0691o
59402.564679,-23.22,7.333,-2,14,o,0,0.86,354.92787,42.17871,2119.22,64.85,1.83,1.72,12.6,-0.462,19.81,21.02,01a59402o0696o
59402.565139,-21.922,1.389,-6,9,o,0,0.89,354.92787,42.17871,2906.51,10262.71,1.81,1.68,-58.8,-0.443,19.82,21.04,01a59402o0697o
59402.577278,22.448,2.236,4,8,o,0,0.91,354.92787,42.17871,2926.79,10145.91,1.88,1.72,-51.9,-0.442,19.8,21.14,01a59402o0723o
59404.566446,23.087,3.706,2,8,c,0,1.17,354.92787,42.17871,3920.26,4929.46,2.44,2.24,52.6,-0.4,19.74,21.79,02a59404o0693c
59404.568757,-21.884,1.365,-6,9,c,0,0.85,354.92787,42.17871,3939.55,4967.32,2.42,2.24,51.7,-0.402,19.81,21.78,02a59404o0698c
59404.571501,-23.893,6.5,-1,6,c,0,1.04,354.92787,42.17871,3883.28,4889.42,2.5,2.24,48.5,-0.399,19.74,21.8,02a59404o0704c
59404.582508,21.493,0.904,9,8,c,0,0.97,354.92787,42.17871,3871.4,5004.27,2.51,2.24,48.5,-0.396,19.78,21.83,02a59404o0728c
59406.39465,20.237,0.399,29,12,o,0,1.01,354.92787,42.17871,2826.1,10218.76,2.01,1.74,-67.1,-0.442,19.48,20.42,01a59406o0330o
59406.410957,20.649,0.477,20,10,o,0,0.95,354.92787,42.17871,2815.61,10176.59,1.85,1.66,-48.3,-0.434,19.55,20.5,01a59406o0363o
