MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59387.353615,21.705,4.648,8,35,o,0,1.31,229.01893,19.86039,7014.09,7560.51,2.32,2.11,-64.9,-0.463,18.32,18.46,02a59387o0244o
59387.35916,25.304,118.0,0,32,o,0,1.2,229.01893,19.86039,6995.35,7522.52,2.29,2.14,-66.3,-0.453,18.37,18.63,02a59387o0256o
59387.362369,-20.875,1.754,-16,28,o,0,1.39,229.01893,19.86039,7052.4,7598.72,2.36,2.1,-64.1,-0.453,18.55,18.86,02a59387o0263o
59387.377093,-21.822,3.091,-7,21,o,0,1.84,229.01893,19.86039,7070.94,7486.22,2.34,2.03,-61.3,-0.454,18.77,19.13,02a59387o0295o
59389.33555,20.138,0.536,32,17,o,0,1.93,229.01893,19.86039,5319.75,982.63,1.88,1.74,-16.8,-0.433,19.02,19.09,01a59389o0203o
59389.338774,24.848,39.167,0,16,o,0,1.81,229.01893,19.86039,5339.36,1021.52,1.86,1.73,-20.1,-0.44,19.02,19.1,01a59389o0210o
59389.344386,-23.622,15.474,-1,20,o,0,1.1,229.01893,19.86039,5282.14,942.29,1.84,1.72,-11.7,-0.44,19.02,19.07,01a59389o0221o
59389.355628,21.627,2.518,8,20,o,0,1.21,229.01893,19.86039,5264.57,1058.13,1.93,1.76,-18.4,-0.427,18.95,19.04,01a59389o0245o
59391.334872,20.687,0.774,19,15,o,0,1.65,229.01893,19.86039,7022.8,7562.34,2.08,1.96,73.9,-0.459,19.19,19.83,02a59391o0197o
59391.338672,-20.245,0.484,-29,14,o,0,1.85,229.01893,19.86039,7003.3,7525.11,2.05,1.96,79.7,-0.457,19.24,19.87,02a59391o0205o
59391.345153,-22.262,2.975,-4,14,o,0,2.1,229.01893,19.86039,7062.24,7603.69,2.15,2.06,-82.6,-0.45,19.19,19.84,02a59391o0219o
59391.355335,-21.956,2.228,-6,13,o,0,2.74,229.01893,19.86039,7081.6,7488.82,2.08,1.99,61.6,-0.445,19.22,19.81,02a59391o0241o
59393.356571,-21.25,0.766,-12,9,o,0,1.96,229.01893,19.86039,8987.85,9174.51,1.96,1.63,-88.4,-0.388,19.77,20.57,01a59393o0253o
59393.359356,24.755,25.143,0,11,o,0,1.62,229.01893,19.86039,9010.02,9212.55,1.91,1.65,87.1,-0.394,19.74,20.53,01a59393o0259o
59393.367043,-22.74,3.636,-3,11,o,0,1.55,229.01893,19.86039,8949.27,9134.38,1.87,1.71,82.7,-0.39,19.73,20.45,01a59393o0275o
