MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59389.380316,-21.972,3.722,-6,22,o,0,1.2,255.07341,23.09037,8955.49,4850.33,2.02,1.91,-76.6,-0.437,18.91,18.98,01a59389o0295o
59389.384175,-22.213,4.105,-5,19,o,0,1.09,255.07341,23.09037,8975.23,4886.75,2.05,1.88,-75.9,-0.447,18.96,18.98,01a59389o0302o
59389.416041,22.133,3.656,5,19,o,0,1.69,255.07341,23.09037,8924.32,4805.06,2.02,1.87,-81.2,-0.428,18.91,18.91,01a59389o0369o
59389.421244,20.767,1.377,18,25,o,0,0.77,255.07341,23.09037,8907.31,4921.11,1.99,1.91,-72.1,-0.432,18.93,18.94,01a59389o0379o
59391.377523,-20.33,0.522,-27,14,o,0,1.35,255.07341,23.09037,3441.79,3650.57,1.9,1.83,39.9,-0.472,19.12,19.63,02a59391o0288o
59391.410648,21.684,1.882,8,14,o,0,1.56,255.07341,23.09037,3419.64,3612.84,2.0,1.87,42.7,-0.468,18.99,19.44,02a59391o0357o
59391.413895,21.652,1.949,8,16,o,0,1.88,255.07341,23.09037,3480.55,3689.33,2.04,1.84,39.6,-0.465,19.0,19.48,02a59391o0364o
59391.419897,-21.438,1.567,-10,15,o,0,1.18,255.07341,23.09037,3501.1,3575.17,2.07,1.85,44.0,-0.46,19.06,19.54,02a59391o0377o
59393.419267,-21.997,3.593,-6,21,o,0,4.13,255.07341,23.09037,5918.14,2962.48,1.9,1.8,-49.0,-0.406,19.61,20.39,01a59393o0381o
59393.423486,-20.614,0.528,-21,11,o,0,0.97,255.07341,23.09037,5938.06,3000.39,1.84,1.77,-26.1,-0.416,19.62,20.38,01a59393o0390o
59393.450716,20.216,0.331,30,10,o,0,1.12,255.07341,23.09037,5887.73,2921.6,1.83,1.72,-43.8,-0.413,19.62,20.3,01a59393o0444o
59393.458128,22.11,2.095,5,11,o,0,0.57,255.07341,23.09037,5870.37,3036.98,1.88,1.77,-33.1,-0.411,19.58,20.29,01a59393o0459o
59397.380054,-21.245,0.523,-12,6,o,0,1.23,255.07341,23.09037,5915.34,2972.08,1.97,1.87,-20.3,-0.401,19.91,21.32,01a59397o0302o
59397.410942,-21.302,0.517,-11,6,o,0,2.27,255.07341,23.09037,5942.41,3003.38,1.93,1.84,-61.8,-0.403,19.9,21.36,01a59397o0363o
59397.414168,-20.778,0.331,-18,6,o,0,1.29,255.07341,23.09037,5883.83,2926.39,1.93,1.85,-37.0,-0.403,19.92,21.33,01a59397o0370o
59397.4231,22.097,1.208,5,6,o,0,1.14,255.07341,23.09037,5866.48,3041.69,1.86,1.75,-66.1,-0.411,19.94,21.26,01a59397o0388o
59401.37214,-22.97,2.742,-2,6,o,0,1.54,255.07341,23.09037,9086.64,6780.52,2.02,1.79,-89.9,-0.421,19.92,21.24,01a59401o0287o
59401.375395,-23.473,5.2,-2,8,o,0,1.05,255.07341,23.09037,9107.54,6818.77,1.97,1.76,86.9,-0.432,19.96,21.27,01a59401o0294o
59401.408684,26.672,95.0,0,7,o,0,1.49,255.07341,23.09037,9051.63,6734.48,2.02,1.83,-89.2,-0.418,19.93,21.25,01a59401o0362o
