MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59391.536175,19.883,0.592,40,24,o,0,2.16,346.11909,27.3536,10245.5,8818.84,2.68,1.95,-53.8,-0.417,19.04,19.5,02a59391o0610o
59391.540338,-20.182,0.934,-31,29,o,0,1.99,346.11909,27.3536,10265.78,8857.71,2.64,1.98,-53.2,-0.409,19.02,19.5,02a59391o0619o
59391.543082,-21.704,3.439,-8,26,o,0,2.8,346.11909,27.3536,10205.12,8778.85,2.55,2.14,-52.5,-0.421,18.98,19.52,02a59391o0625o
59391.543997,20.131,0.964,32,31,o,0,0.88,346.11909,27.3536,44.85,8843.0,2.18,1.64,-47.8,-0.47,18.98,19.49,02a59391o0627o
59391.555,-21.806,3.698,-7,25,o,0,3.23,346.11909,27.3536,10185.49,8896.99,2.66,2.04,-54.4,-0.405,19.08,19.55,02a59391o0651o
59393.586594,20.756,0.888,18,16,o,0,1.05,346.11909,27.3536,9067.02,5709.71,2.03,1.89,89.0,-0.432,19.43,20.05,01a59393o0714o
59393.58936,-22.744,5.257,-3,15,o,0,1.27,346.11909,27.3536,9047.48,5669.68,2.03,1.93,85.2,-0.435,19.44,20.06,01a59393o0720o
59393.605362,-21.017,1.11,-14,16,o,0,2.36,346.11909,27.3536,9106.43,5747.81,2.01,1.96,-84.7,-0.429,19.41,20.01,01a59393o0750o
59393.616761,20.519,0.982,22,22,o,0,0.79,346.11909,27.3536,9125.04,5631.89,2.03,1.94,-88.6,-0.425,19.11,19.31,01a59393o0772o
59397.565151,-21.019,0.877,-14,12,o,0,2.05,346.11909,27.3536,9064.38,5707.44,2.09,1.89,-89.9,-0.426,19.63,20.49,01a59397o0671o
59397.567933,-21.205,1.007,-12,12,o,0,2.6,346.11909,27.3536,9045.12,5668.18,2.13,1.94,89.2,-0.419,19.59,20.51,01a59397o0677o
59397.589401,-20.748,0.819,-18,15,o,0,1.01,346.11909,27.3536,9103.28,5745.91,2.07,1.97,78.5,-0.42,19.61,20.44,01a59397o0720o
59397.596768,21.78,1.729,7,12,o,0,1.7,346.11909,27.3536,9122.72,5629.11,2.05,1.93,88.2,-0.43,19.62,20.44,01a59397o0736o
59401.564249,22.779,4.514,3,13,o,0,1.73,346.11909,27.3536,8535.53,1818.72,1.97,1.83,-62.0,-0.425,19.91,21.14,01a59401o0671o
59401.571848,21.326,0.924,11,10,o,0,1.88,346.11909,27.3536,8515.55,1778.66,2.03,1.94,-50.6,-0.419,19.77,21.01,01a59401o0687o
59401.573689,24.08,18.4,1,16,o,0,0.55,346.11909,27.3536,8574.81,1857.57,2.05,1.93,-55.1,-0.42,19.82,21.12,01a59401o0691o
59401.597348,-21.852,2.155,-7,14,o,0,3.44,346.11909,27.3536,8593.46,1738.42,2.11,1.9,-30.8,-0.412,19.73,21.05,01a59401o0740o
59403.538977,19.175,0.107,78,8,c,0,21.1,346.11909,27.3536,7098.91,3135.94,2.39,2.31,-75.7,-0.392,19.75,21.73,02a59403o0614c
59403.541264,21.438,0.962,10,9,c,0,6.8,346.11909,27.3536,7118.43,3174.88,2.36,2.3,-74.3,-0.394,19.76,21.74,02a59403o0619c
59403.545584,21.303,0.989,11,11,c,0,4.33,346.11909,27.3536,7062.27,3099.03,2.34,2.26,-76.9,-0.393,19.79,21.74,02a59403o0628c
59403.554685,21.476,0.947,9,9,c,0,13.02,346.11909,27.3536,7039.15,3219.46,2.4,2.32,46.9,-0.392,19.79,21.77,02a59403o0645c
59405.496261,21.154,1.222,12,15,o,0,2.07,346.11909,27.3536,8547.47,1828.13,2.19,1.94,-24.7,-0.389,19.73,20.93,01a59405o0525o
59405.499488,21.545,1.806,9,16,o,0,0.74,346.11909,27.3536,8523.88,1785.65,2.05,1.84,-67.1,-0.428,19.81,20.95,01a59405o0532o
59405.510246,-21.636,1.505,-8,12,o,0,6.04,346.11909,27.3536,8580.71,1862.91,2.02,1.79,-71.2,-0.428,19.82,20.92,01a59405o0554o
59405.515777,21.403,1.849,10,18,o,0,0.52,346.11909,27.3536,8600.66,1744.72,2.04,1.8,-70.6,-0.43,19.83,20.97,01a59405o0566o
59407.510304,22.3,4.789,4,21,c,0,2.05,346.11909,27.3536,7094.62,3133.68,2.35,2.3,71.1,-0.388,18.91,20.62,02a59407o0555c
59407.512186,20.205,3.065,30,92,c,0,1.19,346.11909,27.3536,7111.93,3172.26,2.35,2.26,-63.9,-0.393,17.25,18.92,02a59407o0559c
59407.515867,23.348,10.8,2,18,c,0,2.04,346.11909,27.3536,7057.29,3096.28,2.34,2.3,88.7,-0.39,19.4,21.15,02a59407o0567c
59407.521831,19.472,0.599,59,35,c,0,1.53,346.11909,27.3536,7040.41,3213.29,2.32,2.23,46.8,-0.401,18.48,20.05,02a59407o0579c
59409.498796,20.826,0.607,17,10,o,0,2.1,346.11909,27.3536,9485.25,7664.03,2.16,1.98,79.9,-0.407,19.79,21.11,01a59409o0539o
59409.520152,20.887,0.837,16,13,o,0,1.98,346.11909,27.3536,9470.13,7623.33,2.46,2.12,11.6,-0.385,19.65,21.2,01a59409o0582o
