MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59389.504729,-21.399,12.887,-10,129,o,0,0.84,327.23815,-9.07115,1748.73,8220.99,2.42,2.26,-37.6,-0.445,17.93,18.1,02a59389o0566o
59389.506558,22.221,34.529,5,162,o,0,0.8,327.23815,-9.07115,1768.72,8260.57,2.22,1.98,-43.5,-0.476,17.99,18.08,02a59389o0570o
59389.510216,-21.793,10.623,-7,74,o,0,1.18,327.23815,-9.07115,1711.14,8182.47,2.05,1.75,-50.6,-0.498,18.44,18.53,02a59389o0578o
59389.516179,-21.798,7.786,-7,54,o,0,1.55,327.23815,-9.07115,1691.01,8298.85,2.06,1.73,-47.2,-0.497,18.45,18.61,02a59389o0591o
59390.483081,-22.536,25.758,-4,90,o,0,2.18,327.23815,-9.07115,1766.91,8217.82,2.0,1.68,-46.6,-0.533,18.11,17.98,02a59390o0516o
59390.486299,20.555,5.48,22,119,o,0,1.62,327.23815,-9.07115,1780.97,8259.09,2.07,1.72,-47.4,-0.501,18.2,18.07,02a59390o0523o
59390.496102,23.311,61.824,2,106,o,0,1.32,327.23815,-9.07115,1721.2,8181.67,1.98,1.77,-41.3,-0.493,18.13,18.04,02a59390o0542o
59390.501167,24.279,133.714,1,94,o,0,1.02,327.23815,-9.07115,1702.9,8298.7,2.03,1.71,-51.0,-0.512,18.25,18.22,02a59390o0553o
59396.594316,21.973,2.222,6,13,o,0,0.91,327.23815,-9.07115,3481.4,4271.1,3.36,2.44,-4.2,-0.38,19.18,20.52,01a59396o0763o
59396.599386,21.021,0.991,14,14,o,0,0.68,327.23815,-9.07115,3501.51,4308.28,2.89,2.37,-4.1,-0.344,19.22,20.5,01a59396o0774o
59396.602637,21.132,1.097,13,14,o,0,0.66,327.23815,-9.07115,3443.85,4230.68,3.12,2.24,-3.5,-0.363,19.23,20.47,01a59396o0781o
59396.618085,-21.003,1.485,-14,21,o,0,1.1,327.23815,-9.07115,3429.78,4343.97,3.23,2.34,-1.0,-0.359,18.69,19.34,01a59396o0812o
59400.505322,-22.516,3.226,-4,12,o,0,1.13,327.23815,-9.07115,6859.5,2443.95,2.72,2.1,-0.2,-0.378,19.45,20.76,01a59400o0572o
59400.507165,20.36,0.453,26,12,o,0,1.2,327.23815,-9.07115,6840.49,2404.91,2.45,2.08,-2.6,-0.396,19.52,20.78,01a59400o0576o
59400.509933,22.762,3.875,3,11,o,0,1.15,327.23815,-9.07115,6898.82,2481.96,2.74,2.13,-0.3,-0.381,19.49,20.82,01a59400o0582o
59400.516862,20.394,0.482,25,12,o,0,1.08,327.23815,-9.07115,6917.75,2364.62,2.63,2.14,1.2,-0.38,19.53,20.89,01a59400o0597o
59402.557814,21.295,0.948,11,10,c,0,0.92,327.23815,-9.07115,910.03,8053.83,2.51,2.37,-51.5,-0.428,19.62,21.54,02a59402o0680c
59402.56126,20.977,0.642,15,10,c,0,1.13,327.23815,-9.07115,890.43,8014.86,2.38,2.33,-36.5,-0.422,19.64,21.55,02a59402o0687c
59402.589244,21.093,0.657,13,9,c,0,1.38,327.23815,-9.07115,948.45,8095.76,2.33,2.3,-20.3,-0.428,19.65,21.6,02a59402o0747c
59402.614956,21.365,1.053,10,11,c,0,1.38,327.23815,-9.07115,970.23,7980.6,2.41,2.35,-71.4,-0.43,19.35,20.84,02a59402o0802c
59404.500048,-21.318,1.0,-11,11,o,0,1.05,327.23815,-9.07115,6863.5,2443.66,2.04,2.0,-60.9,-0.418,19.55,20.49,01a59404o0557o
59404.501889,-21.091,1.019,-13,14,o,0,0.69,327.23815,-9.07115,6843.91,2405.07,2.04,1.98,-27.5,-0.422,19.56,20.51,01a59404o0561o
59404.504692,-22.609,3.865,-3,13,o,0,0.87,327.23815,-9.07115,6901.92,2482.64,2.08,2.02,-49.3,-0.418,19.56,20.51,01a59404o0567o
59404.512083,-23.179,5.13,-2,10,o,0,1.46,327.23815,-9.07115,6922.78,2365.19,2.02,1.99,-15.5,-0.419,19.58,20.55,01a59404o0583o
59406.490973,20.764,0.586,18,10,c,0,0.86,327.23815,-9.07115,9672.07,2499.46,2.44,2.21,-57.1,-0.409,19.59,21.37,02a59406o0534c
59406.492802,-22.27,2.0,-4,9,c,0,0.91,327.23815,-9.07115,9692.07,2539.02,2.49,2.21,-59.2,-0.408,19.62,21.43,02a59406o0538c
59406.495545,20.454,0.419,24,10,c,0,0.89,327.23815,-9.07115,9633.25,2461.56,2.47,2.22,-57.7,-0.406,19.57,21.37,02a59406o0544c
59406.504235,20.863,0.613,16,10,c,0,1.01,327.23815,-9.07115,9613.57,2577.95,2.44,2.2,-58.8,-0.406,19.6,21.41,02a59406o0563c
59408.486079,20.395,0.365,25,9,o,0,1.87,327.23815,-9.07115,7163.57,8253.54,2.49,2.02,2.8,-0.374,19.36,20.5,01a59408o0532o
59408.489302,-20.639,0.529,-20,11,o,0,1.27,327.23815,-9.07115,7144.13,8214.79,2.46,1.98,3.2,-0.381,19.41,20.52,01a59408o0539o
59408.493452,20.885,0.743,16,12,o,0,0.99,327.23815,-9.07115,7203.13,8292.04,2.32,2.03,3.5,-0.384,19.43,20.57,01a59408o0548o
59408.505733,20.847,0.591,17,10,o,0,1.23,327.23815,-9.07115,7225.58,8174.16,2.12,2.09,-61.5,-0.399,19.5,20.61,01a59408o0574o
59409.45697,20.25,0.437,29,13,c,0,1.6,327.23815,-9.07115,9660.59,2501.42,3.27,3.17,-38.0,-0.365,18.94,21.14,02a59409o0465c
59409.48083,20.393,0.402,25,10,c,0,1.79,327.23815,-9.07115,9684.1,2541.42,2.81,2.69,-53.4,-0.378,19.13,21.33,02a59409o0515c
59409.484059,19.943,0.318,38,12,c,0,1.0,327.23815,-9.07115,9625.51,2462.86,3.08,2.96,-55.4,-0.375,19.05,21.35,02a59409o0522c
59409.490022,20.37,0.554,26,14,c,0,0.89,327.23815,-9.07115,9607.44,2579.03,3.3,3.11,-61.9,-0.376,19.0,21.34,02a59409o0535c
59412.451516,19.573,0.206,54,11,o,0,1.07,327.23815,-9.07115,7158.97,8254.51,2.08,1.96,-79.4,-0.41,19.49,20.75,01a59412o0456o
59412.455229,19.849,0.294,42,12,o,0,0.87,327.23815,-9.07115,7140.85,8216.99,2.03,1.97,-63.3,-0.403,19.36,20.64,01a59412o0464o
59412.46169,20.043,0.408,35,14,o,0,0.76,327.23815,-9.07115,7199.82,8293.77,2.02,1.91,-57.4,-0.405,19.34,20.58,01a59412o0478o
59412.482027,19.446,0.191,60,12,o,0,0.73,327.23815,-9.07115,7224.26,8175.89,2.36,2.04,-2.5,-0.387,19.52,20.9,01a59412o0521o
59413.487198,19.11,0.111,82,9,c,0,1.19,327.23815,-9.07115,7816.08,4534.59,2.54,2.43,30.5,-0.388,19.61,21.45,02a59413o0522c
59413.510957,19.165,0.108,78,8,c,0,1.34,327.23815,-9.07115,7838.12,4574.71,2.56,2.36,29.6,-0.386,19.64,21.38,02a59413o0573c
59413.514165,19.276,0.142,71,10,c,0,0.95,327.23815,-9.07115,7780.49,4495.99,2.45,2.34,35.0,-0.39,19.62,21.39,02a59413o0580c
59413.540144,19.142,0.146,80,12,c,0,0.78,327.23815,-9.07115,2809.15,5939.58,2.51,2.28,39.3,-0.392,19.63,21.42,02a59413o0635c
59414.449473,19.165,0.163,78,13,o,0,1.25,327.23815,-9.07115,7821.61,4533.45,2.27,1.93,33.7,-0.428,19.29,20.12,02a59414o0445o
59414.460544,18.941,0.155,96,15,o,0,0.81,327.23815,-9.07115,7841.66,4570.14,2.22,1.95,33.2,-0.427,19.28,20.17,02a59414o0469o
59414.470633,19.623,0.247,51,13,o,0,1.21,327.23815,-9.07115,7784.72,4495.52,2.29,1.99,31.2,-0.429,19.36,20.29,02a59414o0491o
59414.476153,19.064,0.16,86,14,o,0,0.92,327.23815,-9.07115,7765.9,4611.51,2.31,1.98,35.0,-0.426,19.4,20.34,02a59414o0503o
59415.437585,19.059,0.167,86,14,o,0,0.86,327.23815,-9.07115,7163.26,8254.02,1.97,1.89,-33.3,-0.403,19.26,19.8,01a59415o0433o
59415.44081,18.709,0.117,119,14,o,0,1.32,327.23815,-9.07115,7143.07,8214.83,2.04,1.91,-17.3,-0.401,19.24,19.81,01a59415o0440o
59415.445884,19.151,0.177,79,14,o,0,0.99,327.23815,-9.07115,7203.9,8292.15,2.18,1.98,-9.8,-0.389,19.2,19.83,01a59415o0451o
59415.451416,18.849,0.135,105,14,o,0,0.9,327.23815,-9.07115,7224.39,8175.59,2.14,1.89,-2.0,-0.403,19.22,19.85,01a59415o0463o
59416.480558,19.647,1.056,50,53,o,0,1.77,327.23815,-9.07115,2637.43,4094.46,1.86,1.83,12.6,-0.42,17.52,17.26,01a59416o0532o
59416.482429,17.923,1.796,246,442,o,0,0.9,327.23815,-9.07115,2617.76,4055.71,1.89,1.87,26.4,-0.435,14.89,14.66,01a59416o0536o
59424.534046,18.268,0.162,179,29,o,0,1.24,327.23815,-9.07115,7667.95,2581.46,2.12,2.04,-41.8,-0.387,18.41,18.56,01a59424o0638o
59424.537731,18.19,0.17,192,33,o,0,0.96,327.23815,-9.07115,7688.34,2620.21,2.16,2.06,-64.3,-0.389,18.45,18.65,01a59424o0646o
59424.545243,18.794,0.181,110,20,o,0,0.97,327.23815,-9.07115,7630.61,2540.87,2.12,2.04,-73.5,-0.403,18.97,19.43,01a59424o0662o
59424.562999,18.348,0.178,166,30,o,0,0.86,327.23815,-9.07115,7614.73,2656.5,2.67,2.58,-70.1,-0.373,18.47,19.08,01a59424o0700o
59425.446708,18.613,0.116,130,15,o,0,0.78,327.23815,-9.07115,8162.58,10374.66,2.44,1.93,-57.8,-0.442,19.44,20.3,02a59425o0449o
59425.449451,18.733,0.127,117,15,o,0,1.1,327.23815,-9.07115,8182.57,10413.46,2.52,1.95,-57.2,-0.433,19.42,20.31,02a59425o0455o
59425.449908,18.64,0.117,127,15,o,0,1.13,327.23815,-9.07115,8088.73,153.07,2.11,1.58,-57.1,-0.465,19.4,20.25,02a59425o0456o
59425.451739,18.631,0.103,128,13,o,0,1.75,327.23815,-9.07115,8107.45,190.94,2.08,1.55,-57.5,-0.46,19.41,20.25,02a59425o0460o
59425.452653,18.447,0.093,152,14,o,0,1.2,327.23815,-9.07115,8124.07,10333.96,2.51,1.91,-56.7,-0.436,19.43,20.31,02a59425o0462o
59425.454485,18.674,0.114,123,14,o,0,0.79,327.23815,-9.07115,8049.45,111.98,1.86,1.59,-63.1,-0.47,19.36,20.24,02a59425o0466o
59425.4586,18.676,0.129,123,16,o,0,0.99,327.23815,-9.07115,8106.38,10451.59,2.37,1.92,-59.0,-0.437,19.42,20.31,02a59425o0475o
59425.461343,18.389,0.092,160,15,o,0,1.13,327.23815,-9.07115,8029.85,229.84,1.99,1.59,-58.7,-0.465,19.38,20.24,02a59425o0481o
59426.48208,18.483,0.082,147,12,o,0,1.53,327.23815,-9.07115,699.66,4164.11,2.18,2.08,-50.8,-0.429,19.37,20.5,02a59426o0527o
59426.490257,18.374,0.08,162,13,o,0,1.33,327.23815,-9.07115,681.84,4128.48,2.14,2.01,-53.4,-0.441,19.4,20.51,02a59426o0544o
59426.493473,18.512,0.093,143,13,o,0,1.12,327.23815,-9.07115,741.21,4208.1,2.27,2.14,-54.4,-0.432,19.35,20.5,02a59426o0551o
59426.528719,18.651,0.115,126,14,o,0,1.01,327.23815,-9.07115,758.54,4093.77,2.16,2.1,-55.8,-0.432,19.37,20.46,02a59426o0626o
59428.491619,18.736,0.087,116,10,o,0,1.66,327.23815,-9.07115,7663.0,2590.16,2.28,2.06,-21.7,-0.399,19.65,20.87,01a59428o0551o
59428.496896,18.4,0.084,159,13,o,0,1.11,327.23815,-9.07115,7684.32,2626.88,2.5,2.34,-45.2,-0.367,19.51,20.85,01a59428o0562o
59428.500583,18.743,0.103,116,12,o,0,0.83,327.23815,-9.07115,7625.86,2549.17,2.25,2.12,-36.9,-0.397,19.64,20.87,01a59428o0570o
59428.515741,18.673,0.091,123,11,o,0,1.18,327.23815,-9.07115,7609.72,2662.67,2.17,2.07,-32.4,-0.405,19.63,20.82,01a59428o0602o
59429.499857,18.773,0.098,112,11,o,0,1.37,327.23815,-9.07115,695.1,4170.34,2.08,2.05,58.7,-0.44,19.49,20.74,02a59429o0573o
59429.530442,18.417,0.083,156,13,o,0,0.97,327.23815,-9.07115,677.18,4129.95,2.06,2.01,56.3,-0.441,19.47,20.67,02a59429o0639o
59429.539597,18.765,0.113,113,13,o,0,1.03,327.23815,-9.07115,733.21,4206.6,2.36,2.19,42.1,-0.425,19.37,20.65,02a59429o0658o
59429.545638,18.638,0.088,127,11,o,0,1.39,327.23815,-9.07115,755.96,4097.17,2.14,2.08,-78.2,-0.43,19.42,20.63,02a59429o0671o
59430.601285,18.551,0.102,138,14,o,0,0.72,327.23815,-9.07115,693.8,4174.25,2.25,2.17,-53.2,-0.421,19.37,20.74,02a59430o0198o
