MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59390.584933,-19.866,1.12,-41,46,o,0,1.08,19.50246,-1.57935,1001.47,3857.75,1.9,1.84,14.1,-0.48,17.99,17.89,02a59390o0732o
59390.602501,-20.855,2.889,-16,48,o,0,0.61,19.50246,-1.57935,1016.17,3893.39,1.91,1.85,22.1,-0.465,18.12,18.09,02a59390o0770o
59390.608034,-20.892,2.239,-16,36,o,0,1.08,19.50246,-1.57935,957.04,3815.6,1.9,1.85,-40.2,-0.461,18.22,18.16,02a59390o0782o
59390.615893,-19.24,0.49,-73,36,o,0,1.04,19.50246,-1.57935,937.11,3930.11,1.9,1.85,-39.3,-0.464,18.23,18.24,02a59390o0799o
59404.58274,-21.843,1.305,-7,9,o,0,1.31,19.50246,-1.57935,7619.23,6799.52,2.0,1.91,-3.9,-0.413,19.65,20.65,01a59404o0733o
59404.586882,-22.451,2.721,-4,10,o,0,0.85,19.50246,-1.57935,7599.06,6760.19,2.05,2.02,-20.7,-0.418,19.64,20.68,01a59404o0742o
59404.604003,-23.913,10.182,-1,10,o,0,1.27,19.50246,-1.57935,7665.1,6837.63,2.02,1.97,-64.4,-0.443,19.67,20.78,01a59404o0779o
59404.614189,22.293,2.392,4,10,o,0,0.93,19.50246,-1.57935,7685.39,6720.88,2.05,2.0,-17.3,-0.413,19.53,20.37,01a59404o0801o
59406.553283,16.595,2.438,835,2036,c,0,0.87,19.50246,-1.57935,8439.64,8330.85,2.7,2.55,41.5,-0.444,15.31,16.95,02a59406o0670c
59406.562496,-18.346,1.17,-167,195,c,0,1.09,19.50246,-1.57935,8399.0,8291.59,2.63,2.46,39.5,-0.449,16.49,18.03,02a59406o0690c
59408.562587,19.297,0.176,69,12,o,0,1.01,19.50246,-1.57935,8511.14,2439.29,2.12,1.94,-65.3,-0.419,19.57,20.4,01a59408o0696o
59408.565357,19.77,0.267,45,12,o,0,0.95,19.50246,-1.57935,8493.35,2400.5,2.15,2.01,-55.5,-0.414,19.55,20.42,01a59408o0702o
59408.570891,19.559,0.239,54,13,o,0,0.8,19.50246,-1.57935,8551.96,2477.26,2.18,2.04,-64.2,-0.418,19.53,20.47,01a59408o0714o
59408.58279,19.905,0.274,40,11,o,0,1.07,19.50246,-1.57935,8573.82,2360.13,2.2,2.02,-62.4,-0.417,19.51,20.44,01a59408o0739o
59412.556538,18.317,0.057,171,10,o,0,1.62,19.50246,-1.57935,8511.95,2439.25,2.11,1.9,-70.5,-0.434,19.74,20.86,01a59412o0680o
59412.562064,18.291,0.057,175,10,o,0,0.73,19.50246,-1.57935,8493.45,2400.62,2.14,1.92,-68.9,-0.432,19.72,20.84,01a59412o0692o
59412.56621,18.198,0.056,191,11,o,0,1.44,19.50246,-1.57935,8551.98,2477.86,2.11,1.91,-72.1,-0.428,19.75,20.91,01a59412o0701o
59412.580238,18.221,0.06,187,11,o,0,0.93,19.50246,-1.57935,8575.22,2360.38,2.27,2.14,-58.5,-0.401,19.66,21.03,01a59412o0731o
59414.551769,17.806,0.045,274,12,c,0,1.49,19.50246,-1.57935,7041.82,10378.96,2.82,2.73,-40.0,-0.412,19.47,21.25,02a59414o0663c
59414.5536,17.804,0.048,274,13,c,0,1.14,19.50246,-1.57935,7047.23,168.38,2.81,2.52,-28.7,-0.402,19.45,21.24,02a59414o0667c
59414.554971,17.883,0.049,255,12,c,0,1.52,19.50246,-1.57935,7060.99,10418.79,2.89,2.68,-14.9,-0.399,19.48,21.24,02a59414o0670c
59414.556799,17.904,0.053,250,13,c,0,1.31,19.50246,-1.57935,7067.62,207.12,2.82,2.54,-33.3,-0.393,19.44,21.24,02a59414o0674c
