MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59397.560545,23.225,4.778,2,9,o,0,1.43,336.50797,28.83666,5616.95,8550.61,1.88,1.77,0.3,-0.414,19.69,20.63,01a59397o0661o
59397.562388,20.512,0.372,23,8,o,0,1.28,336.50797,28.83666,5598.3,8512.67,1.88,1.84,-5.4,-0.413,19.64,20.62,01a59397o0665o
59397.566536,-20.821,0.543,-17,9,o,0,1.27,336.50797,28.83666,5655.72,8589.4,1.88,1.79,2.6,-0.411,19.69,20.61,01a59397o0674o
59397.587557,21.29,0.821,11,9,o,0,1.21,336.50797,28.83666,5673.5,8474.22,1.9,1.81,-10.8,-0.411,19.61,20.51,01a59397o0716o
59401.524884,-20.712,0.498,-19,9,o,0,1.34,336.50797,28.83666,4765.21,4681.09,1.83,1.76,-16.2,-0.403,19.44,20.56,01a59401o0590o
59401.527658,-21.093,0.841,-13,11,o,0,1.27,336.50797,28.83666,4745.03,4642.01,1.8,1.74,-14.3,-0.403,19.39,20.44,01a59401o0596o
59401.533652,23.726,7.625,1,9,o,0,1.02,336.50797,28.83666,4803.55,4719.69,1.83,1.74,-11.1,-0.402,19.74,20.9,01a59401o0609o
59401.538718,21.071,0.519,14,7,o,0,2.08,336.50797,28.83666,4823.45,4603.68,1.78,1.72,-11.1,-0.406,19.88,21.08,01a59401o0620o
59403.524024,-22.31,2.194,-4,10,c,0,1.18,336.50797,28.83666,10212.42,172.96,2.92,2.13,-54.8,-0.424,19.74,21.78,02a59403o0582c
59403.526773,21.915,1.562,6,10,c,0,0.99,336.50797,28.83666,10232.48,212.15,2.75,2.06,-55.7,-0.437,19.79,21.79,02a59403o0588c
59403.528146,21.966,1.385,6,8,c,0,1.23,336.50797,28.83666,425.55,168.93,2.92,2.29,-51.9,-0.416,19.78,21.77,02a59403o0591c
59403.529974,21.253,0.875,12,10,c,0,0.94,336.50797,28.83666,10174.88,135.72,2.87,2.01,-53.3,-0.428,19.8,21.79,02a59403o0595c
59403.530431,22.357,2.036,4,8,c,0,0.97,336.50797,28.83666,445.66,208.54,2.86,2.27,-51.2,-0.422,19.8,21.78,02a59403o0596c
59403.534577,-21.631,0.964,-8,8,c,0,1.05,336.50797,28.83666,388.75,127.86,2.94,2.23,-54.7,-0.407,19.81,21.77,02a59403o0605c
59403.537604,20.649,0.627,20,12,c,0,0.79,336.50797,28.83666,10157.18,254.74,2.84,2.07,-54.6,-0.424,19.79,21.79,02a59403o0611c
59403.538519,20.919,0.542,16,8,c,0,1.23,336.50797,28.83666,2189.69,10441.0,2.59,2.12,-51.0,-0.44,19.76,21.77,02a59403o0613c
59403.539892,21.412,0.818,10,8,c,0,1.22,336.50797,28.83666,370.73,244.88,2.91,2.24,-53.6,-0.424,19.78,21.78,02a59403o0616c
59403.540808,-22.825,4.15,-3,11,c,0,1.52,336.50797,28.83666,2210.32,10480.6,2.64,2.15,-48.3,-0.433,19.8,21.77,02a59403o0618c
