MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59402.404502,-22.492,2.373,-4,9,o,0,0.89,292.04888,47.19235,1497.39,9836.84,1.78,1.6,-62.2,-0.457,19.81,21.0,01a59402o0351o
59402.406342,-22.372,1.923,-4,8,o,0,1.16,292.04888,47.19235,1478.78,9798.49,1.81,1.61,-63.2,-0.453,19.79,20.98,01a59402o0355o
59402.441661,21.604,1.053,8,9,o,0,1.67,292.04888,47.19235,8968.96,669.48,2.41,2.22,-71.7,-0.398,19.64,21.04,01a59402o0431o
59402.446803,20.734,0.513,18,10,o,0,0.86,292.04888,47.19235,8950.51,787.2,2.25,2.02,-72.0,-0.411,19.72,21.03,01a59402o0442o
59404.386365,20.849,0.5,17,8,c,0,1.09,292.04888,47.19235,8722.34,5325.75,2.51,2.38,-74.8,-0.401,19.71,21.62,02a59404o0309c
59404.39267,22.585,2.75,3,9,c,0,0.9,292.04888,47.19235,8744.85,5364.47,2.55,2.46,-86.8,-0.398,19.68,21.61,02a59404o0321c
59404.397621,21.093,0.747,13,10,c,0,0.89,292.04888,47.19235,8689.02,5289.55,2.54,2.47,84.6,-0.398,19.67,21.6,02a59404o0330c
59404.427528,20.876,0.554,16,9,c,0,0.99,292.04888,47.19235,8676.42,5412.55,2.49,2.42,74.6,-0.398,19.76,21.65,02a59404o0393c
59406.406245,21.194,0.711,12,9,o,0,1.34,292.04888,47.19235,1502.21,9838.76,1.88,1.6,-60.9,-0.445,19.79,21.11,01a59406o0353o
59406.408087,23.191,3.968,2,8,o,0,1.25,292.04888,47.19235,1483.41,9800.85,1.8,1.59,-65.2,-0.452,19.82,21.1,01a59406o0357o
59406.413741,-24.664,14.625,0,7,o,0,2.4,292.04888,47.19235,1538.89,9882.11,1.8,1.58,-65.4,-0.454,19.83,21.05,01a59406o0369o
59406.418824,21.633,1.009,8,8,o,0,1.36,292.04888,47.19235,1558.44,9759.86,1.92,1.66,-65.5,-0.435,19.68,20.99,01a59406o0380o
59408.404535,21.257,0.798,11,9,c,0,1.16,292.04888,47.19235,8730.5,5329.44,2.52,2.42,59.9,-0.397,19.8,21.87,02a59408o0342c
59408.429077,21.291,0.628,11,7,c,0,1.31,292.04888,47.19235,1844.01,5205.44,2.31,2.21,-47.8,-0.42,19.81,21.73,02a59408o0395c
59408.45654,21.168,0.755,12,9,c,0,1.0,292.04888,47.19235,1897.39,5278.28,2.31,2.29,0.7,-0.417,19.76,21.64,02a59408o0452c
59408.462983,21.493,0.827,9,8,c,0,1.04,292.04888,47.19235,1913.85,5162.67,2.33,2.29,-13.8,-0.417,19.72,21.63,02a59408o0466c
59410.398093,-25.923,57.0,0,9,o,0,0.84,292.04888,47.19235,7642.44,5385.23,1.99,1.83,-81.8,-0.433,19.84,21.25,01a59410o0341o
59410.400649,-23.252,3.826,-2,7,o,0,1.27,292.04888,47.19235,7622.78,5348.85,1.99,1.88,-79.6,-0.425,19.86,21.26,01a59410o0345o
59410.403422,21.65,1.039,8,8,o,0,0.91,292.04888,47.19235,7685.98,5423.17,1.95,1.87,-76.8,-0.428,19.85,21.23,01a59410o0351o
59410.434048,22.632,3.412,3,11,o,0,1.18,292.04888,47.19235,2832.64,5285.86,3.09,3.0,-77.3,-0.407,19.27,21.25,01a59410o0417o
59412.456054,21.143,0.573,13,7,c,0,1.17,292.04888,47.19235,1785.89,3206.89,2.35,2.28,-62.3,-0.409,19.82,21.83,02a59412o0452c
59412.459756,-20.882,0.402,-16,6,c,0,1.89,292.04888,47.19235,1767.3,3168.7,2.38,2.31,-55.5,-0.409,19.79,21.82,02a59412o0460c
59412.466176,21.531,0.985,9,9,c,0,1.06,292.04888,47.19235,1824.86,3243.51,2.47,2.4,38.5,-0.396,19.71,21.82,02a59412o0474c
59412.476263,21.109,0.615,13,8,c,0,1.2,292.04888,47.19235,1846.41,3125.2,2.51,2.39,-60.3,-0.397,19.72,21.8,02a59412o0496c
59414.385921,20.101,0.606,33,20,o,0,1.46,292.04888,47.19235,7643.63,5390.14,1.96,1.9,-45.1,-0.417,18.76,19.05,01a59414o0319o
59414.391677,24.39,38.6,1,25,o,0,1.17,292.04888,47.19235,7624.66,5352.23,2.1,2.02,-59.8,-0.405,18.59,18.91,01a59414o0330o
59414.397015,-20.785,1.116,-18,20,o,0,1.32,292.04888,47.19235,7684.38,5430.85,2.03,1.96,-66.9,-0.411,18.79,19.23,01a59414o0340o
59414.42283,-22.07,6.029,-5,32,o,0,1.18,292.04888,47.19235,2829.7,5280.93,1.86,1.82,-67.7,-0.413,17.91,18.05,01a59414o0394o
59416.382626,19.32,1.665,68,113,o,0,1.41,292.04888,47.19235,8799.92,7365.69,2.43,2.23,-67.2,-0.46,17.45,17.57,02a59416o0302o
59416.38583,20.636,14.395,20,291,o,0,2.05,292.04888,47.19235,8819.72,7398.12,2.44,2.16,52.9,-0.472,16.38,16.3,02a59416o0309o
59416.392137,17.771,4.209,283,1190,o,0,0.78,292.04888,47.19235,8763.12,7323.23,2.41,2.24,60.4,-0.458,15.42,15.21,02a59416o0321o
59416.39852,-15.826,0.642,-1696,1090,o,0,1.51,292.04888,47.19235,8744.71,7444.03,2.43,2.26,54.9,-0.464,15.35,15.19,02a59416o0333o
59418.422435,19.717,0.322,47,15,o,0,1.43,292.04888,47.19235,772.52,9347.16,1.91,1.68,-72.4,-0.452,19.05,19.34,01a59418o0401o
59418.426124,20.328,0.626,27,17,o,0,1.16,292.04888,47.19235,795.0,9387.84,1.87,1.63,-71.3,-0.456,19.1,19.34,01a59418o0409o
59418.431666,20.171,0.508,31,16,o,0,1.73,292.04888,47.19235,735.77,9308.13,1.93,1.68,-71.1,-0.449,19.01,19.34,01a59418o0421o
59418.441822,20.121,0.553,32,18,o,0,0.71,292.04888,47.19235,719.07,9423.67,1.98,1.73,-70.1,-0.443,19.0,19.32,01a59418o0443o
59420.404301,19.346,0.25,66,16,o,0,1.21,292.04888,47.19235,5223.62,7507.21,2.18,1.83,36.8,-0.431,18.99,19.35,02a59420o0357o
59420.407518,18.716,0.172,118,20,o,0,0.82,292.04888,47.19235,5204.6,7468.31,2.11,1.84,35.6,-0.437,18.96,19.37,02a59420o0364o
59420.413007,0.0,0.0,0,0,o,0,-2.0,292.04888,47.19235,5215.02,7500.35,2.51,2.18,45.2,-0.466,17.21,18.27,02a59420o0376o
59420.448299,19.664,0.389,50,19,o,0,0.87,292.04888,47.19235,5276.32,7425.62,2.18,1.86,38.6,-0.42,18.92,19.3,02a59420o0452o
59422.464725,18.534,0.108,140,15,o,0,1.08,292.04888,47.19235,782.45,9335.08,2.24,1.92,-74.6,-0.432,19.27,20.03,01a59422o0351o
59422.468902,18.836,0.15,106,16,o,0,1.1,292.04888,47.19235,805.19,9374.88,2.35,2.08,-78.2,-0.426,19.13,20.03,01a59422o0360o
59422.492554,18.805,0.134,109,15,o,0,1.21,292.04888,47.19235,749.57,9290.34,2.22,1.98,-73.0,-0.43,19.23,19.95,01a59422o0410o
59422.504025,18.561,0.108,137,15,o,0,0.99,292.04888,47.19235,725.89,9406.91,2.1,1.79,-68.6,-0.438,19.28,19.96,01a59422o0434o
59424.429669,18.281,0.082,177,15,o,0,1.54,292.04888,47.19235,5222.67,7503.68,2.11,1.97,36.9,-0.432,19.19,20.04,02a59424o0404o
59424.463637,18.253,0.091,182,17,o,0,1.11,292.04888,47.19235,5196.17,7463.7,2.18,1.97,43.0,-0.43,19.16,19.98,02a59424o0475o
59424.468687,18.249,0.069,182,13,o,0,1.35,292.04888,47.19235,5253.21,7541.27,2.07,2.01,47.9,-0.436,19.38,20.32,02a59424o0486o
59424.472389,18.418,0.081,156,13,o,0,1.05,292.04888,47.19235,5269.48,7423.49,2.05,2.03,55.4,-0.435,19.34,20.32,02a59424o0494o
59426.422478,18.34,0.354,168,59,o,0,0.95,292.04888,47.19235,6748.93,5450.4,2.24,2.08,-7.1,-0.375,18.02,19.22,01a59426o0394o
59426.426261,18.026,0.054,224,12,o,0,0.79,292.04888,47.19235,6769.97,5488.02,2.09,1.99,-10.6,-0.392,19.46,20.74,01a59426o0402o
59426.432305,18.071,0.052,215,11,o,0,1.08,292.04888,47.19235,6711.31,5411.1,2.5,2.37,-10.7,-0.369,19.43,20.85,01a59426o0415o
59426.444005,18.019,0.051,225,12,o,0,1.18,292.04888,47.19235,6696.54,5527.6,2.26,2.07,-4.6,-0.383,19.61,20.83,01a59426o0440o
59428.503512,18.037,0.056,222,12,o,0,1.0,292.04888,47.19235,7774.86,1326.84,2.42,1.97,-52.2,-0.434,19.49,20.78,02a59428o0328o
59428.507208,17.907,0.054,250,14,o,0,1.1,292.04888,47.19235,7754.65,1287.36,2.48,2.04,-52.5,-0.43,19.45,20.77,02a59428o0336o
59428.512734,17.913,0.045,248,11,o,0,1.33,292.04888,47.19235,7814.25,1365.95,2.31,1.87,-52.1,-0.446,19.54,20.78,02a59428o0348o
59428.525718,17.913,0.047,248,12,o,0,1.31,292.04888,47.19235,7838.06,1247.32,2.38,1.86,-53.8,-0.446,19.46,20.69,02a59428o0376o
59430.377095,17.751,0.029,288,8,c,0,1.35,292.04888,47.19235,6739.48,5457.19,2.43,2.25,-88.6,-0.385,19.9,21.92,01a59430o0311c
59430.380336,17.674,0.027,309,8,c,0,1.44,292.04888,47.19235,6760.51,5496.14,2.33,2.23,-88.6,-0.382,19.93,21.93,01a59430o0318c
59430.411499,17.646,0.028,317,9,c,0,1.57,292.04888,47.19235,6706.78,5415.27,2.38,2.33,-56.5,-0.373,19.89,21.89,01a59430o0379c
59430.41889,17.59,0.027,334,9,c,0,1.33,292.04888,47.19235,6689.27,5529.62,2.57,2.4,-75.4,-0.369,19.82,21.86,01a59430o0395c
59432.460788,17.823,0.042,270,11,o,0,1.83,292.04888,47.19235,7777.76,1323.62,2.36,2.07,-55.2,-0.435,19.44,20.82,02a59432o0435o
59432.464454,17.823,0.042,270,11,o,0,1.62,292.04888,47.19235,7757.35,1283.94,2.18,1.87,-56.5,-0.448,19.56,20.83,02a59432o0443o
59432.495551,17.836,0.049,266,13,o,0,1.03,292.04888,47.19235,7818.65,1364.62,2.06,1.83,-58.0,-0.449,19.56,20.72,02a59432o0510o
59432.50108,17.865,0.047,260,12,o,0,0.95,292.04888,47.19235,7838.0,1246.25,2.06,1.81,-56.4,-0.452,19.5,20.72,02a59432o0522o
59434.417124,17.646,0.027,317,9,c,0,1.31,292.04888,47.19235,4838.76,9166.24,2.31,2.17,-56.9,-0.382,19.86,21.85,01a59434o0396c
59434.420828,17.567,0.027,341,9,c,0,1.84,292.04888,47.19235,4860.9,9206.33,2.24,2.1,-52.9,-0.382,19.87,21.85,01a59434o0404c
59434.426354,17.583,0.028,336,10,c,0,1.28,292.04888,47.19235,4801.9,9128.37,2.27,2.08,-62.0,-0.389,19.87,21.85,01a59434o0416c
59434.438921,17.602,0.026,331,9,c,0,1.68,292.04888,47.19235,4782.07,9244.55,2.26,2.07,-55.4,-0.382,19.9,21.81,01a59434o0443c
59436.415014,17.913,0.054,248,13,o,0,0.96,292.04888,47.19235,5212.08,9545.78,2.37,1.92,-52.8,-0.445,19.6,21.0,02a59436o0391o
59436.419234,17.834,0.045,267,12,o,0,1.79,292.04888,47.19235,5197.14,9510.22,2.55,1.94,-55.2,-0.439,19.58,20.99,02a59436o0400o
59436.449231,17.857,0.046,261,12,o,0,1.35,292.04888,47.19235,5244.35,9585.71,2.21,1.89,-54.5,-0.454,19.66,21.14,02a59436o0464o
59436.455196,17.844,0.053,264,14,o,0,1.14,292.04888,47.19235,5262.16,9464.37,2.25,1.97,-51.6,-0.437,19.64,21.13,02a59436o0477o
59438.424179,17.687,0.025,306,8,c,0,1.75,292.04888,47.19235,4833.22,9160.56,2.32,2.04,-47.4,-0.395,19.97,21.97,01a59438o0274c
59438.428334,17.66,0.033,313,10,c,0,2.21,292.04888,47.19235,4852.34,9197.84,2.33,2.07,-48.0,-0.393,19.55,21.43,01a59438o0283c
59438.457603,17.685,0.028,306,8,c,0,1.36,292.04888,47.19235,4795.51,9119.28,2.36,2.11,-51.6,-0.392,19.99,22.03,01a59438o0344c
59438.465041,17.744,0.027,290,8,c,0,1.78,292.04888,47.19235,4777.16,9235.6,2.35,2.15,-51.3,-0.387,19.95,22.01,01a59438o0360c
59440.377716,18.058,0.059,217,13,o,0,1.08,292.04888,47.19235,5220.91,9546.76,2.45,2.16,-61.3,-0.421,19.45,20.8,02a59440o0319o
59440.408636,18.092,0.056,210,12,o,0,1.42,292.04888,47.19235,5197.25,9508.83,2.33,2.07,-59.7,-0.431,19.57,20.98,02a59440o0379o
59440.411837,18.133,0.06,203,12,o,0,1.35,292.04888,47.19235,5252.54,9585.58,2.28,2.0,-56.9,-0.434,19.6,20.98,02a59440o0386o
59440.417374,18.01,0.042,227,10,o,0,2.52,292.04888,47.19235,5273.9,9469.18,2.18,2.0,-56.8,-0.436,19.63,20.95,02a59440o0398o
59442.33983,18.254,0.054,181,10,o,0,1.44,292.04888,47.19235,7176.93,2923.87,1.96,1.84,-55.4,-0.441,19.67,20.69,01a59442o0179o
59442.342637,18.176,0.062,195,12,o,0,0.83,292.04888,47.19235,7198.69,2962.3,1.97,1.89,-58.9,-0.434,19.66,20.7,01a59442o0185o
59442.348171,18.257,0.062,181,11,o,0,0.78,292.04888,47.19235,7140.08,2885.07,1.95,1.84,-55.3,-0.437,19.71,20.71,01a59442o0197o
59442.359715,18.132,0.044,203,9,o,0,1.7,292.04888,47.19235,7124.71,3000.24,1.91,1.89,-63.3,-0.424,19.71,20.69,01a59442o0222o
59444.411426,18.236,0.083,184,15,o,0,1.47,292.04888,47.19235,7077.31,9466.39,2.15,1.95,-60.4,-0.448,19.27,19.93,02a59444o0391o
59444.414637,18.34,0.088,168,15,o,0,1.08,292.04888,47.19235,7058.87,9426.49,2.12,1.98,-62.7,-0.445,19.31,19.93,02a59444o0398o
59444.423961,18.353,0.097,166,16,o,0,1.35,292.04888,47.19235,7117.04,9505.71,2.26,1.89,-57.0,-0.449,19.24,19.92,02a59444o0418o
59444.45885,18.399,0.09,159,14,o,0,1.19,292.04888,47.19235,7130.65,9388.63,2.08,1.99,-62.9,-0.445,19.29,19.95,02a59444o0492o
59446.352378,18.464,0.07,150,10,o,0,2.25,292.04888,47.19235,7180.27,2917.95,1.91,1.82,-37.1,-0.424,19.34,19.79,01a59446o0278o
59446.356064,18.473,0.111,148,16,o,0,0.67,292.04888,47.19235,7200.85,2955.44,2.0,1.85,-45.2,-0.423,19.32,19.79,01a59446o0286o
59446.362057,18.45,0.098,151,15,o,0,1.44,292.04888,47.19235,7144.76,2880.13,1.96,1.87,-36.5,-0.418,19.3,19.78,01a59446o0299o
59446.376378,18.467,0.075,149,11,o,0,2.05,292.04888,47.19235,7128.45,2994.52,1.98,1.88,-37.0,-0.417,19.26,19.78,01a59446o0330o
59448.337914,18.93,0.252,97,25,o,0,0.79,292.04888,47.19235,7093.46,9468.58,2.35,1.87,-57.3,-0.441,18.95,19.26,02a59448o0244o
59448.341116,18.634,0.154,128,20,o,0,1.33,292.04888,47.19235,7074.11,9429.86,2.34,1.87,-59.0,-0.447,18.94,19.26,02a59448o0251o
