MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59402.548075,-22.135,1.54,-5,8,o,0,1.61,345.58548,37.1758,6998.76,480.24,2.0,1.89,-36.0,-0.425,19.82,21.06,01a59402o0660o
59402.549919,21.743,1.449,7,11,o,0,1.17,345.58548,37.1758,6978.45,440.71,2.0,1.91,-39.0,-0.428,19.81,21.06,01a59402o0664o
59402.552685,20.455,0.331,24,8,o,0,2.47,345.58548,37.1758,7038.47,519.89,2.01,1.91,-44.9,-0.42,19.78,21.04,01a59402o0670o
59402.559142,21.529,0.921,9,8,o,0,1.58,345.58548,37.1758,7058.31,402.17,2.16,1.96,-23.1,-0.409,19.77,21.05,01a59402o0684o
59404.512818,21.073,0.667,14,9,c,0,0.92,345.58548,37.1758,8456.34,4424.03,2.51,2.38,42.5,-0.389,19.72,21.69,02a59404o0577c
59404.523392,21.866,1.17,6,8,c,0,1.57,345.58548,37.1758,8479.54,4457.05,2.58,2.43,47.2,-0.388,19.75,21.73,02a59404o0600c
59404.526594,24.129,8.333,1,7,c,0,1.83,345.58548,37.1758,8422.15,4381.53,2.53,2.41,52.9,-0.388,19.77,21.74,02a59404o0607c
59404.532105,22.298,1.969,4,9,c,0,0.99,345.58548,37.1758,8403.57,4499.69,2.6,2.4,47.5,-0.383,19.76,21.75,02a59404o0619c
59406.381723,20.864,0.774,16,13,o,0,0.97,345.58548,37.1758,7011.85,500.04,2.01,1.87,-64.8,-0.428,19.57,20.53,01a59406o0305o
59406.387979,21.999,1.712,6,10,o,0,2.17,345.58548,37.1758,6991.53,459.6,2.03,1.85,-69.3,-0.431,19.53,20.55,01a59406o0317o
59406.410495,-21.595,1.3,-8,11,o,0,1.33,345.58548,37.1758,7051.21,529.76,2.0,1.85,-59.7,-0.426,19.6,20.61,01a59406o0362o
59406.424026,-21.591,1.143,-8,10,o,0,1.57,345.58548,37.1758,7070.68,411.19,1.97,1.83,-63.8,-0.434,19.61,20.63,01a59406o0391o
59408.508592,-22.068,1.488,-5,8,c,0,1.96,345.58548,37.1758,8458.22,4425.57,2.47,2.4,49.1,-0.387,19.73,21.67,02a59408o0563c
59408.512735,21.332,0.789,11,8,c,0,0.94,345.58548,37.1758,8479.87,4459.85,2.55,2.48,60.9,-0.385,19.73,21.68,02a59408o0572c
59408.515523,20.547,0.438,22,10,c,0,0.99,345.58548,37.1758,8420.3,4387.36,2.5,2.46,-86.0,-0.391,19.74,21.69,02a59408o0578c
59408.526529,20.777,0.512,18,9,c,0,0.97,345.58548,37.1758,8406.76,4503.5,2.53,2.46,63.1,-0.388,19.76,21.69,02a59408o0602c
59408.620085,-21.443,1.089,-10,10,c,0,1.55,345.58548,37.1758,2129.74,6121.79,2.36,2.3,23.1,-0.401,19.37,20.7,02a59408o0803c
59410.538256,22.169,1.686,5,8,o,0,1.64,345.58548,37.1758,8010.6,6316.96,2.71,2.62,89.6,-0.368,19.44,21.16,01a59410o0640o
59410.540562,25.204,39.0,0,12,o,0,1.02,345.58548,37.1758,7991.52,6278.05,2.8,2.6,-82.8,-0.404,19.54,21.19,01a59410o0645o
59410.543785,-20.992,0.551,-15,8,o,0,1.93,345.58548,37.1758,8049.3,6356.07,2.29,2.25,72.9,-0.399,19.66,21.21,01a59410o0652o
59410.551167,-21.24,0.755,-12,9,o,0,1.38,345.58548,37.1758,8068.6,6240.59,2.42,2.37,-84.6,-0.405,19.62,21.19,01a59410o0668o
59412.523639,-20.898,0.587,-16,9,c,0,0.86,345.58548,37.1758,7077.24,6482.02,2.68,2.56,49.7,-0.389,19.67,21.84,02a59412o0599c
59412.526896,-21.387,0.851,-10,9,c,0,1.1,345.58548,37.1758,7102.04,6517.93,2.72,2.49,49.2,-0.388,19.71,21.84,02a59412o0606c
59412.532881,-22.094,1.828,-5,10,c,0,1.05,345.58548,37.1758,7045.06,6442.16,2.87,2.79,65.0,-0.404,19.65,21.85,02a59412o0619c
59412.539332,-21.015,0.514,-14,7,c,0,1.85,345.58548,37.1758,7025.19,6558.69,2.55,2.36,50.7,-0.401,19.84,21.86,02a59412o0633c
59414.534426,24.703,21.4,0,10,o,0,0.9,345.58548,37.1758,8007.65,6318.91,2.08,2.01,87.2,-0.413,19.65,20.88,01a59414o0631o
59414.53673,21.768,1.343,7,10,o,0,1.22,345.58548,37.1758,7988.73,6279.66,2.25,2.21,-15.8,-0.383,19.57,20.92,01a59414o0636o
59414.53951,-21.11,0.76,-13,10,o,0,0.91,345.58548,37.1758,8047.52,6358.58,2.08,2.05,-56.7,-0.401,19.68,20.98,01a59414o0642o
59414.544571,21.128,0.66,13,8,o,0,1.92,345.58548,37.1758,8065.84,6242.16,2.04,2.02,59.1,-0.41,19.72,20.91,01a59414o0653o
59416.455457,-13.705,0.42,-11965,5028,o,0,0.97,345.58548,37.1758,7089.15,6512.72,2.48,2.16,48.1,-0.465,14.42,14.51,02a59416o0454o
59416.481846,-15.899,0.63,-1586,1000,o,0,0.97,345.58548,37.1758,7034.6,6434.98,2.48,2.11,43.5,-0.416,14.86,14.78,02a59416o0510o
59416.49014,20.195,2.307,30,70,o,0,1.33,345.58548,37.1758,7016.87,6553.86,2.46,2.08,44.3,-0.428,17.25,17.7,02a59416o0528o
59418.584517,21.367,2.065,10,21,o,0,1.19,345.58548,37.1758,7643.85,8395.4,2.93,2.82,-86.6,-0.387,18.83,19.59,01a59418o0685o
59418.58915,20.954,1.114,15,17,o,0,1.12,345.58548,37.1758,7664.25,8432.63,2.54,2.47,-70.8,-0.365,18.9,19.61,01a59418o0695o
59418.598562,20.183,0.891,31,27,o,0,0.94,345.58548,37.1758,7606.27,8356.19,3.05,3.03,78.5,-0.335,18.69,19.47,01a59418o0715o
59418.626264,18.977,0.271,93,25,o,0,1.77,345.58548,37.1758,7592.62,8466.08,2.83,2.78,68.4,-0.344,18.45,18.91,01a59418o0774o
59420.505598,19.023,0.44,89,39,o,0,1.7,345.58548,37.1758,6528.23,2162.62,2.03,1.94,68.3,-0.435,18.25,18.92,02a59420o0576o
59420.509718,19.268,0.591,71,42,o,0,1.21,345.58548,37.1758,6469.51,2087.35,2.05,1.97,55.5,-0.432,17.87,18.4,02a59420o0585o
59420.520395,19.455,0.311,60,19,o,0,0.8,345.58548,37.1758,6457.47,2205.89,2.06,1.95,59.2,-0.423,18.94,19.4,02a59420o0608o
